time,open,high,low,close
1971-01-01,192.03,192.92,191.96,192.67
1971-02-01,192.57,192.64,192.29,192.29
1971-03-01,192.51,192.62,192.4,192.54
1971-04-01,192.58,192.64,191.94,192.42
1971-05-03,192.53,199.6,192.53,197
1971-06-01,195.88,200.01,195.88,199.86
1971-07-01,199.78,202.04,199.65,202
1971-08-02,201.98,206.43,195.55,195.55
1971-09-01,196.32,199.22,195.47,197.76
1971-10-01,196.4,196.4,193.02,193.02
1971-11-01,193.22,193.8,192.23,193.39
1971-12-01,193.91,196.5,187.84,188.44
1972-01-03,188.22,191.07,186.93,189.22
1972-02-01,189.55,189.55,185.21,186.49
1972-03-01,186.44,187.86,180.24,187.86
1972-04-03,187.78,188.17,185.12,187.5
1972-05-01,187.3,188.02,186.82,187.6
1972-06-01,187.43,188.18,182.47,186.79
1972-07-03,186.79,186.98,185.36,185.66
1972-08-01,185.42,185.45,184.1,184.58
1972-09-01,184.61,184.97,183.86,183.86
1972-10-02,183.32,184.19,183.14,183.71
1972-11-01,183.84,184.61,183.3,184.52
1972-12-01,184.65,184.65,183.73,184.26
1973-01-01,183.9,186.98,183.71,186.93
1973-02-01,186.76,186.82,174.16,182.81
1973-03-01,185.55,187.01,176.67,183.03
1973-04-02,182.15,183.93,181.54,183
1973-05-01,183,191.95,181.96,191.8
1973-06-01,193.01,211.79,192.8,211.54
1973-07-02,216.1,228.48,215.14,221.75
1973-08-01,220.06,221.42,209.13,210.89
1973-09-03,211.78,217.28,211.51,215.16
1973-10-01,215.35,218.14,213.15,213.49
1973-11-01,215.62,220.68,205.21,208.88
1973-12-03,208.55,208.6,202.63,202.66
1974-01-01,198.9,212.69,198.5,211.62
1974-02-01,211.08,212.12,206.43,210.73
1974-03-01,212.91,214.57,207.58,213.3
1974-04-01,215.27,223.16,210.88,222.51
1974-05-01,222.38,226.68,214.24,218.48
1974-06-03,220.71,222.58,214.72,218.13
1974-07-01,217.77,228.38,217.77,226.52
1974-08-01,227.54,229,221.81,222.7
1974-09-02,222.74,223.15,216.8,220.05
1974-10-01,220.37,228.53,220.11,227.53
1974-11-01,228.97,240.4,228.83,237.27
1974-12-02,235.21,245.3,234.64,244.19
1975-01-01,243.66,251.49,243.21,249.13
1975-02-03,246.79,247.78,242.37,245.9
