time,open,high,low,close
1986-05-07,1.68799996,1.68799996,1.68799996,1.68799996
1986-05-08,1.68130004,1.68130004,1.68130004,1.68130004
1986-05-09,1.67359996,1.67359996,1.67359996,1.67359996
1986-05-12,1.65569997,1.65569997,1.65569997,1.65569997
1986-05-13,1.74580002,1.74580002,1.74580002,1.74580002
1986-05-14,1.73459995,1.73459995,1.73459995,1.73459995
1986-05-15,1.73280001,1.73280001,1.73280001,1.73280001
1986-05-16,1.75170004,1.75170004,1.75170004,1.75170004
1986-05-19,1.72319996,1.72319996,1.72319996,1.72319996
1986-05-20,1.71449995,1.71449995,1.71449995,1.71449995
1986-05-21,1.69980001,1.69980001,1.69980001,1.69980001
1986-05-22,1.70000005,1.70000005,1.70000005,1.70000005
1986-05-23,1.69959998,1.69959998,1.69959998,1.69959998
1986-05-27,1.70270002,1.70270002,1.70270002,1.70270002
1986-05-28,1.68449998,1.68449998,1.68449998,1.68449998
1986-05-29,1.65030003,1.65030003,1.65030003,1.65030003
1986-05-30,1.64209998,1.64209998,1.64209998,1.64209998
1986-06-02,1.67470002,1.67470002,1.67470002,1.67470002
1986-06-03,1.67449999,1.67449999,1.67449999,1.67449999
1986-06-04,1.70899999,1.70899999,1.70899999,1.70899999
1986-06-05,1.73319995,1.73319995,1.73319995,1.73319995
1986-06-06,1.70940006,1.70940006,1.70940006,1.70940006
1986-06-09,1.72790003,1.72790003,1.72790003,1.72790003
1986-06-10,1.72140002,1.72140002,1.72140002,1.72140002
1986-06-11,1.7349,1.7349,1.7349,1.7349
1986-06-12,1.76359999,1.76359999,1.76359999,1.76359999
1986-06-13,1.78569996,1.78569996,1.78569996,1.78569996
1986-06-16,1.79270005,1.79270005,1.79270005,1.79270005
1986-06-17,1.78470004,1.78470004,1.78470004,1.78470004
1986-06-18,1.78419995,1.78419995,1.78419995,1.78419995
1986-06-19,1.79550004,1.79550004,1.79550004,1.79550004
1986-06-20,1.79050004,1.79050004,1.79050004,1.79050004
1986-06-23,1.8132,1.8132,1.8132,1.8132
1986-06-24,1.80690002,1.80690002,1.80690002,1.80690002
1986-06-25,1.82630002,1.82630002,1.82630002,1.82630002
1986-06-26,1.82529998,1.82529998,1.82529998,1.82529998
1986-06-27,1.80330002,1.80330002,1.80330002,1.80330002
1986-06-30,1.78999996,1.78999996,1.78999996,1.78999996
1986-07-01,1.81799996,1.81799996,1.81799996,1.81799996
1986-07-02,1.82599998,1.82599998,1.82599998,1.82599998
1986-07-03,1.85689998,1.85689998,1.85689998,1.85689998
1986-07-07,1.83329999,1.83329999,1.83329999,1.83329999
1986-07-08,1.85160005,1.85160005,1.85160005,1.85160005
1986-07-09,1.83599997,1.83599997,1.83599997,1.83599997
1986-07-10,1.83060002,1.83060002,1.83060002,1.83060002
1986-07-11,1.83809996,1.83809996,1.83809996,1.83809996
1986-07-14,1.84109998,1.84109998,1.84109998,1.84109998
1986-07-15,1.85360003,1.85360003,1.85360003,1.85360003
1986-07-16,1.85529995,1.85529995,1.85529995,1.85529995
1986-07-17,1.84660006,1.84660006,1.84660006,1.84660006
1986-07-18,1.86969995,1.86969995,1.86969995,1.86969995
1986-07-21,1.83399999,1.83399999,1.83399999,1.83399999
1986-07-22,1.83399999,1.83399999,1.83399999,1.83399999
1986-07-23,1.84669995,1.84669995,1.84669995,1.84669995
1986-07-24,1.85599995,1.85599995,1.85599995,1.85599995
1986-07-25,1.90810001,1.90810001,1.90810001,1.90810001
1986-07-28,1.89810002,1.89810002,1.89810002,1.89810002
1986-07-29,1.89090002,1.89090002,1.89090002,1.89090002
1986-07-30,1.94649994,1.94649994,1.94649994,1.94649994
1986-07-31,1.93910003,1.93910003,1.93910003,1.93910003
1986-08-01,1.94640005,1.94640005,1.94640005,1.94640005
1986-08-04,1.94659996,1.94659996,1.94659996,1.94659996
1986-08-05,1.96220005,1.96220005,1.96220005,1.96220005
1986-08-06,1.95729995,1.95729995,1.95729995,1.95729995
1986-08-07,1.95739996,1.95739996,1.95739996,1.95739996
1986-08-08,2.01699996,2.01699996,2.01699996,2.01699996
1986-08-11,2.05130005,2.05130005,2.05130005,2.05130005
1986-08-12,2.05029988,2.05029988,2.05029988,2.05029988
1986-08-13,2.03509998,2.03509998,2.03509998,2.03509998
1986-08-14,2.03049994,2.03049994,2.03049994,2.03049994
1986-08-15,2.05229998,2.05229998,2.05229998,2.05229998
1986-08-18,2.05220008,2.05220008,2.05220008,2.05220008
1986-08-19,2.03130007,2.03130007,2.03130007,2.03130007
1986-08-20,2.04469991,2.04469991,2.04469991,2.04469991
1986-08-21,2.11389995,2.11389995,2.11389995,2.11389995
1986-08-22,2.10339999,2.10339999,2.10339999,2.10339999
1986-08-25,2.10710001,2.10710001,2.10710001,2.10710001
1986-08-26,2.09060001,2.09060001,2.09060001,2.09060001
1986-08-27,2.0697999,2.0697999,2.0697999,2.0697999
1986-08-28,2.07620001,2.07620001,2.07620001,2.07620001
1986-08-29,2.12310004,2.12310004,2.12310004,2.12310004
1986-09-02,2.12350011,2.12350011,2.12350011,2.12350011
1986-09-03,2.1157999,2.1157999,2.1157999,2.1157999
1986-09-04,2.13249993,2.13249993,2.13249993,2.13249993
1986-09-05,2.12019992,2.12019992,2.12019992,2.12019992
1986-09-08,2.12709999,2.12709999,2.12709999,2.12709999
1986-09-09,2.14159989,2.14159989,2.14159989,2.14159989
1986-09-10,2.14229989,2.14229989,2.14229989,2.14229989
1986-09-11,2.13709998,2.13709998,2.13709998,2.13709998
1986-09-12,2.1243,2.1243,2.1243,2.1243
1986-09-15,2.13910007,2.13910007,2.13910007,2.13910007
1986-09-16,2.15709996,2.15709996,2.15709996,2.15709996
1986-09-17,2.19679999,2.19679999,2.19679999,2.19679999
1986-09-18,2.20379996,2.20379996,2.20379996,2.20379996
1986-09-19,2.16619992,2.16619992,2.16619992,2.16619992
1986-09-22,2.14650011,2.14650011,2.14650011,2.14650011
1986-09-23,2.11750007,2.11750007,2.11750007,2.11750007
1986-09-24,2.11490011,2.11490011,2.11490011,2.11490011
1986-09-25,2.1250999,2.1250999,2.1250999,2.1250999
1986-09-26,2.11820006,2.11820006,2.11820006,2.11820006
1986-09-29,2.08870006,2.08870006,2.08870006,2.08870006
1986-09-30,2.10279989,2.10279989,2.10279989,2.10279989
1986-10-01,2.11630011,2.11630011,2.11630011,2.11630011
1986-10-02,2.06850004,2.06850004,2.06850004,2.06850004
1986-10-03,2.0625,2.0625,2.0625,2.0625
1986-10-06,2.0474,2.0474,2.0474,2.0474
1986-10-07,2.05430007,2.05430007,2.05430007,2.05430007
1986-10-08,2.0611999,2.0611999,2.0611999,2.0611999
1986-10-09,2.0395,2.0395,2.0395,2.0395
1986-10-10,2.04900002,2.04900002,2.04900002,2.04900002
1986-10-14,2.08710003,2.08710003,2.08710003,2.08710003
1986-10-15,2.09540009,2.09540009,2.09540009,2.09540009
1986-10-16,2.08850002,2.08850002,2.08850002,2.08850002
1986-10-17,2.09699988,2.09699988,2.09699988,2.09699988
1986-10-20,2.07640004,2.07640004,2.07640004,2.07640004
1986-10-21,2.08430004,2.08430004,2.08430004,2.08430004
1986-10-22,2.05419993,2.05419993,2.05419993,2.05419993
1986-10-23,2.01659989,2.01659989,2.01659989,2.01659989
1986-10-24,1.99469995,1.99469995,1.99469995,1.99469995
