time,open,high,low,close
1986-05-01,1.68799996,1.75170004,1.64209998,1.64209998
1986-06-02,1.67470002,1.82630002,1.67449999,1.78999996
1986-07-01,1.81799996,1.94649994,1.81799996,1.93910003
1986-08-01,1.94640005,2.12310004,1.94640005,2.12310004
1986-09-01,2.12350011,2.20379996,2.08870006,2.10279989
1986-10-01,2.11630011,2.11630011,1.98759997,1.98759997
1986-11-03,2.00300002,2.06340003,1.97640002,2.06340003
1986-12-01,2.10890007,2.10890007,1.98409998,2.04769993
1987-01-01,2.03789997,2.1500001,1.99150002,2.07789993
1987-02-02,2.09739995,2.10640001,2.02629995,2.02629995
1987-03-02,2.01119995,2.04509997,1.95389998,2.02329993
1987-04-01,1.98749995,2.01430011,1.96759999,1.9921
1987-05-01,2.02990007,2.03769994,1.972,1.98140001
1987-06-01,1.9684,2.0065999,1.8987,1.91299999
1987-07-01,1.90199995,1.972,1.82449996,1.96879995
1987-08-03,1.92130005,1.92789996,1.87100005,1.87899995
1987-09-01,1.87969995,1.87969995,1.7155,1.7155
1987-10-01,1.7507,2.04430008,1.72019994,1.99870002
1987-11-02,2.02320004,2.02320004,1.94070005,1.94070005
1987-12-01,1.92610002,1.99440002,1.92180002,1.99440002
1988-01-01,1.97379994,1.97379994,1.83449996,1.84940004
1988-02-01,1.8398,1.85609996,1.80649996,1.84599996
1988-03-01,1.86119998,1.94790006,1.82850003,1.91919994
1988-04-01,1.92019999,1.92089999,1.8405,1.8405
1988-05-02,1.8362,1.8362,1.73249996,1.73249996
1988-06-01,1.71249998,1.74030006,1.62460005,1.68840003
1988-07-01,1.69509995,1.73609996,1.64489996,1.67820001
1988-08-01,1.67980003,1.8362,1.61909997,1.82599998
1988-09-01,1.83519995,1.85599995,1.78369999,1.81410003
1988-10-03,1.82070005,1.86839998,1.79279995,1.85599995
1988-11-01,1.86240005,1.86899996,1.82019997,1.83179998
1988-12-01,1.85899997,1.91830003,1.83140004,1.86549997
1989-01-02,1.85239995,1.86339998,1.78429997,1.85220003
1989-02-01,1.82710004,1.84819996,1.80120003,1.83080006
1989-03-01,1.83130002,1.83239996,1.78240001,1.78729999
1989-04-03,1.79970002,1.83659995,1.79659998,1.79750001
1989-05-01,1.7859,1.79200006,1.74119997,1.79200006
1989-06-01,1.78620005,1.84619999,1.78620005,1.84619999
1989-07-03,1.86189997,1.93009996,1.86189997,1.8937
1989-08-01,1.89670002,1.89670002,1.78320003,1.78320003
1989-09-01,1.76760006,1.86800003,1.76619995,1.86800003
1989-10-02,1.87510002,1.90190005,1.84019995,1.89569998
1989-11-01,1.89020002,1.94190001,1.875,1.93729997
1989-12-01,1.92799997,2.01279998,1.92799997,2.00640011
1990-01-01,1.98870003,2.03780007,1.9303,2.01239991
1990-02-01,2.02250004,2.0854001,2.01399994,2.04399991
1990-03-01,2.02460003,2.0862999,2.01819992,2.079
1990-04-02,2.07509995,2.12310004,2.06340003,2.11789989
1990-05-01,2.13610005,2.1809001,2.09840012,2.10080004
1990-06-01,2.09750009,2.11929989,2.08109999,2.10089993
1990-07-02,2.10759997,2.20539999,2.09910011,2.19700003
