time,open,high,low,close
1971-01-01,0.5368,0.5387,0.5365,0.5386
1971-02-01,0.5384,0.5387,0.5378,0.5378
1971-03-01,0.5383,0.5388,0.5382,0.5387
1971-04-01,0.5387,0.5388,0.5369,0.5384
1971-05-03,0.5387,0.5585,0.5387,0.5512
1971-06-01,0.548,0.5596,0.548,0.5592
1971-07-01,0.559,0.5653,0.5586,0.5652
1971-08-02,0.5651,0.5776,0.5651,0.5754
1971-09-01,0.5757,0.5907,0.5757,0.5897
1971-10-01,0.5891,0.59,0.5858,0.5858
1971-11-01,0.5865,0.5911,0.5841,0.5906
1971-12-01,0.5919,0.6018,0.5919,0.5982
1972-01-03,0.5978,0.6098,0.5975,0.6093
1972-02-01,0.6107,0.6196,0.6106,0.6147
1972-03-01,0.6149,0.6197,0.5966,0.6173
1972-04-03,0.6174,0.6174,0.6121,0.615
1972-05-01,0.6153,0.6161,0.6137,0.6157
1972-06-01,0.6157,0.6219,0.6128,0.6207
1972-07-03,0.6209,0.6211,0.6156,0.616
1972-08-01,0.6156,0.6157,0.6114,0.613
1972-09-01,0.6131,0.6143,0.6106,0.6106
1972-10-02,0.6088,0.6117,0.6084,0.6101
1972-11-01,0.6107,0.6134,0.6094,0.6133
1972-12-01,0.6125,0.6125,0.6102,0.6108
1973-01-01,0.61,0.6207,0.6085,0.6204
1973-02-01,0.6189,0.6902,0.6189,0.6881
1973-03-01,0.6986,0.7119,0.688,0.6882
1973-04-02,0.6847,0.6929,0.6839,0.6892
1973-05-01,0.6892,0.7252,0.6853,0.7246
1973-06-01,0.7309,0.8048,0.7301,0.8038
1973-07-02,0.8147,0.8644,0.8126,0.8417
1973-08-01,0.8353,0.8365,0.7883,0.7946
1973-09-03,0.7978,0.8187,0.7968,0.8101
1973-10-01,0.8108,0.8191,0.7989,0.7997
1973-11-01,0.7978,0.7995,0.7334,0.7457
1973-12-03,0.7445,0.7447,0.723,0.7231
1974-01-01,0.7083,0.7109,0.6773,0.7083
1974-02-01,0.7063,0.7363,0.7062,0.7306
1974-03-01,0.729,0.7819,0.7289,0.7726
1974-04-01,0.7685,0.7989,0.7575,0.7957
1974-05-01,0.7959,0.8165,0.7659,0.7749
1974-06-03,0.778,0.7895,0.7571,0.7674
1974-07-01,0.7633,0.7799,0.7559,0.7595
1974-08-01,0.7595,0.7618,0.7342,0.7351
1974-09-02,0.7359,0.7396,0.7312,0.7376
1974-10-01,0.7391,0.7651,0.7387,0.7586
1974-11-01,0.762,0.8022,0.7617,0.7901
1974-12-02,0.783,0.8161,0.7821,0.8112
1975-01-01,0.8104,0.8498,0.8089,0.8361
1975-02-03,0.8297,0.8587,0.8214,0.8584
1975-03-03,0.859,0.8592,0.8308,0.8339
1975-04-01,0.8369,0.8369,0.8155,0.822
1975-05-01,0.8224,0.8427,0.8208,0.8352
1975-06-02,0.8363,0.84,0.8288,0.8297
1975-07-01,0.8266,0.8269,0.7614,0.7616
1975-08-01,0.7618,0.7666,0.7545,0.7571
1975-09-01,0.7576,0.7596,0.732,0.7384
1975-10-01,0.7496,0.7655,0.7432,0.7647
1975-11-03,0.7656,0.7657,0.7449,0.7452
1975-12-01,0.7479,0.7502,0.741,0.7466
1976-01-01,0.7468,0.7557,0.7467,0.7556
1976-02-02,0.7616,0.7719,0.7592,0.7614
1976-03-01,0.7583,0.7735,0.758,0.7697
1976-04-01,0.7739,0.7741,0.768,0.7712
1976-05-03,0.7717,0.7723,0.7543,0.7546
1976-06-01,0.7534,0.7618,0.7534,0.7596
1976-07-01,0.7589,0.7692,0.7576,0.7691
1976-08-02,0.7711,0.7802,0.7678,0.7737
1976-09-01,0.7759,0.8036,0.7751,0.8034
1976-10-01,0.7993,0.8165,0.7952,0.815
1976-11-01,0.8111,0.8149,0.8073,0.8132
1976-12-01,0.8099,0.8306,0.8099,0.8286
1977-01-03,0.8344,0.8355,0.8046,0.8124
1977-02-01,0.8092,0.8189,0.8073,0.8188
1977-03-01,0.8176,0.8199,0.8153,0.8181
1977-04-01,0.8176,0.8308,0.8175,0.8305
1977-05-02,0.8302,0.8341,0.8243,0.8291
1977-06-01,0.8296,0.8363,0.8281,0.8356
1977-07-01,0.8357,0.8709,0.8357,0.854
1977-08-01,0.8505,0.8537,0.8359,0.8439
1977-09-01,0.8437,0.8471,0.839,0.8436
1977-10-03,0.8537,0.8693,0.8496,0.8691
1977-11-01,0.8733,0.8834,0.8649,0.8798
1977-12-01,0.8838,0.9329,0.8835,0.9326
1978-01-02,0.9357,0.9477,0.9079,0.9261
1978-02-01,0.9247,0.9705,0.9245,0.9703
1978-03-01,0.9683,0.979,0.9493,0.9788
1978-04-03,0.9742,0.9746,0.939,0.943
1978-05-01,0.9446,0.9452,0.9166,0.9327
1978-06-01,0.9357,0.944,0.9333,0.9439
1978-07-03,0.9468,0.9597,0.9447,0.9596
1978-08-01,0.9582,1.0055,0.9577,0.9835
1978-09-01,0.9886,1.0112,0.9752,1.0084
1978-10-02,1.0108,1.1348,1.0092,1.1148
1978-11-01,1.0519,1.0522,1.0019,1.0143
1978-12-01,1.0113,1.0746,1.0112,1.0745
1979-01-01,1.0746,1.0761,1.0433,1.0437
1979-02-01,1.0388,1.0637,1.037,1.0558
1979-03-01,1.0544,1.0568,1.0468,1.047
1979-04-02,1.0382,1.0392,1.0264,1.0302
1979-05-01,1.0319,1.0326,1.0183,1.0246
1979-06-01,1.02,1.0649,1.0199,1.0648
1979-07-02,1.0619,1.0834,1.0617,1.0667
1979-08-01,1.0693,1.0734,1.0668,1.0719
1979-09-03,1.073,1.1271,1.0724,1.1231
1979-10-01,1.1254,1.1261,1.0791,1.0844
1979-11-01,1.0882,1.1322,1.0865,1.1313
1979-12-03,1.1448,1.145,1.1148,1.1336
1980-01-01,1.1436,1.1459,1.1215,1.1222
1980-02-01,1.1215,1.1285,1.1006,1.1008
1980-03-03,1.0969,1.0969,0.9996,1.0009
1980-04-01,0.9941,1.0899,0.9894,1.0865
1980-05-01,1.0852,1.1097,1.0725,1.1006
1980-06-02,1.0969,1.1157,1.0967,1.1089
1980-07-01,1.1113,1.1279,1.0942,1.0963
1980-08-01,1.0916,1.1058,1.0817,1.0922
1980-09-01,1.0992,1.1016,1.0781,1.0787
1980-10-01,1.0816,1.0871,1.0248,1.0255
1980-11-03,1.0227,1.0357,0.9988,1.0153
1980-12-01,1.0081,1.0088,0.9675,0.9908
1981-01-01,0.9904,1.0107,0.9173,0.9174
1981-02-02,0.9204,0.9402,0.8801,0.9181
1981-03-02,0.9069,0.9573,0.9049,0.9267
1981-04-01,0.933,0.9337,0.8837,0.8844
1981-05-01,0.8874,0.8878,0.8336,0.8391
1981-06-01,0.8347,0.8376,0.8085,0.8166
1981-07-01,0.8113,0.8144,0.7888,0.7902
1981-08-03,0.7729,0.8003,0.76,0.7967
1981-09-01,0.7972,0.877,0.7963,0.8415
1981-10-01,0.8424,0.8957,0.8419,0.8748
1981-11-02,0.8779,0.8879,0.8657,0.8857
1981-12-01,0.8793,0.8823,0.8533,0.8741
1982-01-01,0.8736,0.8746,0.8365,0.8434
1982-02-01,0.8321,0.8354,0.8152,0.8179
1982-03-01,0.819,0.8347,0.809,0.8098
1982-04-01,0.8143,0.839,0.8066,0.839
1982-05-03,0.8363,0.8574,0.833,0.8331
1982-06-01,0.823,0.8283,0.7844,0.7938
1982-07-01,0.794,0.8202,0.778,0.7941
1982-08-02,0.8023,0.8088,0.7748,0.784
1982-09-01,0.7865,0.7932,0.7691,0.773
1982-10-01,0.7751,0.7857,0.7634,0.7637
1982-11-01,0.7672,0.7942,0.7534,0.7938
1982-12-01,0.7929,0.8258,0.7892,0.8231
1983-01-03,0.8247,0.8388,0.7895,0.7921
1983-02-01,0.7921,0.819,0.784,0.8023
1983-03-01,0.8007,0.8243,0.8007,0.8048
1983-04-01,0.8057,0.8115,0.7929,0.7932
1983-05-02,0.7944,0.8034,0.7708,0.7734
1983-06-01,0.7669,0.7766,0.7601,0.7694
1983-07-01,0.7696,0.7696,0.7384,0.7384
