time,open,high,low,close
2007-01-26,129.01,129.18,128.94,129.12
2007-01-29,129.15,129.55,129.12,129.54
2007-01-30,129.59,129.78,129.48,129.62
2007-01-31,129.46,130.27,129.33,130.27
2007-02-01,130.17,130.31,130.12,130.28
2007-02-02,130.25,130.45,129.53,129.61
2007-02-05,129.25,129.36,129.16,129.26
2007-02-06,129.81,129.81,129.81,129.81
2007-02-07,129.87,130.2,129.87,130.09
2007-02-08,129.87,130.37,129.81,130.34
2007-02-09,130.03,130.13,129.87,130.13
2007-02-12,129.49,129.67,129.49,129.61
2007-02-13,130.15,130.39,130.12,130.3
2007-02-14,130.77,131.47,130.77,131.26
2007-02-15,131.31,131.65,131.29,131.35
2007-02-16,131.24,131.4,131.02,131.34
2007-02-20,131.38,131.53,131.32,131.35
2007-02-21,131.31,131.51,131.18,131.42
2007-02-22,130.96,131.38,130.96,131.29
2007-02-23,131.11,131.83,131.11,131.69
2007-02-26,131.55,131.8,131.55,131.79
2007-02-27,132.15,132.57,132.15,132.44
2007-02-28,131.97,132.32,131.97,132.32
2007-03-01,132.18,132.31,131.62,131.91
2007-03-02,131.67,132,131.59,131.94
2007-03-05,131,131.09,130.82,130.95
2007-03-06,131.11,131.18,130.91,131.17
2007-03-07,131.29,131.75,131.29,131.75
2007-03-08,131.59,131.62,131.21,131.31
2007-03-09,131.52,131.56,130.91,131.13
2007-03-12,131.73,131.89,131.49,131.8
2007-03-13,131.86,132.17,131.82,132.09
2007-03-14,131.83,132.4,131.83,132.27
2007-03-15,132.15,132.48,132.11,132.34
2007-03-16,133.29,133.37,133.04,133.12
2007-03-19,132.91,133.07,132.86,132.96
2007-03-20,132.94,133.17,132.83,133.13
2007-03-21,132.98,133.76,132.92,133.76
2007-03-22,133.65,133.72,133.12,133.31
2007-03-23,133.13,133.34,132.87,132.9
2007-03-26,132.72,133.42,132.61,133.33
2007-03-27,133.43,133.59,133.33,133.48
2007-03-28,133.43,133.69,133.27,133.27
2007-03-29,133.46,133.48,133.23,133.35
2007-03-30,133.11,133.94,132.91,133.66
2007-04-02,133.59,133.78,133.59,133.69
2007-04-03,133.63,133.73,133.26,133.33
2007-04-04,133.48,133.79,133.46,133.71
2007-04-05,134.35,134.35,134.23,134.24
2007-04-09,133.72,133.77,133.44,133.57
2007-04-10,134.16,134.52,134.16,134.27
2007-04-11,134.25,134.39,134.15,134.21
2007-04-12,134.61,134.99,134.53,134.85
2007-04-13,135.46,135.51,134.99,135.36
2007-04-16,135.55,135.55,135.42,135.49
2007-04-17,135.43,135.92,135.43,135.65
2007-04-18,135.96,135.96,135.67,135.73
2007-04-19,135.91,136.12,135.86,136
2007-04-20,136.03,136.11,135.89,135.98
2007-04-23,135.65,135.8,135.5,135.7
2007-04-24,135.83,136.29,135.76,136.22
2007-04-25,136.5,136.6,136.29,136.42
2007-04-26,136.1,136.1,135.91,136.09
2007-04-27,136.42,136.79,136.05,136.34
2007-04-30,136.14,136.77,136.07,136.61
2007-05-01,136.47,136.71,135.96,136.1
2007-05-02,135.75,136.08,135.72,135.97
2007-05-03,136.07,136.14,135.53,135.53
2007-05-04,135.63,136.08,135.59,135.96
2007-05-07,136.11,136.25,136.05,136.12
2007-05-08,135.57,135.63,135.17,135.42
2007-05-09,135.34,135.59,135.31,135.31
2007-05-10,135.3,135.33,134.72,134.82
2007-05-11,134.87,135.27,134.82,135.27
2007-05-14,135.55,135.57,135.36,135.46
2007-05-15,135.37,136.05,135.34,135.94
2007-05-16,135.92,135.92,135.11,135.18
2007-05-17,135.15,135.23,134.81,134.97
2007-05-18,134.87,135.17,134.72,135.09
2007-05-21,134.43,134.68,134.4,134.65
2007-05-22,134.45,134.72,134.45,134.54
2007-05-23,134.64,135.02,134.53,134.57
2007-05-24,134.41,134.58,134.19,134.4
2007-05-25,134.73,134.75,134.15,134.49
2007-05-29,134.87,135.16,134.47,134.53
2007-05-30,134.25,134.38,134.15,134.23
2007-05-31,134.48,134.75,134.41,134.52
2007-06-01,134.48,134.72,133.92,134.45
2007-06-04,134.63,134.96,134.63,134.85
2007-06-05,135.16,135.53,135.13,135.24
2007-06-06,135.06,135.23,134.84999,135.06
2007-06-07,134.78,134.78,134.21999,134.26999
2007-06-08,133.75,133.75,133.45,133.73999
2007-06-11,133.62,133.62,133.37,133.56
2007-06-12,133.33,133.33,133.07999,133.09999
2007-06-13,133.09999,133.17,132.87,133.09999
2007-06-14,133.09999,133.25,132.93999,133.09999
2007-06-15,133.28999,133.87,133.28999,133.81999
2007-06-18,133.93999,134.16,133.93999,134.10999
2007-06-19,134.10999,134.28999,133.98999,134.28
2007-06-20,134.28,134.31,133.96999,134.00999
2007-06-21,134.00999,134.05,133.85999,133.92999
2007-06-22,134.18999,134.69,134.18999,134.68999
2007-06-25,134.68999,134.74001,134.42999,134.62999
2007-06-26,134.62999,134.75999,134.56999,134.59999
2007-06-27,134.49001,134.49001,134.28999,134.48
2007-06-28,134.48,134.73,134.23999,134.37
2007-06-29,135.03,135.41,135.03,135.35999
2007-07-02,135.93999,136.39,135.93999,136.21999
2007-07-03,136.21999,136.24001,135.98,136.12999
2007-07-05,136.12999,136.14999,135.78999,135.98999
2007-07-06,135.98999,136.42,135.98999,136.25999
2007-07-09,136.25999,136.35001,136.17,136.23999
2007-07-10,136.82999,137.44,136.82999,137.42
