time,open,high,low,close
2007-01-03,129.01,130.27,128.94,130.27
2007-02-01,130.17,132.57,129.16,132.32
2007-03-01,132.18,133.94,130.82,133.66
2007-04-02,133.59,136.79,133.26,136.61
2007-05-01,136.47,136.71,134.15,134.52
2007-06-01,134.48,135.53,132.87,135.35999
2007-07-02,135.93999,138.44,135.78999,136.82999
2007-08-01,136.82999,138.25999,133.79999,136.25
2007-09-04,136.17999,142.78999,135.59,142.64
2007-10-01,142.48,145.05,140.28,144.84
2007-11-01,144.8,148.84,144.03999,146.34999
2007-12-03,146.48,147.67999,143.15999,145.89
2008-01-02,146.43999,149.22,145.28999,148.56999
2008-02-01,148.56999,152.3,144.39999,151.89999
2008-03-03,151.89999,158.97,151.57999,157.89
2008-04-01,156.25,160.2,155.39,156.26999
2008-05-01,154.88,157.95,153.67,155.56999
2008-06-02,155.56999,157.92999,153.14,157.48999
2008-07-01,157.48999,160.19,155.21999,156.00999
2008-08-01,155.89,156.31,146.17999,146.78
2008-09-02,145.48,148.66,138.81999,140.84999
2008-10-01,140.84999,140.91,123.93999,127.42999
2008-11-03,127.42999,131.17999,124.34,126.93999
2008-12-01,126.89999,145.03999,125.89,139.78
2009-01-02,139.78,139.85001,127.7,128.17999
2009-02-02,128.17999,130.86,125.14,126.70999
2009-03-02,126.25,137.35001,125.00999,132.48999
2009-04-01,132.48999,135.12,128.93999,132.21999
2009-05-01,132.45,141.64,132.45,141.56
2009-06-01,141.56,143.31,137.56999,140.34999
2009-07-01,140.68999,142.89999,138.34,142.56999
2009-08-03,143.00999,144.46001,140.46999,143.34999
2009-09-01,143.34999,148.39,141.76999,146.31
2009-10-01,145.74001,150.47,144.87,147.12
2009-11-02,147.28999,151.44,146.31999,150.06999
2009-12-01,150.59,151.37,142.2,143.25999
2010-01-04,143.89,145.75999,138.62,138.62
2010-02-01,138.95,139.74001,134.60999,136.29999
2010-03-01,135.78,137.82001,132.68999,135.09999
2010-04-01,135.09999,136.77,131.17,132.96999
2010-05-03,132.45,132.45,121.65999,122.73
2010-06-01,122.73,125.8,119.13,122.36
2010-07-01,123.24001,131.03999,123.24001,130.50999
2010-08-02,130.67999,133.34,125.91,126.86
2010-09-01,127.92,136.8,126.77,136.3
2010-10-01,137.17999,141.50999,136.74001,139.16
2010-11-01,139.16,142.81,129.72,129.84
2010-12-01,130.53,134.72,130.53,133.91
2011-01-03,133.91,137.53999,128.91,136.97
2011-02-01,137.28999,138.53,134.31,138.03999
2011-03-01,138.03999,142.44,137.60001,141.67
2011-04-01,141.67,148.78,140.62,148.05
2011-05-02,148.17,149.39999,139.87,143.96001
2011-06-01,143.96001,146.97,140.75,145.08
2011-07-01,145.08,145.34,139.5,144.03
2011-08-01,144.03,145.46001,140.89999,143.78999
2011-09-01,143.14,143.14,133.84,133.88
2011-10-03,133.59,142.47,131.64,138.60001
2011-11-01,137.64,138.67999,132.13,134.41
2011-12-01,134.42999,135.48,128.7,129.61
2012-01-03,130.12,132.34,126.24001,130.82001
2012-02-01,131.46001,134.86,129.77,133.32001
2012-03-01,133.32001,133.67999,130.11,133.42
2012-04-02,133.38,133.46001,130.16,132.41
2012-05-01,132.41,132.84,123.37,123.61
2012-06-01,123.61,127.42999,122.88,126.64999
2012-07-02,126.06,126.25999,120.42,123.02
2012-08-01,123.02,126.38,121.34,125.78999
2012-09-04,125.78999,131.72,125.48,128.59
2012-10-01,128.75999,131.39,128.59,129.58
2012-11-01,129.58,130.24001,126.72,129.88
2012-12-03,130.33,133.08,128.77,131.95
2013-01-02,131.95,135.94,130.03999,135.78999
2013-02-01,135.86,137.11,130.37,130.56
2013-03-01,130.42,131.17999,127.50999,128.17999
2013-04-01,128.17999,132.02,127.47,131.67
2013-05-01,131.69,132.42999,127.96001,129.98
2013-06-03,129.98,134.16,129.56,130.14999
2013-07-01,130.14999,133.45,127.55,133.02
2013-08-01,132.67,134.52,131.75,132.23
2013-09-03,131.78999,135.65,131.11,135.27
2013-10-01,135.42,138.25,134.73,135.85
2013-11-01,135.11,136.18,132.95,135.89
2013-12-02,135.4,138.47,135.28,137.56
2014-01-02,136.48,136.99,134.79,134.85
2014-02-03,134.93,138.24,134.84,137.99
2014-03-03,137.71,139.58,137.08,137.72
2014-04-01,137.9,139.01,136.73,138.67
2014-05-01,138.75,139.93,135.89,136.37
2014-06-02,136.11,136.98,135.03,136.92
2014-07-01,136.88,137,133.67,133.89
2014-08-01,134,134.45,131.32,131.36
2014-09-02,131.37,131.54,125.77,126.3
2014-10-01,125.95,128.86,124.86,125.2
2014-11-03,124.94,125.99,123.59,124.45
2014-12-01,124.68,125.56,120.94,121
2015-01-02,120.38,120.48,111.66,112.87
2015-02-02,113.15,115.34,111.75,111.97
2015-03-02,112.2,112.35,104.62,107.37
2015-04-01,107.47,112.66,105.4,112.2
2015-05-01,112.61,114.69,108.15,109.88
