time,open,high,low,close
1975-01-02,1.7613,1.7613,1.7613,1.7613
1975-01-03,1.7682,1.7682,1.7682,1.7682
1975-01-06,1.7726,1.7726,1.7726,1.7726
1975-01-07,1.7706,1.7706,1.7706,1.7706
1975-01-08,1.7661,1.7661,1.7661,1.7661
1975-01-09,1.7697,1.7697,1.7697,1.7697
1975-01-10,1.7714,1.7714,1.7714,1.7714
1975-01-13,1.7723,1.7723,1.7723,1.7723
1975-01-14,1.7665,1.7665,1.7665,1.7665
1975-01-15,1.7727,1.7727,1.7727,1.7727
1975-01-16,1.7717,1.7717,1.7717,1.7717
1975-01-17,1.7712,1.7712,1.7712,1.7712
1975-01-20,1.7729,1.7729,1.7729,1.7729
1975-01-21,1.7748,1.7748,1.7748,1.7748
1975-01-22,1.7937,1.7937,1.7937,1.7937
1975-01-23,1.7827,1.7827,1.7827,1.7827
1975-01-24,1.7822,1.7822,1.7822,1.7822
1975-01-27,1.7903,1.7903,1.7903,1.7903
1975-01-28,1.7677,1.7677,1.7677,1.7677
1975-01-29,1.7667,1.7667,1.7667,1.7667
1975-01-30,1.7741,1.7741,1.7741,1.7741
1975-01-31,1.7791,1.7791,1.7791,1.7791
1975-02-03,1.7725,1.7725,1.7725,1.7725
1975-02-04,1.7709,1.7709,1.7709,1.7709
1975-02-05,1.7725,1.7725,1.7725,1.7725
1975-02-06,1.7708,1.7708,1.7708,1.7708
1975-02-07,1.7719,1.7719,1.7719,1.7719
1975-02-10,1.7782,1.7782,1.7782,1.7782
1975-02-11,1.7675,1.7675,1.7675,1.7675
1975-02-12,1.7718,1.7718,1.7718,1.7718
1975-02-13,1.7725,1.7725,1.7725,1.7725
1975-02-14,1.771,1.771,1.771,1.771
1975-02-17,1.7731,1.7731,1.7731,1.7731
1975-02-18,1.7733,1.7733,1.7733,1.7733
1975-02-19,1.7756,1.7756,1.7756,1.7756
1975-02-20,1.7755,1.7755,1.7755,1.7755
1975-02-21,1.7739,1.7739,1.7739,1.7739
1975-02-24,1.7849,1.7849,1.7849,1.7849
1975-02-25,1.7682,1.7682,1.7682,1.7682
1975-02-26,1.7789,1.7789,1.7789,1.7789
1975-02-27,1.7771,1.7771,1.7771,1.7771
1975-02-28,1.7773,1.7773,1.7773,1.7773
1975-03-03,1.7803,1.7803,1.7803,1.7803
1975-03-04,1.775,1.775,1.775,1.775
1975-03-05,1.7788,1.7788,1.7788,1.7788
