time,open,high,low,close
1975-01-01,1.7613,1.7937,1.7613,1.7791
1975-02-03,1.7725,1.7849,1.7675,1.7773
1975-03-03,1.7803,1.7821,1.7633,1.7749
1975-04-01,1.7855,1.7855,1.7507,1.7542
1975-05-01,1.7494,1.7494,1.7141,1.725
1975-06-02,1.7257,1.728,1.6477,1.6477
1975-07-01,1.6728,1.6731,1.6541,1.6579
1975-08-01,1.6576,1.6576,1.6275,1.6493
1975-09-01,1.6542,1.6542,1.6183,1.6266
1975-10-01,1.621,1.635,1.616,1.635
1975-11-03,1.63,1.6311,1.604,1.604
1975-12-01,1.6053,1.612,1.6053,1.6092
1976-01-01,1.6098,1.6161,1.6049,1.6117
1976-02-02,1.6114,1.6114,1.6017,1.6063
1976-03-01,1.6048,1.6068,1.5337,1.5337
1976-04-01,1.5108,1.5108,1.4738,1.4858
1976-05-03,1.4746,1.4809,1.4306,1.4306
1976-06-01,1.4256,1.4444,1.396,1.4439
1976-07-01,1.4496,1.4565,1.4336,1.438
1976-08-02,1.4396,1.4443,1.4202,1.425
1976-09-01,1.4235,1.4235,1.3447,1.348
1976-10-01,1.3408,1.3488,1.2781,1.2942
1976-11-01,1.2945,1.6327,1.2945,1.6327
1976-12-01,1.6437,1.6461,1.5486,1.5654
1977-01-03,1.5677,1.5825,1.5646,1.5778
1977-02-01,1.5767,1.5856,1.556,1.5617
1977-03-01,1.5617,1.5657,1.5572,1.5593
1977-04-01,1.558,1.5599,1.5483,1.5567
1977-05-02,1.5573,1.5589,1.5538,1.5571
1977-06-01,1.5576,1.5576,1.5422,1.5422
1977-07-01,1.5423,1.5479,1.5281,1.5479
1977-08-01,1.5486,1.5811,1.5486,1.5772
1977-09-01,1.577,1.581,1.577,1.5776
1977-10-03,1.5737,1.6308,1.5688,1.6308
1977-11-01,1.626,1.626,1.6,1.6112
1977-12-01,1.6119,1.6808,1.61,1.6808
1978-01-02,1.7061,1.715,1.652,1.715
1978-02-01,1.7124,1.7207,1.6949,1.7038
1978-03-01,1.699,1.7026,1.6324,1.6329
1978-04-03,1.6265,1.6404,1.6051,1.6077
1978-05-01,1.6153,1.6178,1.6048,1.6178
1978-06-01,1.6124,1.6248,1.6029,1.6214
1978-07-03,1.6237,1.6754,1.6237,1.6664
1978-08-01,1.6616,1.7039,1.6616,1.687
1978-09-01,1.6919,1.7127,1.6821,1.7062
1978-10-02,1.7034,1.7663,1.7034,1.7588
1978-11-01,1.7212,1.7239,1.6975,1.7135
1978-12-01,1.7077,1.7749,1.7077,1.7749
1979-01-01,1.7748,1.7748,1.7493,1.7587
1979-02-01,1.7536,1.7934,1.753,1.7934
1979-03-01,1.795,1.8481,1.795,1.8481
1979-04-02,1.8534,1.8885,1.848,1.8761
1979-05-01,1.8717,1.8878,1.8386,1.8729
1979-06-01,1.8724,1.9381,1.8643,1.9381
1979-07-02,1.9546,2.0521,1.9546,2.0006
1979-08-01,2.0111,2.0111,1.9609,1.9984
1979-09-03,1.9945,1.9945,1.9113,1.951
1979-10-01,1.9427,1.9456,1.883,1.8942
1979-11-01,1.8949,2.0077,1.8774,2.0077
1979-12-03,2.0164,2.025,1.9616,2.0107
1980-01-01,2.0144,2.0622,2.0144,2.048
1980-02-01,2.0593,2.0912,2.0568,2.0737
1980-03-03,2.0536,2.0536,2.0006,2.0006
1980-04-01,1.9849,2.0569,1.9849,2.0234
1980-05-01,2.0301,2.0604,2.0187,2.046
1980-06-02,2.0431,2.0431,2.0109,2.0386
1980-07-01,2.0407,2.065,2.0275,2.0353
1980-08-01,2.0273,2.0571,2.0273,2.0538
1980-09-01,2.0644,2.0682,2.0329,2.0396
1980-10-01,2.0336,2.087,2.0302,2.0785
1980-11-03,2.0861,2.0923,2.012,2.026
1980-12-01,2.0212,2.0282,1.9905,2.0251
1981-01-01,2.0163,2.0526,2.0163,2.0332
1981-02-02,2.0118,2.016,1.9095,1.9095
1981-03-02,1.8957,1.9435,1.8957,1.9203
1981-04-01,1.9237,1.9237,1.8634,1.8644
1981-05-01,1.8674,1.8674,1.8125,1.8169
1981-06-01,1.8065,1.8065,1.6866,1.6866
1981-07-01,1.6602,1.6604,1.6211,1.6275
1981-08-03,1.6057,1.6228,1.565,1.6063
1981-09-01,1.6045,1.6068,1.549,1.5842
1981-10-01,1.6015,1.6449,1.5925,1.6242
1981-11-02,1.6364,1.7003,1.6364,1.7003
1981-12-01,1.695,1.7037,1.6448,1.6947
1982-01-01,1.7064,1.7279,1.6677,1.7279
1982-02-01,1.7033,1.7111,1.6952,1.6984
1982-03-01,1.7006,1.7186,1.6948,1.6991
1982-04-01,1.699,1.6999,1.6685,1.6915
1982-05-03,1.6986,1.7251,1.6873,1.7066
1982-06-01,1.7084,1.7133,1.6865,1.7034
1982-07-01,1.699,1.7527,1.6871,1.7527
1982-08-02,1.7553,1.8044,1.7269,1.7788
1982-09-01,1.7816,1.8013,1.7816,1.7849
1982-10-01,1.789,1.8096,1.779,1.7915
1982-11-01,1.7936,1.7954,1.6621,1.6898
1982-12-01,1.6957,1.7031,1.6416,1.6505
1983-01-03,1.6474,1.6474,1.5739,1.5739
1983-02-01,1.5743,1.5937,1.5739,1.5881
1983-03-01,1.5867,1.7617,1.5861,1.7129
1983-04-01,1.7336,1.8103,1.7336,1.8008
1983-05-02,1.8157,1.8216,1.7598,1.8216
1983-06-01,1.8061,1.8061,1.7389,1.753
1983-07-01,1.7492,1.7645,1.7266,1.7268
1983-08-01,1.7192,1.7239,1.6947,1.702
1983-09-01,1.7094,1.7127,1.666,1.666
1983-10-03,1.6508,1.6508,1.628,1.6343
1983-11-01,1.6351,1.6351,1.5952,1.602
1983-12-01,1.5827,1.6156,1.5726,1.6156
1984-01-02,1.5906,1.5906,1.5286,1.5286
1984-02-01,1.527,1.5802,1.5205,1.5802
1984-03-01,1.5679,1.571,1.503,1.5395
1984-04-02,1.5269,1.5649,1.5191,1.5191
1984-05-01,1.5116,1.5569,1.5057,1.5419
1984-06-01,1.5448,1.5814,1.5448,1.5756
1984-07-02,1.5718,1.6101,1.56,1.5695
1984-08-01,1.5587,1.5715,1.5296,1.5427
1984-09-03,1.5473,1.5473,1.475,1.4877
1984-10-01,1.4881,1.4986,1.4176,1.4479
1984-11-01,1.4342,1.4766,1.3921,1.403
1984-12-03,1.3958,1.43,1.3958,1.4029
1985-01-01,1.4035,1.4247,1.3606,1.3883
1985-02-01,1.394,1.6042,1.394,1.525
1985-03-01,1.5091,1.7558,1.5091,1.7558
1985-04-01,1.8053,2.0227,1.7882,1.9157
1985-05-01,1.8909,1.9395,1.7729,1.9395
1985-06-03,1.9465,1.9641,1.8836,1.9641
1985-07-01,1.9591,1.9998,1.951,1.9558
1985-08-01,1.9336,2,1.8906,1.9837
1985-09-02,1.9935,2.0281,1.9389,1.9934
1985-10-01,1.9788,2.0645,1.9788,2.0645
1985-11-01,2.0635,2.1726,2.0635,2.1726
1985-12-02,2.199,2.199,2.0684,2.1185
1986-01-01,2.115,2.1171,1.9292,1.9729
1986-02-03,1.9634,2.1191,1.9634,2.0733
1986-03-03,2.0681,2.1073,2.017,2.0773
1986-04-01,2.0352,2.1265,2.0174,2.0971
1986-05-01,2.0818,2.1602,2.0574,2.0574
1986-06-02,2.0857,2.282,2.0857,2.2772
1986-07-01,2.3598,2.5012,2.3097,2.5012
1986-08-01,2.4603,2.4603,2.3817,2.4422
1986-09-01,2.4439,2.4466,2.2704,2.3053
1986-10-01,2.29,2.29,2.1844,2.196
1986-11-03,2.2049,2.2303,2.1927,2.2097
1986-12-01,2.2095,2.2312,2.134,2.2312
1987-01-01,2.2405,2.3429,2.1986,2.2895
1987-02-02,2.2929,2.3127,2.2543,2.2846
