time,open,high,low,close
1975-01-02,2.3544,2.3544,2.3544,2.3544
1975-01-03,2.3613,2.3613,2.3613,2.3613
1975-01-06,2.372,2.372,2.372,2.372
1975-01-07,2.3698,2.3698,2.3698,2.3698
1975-01-08,2.3647,2.3647,2.3647,2.3647
1975-01-09,2.3588,2.3588,2.3588,2.3588
1975-01-10,2.367,2.367,2.367,2.367
1975-01-13,2.3592,2.3592,2.3592,2.3592
1975-01-14,2.3544,2.3544,2.3544,2.3544
1975-01-15,2.3615,2.3615,2.3615,2.3615
1975-01-16,2.3688,2.3688,2.3688,2.3688
1975-01-17,2.3728,2.3728,2.3728,2.3728
1975-01-20,2.3777,2.3777,2.3777,2.3777
1975-01-21,2.3812,2.3812,2.3812,2.3812
1975-01-22,2.409,2.409,2.409,2.409
1975-01-23,2.3955,2.3955,2.3955,2.3955
1975-01-24,2.3956,2.3956,2.3956,2.3956
1975-01-27,2.4098,2.4098,2.4098,2.4098
1975-01-28,2.3918,2.3918,2.3918,2.3918
1975-01-29,2.3798,2.3798,2.3798,2.3798
1975-01-30,2.3801,2.3801,2.3801,2.3801
1975-01-31,2.3827,2.3827,2.3827,2.3827
1975-02-03,2.3754,2.3754,2.3754,2.3754
1975-02-04,2.3719,2.3719,2.3719,2.3719
1975-02-05,2.3733,2.3733,2.3733,2.3733
1975-02-06,2.3694,2.3694,2.3694,2.3694
1975-02-07,2.3736,2.3736,2.3736,2.3736
1975-02-10,2.3819,2.3819,2.3819,2.3819
1975-02-11,2.372,2.372,2.372,2.372
1975-02-12,2.3858,2.3858,2.3858,2.3858
1975-02-13,2.3851,2.3851,2.3851,2.3851
1975-02-14,2.3861,2.3861,2.3861,2.3861
1975-02-17,2.3872,2.3872,2.3872,2.3872
1975-02-18,2.3854,2.3854,2.3854,2.3854
1975-02-19,2.3925,2.3925,2.3925,2.3925
1975-02-20,2.3962,2.3962,2.3962,2.3962
1975-02-21,2.4017,2.4017,2.4017,2.4017
1975-02-24,2.422,2.422,2.422,2.422
1975-02-25,2.4234,2.4234,2.4234,2.4234
1975-02-26,2.4356,2.4356,2.4356,2.4356
1975-02-27,2.4329,2.4329,2.4329,2.4329
1975-02-28,2.4341,2.4341,2.4341,2.4341
1975-03-03,2.4361,2.4361,2.4361,2.4361
1975-03-04,2.4353,2.4353,2.4353,2.4353
1975-03-05,2.4398,2.4398,2.4398,2.4398
1975-03-06,2.4317,2.4317,2.4317,2.4317
1975-03-07,2.4098,2.4098,2.4098,2.4098
1975-03-10,2.4055,2.4055,2.4055,2.4055
1975-03-11,2.4156,2.4156,2.4156,2.4156
1975-03-12,2.4095,2.4095,2.4095,2.4095
1975-03-13,2.4136,2.4136,2.4136,2.4136
1975-03-14,2.418,2.418,2.418,2.418
1975-03-17,2.4183,2.4183,2.4183,2.4183
1975-03-18,2.4249,2.4249,2.4249,2.4249
1975-03-19,2.4314,2.4314,2.4314,2.4314
1975-03-20,2.4235,2.4235,2.4235,2.4235
1975-03-21,2.4205,2.4205,2.4205,2.4205
1975-03-24,2.4165,2.4165,2.4165,2.4165
1975-03-25,2.4116,2.4116,2.4116,2.4116
1975-03-26,2.4089,2.4089,2.4089,2.4089
1975-03-27,2.3955,2.3955,2.3955,2.3955
1975-04-01,2.4019,2.4019,2.4019,2.4019
