time,open,high,low,close
1975-01-01,2.3544,2.4098,2.3544,2.3827
1975-02-03,2.3754,2.4356,2.3694,2.4341
1975-03-03,2.4361,2.4398,2.3955,2.3955
1975-04-01,2.4019,2.4033,2.3019,2.3089
1975-05-01,2.3009,2.3009,2.2244,2.2626
1975-06-02,2.2632,2.2647,2.1191,2.1191
1975-07-01,2.1477,2.1477,2.0848,2.0848
1975-08-01,2.0843,2.0843,2.0265,2.0445
1975-09-01,2.0419,2.0589,1.9857,1.9937
1975-10-01,1.9892,2.0424,1.9884,2.0424
1975-11-03,2.0398,2.0398,2,2
1975-12-01,1.9984,2.0045,1.9843,1.9915
1976-01-01,1.9909,2.0294,1.9909,2.0262
1976-02-02,2.0294,2.0565,2.0294,2.0565
1976-03-01,2.0466,2.048,1.9407,1.946
1976-04-01,1.9158,1.9158,1.8501,1.8792
1976-05-03,1.8653,1.8781,1.794,1.794
1976-06-01,1.7912,1.8423,1.7502,1.8423
1976-07-01,1.8483,1.8603,1.8191,1.8305
1976-08-02,1.8292,1.8292,1.797,1.8098
1976-09-01,1.8152,1.8152,1.7133,1.7133
1976-10-01,1.7098,1.7213,1.6138,1.6314
1976-11-01,1.6317,1.708,1.5967,1.5967
1976-12-01,1.6055,1.7208,1.6055,1.7208
1977-01-03,1.7157,1.7558,1.7113,1.7507
1977-02-01,1.7553,1.7967,1.7411,1.7967
1977-03-01,1.795,1.8216,1.7853,1.8216
1977-04-01,1.8087,1.8197,1.7996,1.8006
1977-05-02,1.7992,1.8066,1.7991,1.8066
1977-06-01,1.8114,1.8275,1.8103,1.8231
1977-07-01,1.8221,1.8579,1.8192,1.8579
1977-08-01,1.8609,1.8754,1.8609,1.8727
1977-09-01,1.8704,1.8756,1.8677,1.8756
1977-10-03,1.8925,2.0407,1.8925,2.0407
1977-11-01,2.0341,2.0341,2.0006,2.0107
1977-12-01,2.0143,2.0996,1.9958,2.0996
1978-01-02,2.1339,2.1642,2.0616,2.1632
1978-02-01,2.1569,2.1926,2.1395,2.1583
1978-03-01,2.1624,2.1785,2.1093,2.1093
1978-04-03,2.1243,2.1511,2.0582,2.0704
1978-05-01,2.0612,2.0631,2.0033,2.0526
1978-06-01,2.0451,2.0957,2.0363,2.0914
1978-07-03,2.0971,2.1832,2.0971,2.1832
1978-08-01,2.1972,2.2587,2.1916,2.2376
1978-09-01,2.2409,2.3337,2.2375,2.3322
