time,open,high,low,close
1972-04-14,3.5032,3.5032,3.5032,3.5032
1972-04-17,3.5124,3.5124,3.5124,3.5124
1972-04-18,3.5472,3.5472,3.5472,3.5472
1972-04-19,3.5628,3.5628,3.5628,3.5628
1972-04-20,3.54,3.54,3.54,3.54
1972-04-21,3.544,3.544,3.544,3.544
1972-04-24,3.5275,3.5275,3.5275,3.5275
1972-04-25,3.5306,3.5306,3.5306,3.5306
1972-04-26,3.5365,3.5365,3.5365,3.5365
1972-04-27,3.5329,3.5329,3.5329,3.5329
1972-04-28,3.5361,3.5361,3.5361,3.5361
1972-05-01,3.5349,3.5349,3.5349,3.5349
1972-05-02,3.5338,3.5338,3.5338,3.5338
1972-05-03,3.5333,3.5333,3.5333,3.5333
1972-05-04,3.5318,3.5318,3.5318,3.5318
1972-05-05,3.5345,3.5345,3.5345,3.5345
1972-05-08,3.5353,3.5353,3.5353,3.5353
1972-05-09,3.5217,3.5217,3.5217,3.5217
1972-05-10,3.5359,3.5359,3.5359,3.5359
1972-05-11,3.5301,3.5301,3.5301,3.5301
1972-05-12,3.5426,3.5426,3.5426,3.5426
1972-05-15,3.5482,3.5482,3.5482,3.5482
1972-05-23,3.519,3.519,3.519,3.519
1972-05-24,3.5246,3.5246,3.5246,3.5246
1972-05-25,3.522,3.522,3.522,3.522
1972-05-26,3.5329,3.5329,3.5329,3.5329
1972-05-30,3.4776,3.4776,3.4776,3.4776
1972-05-31,3.4883,3.4883,3.4883,3.4883
1972-06-01,3.4713,3.4713,3.4713,3.4713
1972-06-02,3.4726,3.4726,3.4726,3.4726
1972-06-05,3.4868,3.4868,3.4868,3.4868
1972-06-06,3.4771,3.4771,3.4771,3.4771
1972-06-07,3.4644,3.4644,3.4644,3.4644
1972-06-08,3.4545,3.4545,3.4545,3.4545
1972-06-09,3.4513,3.4513,3.4513,3.4513
1972-06-12,3.41,3.41,3.41,3.41
1972-06-13,3.4091,3.4091,3.4091,3.4091
1972-06-14,3.4059,3.4059,3.4059,3.4059
1972-06-15,3.3468,3.3468,3.3468,3.3468
1972-06-16,3.3159,3.3159,3.3159,3.3159
1972-06-19,3.3094,3.3094,3.3094,3.3094
1972-06-20,3.2783,3.2783,3.2783,3.2783
1972-06-21,3.1851,3.1851,3.1851,3.1851
1972-06-22,3.1723,3.1723,3.1723,3.1723
1972-06-23,2.7909,2.7909,2.7909,2.7909
1972-06-26,2.8052,2.8052,2.8052,2.8052
1972-06-27,2.8966,2.8966,2.8966,2.8966
1972-06-28,2.6856,2.6856,2.6856,2.6856
1972-06-29,2.6389,2.6389,2.6389,2.6389
1972-06-30,2.598,2.598,2.598,2.598
1972-07-03,2.5277,2.5277,2.5277,2.5277
1972-07-05,2.6706,2.6706,2.6706,2.6706
1972-07-06,2.6046,2.6046,2.6046,2.6046
1972-07-07,2.6076,2.6076,2.6076,2.6076
1972-07-10,2.6109,2.6109,2.6109,2.6109
1972-07-11,2.6211,2.6211,2.6211,2.6211
1972-07-12,2.6526,2.6526,2.6526,2.6526
1972-07-13,2.6627,2.6627,2.6627,2.6627
1972-07-14,2.641,2.641,2.641,2.641
1972-07-17,2.6354,2.6354,2.6354,2.6354
1972-07-18,2.6593,2.6593,2.6593,2.6593
1972-07-19,2.6898,2.6898,2.6898,2.6898
1972-07-20,2.6668,2.6668,2.6668,2.6668
1972-07-21,2.697,2.697,2.697,2.697
1972-07-24,2.6993,2.6993,2.6993,2.6993
1972-07-25,2.694,2.694,2.694,2.694
1972-07-26,2.6884,2.6884,2.6884,2.6884
1972-07-27,2.7023,2.7023,2.7023,2.7023
