time,open,high,low,close
1972-04-03,3.5032,3.5628,3.5032,3.5361
1972-05-01,3.5349,3.5482,3.4776,3.4883
1972-06-01,3.4713,3.4868,2.598,2.598
1972-07-03,2.5277,2.7023,2.5277,2.6929
1972-08-01,2.6868,2.7367,2.6803,2.7042
1972-09-01,2.6993,2.7217,2.6462,2.6462
1972-10-02,2.6778,2.6778,2.3036,2.3505
1972-11-01,2.3985,2.4065,2.3043,2.3043
1972-12-01,2.289,2.3059,2.2708,2.296
1973-01-01,2.3001,2.3076,2.0481,2.0697
1973-02-01,2.0407,2.0407,1.2417,1.2417
1973-03-01,1.246,1.4933,1.2211,1.4792
1973-04-02,1.5371,1.5371,1.466,1.5121
1973-05-01,1.5101,1.5792,1.3574,1.3741
1973-06-01,1.345,1.4376,0.9865,0.9865
1973-07-02,0.9154,0.9154,0.3843,0.6023
1973-08-01,0.6285,0.9692,0.5771,0.9099
1973-09-03,0.8262,0.8262,0.6853,0.76
1973-10-01,0.7177,1.0037,0.7034,1.0037
1973-11-01,0.9929,1.0842,0.9134,0.9552
1973-12-03,0.9434,1.0007,0.7812,1.0007
1974-01-01,1.1567,1.1567,0.7798,0.8833
1974-02-01,0.8389,0.8389,0.5176,0.6881
1974-03-01,0.6468,0.7442,0.5189,0.661
1974-04-01,0.7461,0.8033,0.5581,0.5626
1974-05-01,0.5484,0.6101,0.2928,0.5911
1974-06-03,0.554,0.6543,0.4907,0.6212
1974-07-01,0.6234,0.6234,0.3686,0.5129
1974-08-01,0.4884,0.5121,0.3825,0.4252
1974-09-02,0.3923,0.4267,0.3028,0.3028
1974-10-01,0.3265,0.3265,0.0841,0.151
1974-11-01,0.1234,6.5487,0.0523,6.3382
1974-12-02,6.3821,6.3821,5.8928,5.9877
1975-01-01,5.9802,6.0625,5.7749,5.9366
1975-02-03,5.9853,6.0445,5.8221,5.8359
1975-03-03,5.846,6.114,5.846,6.1059
1975-04-01,6.0712,6.1145,6.009,6.013
1975-05-01,6.0032,6.0032,5.6875,5.7903
1975-06-02,5.7788,5.8126,5.4671,5.4671
1975-07-01,5.5332,5.8619,5.5332,5.8061
1975-08-01,5.7931,5.7931,5.5947,5.6697
1975-09-01,5.6572,5.6918,5.5656,5.6116
1975-10-01,5.5266,5.5421,5.4335,5.4662
1975-11-03,5.4435,5.4606,5.4066,5.4066
1975-12-01,5.3917,5.3917,5.297,5.3045
1976-01-01,5.3,5.3,5.2644,5.2837
1976-02-02,5.2452,5.2666,5.1625,5.1993
1976-03-01,5.2435,5.2435,4.8592,4.8655
1976-04-01,4.7631,4.7631,4.5616,4.6382
1976-05-03,4.5766,4.5913,4.3259,4.3259
1976-06-01,4.256,4.4244,4.1453,4.4194
1976-07-01,4.4236,4.4751,4.4064,4.4073
1976-08-02,4.4305,4.4753,4.3874,4.4061
1976-09-01,4.3868,4.4194,4.0623,4.0623
1976-10-01,4.111,4.1259,3.8271,3.8608
1976-11-01,3.8892,4.1214,3.8892,4.0443
1976-12-01,4.0785,4.1731,4.0654,4.159
1977-01-03,4.1602,4.341,4.1602,4.3011
1977-02-01,4.3209,4.3777,4.245,4.3777
1977-03-01,4.3777,4.4074,4.3519,4.3765
1977-04-01,4.363,4.3721,4.3159,4.3295
1977-05-02,4.3368,4.3493,4.293,4.3008
1977-06-01,4.298,4.3045,4.2303,4.2422
1977-07-01,4.2291,4.2291,4.0936,4.1773
1977-08-01,4.1882,4.2451,4.1418,4.1799
1977-09-01,4.1677,4.1749,4.0957,4.1017
1977-10-03,4.1007,4.1147,3.9548,4.1147
1977-11-01,4.066,4.077,3.8982,3.9222
1977-12-01,3.8917,3.9189,3.7852,3.8225
1978-01-02,3.7716,3.8819,3.7716,3.8748
1978-02-01,3.8713,3.8713,3.5062,3.5352
1978-03-01,3.5579,3.8119,3.4232,3.4232
1978-04-03,3.4624,3.5922,3.4624,3.5526
1978-05-01,3.5545,3.6352,3.4562,3.4562
1978-06-01,3.4329,3.5101,3.4329,3.4353
1978-07-03,3.4119,3.4577,3.3342,3.3342
1978-08-01,3.3304,3.3304,3.138,3.1923
1978-09-01,3.128,3.1618,2.9469,3.0707
1978-10-02,3.1315,3.164,3.0097,3.1122
1978-11-01,3.1858,3.3872,3.1858,3.3872
1978-12-01,3.3585,3.3651,3.2964,3.308
1979-01-01,3.2947,3.3884,3.2947,3.3816
1979-02-01,3.39,3.3907,3.2836,3.3907
1979-03-01,3.3855,3.5045,3.3855,3.5045
