time,open,high,low,close
1975-01-02,702.522,702.522,702.522,702.522
1975-01-03,703.9419,703.9419,703.9419,703.9419
1975-01-06,707.5391,707.5391,707.5391,707.5391
1975-01-07,708.0909,708.0909,708.0909,708.0909
1975-01-08,706.194,706.194,706.194,706.194
1975-01-09,706.6891,706.6891,706.6891,706.6891
1975-01-10,707.6489,707.6489,707.6489,707.6489
1975-01-13,708.1303,708.1303,708.1303,708.1303
1975-01-14,706.1822,706.1822,706.1822,706.1822
1975-01-15,707.02,707.02,707.02,707.02
1975-01-16,707.8151,707.8151,707.8151,707.8151
1975-01-17,708.0975,708.0975,708.0975,708.0975
1975-01-20,709.0106,709.0106,709.0106,709.0106
1975-01-21,710.7518,710.7518,710.7518,710.7518
1975-01-22,717.3474,717.3474,717.3474,717.3474
1975-01-23,712.5619,712.5619,712.5619,712.5619
1975-01-24,703.044,703.044,703.044,703.044
1975-01-27,709.0836,709.0836,709.0836,709.0836
1975-01-28,708.4959,708.4959,708.4959,708.4959
1975-01-29,704.7678,704.7678,704.7678,704.7678
1975-01-30,707.4118,707.4118,707.4118,707.4118
1975-01-31,709.1809,709.1809,709.1809,709.1809
1975-02-03,706.3546,706.3546,706.3546,706.3546
1975-02-04,703.6701,703.6701,703.6701,703.6701
1975-02-05,704.2038,704.2038,704.2038,704.2038
1975-02-06,701.8752,701.8752,701.8752,701.8752
1975-02-07,700.924,700.924,700.924,700.924
1975-02-10,697.0909,697.0909,697.0909,697.0909
1975-02-11,694.5571,694.5571,694.5571,694.5571
1975-02-12,698.5144,698.5144,698.5144,698.5144
1975-02-13,704.3625,704.3625,704.3625,704.3625
1975-02-14,700.4937,700.4937,700.4937,700.4937
1975-02-17,700.9761,700.9761,700.9761,700.9761
1975-02-18,701.8221,701.8221,701.8221,701.8221
1975-02-19,699.1111,699.1111,699.1111,699.1111
1975-02-20,699.2193,699.2193,699.2193,699.2193
1975-02-21,695.3415,695.3415,695.3415,695.3415
1975-02-24,691.866,691.866,691.866,691.866
1975-02-25,691.7518,691.7518,691.7518,691.7518
1975-02-26,692.1091,692.1091,692.1091,692.1091
1975-02-27,693.9867,693.9867,693.9867,693.9867
1975-02-28,695.5441,695.5441,695.5441,695.5441
1975-03-03,693.9922,693.9922,693.9922,693.9922
1975-03-04,691.1928,691.1928,691.1928,691.1928
1975-03-05,693.7262,693.7262,693.7262,693.7262
1975-03-06,693.6711,693.6711,693.6711,693.6711
1975-03-07,689.2614,689.2614,689.2614,689.2614
1975-03-10,688.534,688.534,688.534,688.534
1975-03-11,692.9055,692.9055,692.9055,692.9055
1975-03-12,692.7397,692.7397,692.7397,692.7397
1975-03-13,697.5963,697.5963,697.5963,697.5963
1975-03-14,696.2056,696.2056,696.2056,696.2056
1975-03-17,692.5596,692.5596,692.5596,692.5596
1975-03-18,695.8473,695.8473,695.8473,695.8473
1975-03-19,700.0377,700.0377,700.0377,700.0377
1975-03-20,695.9879,695.9879,695.9879,695.9879
1975-03-21,695.3462,695.3462,695.3462,695.3462
