time,open,high,low,close
1975-01-01,702.522,717.3474,702.522,709.1809
1975-02-03,706.3546,706.3546,691.7518,695.5441
1975-03-03,693.9922,701.8287,688.534,701.8287
1975-04-01,700.3859,701.6621,686.1117,687.136
1975-05-01,686.1017,686.1017,670.4574,675.1738
1975-06-02,675.5242,678.4599,645.4247,645.4247
1975-07-01,650.69,653.46,640.73,640.73
1975-08-01,639.89,639.89,624.78,629
1975-09-01,628.42,629.38,616.84,618.03
1975-10-01,617.36,627.75,614.22,627.75
1975-11-03,626.31,626.31,612.79,612.79
1975-12-01,615.15,620.74,614.73,617.55
1976-01-01,617.49,621.46,614.89,616.65
1976-02-02,615,615,608.17,612.49
1976-03-01,610.08,610.89,574.17,574.17
1976-04-01,564.33,564.33,541.23,551.51
1976-05-03,546.18,548.86,527.6,527.6
1976-06-01,527.33,533.12,514.42,532.45
1976-07-01,532.39,534.99,520.66,523.61
1976-08-02,524.26,525.33,510.74,514.55
1976-09-01,512.38,512.38,474.68,477.32
1976-10-01,481.36,484.31,462.27,467.71
1976-11-01,471.02,496.9,471.02,490.88
1976-12-01,493.31,499.36,489.69,497.99
1977-01-03,498.15,504.98,494.46,494.46
1977-02-01,494.07,494.38,476.13,484.94
1977-03-01,483.63,485.04,475.67,477.25
1977-04-01,473.43,479.53,465.55,477.56
1977-05-02,478.18,478.24,475.47,475.86
1977-06-01,476.77,476.77,460.63,460.94
1977-07-01,459.03,463.99,452.78,463.07
1977-08-01,464,466.41,461.93,466.41
1977-09-01,467.19,467.19,460.76,460.76
1977-10-03,456.43,460.05,443.52,459.76
1977-11-01,453.75,454.38,436.41,443.47
1977-12-01,441.24,460.27,439.74,460.27
1978-01-02,466.29,471.1,458.07,470.88
1978-02-01,471.18,471.47,461.89,461.89
1978-03-01,462.76,462.76,410.56,410.56
1978-04-03,406.93,415.32,406.33,411.34
1978-05-01,412.09,415.33,405.74,405.74
1978-06-01,404.28,404.28,377.83,377.83
1978-07-03,377.86,384.75,364.79,364.79
1978-08-01,359.82,372.34,359.82,372.34
1978-09-01,372.96,373.59,368.44,373.23
1978-10-02,371.64,375.09,363.88,371.98
1978-11-01,374.22,389.14,369.49,389.14
1978-12-01,390.82,396.43,384.08,396.43
1979-01-01,394.89,401.22,393.39,400.64
1979-02-01,400.23,410.57,394.16,410.57
1979-03-01,412.79,433.29,412.79,433.29
1979-04-02,437.99,459.37,437.99,459.37
1979-05-01,462.92,465.88,434.02,456.82
1979-06-01,459.3,474.5,451.47,474.5
1979-07-02,476.96,499.9,476.96,488.58
1979-08-01,487.98,501.44,481.06,497.14
1979-09-03,496.12,496.14,475.93,494.49
1979-10-01,494.88,502.79,486.46,492.42
1979-11-01,493.45,546.9,485.79,546.9
1979-12-03,550.34,550.34,507.58,532.74
1980-01-01,534.72,548.79,524.8,542.67
1980-02-01,548.96,569.06,548.96,569.06
1980-03-03,553.1,554.18,538,538
1980-04-01,551.06,562.54,543.35,543.35
1980-05-01,542.91,542.91,518.12,524.8
1980-06-02,522.04,522.04,503.74,518.8
1980-07-01,519.45,541.76,514.54,530.52
1980-08-01,529.84,537.72,521.14,525.79
1980-09-01,522.39,527.31,501.36,501.36
1980-10-01,498.03,522.52,497.52,514.37
1980-11-03,515.47,518.54,498.94,510.61
1980-12-01,511.32,511.32,482.69,484.66
1981-01-01,481.97,493.68,478.47,487.31
1981-02-02,476.43,479.61,460.31,461.14
1981-03-02,460.02,475.8,454.5,473.53
1981-04-01,477.53,477.53,458.54,462.42
1981-05-01,462.31,464.74,457.89,463.2
1981-06-01,459.28,459.28,436.75,437.95
1981-07-01,430.88,445.36,428.28,441.39
1981-08-03,443.97,443.97,418.22,425.85
1981-09-01,423.13,424.73,408.37,422.2
1981-10-01,427.71,435.88,420.58,435.88
1981-11-02,428.45,433.68,414.5,420
1981-12-01,422.13,422.13,410.79,420.24
1982-01-01,422.72,432.75,417.45,429.03
1982-02-01,433.19,440.9,427.62,431.9
1982-03-01,435.04,442.94,425.75,442.02
1982-04-01,439.03,441.29,421.35,427.59
1982-05-03,429.44,435.95,421.61,433.79
1982-06-01,436.8,447.78,436.74,444.45
1982-07-01,444.15,448.68,439.89,448.68
1982-08-02,449.7,451.56,441.63,446.26
1982-09-01,445.69,457.61,445.15,455.41
1982-10-01,456.38,466.32,454,464.83
1982-11-01,465.23,465.36,398.05,406.7
1982-12-01,406.88,407.13,379.34,379.34
1983-01-03,376.04,376.04,359.2,366.44
1983-02-01,367.27,367.27,357.4,361.36
1983-03-01,357.57,359.72,346.23,354.42
1983-04-01,354.16,372.54,354.16,371.88
1983-05-02,373.48,383.26,362.01,383.26
1983-06-01,381.93,386.78,364.37,365.85
1983-07-01,366.9,371.87,365.08,368.92
1983-08-01,367.79,372.24,361.95,368.82
1983-09-01,369.86,369.86,351.85,351.85
1983-10-03,345.87,351.75,344.14,350.63
1983-11-01,348.38,352.55,339.8,339.8
1983-12-01,339.09,341.13,332.95,336.04
1984-01-02,332.01,332.01,325.38,329.39
1984-02-01,330.01,347.47,330.01,346.95
1984-03-01,346.88,346.88,323.53,323.53
1984-04-02,321.01,323.35,316.43,317.08
1984-05-01,317.72,325,316.92,321.03
1984-06-01,322.68,323.15,319.6,322.1
1984-07-02,322.18,326.41,315.61,320.57
1984-08-01,320.36,320.94,314.67,316.55
1984-09-03,314.52,314.52,301.34,304.79
1984-10-01,305.2,307.35,294.91,299.29
1984-11-01,302.86,306.87,294.5,296.19
1984-12-03,297.5,298.18,289.56,291.56
1985-01-01,288.44,293.03,281.34,288.03
1985-02-01,288.16,289.97,275.78,278.68
1985-03-01,280.18,312.85,275.15,312.54
1985-04-01,307.61,321.15,304.27,310.97
1985-05-01,309.84,325.02,301.66,325.02
1985-06-03,318.5,325.01,315.31,325.01
1985-07-01,320.05,338.37,320.05,333.26
1985-08-01,326.82,332.35,319.25,331.9
1985-09-02,327.06,328.56,301.21,301.21
1985-10-01,302.05,309.35,302.05,304.3
1985-11-01,300.96,301.17,289.47,301.17
1985-12-02,303.69,303.73,287.81,289.72
1986-01-01,290.19,294.05,270.46,270.46
1986-02-03,264.94,269.17,257.62,259.96
1986-03-03,258.83,266.84,257.05,260.75
1986-04-01,263.61,268.74,256.22,259.28
1986-05-01,257.57,258.1,249.28,257.25
1986-06-02,258.68,258.68,250.3,251.56
1986-07-01,252.08,252.08,229.73,229.73
1986-08-01,227.55,230.72,226.52,229.71
1986-09-01,230.16,233.02,220.66,222.68
1986-10-01,222.55,229.63,219.36,229.63
1986-11-03,231.59,237.26,228.42,232.1
1986-12-01,233.32,236.99,230.85,234.62
1987-01-01,235.92,235.92,229.62,232.81
1987-02-02,232.03,237.2,232.03,237.2
1987-03-02,240.59,244.77,234.57,234.57
1987-04-01,234.31,236.04,230.29,234.27
1987-05-01,234.47,236.32,231.7,234.61
1987-06-01,236.33,237.9,232.11,237.03
1987-07-01,237.48,245.77,237.48,238.81
1987-08-03,238.47,239.24,231.06,232.29
1987-09-01,232.35,238.61,232.35,237.88
1987-10-01,237.48,240.02,235.98,238.38
1987-11-02,238.33,242.14,238.33,241.66
1987-12-01,241.56,241.56,228.41,228.41
1988-01-01,230.8,234.02,226.18,226.18
1988-02-01,227.48,228.26,225.66,227.48
1988-03-01,227.97,236.58,227.97,234.48
1988-04-01,234.51,236.17,231.46,234.81
1988-05-02,233.86,235.91,229.9,229.9
1988-06-01,227.31,227.8,223.23,227.55
1988-07-01,227.89,229.58,224.18,227.81
1988-08-01,228.06,229.97,224.79,229.97
1988-09-01,227.5,229.84,224.18,226.42
1988-10-03,227.51,227.51,221.31,221.85
1988-11-01,221.36,225.16,220.94,225.16
1988-12-01,225.07,227.64,224.03,225.96
1989-01-02,225.72,228.37,222.68,228.37
1989-02-01,227.78,227.78,220.63,221.15
1989-03-01,221.06,226.77,219.77,223.83
1989-04-03,223.07,226.62,223.07,224.42
1989-05-01,225.29,226.23,222.56,224.62
1989-06-01,224.77,227.29,216.88,223.65
1989-07-03,222.83,232.29,222.83,228.14
1989-08-01,226.17,227.62,223.32,227.44
1989-09-01,226.93,230.34,225.14,225.14
1989-10-02,225.57,229.56,223.41,225.86
1989-11-01,226.41,227.96,223.21,224.43
1989-12-01,223.99,231.93,223.99,231.86
1990-01-01,235.9,242.48,233.91,242.48
1990-02-01,243.96,251.44,243.96,249.59
1990-03-01,249.22,260.74,244.41,260.74
1990-04-02,259.74,261.54,257.64,260.86
1990-05-01,261.17,263.55,252.49,255.56
1990-06-01,255.44,269.5,254.54,266.21
1990-07-02,267.99,273.89,266.58,271.77
1990-08-01,273.23,286.26,271.71,271.71
1990-09-03,269.7,269.94,251.88,259.49
1990-10-01,257.28,258.68,245.12,252.74
1990-11-01,254.05,258.93,249.94,257.35
1990-12-03,258.49,261.58,254.19,261.58
1991-01-01,260.95,262.02,254.92,258.34
1991-02-01,258.3,260.43,251.53,254.3
1991-03-01,254.58,258.26,240.54,245.6
1991-04-01,245.25,247.2,228.96,235.95
1991-05-01,236.56,241.9,232.94,235.48
1991-06-03,234.82,237.02,221.65,222.55
1991-07-01,222.55,233.75,221.82,231
1991-08-01,231.17,235.04,221.91,229.69
1991-09-02,230.5,234.4,229.01,232.52
1991-10-01,232.52,233.41,220.86,227.61
1991-11-01,227.61,234.16,226.75,229.53
1991-12-02,230.38,239.5,228.72,233.23
1992-01-01,233.34,234.57,220.43,224.83
1992-02-03,224.85,231.5,223.58,227.64
1992-03-02,226.79,232.17,225.34,230.22
1992-04-01,230.2,238.81,229.83,236.82
1992-05-01,236.96,239.66,233.14,233.27
1992-06-01,233.32,239.74,230.21,239.02
1992-07-01,239.19,247.1,236.13,245.03
1992-08-03,244.62,249.15,240.11,244.77
1992-09-01,244.97,247.14,203.91,213.81
1992-10-01,213.62,213.71,191.31,192.19
1992-11-02,191.84,192.83,186.93,188.9
1992-12-01,189.12,199.2,186.76,188.5
1993-01-01,188.48,195.48,185.11,185.2
1993-02-01,184.06,184.35,167.05,168.61
1993-03-01,169.01,174.93,167.62,173.79
1993-04-01,174.05,177.68,168.84,174.75
1993-05-03,174.12,175.51899999999998,164.92551999999998,167.21812
1993-06-01,167.21812,168.10273999999998,155.22359999999998,159.98798
1993-07-01,159.98798,165.85875,153.70999999999998,154.77069999999998
1993-08-02,154.77069999999998,162.32838999999998,147.03044,156.15865
1993-09-01,156.15865,166.23363999999998,155.302,158.59157
1993-10-01,158.59157,164.65285999999998,157.48349,160.72328
1993-11-01,160.72328,163.319,155.25825999999998,161.91269999999997
1993-12-01,161.91269999999997,168.60649999999998,159.67084,164.77249999999998
1994-01-03,164.77249999999998,169.8354,161.41575999999998,163.38407999999998
1994-02-01,163.38407999999998,164.32553,149.52643999999998,155.04736
1994-03-01,155.04736,159.79341,150.7029,152.24495
1994-04-01,152.24495,156.51423999999997,150.12518,154.39923
1994-05-02,154.39923,158.60181999999998,150.74248,158.18528999999998
1994-06-01,158.18528999999998,159.69099999999997,150.75806,151.96964
1994-07-01,151.96964,155.50787,148.57319999999999,152.90669999999997
1994-08-01,152.90669999999997,157.65275999999997,150.83542999999997,153.69518
1994-09-01,153.69518,157.84214999999998,151.92335999999997,155.86625999999998
1994-10-03,155.86625999999998,160.86237999999997,154.66019999999997,158.52401999999998
1994-11-01,158.52401999999998,161.12699999999998,153.12089999999998,154.78683999999998
1994-12-01,154.78683999999998,158.43453,152.0562,155.91029999999998
1995-01-02,155.91029999999998,160.01029,153.46877999999998,157.17287
1995-02-01,157.17287,158.29829999999998,151.61214999999999,153.05758999999998
1995-03-01,153.05758999999998,157.31637999999998,138.0333,140.54943999999998
1995-04-03,140.54943999999998,141.92075999999997,127.0536,135.55715999999998
1995-05-01,135.55715999999998,140.52435,129.78486999999998,134.0151
1995-06-01,134.0151,137.45579999999998,130.98476,134.98784999999998
1995-07-03,134.98784999999998,142.42505999999997,134.4425,141.20406
1995-08-01,141.20406,154.46705999999998,139.97624,150.83536999999998
1995-09-01,150.83536999999998,164.54507999999998,150.04720999999998,157.79025
1995-10-02,157.79025,162.18581999999998,155.7251,161.17399999999998
1995-11-01,161.17399999999998,165.00657999999999,153.83252,156.27904999999998
1995-12-01,156.27904999999998,160.77637,153.02865999999997,160.31085
1996-01-01,160.31085,165.43388,158.12308,161.87832999999998
1996-02-01,161.87832999999998,165.31435,158.78709999999998,161.12305999999998
1996-03-01,161.12305999999998,164.7078,159.32909999999998,163.72260999999997
1996-04-01,163.72260999999997,165.86822999999998,155.807,158.09249999999997
1996-05-01,158.09249999999997,168.70498999999998,155.422,167.6229
1996-06-03,167.6229,170.94591999999997,165.34904999999998,170.25465
1996-07-01,170.25465,173.12501999999998,165.15204999999997,166.23271
1996-08-01,166.23271,170.49044999999998,163.2326,170.03294
1996-09-02,170.03294,174.91705,168.80149999999998,174.24193
1996-10-01,174.24193,187.19959999999998,173.05336,185.57435999999998
1996-11-01,185.57435999999998,191.94692999999998,182.03868,191.4271
1996-12-02,191.4271,199.79231,180.35948,198.19959999999998
1997-01-01,198.19959999999998,199.90082999999998,191.51375,193.63692999999998
1997-02-03,193.63692999999998,204.75969999999998,193.13431999999997,195.92207
1997-03-03,195.92207,204.523,193.14021,202.71674
1997-04-01,202.71674,207.63460999999998,198.66494999999998,206.27503
1997-05-01,206.27503,208.05051999999998,183.129,190.49546999999998
1997-06-02,190.49546999999998,193.47307999999998,180.59363,190.90314999999998
1997-07-01,190.90314999999998,196.20059999999998,188.08345,194.54548999999997
1997-08-01,194.54548999999997,197.0625,178.95335,195.28874
1997-09-01,195.28874,198.42082,186.57385,194.81053
1997-10-01,194.81053,205.87779999999998,192.9654,201.986
1997-11-03,201.986,217.01926999999998,200.22442999999998,215.76968
1997-12-01,215.76968,219.21585,205.55337999999998,215.09613
1998-01-01,215.09613,220.70152,204.20499999999998,206.58499999999998
1998-02-02,206.58499999999998,212.17499999999998,199.855,207.33499999999998
1998-03-02,207.33499999999998,224.24499999999998,206.27499999999998,222.625
1998-04-01,222.625,225.65499999999997,213.635,222.015
1998-05-01,222.015,226.885,216.05499999999998,226.36499999999998
1998-06-01,226.36499999999998,239.99499999999998,223.83499999999998,231.64499999999998
1998-07-01,231.64499999999998,236.875,226.755,236.80499999999998
1998-08-03,236.80499999999998,240.975,230.24499999999998,233.545
1998-09-01,233.545,233.795,216.005,232.325
1998-10-01,232.325,232.58499999999998,193.225,193.45499999999998
1998-11-02,193.45499999999998,205.48499999999999,189.825,202.73499999999999
1998-12-01,202.73499999999999,202.815,186.505,190.67499999999998
1999-01-01,190.67499999999998,192.58499999999998,176.80499999999998,191.02499999999998
1999-02-01,191.02499999999998,198.42499999999998,182.825,190.42499999999998
1999-03-01,190.42499999999998,198.975,189.93499999999997,191.42499999999998
1999-04-01,191.42499999999998,195.545,188.92499999999998,192.445
1999-05-03,192.445,201.92499999999998,191.515,194.915
1999-06-01,194.915,197.125,188.575,191.105
1999-07-01,191.105,193.64499999999998,183.40499999999997,186.18499999999997
1999-08-02,186.18499999999997,187.415,174.40499999999997,176.015
1999-09-01,176.015,180.17499999999998,166.005,175.14499999999998
1999-10-01,175.14499999999998,178.93499999999997,170.385,171.355
1999-11-01,171.355,173.40499999999997,162.11499999999998,163.135
1999-12-01,163.135,168.195,162.855,164.93499999999997
