time,open,high,low,close
1975-01-02,1.7824,1.7824,1.7824,1.7824
1975-01-03,1.7914,1.7914,1.7914,1.7914
1975-01-06,1.7953,1.7953,1.7953,1.7953
1975-01-07,1.7931,1.7931,1.7931,1.7931
1975-01-08,1.7859,1.7859,1.7859,1.7859
1975-01-09,1.7913,1.7913,1.7913,1.7913
1975-01-10,1.7923,1.7923,1.7923,1.7923
1975-01-13,1.7793,1.7793,1.7793,1.7793
1975-01-14,1.7868,1.7868,1.7868,1.7868
1975-01-15,1.7924,1.7924,1.7924,1.7924
1975-01-16,1.7911,1.7911,1.7911,1.7911
1975-01-17,1.7918,1.7918,1.7918,1.7918
1975-01-20,1.7939,1.7939,1.7939,1.7939
1975-01-21,1.7953,1.7953,1.7953,1.7953
1975-01-22,1.8145,1.8145,1.8145,1.8145
1975-01-23,1.8004,1.8004,1.8004,1.8004
1975-01-24,1.8027,1.8027,1.8027,1.8027
1975-01-27,1.8148,1.8148,1.8148,1.8148
1975-01-28,1.7892,1.7892,1.7892,1.7892
1975-01-29,1.7866,1.7866,1.7866,1.7866
1975-01-30,1.79,1.79,1.79,1.79
1975-01-31,1.7983,1.7983,1.7983,1.7983
1975-02-03,1.7936,1.7936,1.7936,1.7936
1975-02-04,1.7894,1.7894,1.7894,1.7894
1975-02-05,1.7898,1.7898,1.7898,1.7898
1975-02-06,1.7885,1.7885,1.7885,1.7885
1975-02-07,1.7955,1.7955,1.7955,1.7955
1975-02-10,1.8045,1.8045,1.8045,1.8045
1975-02-11,1.7902,1.7902,1.7902,1.7902
1975-02-12,1.7948,1.7948,1.7948,1.7948
1975-02-13,1.7957,1.7957,1.7957,1.7957
1975-02-14,1.7947,1.7947,1.7947,1.7947
1975-02-17,1.7965,1.7965,1.7965,1.7965
1975-02-18,1.7962,1.7962,1.7962,1.7962
1975-02-19,1.7986,1.7986,1.7986,1.7986
1975-02-20,1.7985,1.7985,1.7985,1.7985
1975-02-21,1.7971,1.7971,1.7971,1.7971
1975-02-24,1.8099,1.8099,1.8099,1.8099
1975-02-25,1.7967,1.7967,1.7967,1.7967
1975-02-26,1.8024,1.8024,1.8024,1.8024
1975-02-27,1.8044,1.8044,1.8044,1.8044
1975-02-28,1.8013,1.8013,1.8013,1.8013
1975-03-03,1.8032,1.8032,1.8032,1.8032
1975-03-04,1.801,1.801,1.801,1.801
1975-03-05,1.8054,1.8054,1.8054,1.8054
1975-03-06,1.7984,1.7984,1.7984,1.7984
1975-03-07,1.7876,1.7876,1.7876,1.7876
1975-03-10,1.7937,1.7937,1.7937,1.7937
1975-03-11,1.8067,1.8067,1.8067,1.8067
1975-03-12,1.798,1.798,1.798,1.798
1975-03-13,1.804,1.804,1.804,1.804
1975-03-14,1.8023,1.8023,1.8023,1.8023
1975-03-17,1.8019,1.8019,1.8019,1.8019
1975-03-18,1.806,1.806,1.806,1.806
1975-03-19,1.8053,1.8053,1.8053,1.8053
1975-03-20,1.8024,1.8024,1.8024,1.8024
1975-03-21,1.7998,1.7998,1.7998,1.7998
1975-03-24,1.7972,1.7972,1.7972,1.7972
1975-03-25,1.8026,1.8026,1.8026,1.8026
1975-03-26,1.8004,1.8004,1.8004,1.8004
1975-03-27,1.7957,1.7957,1.7957,1.7957
1975-04-01,1.8037,1.8037,1.8037,1.8037
1975-04-02,1.8023,1.8023,1.8023,1.8023
1975-04-03,1.798,1.798,1.798,1.798
1975-04-04,1.7894,1.7894,1.7894,1.7894
1975-04-07,1.7907,1.7907,1.7907,1.7907
1975-04-08,1.7953,1.7953,1.7953,1.7953
1975-04-09,1.7901,1.7901,1.7901,1.7901
1975-04-10,1.7806,1.7806,1.7806,1.7806
1975-04-11,1.7881,1.7881,1.7881,1.7881
1975-04-14,1.7787,1.7787,1.7787,1.7787
1975-04-15,1.7888,1.7888,1.7888,1.7888
1975-04-16,1.7879,1.7879,1.7879,1.7879
1975-04-17,1.7894,1.7894,1.7894,1.7894
1975-04-18,1.7902,1.7902,1.7902,1.7902
1975-04-21,1.7803,1.7803,1.7803,1.7803
1975-04-22,1.7793,1.7793,1.7793,1.7793
1975-04-23,1.7936,1.7936,1.7936,1.7936
1975-04-24,1.7775,1.7775,1.7775,1.7775
1975-04-25,1.7721,1.7721,1.7721,1.7721
