time,open,high,low,close
1975-01-01,1.7824,1.8148,1.7793,1.7983
1975-02-03,1.7936,1.8099,1.7885,1.8013
1975-03-03,1.8032,1.8067,1.7876,1.7957
1975-04-01,1.8037,1.8037,1.7721,1.7794
1975-05-01,1.7783,1.7783,1.7506,1.76
1975-06-02,1.7612,1.7633,1.6927,1.6927
1975-07-01,1.6994,1.7219,1.6994,1.7028
1975-08-01,1.702,1.9937,1.6708,1.9869
1975-09-01,1.984,1.9894,1.9515,1.9624
1975-10-01,1.957,1.9757,1.9505,1.9735
1975-11-03,1.9657,1.9691,1.9416,1.9416
1975-12-01,1.9434,1.9517,1.9434,1.9481
1976-01-01,1.9489,1.9558,1.9396,1.9474
1976-02-02,1.9481,1.9492,1.9378,1.9425
1976-03-01,1.9433,1.9433,1.8799,1.8811
1976-04-01,1.8536,1.8588,1.8251,1.8418
1976-05-03,1.8293,1.8411,1.7903,1.7903
1976-06-01,1.7895,1.8188,1.764,1.8069
1976-07-01,1.8119,1.8176,1.7841,1.7895
1976-08-02,1.7967,1.7998,1.7717,1.7814
1976-09-01,1.7783,1.7796,1.7118,1.7181
1976-10-01,1.7228,1.7361,1.6484,1.6695
1976-11-01,1.6769,1.8339,1.6769,1.8339
1976-12-01,1.8469,1.8561,1.7896,1.8012
1977-01-03,1.8005,1.8151,1.7956,1.8034
1977-02-01,1.8098,1.8098,1.7879,1.7935
1977-03-01,1.7935,1.8002,1.791,1.7918
1977-04-01,1.7911,1.7919,1.783,1.7919
1977-05-02,1.7913,1.7918,1.7879,1.7904
1977-06-01,1.7901,1.7901,1.7798,1.7798
1977-07-01,1.7785,1.7839,1.7681,1.7839
1977-08-01,1.7899,1.8074,1.7877,1.8005
1977-09-01,1.7999,1.802,1.7989,1.8015
1977-10-03,1.7994,1.8488,1.7985,1.8488
1977-11-01,1.848,1.848,1.8164,1.8265
1977-12-01,1.8255,1.8883,1.821,1.8883
1978-01-02,1.9106,1.9106,1.8783,1.9081
1978-02-01,1.9071,1.9116,1.8885,1.8947
1978-03-01,1.8893,1.8925,1.826,1.826
1978-04-03,1.8158,1.8311,1.7997,1.7997
1978-05-01,1.8067,1.8187,1.7997,1.8085
1978-06-01,1.8072,1.8113,1.7972,1.8063
1978-07-03,1.8111,1.8451,1.8111,1.8355
1978-08-01,1.8288,1.8628,1.8288,1.8495
1978-09-01,1.8499,1.8673,1.8418,1.8613
1978-10-02,1.8593,1.9087,1.8575,1.8993
1978-11-01,1.8746,1.8746,1.8509,1.8588
1978-12-01,1.8615,1.9182,1.8581,1.9182
1979-01-01,1.9341,1.9341,1.8909,1.8917
1979-02-01,1.8912,1.9186,1.8896,1.9174
1979-03-01,1.9217,1.9588,1.92,1.9588
1979-04-02,1.9644,1.992,1.955,1.9813
1979-05-01,1.976,1.9903,1.9546,1.9875
1979-06-01,1.9851,2.1528,1.9808,2.1528
1979-07-02,2.1651,2.2612,2.1651,2.2261
1979-08-01,2.2278,2.2323,2.1788,2.2289
1979-09-03,2.2233,2.2244,2.1577,2.1943
1979-10-01,2.1895,2.1932,2.0768,2.154
1979-11-01,2.1543,2.2853,2.1348,2.2509
1979-12-03,2.2617,2.2777,2.2083,2.2635
1980-01-01,2.267,2.3163,2.267,2.3052
1980-02-01,2.3192,2.3516,2.3192,2.3448
1980-03-03,2.3251,2.3251,2.2987,2.3009
1980-04-01,2.2912,2.368,2.2912,2.3332
1980-05-01,2.344,2.3873,2.3352,2.3856
1980-06-02,2.3689,2.388,2.3435,2.388
1980-07-01,2.3899,2.4327,2.3817,2.4046
1980-08-01,2.399,2.4426,2.399,2.4406
1980-09-01,2.4574,2.4628,2.4256,2.4358
1980-10-01,2.4317,2.4992,2.4284,2.4987
1980-11-03,2.5017,2.5124,2.4425,2.4632
1980-12-01,2.4607,2.4932,2.4389,2.487
1981-01-01,2.4753,2.5201,2.4753,2.5037
1981-02-02,2.4815,2.5298,2.3948,2.3948
1981-03-02,2.3855,2.4565,2.3855,2.4489
1981-04-01,2.4465,2.4492,2.3879,2.3913
1981-05-01,2.3898,2.3898,2.3512,2.3774
1981-06-01,2.3619,2.3619,2.2543,2.2805
1981-07-01,2.2491,2.2524,2.2157,2.2332
1981-08-03,2.2066,2.2546,2.1653,2.2281
1981-09-01,2.2221,2.2263,2.158,2.2079
1981-10-01,2.2267,2.2747,2.2159,2.2479
1981-11-02,2.2592,2.3431,2.2592,2.3431
1981-12-01,2.3214,2.3357,2.2588,2.322
1982-01-01,2.3307,2.3398,2.2774,2.3398
1982-02-01,2.3338,2.3363,2.3076,2.3217
1982-03-01,2.3248,2.3405,2.3103,2.3311
1982-04-01,2.3273,2.3316,2.2881,2.3277
1982-05-03,2.3448,2.3677,2.3158,2.3546
1982-06-01,2.3493,2.3617,2.327,2.3475
1982-07-01,2.3404,2.3842,2.3243,2.3842
1982-08-02,2.3642,2.3914,2.3229,2.3612
1982-09-01,2.3628,2.3819,2.3547,2.3636
1982-10-01,2.3609,2.3891,2.3591,2.3679
1982-11-01,2.3702,2.376,2.2161,2.2456
1982-12-01,2.2595,2.2607,2.1962,2.2082
1983-01-03,2.2023,2.2053,2.107,2.1157
1983-02-01,2.1291,2.142,2.1165,2.1181
1983-03-01,2.1158,2.3139,2.1158,2.2707
1983-04-01,2.293,2.3785,2.293,2.3695
1983-05-02,2.3883,2.4232,2.3437,2.4232
1983-06-01,2.4058,2.4065,2.3295,2.3411
1983-07-01,2.3381,2.3531,2.3235,2.3285
1983-08-01,2.3153,2.3291,2.287,2.3032
1983-09-01,2.3112,2.3137,2.272,2.272
1983-10-03,2.254,2.2891,2.2485,2.259
1983-11-01,2.2629,2.2629,2.2224,2.2286
1983-12-01,2.2047,2.2194,2.1881,2.2185
1984-01-02,2.1978,2.1978,2.1582,2.1613
1984-02-01,2.1601,2.2388,2.1601,2.2388
1984-03-01,2.2266,2.2393,2.1593,2.1716
1984-04-02,2.1678,2.1789,2.1349,2.1349
1984-05-01,2.1326,2.1591,2.1273,2.1426
1984-06-01,2.1502,2.1571,2.1293,2.1393
1984-07-02,2.1346,2.6757,2.104,2.6512
1984-08-01,2.6324,2.6503,2.6139,2.6222
1984-09-03,2.6072,2.6113,2.5222,2.5435
1984-10-01,2.5431,2.554,2.4666,2.4927
1984-11-01,2.4956,2.5649,2.4554,2.4717
1984-12-03,2.4623,2.4852,2.4353,2.4353
1985-01-01,2.4218,2.4392,2.3726,2.4036
1985-02-01,2.4041,2.4649,2.3628,2.4342
1985-03-01,2.4919,2.6747,2.2605,2.6566
1985-04-01,2.6551,2.8278,2.6265,2.728
1985-05-01,2.6935,2.8544,2.6626,2.8544
1985-06-03,2.8627,2.8627,2.7107,2.7107
1985-07-01,2.6874,2.8853,2.6779,2.6905
1985-08-01,2.6271,2.6723,2.5047,2.5742
1985-09-02,2.5465,2.6701,2.46,2.5699
1985-10-01,2.5229,2.5625,2.4039,2.5089
1985-11-01,2.4948,2.601,2.4256,2.601
1985-12-02,2.6023,2.9958,2.5501,2.8881
1986-01-01,2.8755,2.9006,2.6049,2.6304
1986-02-03,2.5998,2.86,2.5937,2.7734
1986-03-03,2.7563,2.8184,2.7294,2.7652
1986-04-01,2.7125,2.7728,2.6247,2.6587
1986-05-01,2.6567,2.7675,2.6103,2.6155
1986-06-02,2.6238,2.8858,2.6238,2.7933
1986-07-01,2.8668,2.9114,2.7617,2.8665
1986-08-01,2.8671,3.0867,2.8395,3.0576
1986-09-01,3.0627,3.1583,2.9156,2.9654
1986-10-01,2.9599,2.9599,2.7747,2.7781
1986-11-03,2.8002,2.8264,2.723,2.8136
1986-12-01,2.8855,2.8855,2.7331,2.7968
1987-01-01,2.8413,2.8972,2.7125,2.7994
1987-02-02,2.8011,2.8087,2.7591,2.7591
1987-03-02,2.7757,2.8913,2.7749,2.8159
1987-04-01,2.8082,2.8728,2.7967,2.8728
1987-05-01,2.9007,2.9379,2.8094,2.8317
1987-06-01,2.813,2.8503,2.6923,2.7224
1987-07-01,2.7246,2.8204,2.616,2.7966
1987-08-03,2.7555,2.7578,2.6754,2.6955
1987-09-01,2.6919,2.6919,2.503,2.5186
1987-10-01,2.5124,2.9362,2.467,2.9056
1987-11-02,2.8818,2.9081,2.8293,2.8293
1987-12-01,2.802,2.8655,2.7926,2.8582
1988-01-01,2.8535,2.8535,2.6443,2.6839
1988-02-01,2.6463,2.6682,2.6145,2.6682
1988-03-01,2.6991,2.9308,2.6639,2.9308
1988-04-01,2.8758,2.886,2.7879,2.7935
1988-05-02,2.7448,2.7448,2.6554,2.6554
1988-06-01,2.6165,2.6165,2.459,2.5342
1988-07-01,2.517,2.6045,2.4769,2.5814
1988-08-01,2.5872,2.7937,2.5112,2.74
1988-09-01,2.7661,2.7939,2.7111,2.754
1988-10-03,2.7744,2.8562,2.7551,2.8267
1988-11-01,2.8242,2.8562,2.8,2.8214
1988-12-01,2.8676,2.9708,2.8264,2.8744
1989-01-02,2.8764,2.9194,2.7835,2.9194
1989-02-01,2.8777,2.8927,2.793,2.8009
1989-03-01,2.7847,2.8167,2.7408,2.7447
1989-04-03,2.7421,2.8114,2.7421,2.7438
1989-05-01,2.7311,2.7311,2.6467,2.6898
1989-06-01,2.6901,2.7624,2.6439,2.704
1989-07-03,2.7521,2.8668,2.7521,2.8369
1989-08-01,2.8056,2.8056,2.649,2.649
1989-09-01,2.6264,2.7464,2.6121,2.7464
1989-10-02,2.752,2.7826,2.6433,2.6861
1989-11-01,2.692,2.7025,2.6446,2.6619
1989-12-01,2.6539,2.7198,2.6509,2.716
1990-01-01,2.7226,2.8227,2.6798,2.791
1990-02-01,2.8121,2.9152,2.7986,2.875
1990-03-01,2.8426,2.8426,2.7298,2.842
1990-04-02,2.8202,2.8504,2.808,2.8445
1990-05-01,2.8825,2.9545,2.8671,2.9083
1990-06-01,2.9285,2.967,2.8957,2.9645
1990-07-02,2.9793,3.1416,2.9793,3.1416
1990-08-01,3.1195,3.1396,3.0728,3.0728
1990-09-03,3.0411,3.0699,2.985,3.0415
1990-10-01,3.0528,3.293,3.051,3.1644
