time,open,high,low,close
1971-01-04,2.3938,2.3938,2.3938,2.3938
1971-01-05,2.3949,2.3949,2.3949,2.3949
1971-01-06,2.3967,2.3967,2.3967,2.3967
1971-01-07,2.3963,2.3963,2.3963,2.3963
1971-01-08,2.3972,2.3972,2.3972,2.3972
1971-01-11,2.3992,2.3992,2.3992,2.3992
1971-01-12,2.4001,2.4001,2.4001,2.4001
1971-01-13,2.4021,2.4021,2.4021,2.4021
1971-01-14,2.4071,2.4071,2.4071,2.4071
1971-01-15,2.4057,2.4057,2.4057,2.4057
1971-01-18,2.4052,2.4052,2.4052,2.4052
1971-01-19,2.4081,2.4081,2.4081,2.4081
1971-01-20,2.408,2.408,2.408,2.408
1971-01-21,2.4092,2.4092,2.4092,2.4092
1971-01-22,2.4103,2.4103,2.4103,2.4103
1971-01-25,2.4147,2.4147,2.4147,2.4147
1971-01-26,2.416,2.416,2.416,2.416
1971-01-27,2.4161,2.4161,2.4161,2.4161
1971-01-28,2.4169,2.4169,2.4169,2.4169
1971-01-29,2.4174,2.4174,2.4174,2.4174
1971-02-01,2.4184,2.4184,2.4184,2.4184
1971-02-02,2.4181,2.4181,2.4181,2.4181
1971-02-03,2.4184,2.4184,2.4184,2.4184
1971-02-04,2.4167,2.4167,2.4167,2.4167
1971-02-05,2.4147,2.4147,2.4147,2.4147
1971-02-08,2.4182,2.4182,2.4182,2.4182
1971-02-09,2.4151,2.4151,2.4151,2.4151
1971-02-10,2.4159,2.4159,2.4159,2.4159
1971-02-11,2.4158,2.4158,2.4158,2.4158
1971-02-16,2.4193,2.4193,2.4193,2.4193
1971-02-17,2.4193,2.4193,2.4193,2.4193
1971-02-18,2.4191,2.4191,2.4191,2.4191
1971-02-19,2.419,2.419,2.419,2.419
1971-02-22,2.4192,2.4192,2.4192,2.4192
1971-02-23,2.4193,2.4193,2.4193,2.4193
1971-02-24,2.4193,2.4193,2.4193,2.4193
1971-02-25,2.4177,2.4177,2.4177,2.4177
1971-02-26,2.416,2.416,2.416,2.416
1971-03-01,2.4162,2.4162,2.4162,2.4162
1971-03-02,2.4184,2.4184,2.4184,2.4184
1971-03-03,2.4193,2.4193,2.4193,2.4193
1971-03-04,2.4179,2.4179,2.4179,2.4179
1971-03-05,2.4183,2.4183,2.4183,2.4183
1971-03-08,2.4192,2.4192,2.4192,2.4192
1971-03-09,2.4188,2.4188,2.4188,2.4188
1971-03-10,2.4192,2.4192,2.4192,2.4192
1971-03-11,2.4188,2.4188,2.4188,2.4188
1971-03-12,2.4193,2.4193,2.4193,2.4193
1971-03-15,2.4193,2.4193,2.4193,2.4193
1971-03-16,2.4183,2.4183,2.4183,2.4183
1971-03-17,2.4194,2.4194,2.4194,2.4194
1971-03-18,2.419,2.419,2.419,2.419
1971-03-19,2.419,2.419,2.419,2.419
1971-03-22,2.4193,2.4193,2.4193,2.4193
1971-03-23,2.4193,2.4193,2.4193,2.4193
1971-03-24,2.4194,2.4194,2.4194,2.4194
1971-03-25,2.4185,2.4185,2.4185,2.4185
1971-03-26,2.4188,2.4188,2.4188,2.4188
1971-03-29,2.4194,2.4194,2.4194,2.4194
1971-03-30,2.4181,2.4181,2.4181,2.4181
1971-03-31,2.4168,2.4168,2.4168,2.4168
1971-04-01,2.4147,2.4147,2.4147,2.4147
1971-04-02,2.4125,2.4125,2.4125,2.4125
1971-04-05,2.4161,2.4161,2.4161,2.4161
1971-04-06,2.4189,2.4189,2.4189,2.4189
1971-04-07,2.417,2.417,2.417,2.417
1971-04-08,2.4167,2.4167,2.4167,2.4167
1971-04-09,2.4167,2.4167,2.4167,2.4167
1971-04-12,2.4169,2.4169,2.4169,2.4169
1971-04-13,2.4167,2.4167,2.4167,2.4167
1971-04-14,2.418,2.418,2.418,2.418
1971-04-15,2.4187,2.4187,2.4187,2.4187
1971-04-16,2.4186,2.4186,2.4186,2.4186
1971-04-19,2.4193,2.4193,2.4193,2.4193
1971-04-20,2.4193,2.4193,2.4193,2.4193
1971-04-21,2.4196,2.4196,2.4196,2.4196
1971-04-22,2.4187,2.4187,2.4187,2.4187
1971-04-23,2.4189,2.4189,2.4189,2.4189
1971-04-26,2.4188,2.4188,2.4188,2.4188
1971-04-27,2.419,2.419,2.419,2.419
1971-04-28,2.4195,2.4195,2.4195,2.4195
1971-04-29,2.4192,2.4192,2.4192,2.4192
1971-04-30,2.4193,2.4193,2.4193,2.4193
1971-05-03,2.4189,2.4189,2.4189,2.4189
1971-05-04,2.4185,2.4185,2.4185,2.4185
1971-05-05,2.4194,2.4194,2.4194,2.4194
1971-05-06,2.4185,2.4185,2.4185,2.4185
1971-05-07,2.4188,2.4188,2.4188,2.4188
1971-05-10,2.4173,2.4173,2.4173,2.4173
1971-05-11,2.417,2.417,2.417,2.417
1971-05-12,2.4183,2.4183,2.4183,2.4183
1971-05-13,2.4183,2.4183,2.4183,2.4183
1971-05-14,2.4186,2.4186,2.4186,2.4186
1971-05-17,2.4193,2.4193,2.4193,2.4193
1971-05-18,2.419,2.419,2.419,2.419
1971-05-19,2.4194,2.4194,2.4194,2.4194
1971-05-20,2.4193,2.4193,2.4193,2.4193
1971-05-21,2.4194,2.4194,2.4194,2.4194
1971-05-24,2.4194,2.4194,2.4194,2.4194
1971-05-25,2.419,2.419,2.419,2.419
1971-05-26,2.4194,2.4194,2.4194,2.4194
1971-05-27,2.4187,2.4187,2.4187,2.4187
1971-05-28,2.4178,2.4178,2.4178,2.4178
1971-06-01,2.4162,2.4162,2.4162,2.4162
1971-06-02,2.417,2.417,2.417,2.417
1971-06-03,2.4188,2.4188,2.4188,2.4188
1971-06-04,2.419,2.419,2.419,2.419
1971-06-07,2.4192,2.4192,2.4192,2.4192
1971-06-08,2.4188,2.4188,2.4188,2.4188
1971-06-09,2.4194,2.4194,2.4194,2.4194
1971-06-10,2.4193,2.4193,2.4193,2.4193
1971-06-11,2.4194,2.4194,2.4194,2.4194
1971-06-14,2.4186,2.4186,2.4186,2.4186
1971-06-15,2.4187,2.4187,2.4187,2.4187
1971-06-16,2.4193,2.4193,2.4193,2.4193
1971-06-17,2.4189,2.4189,2.4189,2.4189
1971-06-18,2.4191,2.4191,2.4191,2.4191
1971-06-21,2.4191,2.4191,2.4191,2.4191
1971-06-22,2.419,2.419,2.419,2.419
1971-06-23,2.4195,2.4195,2.4195,2.4195
1971-06-24,2.4191,2.4191,2.4191,2.4191
1971-06-25,2.4191,2.4191,2.4191,2.4191
1971-06-28,2.4185,2.4185,2.4185,2.4185
1971-06-29,2.419,2.419,2.419,2.419
1971-06-30,2.4196,2.4196,2.4196,2.4196
1971-07-01,2.419,2.419,2.419,2.419
1971-07-02,2.419,2.419,2.419,2.419
1971-07-06,2.4181,2.4181,2.4181,2.4181
1971-07-07,2.4187,2.4187,2.4187,2.4187
1971-07-08,2.4185,2.4185,2.4185,2.4185
1971-07-09,2.4183,2.4183,2.4183,2.4183
1971-07-12,2.4182,2.4182,2.4182,2.4182
1971-07-13,2.418,2.418,2.418,2.418
1971-07-14,2.4187,2.4187,2.4187,2.4187
1971-07-15,2.4187,2.4187,2.4187,2.4187
1971-07-16,2.4189,2.4189,2.4189,2.4189
1971-07-19,2.4183,2.4183,2.4183,2.4183
1971-07-20,2.4182,2.4182,2.4182,2.4182
1971-07-21,2.4191,2.4191,2.4191,2.4191
1971-07-22,2.4188,2.4188,2.4188,2.4188
1971-07-23,2.419,2.419,2.419,2.419
1971-07-26,2.418,2.418,2.418,2.418
1971-07-27,2.4178,2.4178,2.4178,2.4178
1971-07-28,2.4185,2.4185,2.4185,2.4185
1971-07-29,2.4184,2.4184,2.4184,2.4184
1971-07-30,2.4184,2.4184,2.4184,2.4184
1971-08-02,2.4175,2.4175,2.4175,2.4175
1971-08-03,2.417,2.417,2.417,2.417
1971-08-04,2.4193,2.4193,2.4193,2.4193
1971-08-05,2.4183,2.4183,2.4183,2.4183
1971-08-06,2.4185,2.4185,2.4185,2.4185
1971-08-09,2.4192,2.4192,2.4192,2.4192
1971-08-10,2.4187,2.4187,2.4187,2.4187
1971-08-11,2.4197,2.4197,2.4197,2.4197
1971-08-12,2.4196,2.4196,2.4196,2.4196
1971-08-13,2.4195,2.4195,2.4195,2.4195
1971-08-23,2.435,2.435,2.435,2.435
1971-08-24,2.4447,2.4447,2.4447,2.4447
1971-08-25,2.4589,2.4589,2.4589,2.4589
1971-08-26,2.4723,2.4723,2.4723,2.4723
1971-08-27,2.4693,2.4693,2.4693,2.4693
1971-08-30,2.4677,2.4677,2.4677,2.4677
1971-08-31,2.4535,2.4535,2.4535,2.4535
1971-09-01,2.4541,2.4541,2.4541,2.4541
1971-09-02,2.4576,2.4576,2.4576,2.4576
1971-09-03,2.459,2.459,2.459,2.459
1971-09-07,2.4583,2.4583,2.4583,2.4583
1971-09-08,2.4584,2.4584,2.4584,2.4584
1971-09-09,2.4587,2.4587,2.4587,2.4587
1971-09-10,2.4592,2.4592,2.4592,2.4592
1971-09-13,2.4602,2.4602,2.4602,2.4602
1971-09-14,2.467,2.467,2.467,2.467
1971-09-15,2.4709,2.4709,2.4709,2.4709
1971-09-16,2.471,2.471,2.471,2.471
1971-09-17,2.472,2.472,2.472,2.472
1971-09-20,2.4743,2.4743,2.4743,2.4743
1971-09-21,2.4733,2.4733,2.4733,2.4733
1971-09-22,2.474,2.474,2.474,2.474
1971-09-23,2.4805,2.4805,2.4805,2.4805
1971-09-24,2.4825,2.4825,2.4825,2.4825
1971-09-27,2.4803,2.4803,2.4803,2.4803
1971-09-28,2.4782,2.4782,2.4782,2.4782
1971-09-29,2.4838,2.4838,2.4838,2.4838
1971-09-30,2.4847,2.4847,2.4847,2.4847
1971-10-01,2.4892,2.4892,2.4892,2.4892
1971-10-04,2.4889,2.4889,2.4889,2.4889
1971-10-05,2.4894,2.4894,2.4894,2.4894
1971-10-06,2.4882,2.4882,2.4882,2.4882
1971-10-07,2.4894,2.4894,2.4894,2.4894
1971-10-08,2.4802,2.4802,2.4802,2.4802
1971-10-12,2.4895,2.4895,2.4895,2.4895
1971-10-13,2.4891,2.4891,2.4891,2.4891
1971-10-14,2.4806,2.4806,2.4806,2.4806
1971-10-15,2.4889,2.4889,2.4889,2.4889
