time,open,high,low,close
1971-01-01,2.3938,2.4174,2.3938,2.4174
1971-02-01,2.4184,2.4193,2.4147,2.416
1971-03-01,2.4162,2.4194,2.4162,2.4168
1971-04-01,2.4147,2.4196,2.4125,2.4193
1971-05-03,2.4189,2.4194,2.417,2.4178
1971-06-01,2.4162,2.4196,2.4162,2.4196
1971-07-01,2.419,2.4191,2.4178,2.4184
1971-08-02,2.4175,2.4723,2.417,2.4535
1971-09-01,2.4541,2.4847,2.4541,2.4847
1971-10-01,2.4892,2.4945,2.4802,2.4914
1971-11-01,2.4927,2.4939,2.4925,2.4937
1971-12-01,2.4939,2.5538,2.493,2.552
1972-01-03,2.552,2.5937,2.549,2.5937
1972-02-01,2.5998,2.607,2.5937,2.6059
1972-03-01,2.6058,2.644,2.6058,2.6163
1972-04-03,2.616,2.616,2.6068,2.611
1972-05-01,2.611,2.6152,2.6105,2.613
1972-06-01,2.6125,2.6125,2.441,2.441
1972-07-03,2.421,2.4537,2.421,2.4498
1972-08-01,2.4485,2.4542,2.446,2.4483
1972-09-01,2.4489,2.4496,2.4195,2.4195
1972-10-02,2.4242,2.4242,2.33,2.3405
1972-11-01,2.3565,2.3595,2.3447,2.3522
1972-12-01,2.3474,2.3504,2.338,2.348
1973-01-01,2.3472,2.3817,2.3472,2.3817
1973-02-01,2.3871,2.49,2.364,2.49
1973-03-01,2.5,2.5,2.447,2.4755
1973-04-02,2.4776,2.489,2.4762,2.489
1973-05-01,2.4883,2.5695,2.4883,2.5661
1973-06-01,2.573,2.583,2.57,2.581
1973-07-02,2.5802,2.5802,2.485,2.499
1973-08-01,2.517,2.517,2.457,2.458
1973-09-03,2.441,2.441,2.4065,2.4135
1973-10-01,2.4135,2.4525,2.4115,2.4385
1973-11-01,2.4345,2.4345,2.336,2.343
1973-12-03,2.34,2.34,2.3065,2.3225
1974-01-01,2.3045,2.3045,2.1735,2.286
1974-02-01,2.2765,2.3155,2.2335,2.3015
1974-03-01,2.286,2.402,2.2795,2.393
1974-04-01,2.396,2.432,2.3555,2.424
1974-05-01,2.4185,2.435,2.391,2.396
1974-06-03,2.398,2.408,2.3555,2.3905
1974-07-01,2.386,2.398,2.3825,2.387
1974-08-01,2.383,2.3845,2.3125,2.3162
1974-09-02,2.31,2.3325,2.31,2.3325
1974-10-01,2.3362,2.341,2.325,2.3355
1974-11-01,2.338,2.3472,2.299,2.3255
1974-12-02,2.3245,2.347,2.306,2.347
1975-01-01,2.333,2.4,2.333,2.3825
1975-02-03,2.375,2.4305,2.368,2.43
1975-03-03,2.4318,2.4318,2.404,2.406
1975-04-01,2.408,2.408,2.346,2.351
1975-05-01,2.3482,2.3482,2.299,2.316
1975-06-02,2.32,2.3225,2.1935,2.1935
1975-07-01,2.209,2.209,2.154,2.154
1975-08-01,2.1475,2.1475,2.102,2.11
1975-09-01,2.109,2.112,2.0365,2.043
1975-10-01,2.04,2.078,2.0375,2.078
1975-11-03,2.0745,2.0745,2.02,2.02
1975-12-01,2.021,2.029,2.017,2.0235
1976-01-01,2.0245,2.0345,2.023,2.0295
1976-02-02,2.0285,2.0311,2.0224,2.0252
1976-03-01,2.0239,2.0245,1.9125,1.9159
1976-04-01,1.884,1.884,1.8185,1.84
1976-05-03,1.828,1.8385,1.7595,1.7595
1976-06-01,1.754,1.785,1.7089,1.785
1976-07-01,1.79,1.8025,1.774,1.785
1976-08-02,1.788,1.7943,1.77,1.7775
1976-09-01,1.775,1.775,1.636,1.66
1976-10-01,1.666,1.6705,1.5665,1.588
1976-11-01,1.5875,1.679,1.5875,1.651
1976-12-01,1.6623,1.706,1.6567,1.701
1977-01-03,1.704,1.7195,1.704,1.715
1977-02-01,1.7153,1.7177,1.6969,1.713
1977-03-01,1.7132,1.7206,1.7132,1.72
1977-04-01,1.7194,1.7198,1.718,1.7192
1977-05-02,1.7195,1.7196,1.7165,1.7191
1977-06-01,1.719,1.7209,1.7169,1.7197
1977-07-01,1.7197,1.7372,1.7194,1.7365
1977-08-01,1.7375,1.7428,1.7373,1.7428
1977-09-01,1.7422,1.7476,1.7411,1.7476
1977-10-03,1.7559,1.8395,1.7555,1.8395
1977-11-01,1.844,1.844,1.8033,1.817
1977-12-01,1.8168,1.917,1.8168,1.917
1978-01-02,1.961,1.961,1.8865,1.9475
1978-02-01,1.9481,1.953,1.925,1.941
1978-03-01,1.939,1.941,1.862,1.862
1978-04-03,1.8645,1.88,1.8147,1.823
1978-05-01,1.8255,1.8335,1.807,1.8335
1978-06-01,1.8257,1.865,1.82,1.861
1978-07-03,1.8674,1.931,1.8674,1.931
1978-08-01,1.927,1.9805,1.922,1.943
1978-09-01,1.95,1.98,1.9362,1.975
1978-10-02,1.9715,2.098,1.9715,2.076
1978-11-01,2.01,2.01,1.928,1.944
1978-12-01,1.9377,2.0415,1.9377,2.0415
1979-01-01,2.03,2.03,1.9896,1.9896
1979-02-01,1.9805,2.0234,1.979,2.0234
1979-03-01,2.0231,2.0625,2.022,2.0625
1979-04-02,2.0673,2.1025,2.0365,2.068
1979-05-01,2.0595,2.0826,2.0415,2.07
1979-06-01,2.074,2.181,2.062,2.181
1979-07-02,2.1885,2.329,2.1885,2.2475
1979-08-01,2.2695,2.2695,2.2105,2.2527
1979-09-03,2.2391,2.2495,2.1448,2.203
1979-10-01,2.1925,2.1925,2.0673,2.0745
1979-11-01,2.071,2.199,2.0665,2.199
1979-12-03,2.213,2.2455,2.1665,2.2185
1980-01-01,2.2427,2.2855,2.237,2.2667
1980-02-01,2.274,2.3131,2.272,2.273
1980-03-03,2.242,2.242,2.16,2.16
1980-04-01,2.1515,2.283,2.135,2.2585
1980-05-01,2.259,2.37,2.2555,2.3425
1980-06-02,2.3365,2.3555,2.303,2.3555
1980-07-01,2.3615,2.3965,2.3425,2.3425
1980-08-01,2.333,2.396,2.333,2.396
1980-09-01,2.418,2.418,2.384,2.387
1980-10-01,2.391,2.442,2.386,2.4365
1980-11-03,2.443,2.446,2.339,2.3575
1980-12-01,2.3485,2.39,2.309,2.389
1981-01-01,2.382,2.427,2.3655,2.3655
1981-02-02,2.349,2.356,2.204,2.204
1981-03-02,2.1805,2.2805,2.1805,2.2325
1981-04-01,2.246,2.246,2.1395,2.1395
1981-05-01,2.143,2.143,2.06,2.07
1981-06-01,2.0575,2.0575,1.93,1.93
1981-07-01,1.9025,1.9025,1.84,1.84
1981-08-03,1.8015,1.8765,1.771,1.845
1981-09-01,1.832,1.854,1.779,1.803
1981-10-01,1.831,1.901,1.805,1.862
1981-11-02,1.8725,1.956,1.867,1.955
1981-12-01,1.9455,1.9525,1.8655,1.915
1982-01-01,1.926,1.926,1.8545,1.879
1982-02-01,1.8605,1.87,1.82,1.82
1982-03-01,1.8217,1.8375,1.7775,1.781
1982-04-01,1.79,1.7945,1.7505,1.7945
1982-05-03,1.8135,1.837,1.7795,1.791
1982-06-01,1.7875,1.7962,1.7185,1.7355
1982-07-01,1.735,1.7665,1.7105,1.738
1982-08-02,1.7535,1.7665,1.6975,1.7205
1982-09-01,1.7205,1.735,1.6905,1.6945
1982-10-01,1.698,1.724,1.677,1.677
1982-11-01,1.6825,1.6825,1.5925,1.632
1982-12-01,1.6285,1.641,1.595,1.618
1983-01-03,1.6235,1.6235,1.5202,1.5202
1983-02-01,1.5235,1.551,1.5115,1.5115
1983-03-01,1.5045,1.5168,1.4543,1.4825
1983-04-01,1.4885,1.57,1.4885,1.5573
1983-05-02,1.5707,1.602,1.5528,1.6005
1983-06-01,1.59,1.59,1.522,1.5333
1983-07-01,1.531,1.5415,1.5165,1.52
1983-08-01,1.509,1.5308,1.4792,1.494
1983-09-01,1.4974,1.509,1.49,1.4977
1983-10-03,1.4835,1.509,1.475,1.4952
1983-11-01,1.4855,1.491,1.4587,1.463
1983-12-01,1.4578,1.4578,1.415,1.4515
1984-01-02,1.4287,1.4287,1.3963,1.4012
1984-02-01,1.41,1.4915,1.41,1.4905
1984-03-01,1.478,1.4845,1.43,1.4375
1984-04-02,1.433,1.437,1.398,1.398
1984-05-01,1.3975,1.413,1.3765,1.3855
1984-06-01,1.4035,1.4035,1.349,1.3575
1984-07-02,1.3508,1.3508,1.306,1.3073
1984-08-01,1.301,1.3275,1.301,1.3075
1984-09-03,1.292,1.292,1.221,1.234
1984-10-01,1.2375,1.2495,1.187,1.2185
1984-11-01,1.235,1.272,1.197,1.197
1984-12-03,1.1943,1.2085,1.158,1.158
1985-01-01,1.148,1.1535,1.11,1.1305
1985-02-01,1.124,1.124,1.052,1.079
1985-03-01,1.072,1.2375,1.0545,1.236
1985-04-01,1.2215,1.2935,1.1935,1.241
1985-05-01,1.2235,1.286,1.188,1.286
1985-06-03,1.2945,1.3095,1.2565,1.3095
1985-07-01,1.305,1.4278,1.304,1.411
1985-08-01,1.381,1.4075,1.338,1.391
1985-09-02,1.369,1.4375,1.3045,1.4085
1985-10-01,1.4105,1.441,1.4075,1.4405
1985-11-01,1.441,1.489,1.411,1.489
1985-12-02,1.4875,1.4875,1.415,1.439
1986-01-01,1.446,1.4549,1.3808,1.41
1986-02-03,1.3838,1.496,1.3783,1.442
1986-03-03,1.4395,1.519,1.432,1.4675
1986-04-01,1.467,1.559,1.441,1.5355
1986-05-01,1.536,1.554,1.471,1.4725
1986-06-02,1.472,1.5435,1.4645,1.5435
1986-07-01,1.543,1.552,1.4615,1.4935
1986-08-01,1.495,1.5065,1.4655,1.491
1986-09-01,1.49,1.507,1.428,1.4435
1986-10-01,1.443,1.4475,1.3945,1.406
1986-11-03,1.4055,1.4425,1.4055,1.434
1986-12-01,1.4355,1.488,1.4155,1.4865
1987-01-01,1.4865,1.5475,1.464,1.512
1987-02-02,1.512,1.55,1.496,1.548
1987-03-02,1.548,1.6225,1.5475,1.6055
1987-04-01,1.605,1.671,1.588,1.661
1987-05-01,1.661,1.6895,1.6055,1.63
1987-06-01,1.627,1.669,1.587,1.613
1987-07-01,1.6135,1.638,1.588,1.5905
1987-08-03,1.59,1.635,1.562,1.6285
1987-09-01,1.629,1.664,1.621,1.6245
1987-10-01,1.6245,1.732,1.613,1.7215
1987-11-02,1.723,1.834,1.721,1.8265
1987-12-01,1.826,1.8875,1.783,1.887
1988-01-01,1.887,1.893,1.7575,1.7655
1988-02-01,1.763,1.7755,1.727,1.774
1988-03-01,1.774,1.8885,1.7645,1.8835
1988-04-01,1.884,1.9055,1.8345,1.876
1988-05-02,1.876,1.894,1.8345,1.835
1988-06-01,1.8345,1.8365,1.695,1.711
1988-07-01,1.7115,1.755,1.6565,1.7085
1988-08-01,1.709,1.7345,1.671,1.684
1988-09-01,1.6845,1.7105,1.659,1.692
1988-10-03,1.691,1.782,1.6895,1.768
1988-11-01,1.767,1.8535,1.7565,1.853
1988-12-01,1.8525,1.872,1.7815,1.8115
1989-01-02,1.8115,1.8305,1.7465,1.752
1989-02-01,1.7515,1.782,1.7285,1.7425
1989-03-01,1.7425,1.747,1.675,1.686
1989-04-03,1.682,1.721,1.6695,1.686
1989-05-01,1.685,1.689,1.5525,1.571
1989-06-01,1.5705,1.6055,1.4935,1.5515
1989-07-03,1.5495,1.667,1.545,1.6645
1989-08-01,1.664,1.67,1.555,1.569
1989-09-01,1.5685,1.6305,1.533,1.6195
1989-10-02,1.619,1.626,1.538,1.579
1989-11-01,1.579,1.5925,1.555,1.5705
1989-12-01,1.5635,1.6325,1.5625,1.614
1990-01-01,1.6195,1.6882,1.606,1.6805
1990-02-01,1.6787,1.7165,1.677,1.6815
1990-03-01,1.6735,1.6764,1.588,1.647
1990-04-02,1.6235,1.6488,1.621,1.6415
