time,open,high,low,close
2007-01-23,1.9879,1.9905,1.9817,1.983
2007-01-24,1.9731,1.9732,1.9654,1.9673
2007-01-25,1.9696,1.9715,1.9636,1.9636
2007-01-26,1.9604,1.9612,1.9569,1.9593
2007-01-29,1.9564,1.9594,1.9552,1.9591
2007-01-30,1.9637,1.9656,1.9604,1.9618
2007-01-31,1.9531,1.9657,1.9494,1.9646
2007-02-01,1.9678,1.9709,1.9662,1.9695
2007-02-02,1.9686,1.9713,1.9644,1.9665
2007-02-05,1.9566,1.9614,1.9545,1.9594
2007-02-06,1.9707,1.9707,1.9707,1.9707
2007-02-07,1.9716,1.9722,1.9686,1.9695
2007-02-08,1.9611,1.9613,1.9556,1.958
2007-02-09,1.9474,1.9514,1.9471,1.9514
2007-02-12,1.9466,1.9488,1.9453,1.9469
2007-02-13,1.9428,1.9458,1.9422,1.9453
2007-02-14,1.9547,1.9636,1.9542,1.9618
2007-02-15,1.9563,1.9611,1.9525,1.9534
2007-02-16,1.9496,1.9515,1.9476,1.9507
2007-02-20,1.9498,1.9571,1.9498,1.9541
2007-02-21,1.9528,1.9547,1.9505,1.9546
2007-02-22,1.9503,1.9598,1.9494,1.9573
2007-02-23,1.9583,1.9649,1.9583,1.9635
2007-02-26,1.962,1.9638,1.9616,1.9631
2007-02-27,1.9639,1.9669,1.9629,1.9639
2007-02-28,1.9586,1.9633,1.9584,1.9633
2007-03-01,1.9625,1.9637,1.9569,1.9596
2007-03-02,1.9448,1.9461,1.9414,1.9444
2007-03-05,1.9209,1.927,1.9191,1.9229
2007-03-06,1.9276,1.9286,1.9242,1.9286
2007-03-07,1.9294,1.9338,1.9286,1.9336
2007-03-08,1.9312,1.9314,1.9279,1.9297
2007-03-09,1.9322,1.934,1.9289,1.9323
2007-03-12,1.9409,1.9409,1.9262,1.9317
2007-03-13,1.9295,1.9346,1.9291,1.9312
2007-03-14,1.9239,1.9359,1.9216,1.934
2007-03-15,1.9359,1.9376,1.9342,1.9365
2007-03-16,1.9477,1.95,1.9405,1.9417
2007-03-19,1.9433,1.9468,1.9427,1.944
2007-03-20,1.9574,1.9623,1.9567,1.9613
2007-03-21,1.9587,1.9687,1.9577,1.9687
2007-03-22,1.9697,1.9702,1.9619,1.9644
2007-03-23,1.9648,1.9666,1.96,1.9617
2007-03-26,1.9619,1.9719,1.9612,1.9697
2007-03-27,1.9647,1.9667,1.9639,1.9661
2007-03-28,1.964,1.9681,1.9612,1.9623
2007-03-29,1.9644,1.9651,1.962,1.9623
2007-03-30,1.959,1.9709,1.9557,1.9684
2007-04-02,1.9745,1.98,1.9745,1.9782
2007-04-03,1.9758,1.9786,1.9734,1.9739
2007-04-04,1.9738,1.9771,1.9726,1.9757
2007-04-05,1.9719,1.9719,1.9707,1.9711
2007-04-09,1.9625,1.9637,1.9595,1.9609
2007-04-10,1.9741,1.975,1.971,1.971
2007-04-11,1.9773,1.9787,1.9743,1.9752
2007-04-12,1.9767,1.9808,1.9761,1.9786
2007-04-13,1.9873,1.9885,1.9808,1.9858
2007-04-16,1.9913,1.9928,1.9888,1.9905
2007-04-17,2.0023,2.0069,2.0022,2.0051
2007-04-18,2.0087,2.0087,2.0028,2.0048
2007-04-19,2.0012,2.0031,2.0001,2.0024
2007-04-20,2.0038,2.0047,2.0013,2.0033
2007-04-23,2.0011,2.0024,1.9982,2.0013
2007-04-24,2.0007,2.0036,1.9989,1.9993
2007-04-25,2.0045,2.0057,2.002,2.0024
2007-04-26,1.9947,1.9947,1.9901,1.9924
2007-04-27,1.9992,2.0039,1.9957,1.9959
2007-04-30,1.9931,2.0029,1.9928,2.0007
2007-05-01,2.0045,2.007,1.9984,1.9995
2007-05-02,1.991,1.9923,1.9879,1.9903
2007-05-03,1.9927,1.9938,1.9861,1.9871
2007-05-04,1.987,1.9938,1.9864,1.9935
2007-05-07,1.9959,1.9967,1.9935,1.9941
2007-05-08,1.9925,1.9936,1.9882,1.9888
2007-05-09,1.9919,1.9984,1.9913,1.9946
2007-05-10,1.9891,1.9895,1.9773,1.9794
2007-05-11,1.9784,1.9839,1.9784,1.9811
2007-05-14,1.9813,1.9813,1.9793,1.9795
2007-05-15,1.9761,1.9866,1.9756,1.9849
2007-05-16,1.9833,1.9833,1.9764,1.9776
2007-05-17,1.9757,1.9774,1.9736,1.9752
2007-05-18,1.9718,1.9775,1.9707,1.975
2007-05-21,1.9689,1.9718,1.9683,1.971
2007-05-22,1.9722,1.9768,1.9722,1.9747
2007-05-23,1.9833,1.9891,1.9833,1.9859
2007-05-24,1.9869,1.9889,1.9844,1.986
2007-05-25,198.73,198.91,198.31,198.47
2007-05-29,198.51,198.71,197.96,198.03
2007-05-30,197.57,197.66,197.39,197.49
2007-05-31,197.75,198.08,197.56,197.87
2007-06-01,198.01,198.29,197.38,198.21
2007-06-04,198.7,199.19,198.7,199.06
2007-06-05,199.34,199.64,199.2,199.26
2007-06-06,199.3,199.38,199.13,199.29
2007-06-07,198.62,198.62,197.5,197.68
2007-06-08,197.68,197.79,196.38,196.86
2007-06-11,197.68,197.79,196.38,197
2007-06-12,197.68,197.85,196.38,197.49
2007-06-13,196.91,197.43,196.88,197.26
2007-06-14,196.91,197.43,196.69,197
2007-06-15,196.91,197.81,196.69,197.56
2007-06-18,198.12,198.39,198.12,198.32
2007-06-19,198.12,198.92,198.12,198.87
2007-06-20,198.12,199.5,198.12,199.33
2007-06-21,199.24,199.32,199.13,199.24
2007-06-22,199.71,199.94,199.62,199.84
2007-06-25,199.86,199.89,199.75,199.77
2007-06-26,199.86,200.12,199.75,199.91
2007-06-27,199.86,200.12,199.57,199.89
2007-06-28,200.11,200.22,200.04,200.17
2007-06-29,200.13,200.88,200.04,200.8
2007-07-02,200.13,201.85,200.04,201.78
2007-07-03,200.13,201.85,200.04,201.67
2007-07-05,201.42,201.51,200.9,201.23
2007-07-06,201.41,201.51,200.8,201.08
2007-07-09,201.52,201.55,201.45,201.48
2007-07-10,201.52,202.77,201.45,202.71
2007-07-11,201.52,203.65,201.45,203.18
2007-07-12,203.09,203.19,202.86,202.97
2007-07-13,203.06,203.63,202.86,203.42
2007-07-16,203.06,203.95,202.86,203.67
2007-07-17,204.52,204.71,204.43,204.62
2007-07-18,204.52,205.48,204.43,205.29
2007-07-19,204.83,205,204.79,204.94
2007-07-20,204.83,205.89,204.79,205.58
2007-07-23,204.83,206,204.79,205.87
2007-07-24,206.21,206.43,205.98,206.23
2007-07-25,206.21,206.43,204.86,205.37
2007-07-26,206.21,206.43,204.37,204.94
2007-07-27,203.05,203.2,202.45,202.47
2007-07-30,203.05,203.2,202.26,202.48
2007-07-31,203.56,203.57,203.09,203.16
2007-08-01,203.56,203.57,202.7,203.16
2007-08-02,203.56,203.79,202.7,203.7
2007-08-03,204.17,204.61,203.95,204.07
2007-08-06,204.17,204.61,202.8,203.14
2007-08-07,202.31,202.31,202.25,202.26
2007-08-08,202.3,203.99,202.25,203.67
2007-08-09,202.3,203.99,202.21,202.34
2007-08-10,202.1,202.49,202.08,202.38
2007-08-13,202.1,202.49,201.12,201.2
2007-08-14,202.1,202.49,199.64,199.79
2007-08-15,199.22,199.56,199.03,199.18
2007-08-16,199.22,199.56,197.71,198.15
2007-08-17,198.14,198.19,198.02,198.16
2007-08-20,198.14,198.93,198.02,198.78
2007-08-21,198.14,198.93,197.83,198.22
2007-08-22,199.23,199.3,199.13,199.24
2007-08-23,199.23,200.65,199.13,200.57
2007-08-24,199.23,201.39,199.13,201.32
2007-08-27,201.38,201.46,201.2,201.24
2007-08-28,201.38,201.46,200,200.08
2007-08-29,201.77,201.79,201.73,201.74
2007-08-30,201.77,201.79,200.96,201.24
2007-08-31,201.77,201.88,200.96,201.72
2007-09-04,201.39,201.48,201.33,201.34
2007-09-05,201.39,202.26,201,202.06
2007-09-06,201.39,202.66,201,202.38
2007-09-07,202.66,203.01,202.45,202.86
2007-09-10,202.66,203.3,202.45,202.74
2007-09-11,203.24,203.34,203.23,203.33
2007-09-12,203.24,203.34,202.88,202.97
2007-09-13,202.60999,203.47,202.48,202.60999
2007-09-14,201.3,201.3,200.56,200.71999
2007-09-17,200.28999,200.28999,199.15999,199.43999
2007-09-18,199.45999,201.52,199.45999,201.34
2007-09-19,200.3,200.3,199.50999,200.10999
2007-09-20,200.76999,201.46001,200.76999,200.81999
2007-09-21,201.75999,202.14,201.75999,202.01999
2007-09-24,202.04999,202.46001,202.04999,202.17999
2007-09-25,202.09,202.09,201.51999,201.79999
2007-09-26,201.78999,201.78999,201.37999,201.57999
2007-09-27,202.14,202.78999,202.14,202.67
2007-09-28,203.21999,204.75999,203.21999,204.70999
2007-10-01,204.56,204.56,204.15999,204.26999
2007-10-02,204.26999,204.48,203.89999,204.25999
2007-10-03,203.98,203.98,203.09999,203.17
2007-10-04,203.53999,204.28999,203.53999,203.84999
2007-10-05,203.84999,204.44,203.37999,204.17999
2007-10-08,203.95,203.95,203.31999,203.54999
2007-10-09,203.54999,203.88,202.56999,203.87
2007-10-10,204.06999,204.42,204.06999,204.29999
2007-10-11,203.94,203.94,203.09999,203.23999
2007-10-12,203.23999,203.66,203.12999,203.59
2007-10-15,203.95,204.39,203.95,204.28999
2007-10-16,203.67999,203.67999,203.10999,203.25999
2007-10-17,203.42999,204.2,203.42999,204.09
2007-10-18,204.31999,204.91,204.31999,204.45999
2007-10-19,204.56999,205.22,204.56999,205.10999
2007-10-22,203.39999,203.39999,202.59,203.23999
2007-10-23,204.7,205.17999,204.7,205.12999
2007-10-24,205.11,205.11,204.51999,204.95
2007-10-25,204.95,205.22,204.75,205.18999
2007-10-26,205.18999,205.38,204.87999,205.26999
2007-10-29,205.73,206.44,205.73,206.26999
2007-10-30,206.56999,207.03999,206.56999,206.85999
2007-10-31,207.12,208.24001,207.12,207.85999
2007-11-01,207.85999,208.75,207.78999,207.92999
2007-11-02,207.98999,208.98,207.98999,208.90999
2007-11-05,208.22,208.22,207.87,207.96999
2007-11-06,208.5,208.92,208.5,208.75
2007-11-07,210.03,210.63,210.03,210.23999
2007-11-08,210.56999,211.17,210.56999,210.73
2007-11-09,210.14,210.14,208.81,208.95999
2007-11-12,206.52,206.52,205.39999,205.43999
2007-11-13,206.73999,207.63,206.73999,207.12
2007-11-14,207.12,207.23,205.17999,205.25
2007-11-15,204.97,204.97,204.17999,204.56
2007-11-16,204.56,205.47,204.23999,205.37999
2007-11-19,205.37999,205.45,204.57999,205.03
2007-11-20,206.14999,206.82001,206.14999,206.73999
2007-11-21,206.73999,206.78,205.48999,206.53
2007-11-23,206.13,206.13,205.17999,205.92999
2007-11-26,206.48999,207.39,206.48999,207.17
2007-11-27,207.17,207.2,206.40999,206.89999
2007-11-28,206.89999,208.25,206.76999,208.23
2007-11-29,206.48,206.48,205.95999,206.09
2007-11-30,206.09,206.66,205.34,205.73
2007-12-03,206.32999,206.78999,206.32999,206.67
2007-12-04,206.17999,206.17999,205.59999,205.89999
2007-12-05,203.31,203.31,202.46999,202.62999
2007-12-06,202.62999,203.03999,202.34999,202.7
2007-12-07,202.7,203.28,202.62,203.04999
2007-12-10,204.23,204.89999,204.23,204.60999
2007-12-11,204.60999,204.89999,203.29999,203.45
2007-12-12,204.45999,205.05,204.45999,204.7
2007-12-13,204.28999,204.28999,203.42,204.09999
2007-12-14,202.61,202.61,201.46999,201.73999
2007-12-17,201.73999,202.28999,201.45999,202.20999
2007-12-18,201.96001,201.96001,201.10999,201.42999
2007-12-19,200.74001,200.74001,199.28,199.76999
2007-12-20,198.82001,198.82001,198.09999,198.34
2007-12-21,198.34,198.73,198.09999,198.39999
2007-12-24,197.88,197.88,197.54999,197.59999
2007-12-26,198.2,198.45,198.2,198.37999
2007-12-27,198.79999,199.66,198.79999,199.57999
2007-12-28,199.57999,199.64,199.03,199.62
2007-12-31,199.62,200.81,198.14,198.62
2008-01-02,198.44,198.44,197.75,198.15999
2008-01-03,197.72,197.72,197.04999,197.15999
2008-01-04,197.15999,198.08,197.10999,197.18999
2008-01-07,197.18999,197.57001,196.79999,196.89999
2008-01-08,197.09,197.83,197.09,197.28
2008-01-09,196.03999,196.03999,195.53999,195.81
2008-01-10,195.81,196.35001,195.53,196.18999
2008-01-11,196.18999,196.19,195.59,195.67
2008-01-14,195.67,196.03999,195.56,195.60999
2008-01-15,196.12999,197.42,196.12999,196.2
2008-01-16,196.2,197.21001,195.92999,196.31999
2008-01-17,196.81999,197.92,196.81999,197.09999
2008-01-18,196.22,196.22,195.12999,195.45999
2008-01-22,195.45999,196.33,194.75999,196.09
2008-01-23,195.94,195.94,194.65999,195.68999
2008-01-24,196.53,197.81,196.53,197.67999
2008-01-25,197.70999,198.49001,197.70999,198.32999
2008-01-28,198.32999,198.92,198.23999,198.43999
2008-01-29,198.43999,199.06,198.39999,199.00999
2008-01-30,199.00999,199.35001,198.39,199.09
2008-01-31,199.09,199.11,198.51999,198.76999
2008-02-01,197.71001,197.71001,196.46999,196.51999
2008-02-04,197.23,197.88,197.23,197.37
2008-02-05,196.74001,196.74001,196.04999,196.42999
2008-02-06,196.34,196.34,195.82999,196.07999
2008-02-07,194.82001,194.82001,193.87999,194.25
2008-02-08,194.39999,195.07001,194.39999,194.59999
2008-02-11,194.59999,195.19,194.39,195.17
2008-02-12,195.73,196.34,195.73,196.01999
2008-02-13,196.01999,196.66,195.96999,196.34999
2008-02-14,196.75999,197.38,196.75999,196.85999
2008-02-15,196.60001,196.60001,195.79999,196.09
2008-02-19,195.28,195.28,194.75999,194.81
