time,open,high,low,close
2007-01-03,1.9879,1.9905,1.9494,1.9646
2007-02-01,1.9678,1.9722,1.9422,1.9633
2007-03-01,1.9625,1.9719,1.9191,1.9684
2007-04-02,1.9745,2.0087,1.9595,2.0007
2007-05-01,2.0045,198.91,1.9683,197.87
2007-06-01,198.01,200.88,196.38,200.8
2007-07-02,200.13,206.43,200.04,203.16
2007-08-01,203.56,204.61,197.71,201.72
2007-09-04,201.39,204.75999,199.15999,204.70999
2007-10-01,204.56,208.24001,202.56999,207.85999
2007-11-01,207.85999,211.17,204.17999,205.73
2007-12-03,206.32999,206.78999,197.54999,198.62
2008-01-02,198.44,199.35001,194.65999,198.76999
2008-02-01,197.71001,199.48,193.84999,198.87999
2008-03-03,198.87999,203.98,197.78,198.46999
2008-04-01,198.24001,200,196.01999,198.78999
2008-05-01,197.78999,198.49001,193.95999,198.18999
2008-06-02,168.07001,199.58,161.67999,199.2
2008-07-01,199.2,201.17,196.59999,198.37999
2008-08-01,197.71001,197.71001,181.73,182.31999
2008-09-02,178.91,186.41,174.62999,177.81
2008-10-01,177.81,178.39999,153.67,160.81999
2008-11-03,160.2,161.99001,145.57999,153.87
2008-12-01,149.81,156.47,143.73,146.53999
2009-01-02,145.53999,153.52,136.17,145.37999
2009-02-02,142.97,149.78999,141.25999,143.17999
2009-03-02,140.83,147.75,136.92,143.25999
2009-04-01,143.31999,150.19,143.31999,147.87999
2009-05-01,148.31999,161.97,148.31999,161.78
2009-06-01,163.62999,166.2,158.95,164.64999
2009-07-01,164.64999,167.32001,159.82999,167.17999
2009-08-03,168.25999,170.37,161.54999,162.84
2009-09-01,162.64,167.21001,158.14,159.96999
2009-10-01,159.96999,166.36,157.79999,164.59999
2009-11-02,164.3,168.77,162.92999,164.42999
2009-12-01,165.64999,166.94,158.59999,161.79999
2010-01-04,161.79999,163.94,158.98999,159.92
2010-02-01,159.67999,160.38,151.53999,152.35999
2010-03-01,150.13,153.67999,148.00999,151.84
2010-04-01,152.12999,155.09,151.31999,152.7
2010-05-03,152.7,152.81,142.37,144.5
2010-06-01,145.64999,151.28,143.49001,149.47
2010-07-01,149.77,157.21001,149.77,155.53
2010-08-02,158.16,159.96001,153.3,153.49001
2010-09-01,153.89,158.92999,152.97,157.10001
2010-10-01,157.92,160.98,156.56,160.23
2010-11-01,160.23,162.99001,154.86,155.60001
2010-12-01,155.60001,158.96001,153.5,156.19
2011-01-03,155.17,160.48,154.28999,160.23
2011-02-01,160.83,162.71001,159.72,162.60001
2011-03-01,162.60001,163.94,159.42999,160.3
2011-04-01,160.3,167.23,159.73,167.03
2011-05-02,167.03,167.21001,160.89,164.52
2011-06-01,164.42,164.67999,159.25,160.52
2011-07-01,160.52,164.71001,158.25999,164.34
2011-08-01,164.07001,166.17999,161.24001,162.56
2011-09-01,162.25999,162.53999,153.28,155.78999
2011-10-03,155.31,161.66,152.86,160.88
2011-11-01,159.96001,161.3,154.33,156.92999
2011-12-01,156.92999,157.7,153.67999,155.38
2012-01-03,155.7,157.96001,152.35001,157.61
2012-02-01,158.19,159.92,156.45,159.19
2012-03-01,159.28,161.14999,156.03,160.14999
2012-04-02,160.14999,162.8,158.05,162.33
2012-05-01,162.33,162.48,153.61,154.06
