time,open,high,low,close
2007-06-21,80.89,80.97,80.82,80.85
2007-06-22,80.69,80.8,80.57,80.79
2007-06-25,80.88,80.94,80.68,80.9
2007-06-26,81.24,81.28,80.95,81.13
2007-06-27,81.78,81.79,81.5,81.52
2007-06-28,81.24,81.37,81.09,81.19
2007-06-29,81.07,81.33,80.93,81.19
2007-07-02,81.62,81.91,81.56,81.68
2007-07-03,81.74,81.88,81.64,81.7
2007-07-05,81.45,81.51,81.29,81.37
2007-07-06,81.04,81.24,81.02,81.06
2007-07-09,81.09,81.16,81.02,81.05
2007-07-10,81.67,82.06,81.63,82.06
2007-07-11,82.13,82.15,81.62,81.64
2007-07-12,81.72,81.75,81.57,81.67
2007-07-13,81.92,82.02,81.71,82.02
2007-07-16,82.14,82.16,81.9,82.05
2007-07-17,81.85,81.85,81.69,81.73
2007-07-18,81.93,82.19,81.84,81.98
2007-07-19,81.89,82.04,81.84,81.93
2007-07-20,81.9,82.73,81.9,82.44
2007-07-23,82.39,82.69,82.36,82.63
2007-07-24,83.14999,83.31,82.75999,83.14999
2007-07-25,83.14999,83.25,82.89,83.01999
2007-07-26,83.64,84.38,83.64,84.18999
2007-07-27,84.18999,84.39,83.95,84.37
2007-07-30,84.37,84.49001,83.90999,83.92999
2007-07-31,83.92999,84.42999,83.73,84.26999
2007-08-01,84.26999,84.50999,84.03999,84.09999
2007-08-02,84.09999,84.11,83.76999,83.87
2007-08-03,83.98999,84.78999,83.98999,84.75999
2007-08-06,84.75999,84.99001,83.96999,84.09
2007-08-07,84.09,84.75999,84.06999,84.10999
2007-08-08,83.89,83.89,83.43999,83.48999
2007-08-09,84.12,84.63,84.12,84.56
2007-08-10,84.56,85.07001,84.20999,84.45
2007-08-13,84.45,84.67999,84.34,84.56999
2007-08-14,84.56999,85.06,84.39,85.03
2007-08-15,85.03999,85.72,85.03999,85.62
2007-08-16,87.14,89.28999,87.14,87.51999
2007-08-17,87.51999,88.28999,87.01999,87.45
2007-08-20,87.45,87.60001,86.79999,87.06999
2007-08-21,87.25,87.60001,87.25,87.39
2007-08-22,87.10001,87.10001,86.59999,86.75
2007-08-23,86.47,86.47,85.82999,86.06
2007-08-24,86.06,86.39999,85.87999,85.92999
2007-08-27,86.01999,86.31,86.01999,86.29999
2007-08-28,86.82999,87.56,86.82999,87.43999
2007-08-29,87.14999,87.14999,86.01999,86.06
2007-08-30,86.14999,86.63,86.14999,86.21999
2007-08-31,86.21999,86.59,85.87999,86.37
2007-09-04,86.37,86.5,85.89,85.92999
2007-09-05,86.37999,86.96001,86.37999,86.75999
2007-09-06,86.75999,86.91,86.62,86.67999
2007-09-07,87.59999,88.39999,87.59999,88.12
2007-09-10,88.12,88.32001,87.81999,87.93999
2007-09-11,87.93999,87.94,87.42999,87.54999
2007-09-12,87.54999,87.69,87.42999,87.53
2007-09-13,86.89,86.89,86.57999,86.87
2007-09-14,86.87,87.31,86.65999,86.7
2007-09-17,86.75,87.05,86.75,86.84999
2007-09-18,86.75,86.75,85.92999,86.10999
2007-09-19,86.10999,86.31,85.96999,86.12
2007-09-20,86.87999,87.73,86.87999,87.21999
2007-09-21,86.75,86.75,86.46999,86.7
2007-09-24,86.89999,87.22,86.89999,87.09
2007-09-25,87.09,87.7,87.04999,87.10999
2007-09-26,86.72,86.72,86.39999,86.5
2007-09-27,86.5,86.73,86.28999,86.50999
2007-09-28,86.71999,87.21001,86.71999,87.07999
2007-10-01,86.52,86.52,86.14999,86.43999
2007-10-02,86.42999,86.42999,86.20999,86.35999
2007-10-03,85.95,85.95,85.62,85.65999
