time,open,high,low,close
2007-06-01,80.89,81.79,80.57,81.19
2007-07-02,81.62,84.49001,81.02,84.26999
2007-08-01,84.26999,89.28999,83.43999,86.37
2007-09-04,86.37,88.39999,85.89,87.07999
2007-10-01,86.52,87.89999,84.78999,86.62999
2007-11-01,86.70999,93.27,86.70999,89.95
2007-12-03,90.45999,91.27,87.34,89.64
2008-01-02,89.87,95.17999,89.87,93.89
2008-02-01,93.89,96.35001,92.14,96.32999
2008-03-03,96.42,103.42,95.98,100.26999
2008-04-01,99.24001,99.64,95.42,96.23999
2008-05-01,96.23999,97.23,94.45,94.78
2008-06-02,95.37,96.14,92.23,94.17
2008-07-01,94.17,96.00999,92.31,92.7
2008-08-01,92.78,93.21001,90.40999,91.92
2008-09-02,91.92,96.5,91.59,94.03
2008-10-01,94.09999,109.25,94.09999,101.48
2008-11-03,101.48,106.88,99.45,104.54999
2008-12-01,106.17999,114.7,106.17999,110.29999
2009-01-02,110.11,114.75,105.7,111.2
2009-02-02,111.2,112.87,101.29999,102.5
2009-03-02,102.5,106.88,100.59,101.23999
2009-04-01,101.23999,104.06,98.93999,101.45999
2009-05-01,100.92999,106.41,100.48,104.75
2009-06-01,104.75,105.5,101.09999,103.75
2009-07-01,103.75,108.86,103.2,105.64
2009-08-03,105.39,107.86,102.26999,107.45
2009-09-01,107.45,112.17,107.06999,111.37
2009-10-01,111.37,113.39,108.37,110.95999
2009-11-02,110.95999,116.21001,109.59999,115.89999
2009-12-01,115.57001,115.57001,107.34999,107.62
2010-01-04,107.65999,112.05,106.82999,110.82999
2010-02-01,110.82999,112.8,108.53999,112.43999
2010-03-01,112.33,113.21001,106.81,106.95999
2010-04-01,106.75999,108.83,105.75999,106.54999
2010-05-03,106.13,113.28,105.35999,109.81
2010-06-01,109.81,113.24001,102.61,113.11
2010-07-01,113.86,116.25999,112.7,115.64999
2010-08-02,115.64999,119.58,115.25,118.8
2010-09-01,118.8,120.57001,116.39,119.8
2010-10-01,119.85001,124.39,119.85001,124.27
2010-11-01,124.27,124.48,118.48,119.59
2010-12-01,119.08,123.5,118.36,123.24001
2011-01-03,122.85001,122.85001,119.50999,121.88
2011-02-01,122.11,122.99001,119.10001,122.21001
2011-03-01,122.21001,128.78999,120.14999,120.24001
2011-04-01,119.39999,123.39,116.95,123.11
2011-05-02,123.11,125.53999,121.62,122.64999
2011-06-01,123.00999,125.39999,123.00999,124.19
2011-07-01,123.98,130.3,122.74001,130.17
2011-08-01,130.17,131.64,125.10001,130.50999
2011-09-01,130.32001,131.38,128.46001,129.78999
2011-10-03,129.78999,132.17999,127.66,127.92
2011-11-01,127.92,130.53999,127.48,128.92
2011-12-01,128.92,130.10001,127.89,130.06
2012-01-03,130.17,131.33,127.75,131.14
2012-02-01,131.14,131.52,122.99001,123.19
2012-03-01,123.19,124.09,118.92999,120.69
2012-04-02,121.06,125.42999,120.5,125.34
2012-05-01,125.34,127.87,124.14999,127.62
2012-06-01,127.62,128.77,124.12,125.32001
2012-07-02,125.32001,128.17999,124.87,128.03
2012-08-01,128.03,128.13,125.67999,127.61
2012-09-04,127.61,129.64999,126.53999,128.35001
2012-10-01,128.35001,128.38,124.48,125.31
2012-11-01,125.07001,126.42999,120.92999,121.25999
2012-12-03,121.41,122.38,115.24001,115.25
2013-01-02,114.99001,115.25,108.96001,109.13
2013-02-01,108.96001,110.02,105.86,107.92999
2013-03-01,107.92999,107.97,103.53999,106.21001
2013-04-01,106.59,107.87,100.07001,102.64
2013-05-01,102.64,103.08,96.41,99.58
2013-06-03,99.64,106.47,99.63,100.69
2013-07-01,100.47,102.38,98.75999,102.17999
2013-08-01,101.42999,104.39,100.03,101.86
2013-09-03,100.77,102.57,99.55,101.77
2013-10-01,102.2,103.44,101.05,101.68
2013-11-01,101.66,102.43,97.57,97.57
2013-12-02,97.31,98.4,94.86,94.91
2014-01-02,94.9,98.2,94.83,98.02
2014-02-03,98.05,99.24,97.25,98.25
2014-03-03,98.65,98.81,96.38,96.89
2014-04-01,96.74,98.69,96.05,97.84
2014-05-01,97.77,99.01,96.91,98.26
2014-06-02,98.01,98.76,97.32,98.69
2014-07-01,98.51,98.96,97,97.27
2014-08-01,97.13,98.32,95.98,96.08
2014-09-02,95.89,95.89,91.05,91.21
2014-10-01,90.99,95.06,88.92,89.04
2014-11-03,87.97,88.33,84.2,84.33
2014-12-01,84.49,86.34,82.18,83.55
2015-01-02,82.9,86.28,82.79,85.14
2015-02-02,85,85.42,83,83.59
2015-03-02,83.49,84.29,82.25,83.28
2015-04-01,83.23,84.32,82.8,83.73
2015-05-01,83.51,84.08,80.35,80.56
2015-06-01,80.58,81.98,79.45,81.65
2015-07-01,81.34,83.05,80.27,80.7
2015-08-03,80.47,86.1,79.87,82.47
2015-09-01,83.28,84.31,82.48,83.42
2015-10-01,83.51,84.64,82.31,82.91
2015-11-02,82.93,82.99,80.81,81.25
2015-12-01,81.19,83.34,80.86,83.12
2016-01-04,83.99,86.06,82.18,82.56
2016-02-01,82.45,90.05,82.41,88.74
2016-03-01,88.45,90.36,87.29,88.83
2016-04-01,89.19,94.1,88.92,94.02
2016-05-02,93.79,94.5,89.88,90.33
2016-06-01,91.56,98.56,91.15,96.86
2016-07-01,97.44,100.01,93.07,97.97
2016-08-01,97.81,100.46,96.59,96.7
2016-09-01,96.5,99.82,95.86,98.68
2016-10-03,98.64,98.74,94.76,95.4
2016-11-01,95.39,97.22,87.31,87.38
2016-12-01,87.39,88.38,84.29,85.48
2017-01-03,84.63,89.22,84.31,88.6
2017-02-01,88.23,89.59,86.99,88.65
2017-03-01,87.88,90.82,86.58,89.77
2017-04-03,89.78,92.32,89.46,89.65
2017-05-01,89.52,90.52,87.44,90.29
2017-06-01,89.97,91.88,88.55,89
2017-07-03,88.51,90.73,87.34,90.72
2017-08-01,90.51,92.24,90.05,90.95
2017-09-01,90.77,93.18,88.3,88.92
2017-10-02,88.62,89.55,87.37,87.98
2017-11-01,87.68,90.22,87.39,88.85
2017-12-01,88.99,89.74,87.91,88.73
2018-01-02,89.16,92.35,88.25,91.54
2018-02-01,91.25,94.41,90.51,93.75
2018-03-01,93.66,96,93.2,93.94
2018-04-02,94.09,94.64,91.29,91.5
2018-05-01,91.21,92.5,89.82,91.9
2018-06-01,91.38,91.47,90.1,90.1
2018-07-02,90.29,90.6,88.33,89.42
2018-08-01,89.37,90.93,89.28,90.19
2018-09-04,89.89,90.49,87.94,87.96
2018-10-01,87.75,89.79,87.28,88.54
2018-11-01,88.57,89.08,87.63,88.06
2018-12-03,88.07,91.28,87.94,91.2
2019-01-02,91.63,93.36,90.91,91.88
2019-02-01,91.82,91.85,89.69,89.78
2019-03-01,89.41,91.15,89.18,90.17
2019-04-01,90.1,90.24,88.96,89.75
2019-05-01,89.85,92.39,89.53,92.26
2019-06-03,92.28,93.61,91.91,92.68
2019-07-01,92.34,93.27,91.75,91.95
2019-08-01,91.8,95.4,91.8,94.1
2019-09-03,94.25,94.58,92.18,92.49
2019-10-01,92.29,93.91,91.5,92.55
2019-11-01,92.62,92.67,91.18,91.35
2019-12-02,91.29,92.23,91.17,92.02
2020-01-02,91.92,92.73,90.72,92.3
2020-02-03,92.16,93.01,89.11,92.5
2020-03-02,92.77,98.83,89.11,92.96
2020-04-01,93,93.95,91.53,93.3
2020-05-01,93.73,94.35,92.52,92.75
2020-06-01,92.82,94.28,91.03,92.62
2020-07-01,93.06,95.53,92.82,94.49
2020-08-03,94.18,95.06,93.41,94.41
2020-09-01,94.4407,96.1076,93.8518,94.8209
2020-10-01,94.8146,95.961,94.2711,95.5429
2020-11-02,95.5384,96.9039,94.6284,95.8708
2020-12-01,95.7955,97.2053,95.5429,96.8748
2021-01-04,97.1699,97.4607,95.373,95.4882
2021-02-01,95.3003,95.6933,93.7269,93.8218
2021-03-01,93.6733,93.8835,90.2218,90.3032
2021-04-01,90.2894,93.0492,90.2861,91.4997
2021-05-03,91.3459,92.3012,90.7441,91.0249
2021-06-01,91.2159,91.5835,89.9888,90.0066
2021-07-01,89.7118,91.6884,89.5744,91.1702
2021-08-02,91.3167,91.9786,90.3261,90.905
2021-09-01,90.6027,91.6506,89.2459,89.8658
2021-10-01,89.9596,90.2344,87.3591,87.7925
2021-11-01,87.5373,88.8652,86.5658,88.4048
2021-12-01,88.185,88.8494,86.8018,86.8493
2022-01-03,86.9059,88.1181,85.9476,86.8614
2022-02-01,87.2007,87.5964,85.9572,86.9679
2022-03-01,87.0875,87.2212,80.5643,82.1629
2022-04-01,81.6637,81.6783,76.1919,77.0502
2022-05-02,76.987,79.1377,76.3213,77.698
2022-06-01,77.1864,77.3946,72.9922,73.6716
2022-07-01,73.9208,75.0697,71.7504,75.0497
2022-08-01,75.5184,76.5442,71.907,71.9616
2022-09-01,71.8213,71.8453,68.8748,69.0901
2022-10-03,69.0348,69.4937,65.8135,67.2486
2022-11-01,67.9242,72.6456,67.3627,72.459
2022-12-01,73.3711,76.5796,72.372,76.2663
2023-01-03,76.3502,78.4548,74.1994,76.8876
2023-02-01,77.0122,78.0732,73.03,73.4427
2023-03-01,73.852,77.0108,72.7606,75.3154
2023-04-03,75.2505,76.5503,73.2255,73.3627
2023-05-01,73.0909,74.9047,71.0613,71.7731
2023-06-01,71.7406,72.2306,69.0134,69.3003
2023-07-03,69.0331,72.6232,69.025,70.282
2023-08-01,69.9425,70.6449,67.8527,68.7158
2023-09-01,68.8558,69.2305,66.7963,66.9456
2023-10-02,66.7815,67.8509,65.9102,65.9491
2023-11-01,66.1231,67.9969,65.8133,67.4864
2023-12-01,67.4411,71.2997,67.4309,70.9064
2024-01-02,70.3631,70.6694,67.2499,68.0675
2024-02-01,68.0406,68.5424,66.1592,66.6644
2024-03-01,66.4191,68.265,65.8523,66.0587
2024-04-01,66.0537,66.1721,63.1134,63.4131
2024-05-01,63.3404,65.8467,63.3212,63.593
2024-06-03,63.7511,64.7061,62.1263,62.1581
2024-07-01,62.0713,66.8413,61.7543,66.694
2024-08-01,66.4379,70.5017,66.2787,68.4112
2024-09-03,68.4102,71.5535,68.3583,69.6396
2024-10-01,69.5986,69.9423,64.9878,65.7717
2024-11-01,65.4986,66.9033,63.9284,66.8387
2024-12-02,66.6072,67.2744,63.2491,63.574
2025-01-02,63.657,65.022,62.9406,64.5005
2025-02-03,64.6952,67.3088,64.355,66.3724
