time,open,high,low,close
1979-12-24,1.15110004,1.15110004,1.15110004,1.15110004
1979-12-27,1.15579998,1.15579998,1.15579998,1.15579998
1979-12-28,1.15499997,1.15499997,1.15499997,1.15499997
1979-12-31,1.14849997,1.14849997,1.14849997,1.14849997
1980-01-02,1.14830005,1.14830005,1.14830005,1.14830005
1980-01-03,1.15629995,1.15629995,1.15629995,1.15629995
1980-01-04,1.1523,1.1523,1.1523,1.1523
1980-01-07,1.15769994,1.15769994,1.15769994,1.15769994
1980-01-08,1.15869999,1.15869999,1.15869999,1.15869999
1980-01-09,1.15810001,1.15810001,1.15810001,1.15810001
1980-01-10,1.15219998,1.15219998,1.15219998,1.15219998
1980-01-11,1.15339994,1.15339994,1.15339994,1.15339994
1980-01-14,1.1523,1.1523,1.1523,1.1523
1980-01-15,1.15059996,1.15059996,1.15059996,1.15059996
1980-01-16,1.14900005,1.14900005,1.14900005,1.14900005
1980-01-17,1.14619994,1.14619994,1.14619994,1.14619994
1980-01-18,1.14660001,1.14660001,1.14660001,1.14660001
1980-01-21,1.14719999,1.14719999,1.14719999,1.14719999
1980-01-22,1.14390004,1.14390004,1.14390004,1.14390004
1980-01-23,1.14520001,1.14520001,1.14520001,1.14520001
1980-01-24,1.14129996,1.14129996,1.14129996,1.14129996
1980-01-25,1.14639997,1.14639997,1.14639997,1.14639997
1980-01-28,1.14390004,1.14390004,1.14390004,1.14390004
1980-01-29,1.14289999,1.14289999,1.14289999,1.14289999
1980-01-30,1.1408,1.1408,1.1408,1.1408
1980-01-31,1.13940001,1.13940001,1.13940001,1.13940001
1980-02-01,1.13520002,1.13520002,1.13520002,1.13520002
1980-02-04,1.13849998,1.13849998,1.13849998,1.13849998
1980-02-05,1.1444,1.1444,1.1444,1.1444
1980-02-06,1.1444,1.1444,1.1444,1.1444
1980-02-07,1.14540005,1.14540005,1.14540005,1.14540005
1980-02-08,1.14219999,1.14219999,1.14219999,1.14219999
1980-02-11,1.14269996,1.14269996,1.14269996,1.14269996
1980-02-13,1.14119995,1.14119995,1.14119995,1.14119995
1980-02-14,1.14090002,1.14090002,1.14090002,1.14090002
1980-02-15,1.14180005,1.14180005,1.14180005,1.14180005
1980-02-19,1.13479996,1.13479996,1.13479996,1.13479996
1980-02-20,1.12629998,1.12629998,1.12629998,1.12629998
