time,open,high,low,close
1979-12-03,1.15110004,1.15579998,1.14849997,1.14849997
1980-01-01,1.14830005,1.15869999,1.13940001,1.13940001
1980-02-01,1.13520002,1.14540005,1.11070001,1.11070001
1980-03-03,1.10759997,1.13039994,1.10759997,1.12059999
1980-04-01,1.11819994,1.15120006,1.09909999,1.14830005
1980-05-01,1.14789999,1.15310001,1.13629997,1.13909996
1980-06-02,1.14429998,1.14429998,1.13380003,1.13619995
1980-07-01,1.1358,1.14559996,1.12639999,1.13259995
1980-08-01,1.12689996,1.13699996,1.12689996,1.13549995
1980-09-01,1.13409996,1.15330005,1.13409996,1.14769995
1980-10-01,1.15050006,1.15139997,1.14269996,1.14649999
1980-11-03,1.15190005,1.16170001,1.13929999,1.13929999
1980-12-01,1.13919997,1.14909995,1.13209999,1.14890003
1981-01-01,1.14880002,1.15209997,1.13320005,1.13320005
1981-02-02,1.13080001,1.13160002,1.10520005,1.10520005
1981-03-02,1.10070002,1.10459995,1.08700001,1.08700001
1981-04-01,1.08410001,1.08410001,1.07179999,1.07299995
1981-05-01,1.07249999,1.07249999,1.04719996,1.04830003
1981-06-01,1.05219996,1.05229998,1.02049994,1.02049994
1981-07-01,1.01909995,1.02349997,1.00539994,1.02110004
1981-08-03,1.01960003,1.01960003,0.9957,0.9957
1981-09-01,0.99580002,1.00469995,0.98259997,0.98970002
1981-10-01,0.9914,1.00129998,0.98220003,0.98769999
1981-11-02,0.99229997,0.99260002,0.98070002,0.9842
1981-12-01,0.98809999,0.99000001,0.97240001,0.9763
1982-01-01,0.9813,0.9813,0.96079999,0.96079999
1982-02-01,0.96130002,0.96609998,0.95929998,0.9648
1982-03-01,0.96200001,0.96200001,0.94129997,0.94129997
1982-04-01,0.94190001,0.9461,0.9296,0.94160002
1982-05-03,0.94349998,0.96249998,0.94279999,0.94730002
1982-06-01,0.95060003,0.96579999,0.9447,0.95999998
1982-07-01,0.95319998,0.95480001,0.91659999,0.91659999
1982-08-02,0.92500001,0.92500001,0.90130001,0.90130001
1982-09-01,0.90210003,0.90820003,0.88550001,0.88639998
1982-10-01,0.88819999,0.88880002,0.86809999,0.86809999
1982-11-01,0.86690003,0.89020002,0.86269999,0.88959998
1982-12-01,0.89420003,0.90920001,0.89130002,0.90079999
1983-01-03,0.90219998,0.90700001,0.88870001,0.89170003
1983-02-01,0.88510001,0.8858,0.87709999,0.8793
1983-03-01,0.875,0.875,0.7949,0.8053
1983-04-01,0.80830002,0.81559998,0.80720001,0.80830002
1983-05-02,0.80659997,0.81870002,0.80659997,0.81519997
1983-06-01,0.81309998,0.81349999,0.8035,0.80470002
1983-07-01,0.80430001,0.80729997,0.80430001,0.80580002
1983-08-01,0.80610001,0.8089,0.79949999,0.80019999
1983-09-01,0.80049998,0.81120002,0.7992,0.81089997
1983-10-03,0.81120002,0.81879997,0.80949998,0.8154
1983-11-01,0.8143,0.81699997,0.8125,0.8154
1983-12-01,0.82090002,0.82090002,0.80589998,0.81449997
1984-01-02,0.81120002,0.81209999,0.80690002,0.81120002
1984-02-01,0.81239998,0.83429998,0.81239998,0.83399999
1984-03-01,0.83230001,0.85729998,0.82999998,0.84810001
1984-04-02,0.84630001,0.84859997,0.83639997,0.84009999
1984-05-01,0.84460002,0.8484,0.83630002,0.83770001
1984-06-01,0.8398,0.84500003,0.82749999,0.83679998
1984-07-02,0.83230001,0.83230001,0.64850003,0.64850003
1984-08-01,0.64700001,0.65490001,0.64700001,0.64810002
1984-09-03,0.6433,0.64740002,0.63950002,0.64200002
1984-10-01,0.6415,0.64450002,0.63859999,0.6419
1984-11-01,0.64410001,0.6548,0.64289999,0.64490002
1984-12-03,0.64240003,0.64450002,0.62849998,0.62849998
1985-01-01,0.62559998,0.62559998,0.62110001,0.62379998
1985-02-01,0.62309998,0.62309998,0.59740001,0.61500001
1985-03-01,0.59710002,0.65750003,0.59710002,0.63319999
1985-04-01,0.63059998,0.63279998,0.61540002,0.62059999
1985-05-01,0.62080002,0.62760001,0.61470002,0.61949998
1985-06-03,0.61690003,0.65789998,0.61449999,0.65789998
1985-07-01,0.66140002,0.71270001,0.64209998,0.71259999
1985-08-01,0.71359998,0.75489998,0.7105,0.741
1985-09-02,0.73729998,0.75059998,0.70990002,0.75059998
1985-10-01,0.76279998,0.8057,0.75309998,0.78729999
1985-11-01,0.78740001,0.80650002,0.76319999,0.79299998
1985-12-02,0.79479998,0.79479998,0.66820002,0.69989997
1986-01-01,0.7033,0.76620001,0.69770002,0.76200002
1986-02-03,0.76410002,0.76410002,0.7227,0.74290001
1986-03-03,0.74269998,0.74919999,0.7281,0.74779999
1986-04-01,0.75440001,0.80879998,0.75440001,0.8028
1986-05-01,0.79390001,0.81239998,0.75580001,0.77990001
1986-06-02,0.78179997,0.78490001,0.7335,0.75709999
1986-07-01,0.74250001,0.75059998,0.7137,0.71810001
1986-08-01,0.71740001,0.71780002,0.6742,0.6742
1986-09-01,0.67519999,0.68180001,0.65100002,0.67720002
1986-10-01,0.67659998,0.70749998,0.67659998,0.7044
1986-11-03,0.70029998,0.71969998,0.69739997,0.70490003
1986-12-01,0.68709999,0.73259997,0.68440002,0.73259997
1987-01-01,0.73100001,0.73940003,0.71200001,0.7256
1987-02-02,0.72119999,0.74309999,0.72119999,0.74309999
1987-03-02,0.74839997,0.75660002,0.72420001,0.73989999
1987-04-01,0.7475,0.78079998,0.7421,0.77780002
1987-05-01,0.77170002,0.78140002,0.76410002,0.76959997
1987-06-01,0.77200001,0.79869998,0.77200001,0.7895
1987-07-01,0.79229999,0.80930001,0.75169998,0.75169998
1987-08-03,0.7615,0.79949999,0.75480002,0.79949999
1987-09-01,0.8021,0.8603,0.8021,0.8603
1987-10-01,0.84219998,0.86790001,0.76880002,0.78369999
1987-11-02,0.78320003,0.84859997,0.78320003,0.84859997
1987-12-01,0.84909999,0.8581,0.83399999,0.85369998
1988-01-01,0.85189998,0.85699999,0.82920003,0.8459
1988-02-01,0.84549999,0.85180002,0.82999998,0.83340001
1988-03-01,0.8276,0.8427,0.79470003,0.80510002
1988-04-01,0.80540001,0.82819998,0.80540001,0.82660002
1988-05-02,0.82950002,0.86809999,0.82950002,0.85540003
1988-06-01,0.86360002,0.87099999,0.80559999,0.82099998
1988-07-01,0.81900001,0.83770001,0.76959997,0.80019999
1988-08-01,0.80180001,0.82249999,0.74699998,0.74989998
1988-09-01,0.74479997,0.77079999,0.73979998,0.74360001
1988-10-03,0.7396,0.76660001,0.73699999,0.76660001
1988-11-01,0.76660001,0.79329997,0.76190001,0.77710003
1988-12-01,0.76709998,0.77810001,0.74699998,0.74940002
1989-01-02,0.75629997,0.76160002,0.71149999,0.71149999
1989-02-01,0.72439998,0.74809998,0.71960002,0.74440002
1989-03-01,0.73890001,0.73970002,0.72820002,0.73199999
1989-04-03,0.73229998,0.7331,0.72149998,0.72860003
