time,open,high,low,close
1979-12-24,1.56389999,1.56389999,1.56389999,1.56389999
1979-12-27,1.55869997,1.55869997,1.55869997,1.55869997
1979-12-28,1.56910002,1.56910002,1.56910002,1.56910002
1979-12-31,1.56889999,1.56889999,1.56889999,1.56889999
1980-01-02,1.55630004,1.55630004,1.55630004,1.55630004
1980-01-03,1.55330002,1.55330002,1.55330002,1.55330002
1980-01-04,1.55809999,1.55809999,1.55809999,1.55809999
1980-01-07,1.55780005,1.55780005,1.55780005,1.55780005
1980-01-08,1.56270003,1.56270003,1.56270003,1.56270003
1980-01-09,1.56110001,1.56110001,1.56110001,1.56110001
1980-01-10,1.55900002,1.55900002,1.55900002,1.55900002
1980-01-11,1.5632,1.5632,1.5632,1.5632
1980-01-14,1.56200004,1.56200004,1.56200004,1.56200004
1980-01-15,1.57350004,1.57350004,1.57350004,1.57350004
1980-01-16,1.56579995,1.56579995,1.56579995,1.56579995
1980-01-17,1.56879997,1.56879997,1.56879997,1.56879997
1980-01-18,1.56799996,1.56799996,1.56799996,1.56799996
1980-01-21,1.57739997,1.57739997,1.57739997,1.57739997
1980-01-22,1.58529997,1.58529997,1.58529997,1.58529997
1980-01-23,1.58270001,1.58270001,1.58270001,1.58270001
1980-01-24,1.58399999,1.58399999,1.58399999,1.58399999
1980-01-25,1.59200001,1.59200001,1.59200001,1.59200001
1980-01-28,1.58630002,1.58630002,1.58630002,1.58630002
1980-01-29,1.58609998,1.58609998,1.58609998,1.58609998
1980-01-30,1.59150004,1.59150004,1.59150004,1.59150004
1980-01-31,1.60300004,1.60300004,1.60300004,1.60300004
1980-02-01,1.60179996,1.60179996,1.60179996,1.60179996
1980-02-04,1.60319996,1.60319996,1.60319996,1.60319996
1980-02-05,1.59689999,1.59689999,1.59689999,1.59689999
1980-02-06,1.58990002,1.58990002,1.58990002,1.58990002
1980-02-07,1.59490001,1.59490001,1.59490001,1.59490001
1980-02-08,1.59809995,1.59809995,1.59809995,1.59809995
1980-02-11,1.5934,1.5934,1.5934,1.5934
1980-02-12,1.59640002,1.59640002,1.59640002,1.59640002
1980-02-13,1.58299994,1.58299994,1.58299994,1.58299994
1980-02-14,1.58959997,1.58959997,1.58959997,1.58959997
1980-02-15,1.59749997,1.59749997,1.59749997,1.59749997
1980-02-18,1.60090005,1.60090005,1.60090005,1.60090005
1980-02-19,1.60520005,1.60520005,1.60520005,1.60520005
1980-02-20,1.59580004,1.59580004,1.59580004,1.59580004
1980-02-21,1.60249996,1.60249996,1.60249996,1.60249996
1980-02-22,1.61769998,1.61769998,1.61769998,1.61769998
1980-02-25,1.62660003,1.62660003,1.62660003,1.62660003
1980-02-26,1.62300003,1.62300003,1.62300003,1.62300003
1980-02-27,1.62230003,1.62230003,1.62230003,1.62230003
1980-02-28,1.62479997,1.62479997,1.62479997,1.62479997
1980-02-29,1.65190005,1.65190005,1.65190005,1.65190005
1980-03-03,1.66040003,1.66040003,1.66040003,1.66040003
1980-03-04,1.6609,1.6609,1.6609,1.6609
1980-03-05,1.65149999,1.65149999,1.65149999,1.65149999
1980-03-06,1.65219998,1.65219998,1.65219998,1.65219998
1980-03-07,1.65240002,1.65240002,1.65240002,1.65240002
1980-03-10,1.66289997,1.66289997,1.66289997,1.66289997
1980-03-11,1.66349995,1.66349995,1.66349995,1.66349995
1980-03-12,1.66589999,1.66589999,1.66589999,1.66589999
1980-03-13,1.67250001,1.67250001,1.67250001,1.67250001
1980-03-14,1.68379998,1.68379998,1.68379998,1.68379998
1980-03-17,1.69739997,1.69739997,1.69739997,1.69739997
1980-03-18,1.67900002,1.67900002,1.67900002,1.67900002
1980-03-19,1.68040001,1.68040001,1.68040001,1.68040001
1980-03-20,1.67299998,1.67299998,1.67299998,1.67299998
1980-03-21,1.68700004,1.68700004,1.68700004,1.68700004
1980-03-24,1.6882,1.6882,1.6882,1.6882
1980-03-25,1.69659996,1.69659996,1.69659996,1.69659996
1980-03-26,1.69990003,1.69990003,1.69990003,1.69990003
1980-03-27,1.72880006,1.72880006,1.72880006,1.72880006
1980-03-28,1.71679997,1.71679997,1.71679997,1.71679997
1980-03-31,1.73870003,1.73870003,1.73870003,1.73870003
1980-04-01,1.74539995,1.74539995,1.74539995,1.74539995
1980-04-02,1.72420001,1.72420001,1.72420001,1.72420001
1980-04-03,1.73310006,1.73310006,1.73310006,1.73310006
1980-04-08,1.72049999,1.72049999,1.72049999,1.72049999
1980-04-09,1.68599999,1.68599999,1.68599999,1.68599999
1980-04-10,1.67729998,1.67729998,1.67729998,1.67729998
1980-04-11,1.65030003,1.65030003,1.65030003,1.65030003
1980-04-14,1.65240002,1.65240002,1.65240002,1.65240002
1980-04-15,1.68200004,1.68200004,1.68200004,1.68200004
1980-04-16,1.64269996,1.64269996,1.64269996,1.64269996
1980-04-17,1.64849997,1.64849997,1.64849997,1.64849997
1980-04-18,1.63900006,1.63900006,1.63900006,1.63900006
1980-04-21,1.64760005,1.64760005,1.64760005,1.64760005
1980-04-22,1.653,1.653,1.653,1.653
1980-04-23,1.63399994,1.63399994,1.63399994,1.63399994
1980-04-24,1.62779999,1.62779999,1.62779999,1.62779999
1980-04-25,1.62720001,1.62720001,1.62720001,1.62720001
1980-04-28,1.61339998,1.61339998,1.61339998,1.61339998
1980-04-29,1.61619997,1.61619997,1.61619997,1.61619997
1980-04-30,1.61119998,1.61119998,1.61119998,1.61119998
1980-05-01,1.60669994,1.60669994,1.60669994,1.60669994
1980-05-02,1.6243,1.6243,1.6243,1.6243
1980-05-06,1.60549998,1.60549998,1.60549998,1.60549998
1980-05-07,1.60790002,1.60790002,1.60790002,1.60790002
1980-05-08,1.6142,1.6142,1.6142,1.6142
1980-05-09,1.63119996,1.63119996,1.63119996,1.63119996
1980-05-12,1.62030005,1.62030005,1.62030005,1.62030005
1980-05-13,1.625,1.625,1.625,1.625
1980-05-14,1.62269998,1.62269998,1.62269998,1.62269998
1980-05-15,1.62609994,1.62609994,1.62609994,1.62609994
1980-05-16,1.62199998,1.62199998,1.62199998,1.62199998
1980-05-19,1.62989998,1.62989998,1.62989998,1.62989998
1980-05-20,1.63999999,1.63999999,1.63999999,1.63999999
1980-05-21,1.62800002,1.62800002,1.62800002,1.62800002
1980-05-22,1.63440001,1.63440001,1.63440001,1.63440001
1980-05-23,1.62950003,1.62950003,1.62950003,1.62950003
1980-05-27,1.62699997,1.62699997,1.62699997,1.62699997
1980-05-28,1.62769997,1.62769997,1.62769997,1.62769997
1980-05-29,1.63020003,1.63020003,1.63020003,1.63020003
1980-05-30,1.62590003,1.62590003,1.62590003,1.62590003
1980-06-02,1.63779998,1.63779998,1.63779998,1.63779998
1980-06-03,1.62230003,1.62230003,1.62230003,1.62230003
1980-06-04,1.61530006,1.61530006,1.61530006,1.61530006
1980-06-05,1.62339997,1.62339997,1.62339997,1.62339997
1980-06-06,1.61979997,1.61979997,1.61979997,1.61979997
1980-06-09,1.6063,1.6063,1.6063,1.6063
1980-06-10,1.60249996,1.60249996,1.60249996,1.60249996
1980-06-11,1.61210001,1.61210001,1.61210001,1.61210001
1980-06-12,1.60860002,1.60860002,1.60860002,1.60860002
1980-06-13,1.59819996,1.59819996,1.59819996,1.59819996
1980-06-16,1.60880005,1.60880005,1.60880005,1.60880005
1980-06-17,1.61450005,1.61450005,1.61450005,1.61450005
1980-06-18,1.60679996,1.60679996,1.60679996,1.60679996
1980-06-19,1.61380005,1.61380005,1.61380005,1.61380005
1980-06-20,1.60819995,1.60819995,1.60819995,1.60819995
1980-06-23,1.61389995,1.61389995,1.61389995,1.61389995
1980-06-24,1.61430001,1.61430001,1.61430001,1.61430001
1980-06-25,1.61380005,1.61380005,1.61380005,1.61380005
1980-06-26,1.6049,1.6049,1.6049,1.6049
1980-06-27,1.60720003,1.60720003,1.60720003,1.60720003
1980-06-30,1.60829997,1.60829997,1.60829997,1.60829997
1980-07-01,1.60640001,1.60640001,1.60640001,1.60640001
1980-07-02,1.59780002,1.59780002,1.59780002,1.59780002
1980-07-03,1.5941,1.5941,1.5941,1.5941
1980-07-04,1.58420002,1.58420002,1.58420002,1.58420002
1980-07-07,1.57270002,1.57270002,1.57270002,1.57270002
1980-07-08,1.56869996,1.56869996,1.56869996,1.56869996
1980-07-09,1.5733,1.5733,1.5733,1.5733
1980-07-10,1.58249998,1.58249998,1.58249998,1.58249998
1980-07-11,1.58169997,1.58169997,1.58169997,1.58169997
1980-07-14,1.58599997,1.58599997,1.58599997,1.58599997
1980-07-15,1.58790004,1.58790004,1.58790004,1.58790004
1980-07-16,1.58220005,1.58220005,1.58220005,1.58220005
1980-07-17,1.57879996,1.57879996,1.57879996,1.57879996
1980-07-18,1.58940005,1.58940005,1.58940005,1.58940005
1980-07-21,1.58239996,1.58239996,1.58239996,1.58239996
1980-07-22,1.57589996,1.57589996,1.57589996,1.57589996
1980-07-23,1.57720006,1.57720006,1.57720006,1.57720006
1980-07-24,1.56910002,1.56910002,1.56910002,1.56910002
1980-07-25,1.5747,1.5747,1.5747,1.5747
1980-07-28,1.58140004,1.58140004,1.58140004,1.58140004
1980-07-29,1.59010005,1.59010005,1.59010005,1.59010005
1980-07-30,1.60309994,1.60309994,1.60309994,1.60309994
1980-07-31,1.60570002,1.60570002,1.60570002,1.60570002
1980-08-01,1.61660004,1.61660004,1.61660004,1.61660004
1980-08-04,1.61099994,1.61099994,1.61099994,1.61099994
1980-08-05,1.60210001,1.60210001,1.60210001,1.60210001
1980-08-06,1.59590006,1.59590006,1.59590006,1.59590006
1980-08-07,1.60730004,1.60730004,1.60730004,1.60730004
1980-08-08,1.61210001,1.61210001,1.61210001,1.61210001
1980-08-11,1.60950005,1.60950005,1.60950005,1.60950005
1980-08-12,1.60539997,1.60539997,1.60539997,1.60539997
1980-08-13,1.60739994,1.60739994,1.60739994,1.60739994
1980-08-14,1.6092,1.6092,1.6092,1.6092
1980-08-15,1.60930002,1.60930002,1.60930002,1.60930002
1980-08-18,1.62170005,1.62170005,1.62170005,1.62170005
1980-08-19,1.61979997,1.61979997,1.61979997,1.61979997
1980-08-20,1.61740005,1.61740005,1.61740005,1.61740005
1980-08-21,1.61689997,1.61689997,1.61689997,1.61689997
1980-08-22,1.62629998,1.62629998,1.62629998,1.62629998
1980-08-26,1.625,1.625,1.625,1.625
1980-08-27,1.62590003,1.62590003,1.62590003,1.62590003
1980-08-28,1.61409998,1.61409998,1.61409998,1.61409998
1980-08-29,1.62,1.62,1.62,1.62
1980-09-01,1.61409998,1.61409998,1.61409998,1.61409998
1980-09-02,1.60479999,1.60479999,1.60479999,1.60479999
1980-09-03,1.60979998,1.60979998,1.60979998,1.60979998
1980-09-04,1.60520005,1.60520005,1.60520005,1.60520005
1980-09-05,1.60609996,1.60609996,1.60609996,1.60609996
1980-09-08,1.59990001,1.59990001,1.59990001,1.59990001
1980-09-09,1.60880005,1.60880005,1.60880005,1.60880005
1980-09-10,1.60440004,1.60440004,1.60440004,1.60440004
1980-09-11,1.60339999,1.60339999,1.60339999,1.60339999
1980-09-12,1.60669994,1.60669994,1.60669994,1.60669994
1980-09-15,1.6099,1.6099,1.6099,1.6099
1980-09-16,1.60710001,1.60710001,1.60710001,1.60710001
1980-09-17,1.6049,1.6049,1.6049,1.6049
1980-09-18,1.61210001,1.61210001,1.61210001,1.61210001
1980-09-19,1.61520004,1.61520004,1.61520004,1.61520004
1980-09-22,1.62820005,1.62820005,1.62820005,1.62820005
1980-09-23,1.62609994,1.62609994,1.62609994,1.62609994
1980-09-24,1.61049998,1.61049998,1.61049998,1.61049998
1980-09-25,1.60870004,1.60870004,1.60870004,1.60870004
1980-09-26,1.61319995,1.61319995,1.61319995,1.61319995
1980-09-29,1.61989999,1.61989999,1.61989999,1.61989999
1980-09-30,1.62010002,1.62010002,1.62010002,1.62010002
1980-10-01,1.61360002,1.61360002,1.61360002,1.61360002
1980-10-02,1.61559999,1.61559999,1.61559999,1.61559999
1980-10-03,1.61339998,1.61339998,1.61339998,1.61339998
1980-10-06,1.60800004,1.60800004,1.60800004,1.60800004
1980-10-07,1.60660005,1.60660005,1.60660005,1.60660005
1980-10-08,1.60780001,1.60780001,1.60780001,1.60780001
1980-10-09,1.60249996,1.60249996,1.60249996,1.60249996
1980-10-10,1.60520005,1.60520005,1.60520005,1.60520005
1980-10-13,1.60880005,1.60880005,1.60880005,1.60880005
1980-10-14,1.61899996,1.61899996,1.61899996,1.61899996
1980-10-15,1.61699998,1.61699998,1.61699998,1.61699998
1980-10-16,1.62109995,1.62109995,1.62109995,1.62109995
1980-10-17,1.62539995,1.62539995,1.62539995,1.62539995
1980-10-20,1.62399995,1.62399995,1.62399995,1.62399995
1980-10-21,1.62969995,1.62969995,1.62969995,1.62969995
1980-10-22,1.63269997,1.63269997,1.63269997,1.63269997
1980-10-23,1.62969995,1.62969995,1.62969995,1.62969995
1980-10-24,1.64460003,1.64460003,1.64460003,1.64460003
1980-10-27,1.66069996,1.66069996,1.66069996,1.66069996
1980-10-28,1.65929997,1.65929997,1.65929997,1.65929997
1980-10-29,1.65499997,1.65499997,1.65499997,1.65499997
1980-10-30,1.66980004,1.66980004,1.66980004,1.66980004
1980-10-31,1.6681,1.6681,1.6681,1.6681
1980-11-03,1.67999995,1.67999995,1.67999995,1.67999995
1980-11-04,1.67949998,1.67949998,1.67949998,1.67949998
1980-11-05,1.69850004,1.69850004,1.69850004,1.69850004
1980-11-06,1.70000005,1.70000005,1.70000005,1.70000005
1980-11-07,1.69850004,1.69850004,1.69850004,1.69850004
1980-11-10,1.66069996,1.66069996,1.66069996,1.66069996
1980-11-11,1.64359999,1.64359999,1.64359999,1.64359999
1980-11-12,1.64769995,1.64769995,1.64769995,1.64769995
1980-11-13,1.65740001,1.65740001,1.65740001,1.65740001
1980-11-14,1.66369998,1.66369998,1.66369998,1.66369998
1980-11-17,1.69120002,1.69120002,1.69120002,1.69120002
1980-11-18,1.66260004,1.66260004,1.66260004,1.66260004
1980-11-19,1.65690005,1.65690005,1.65690005,1.65690005
1980-11-20,1.66460001,1.66460001,1.66460001,1.66460001
1980-11-21,1.66219997,1.66219997,1.66219997,1.66219997
1980-11-24,1.65999997,1.65999997,1.65999997,1.65999997
1980-11-25,1.6609,1.6609,1.6609,1.6609
1980-11-26,1.66700006,1.66700006,1.66700006,1.66700006
1980-11-27,1.67379999,1.67379999,1.67379999,1.67379999
1980-11-28,1.66700006,1.66700006,1.66700006,1.66700006
1980-12-01,1.67270005,1.67270005,1.67270005,1.67270005
1980-12-02,1.67439997,1.67439997,1.67439997,1.67439997
1980-12-03,1.671,1.671,1.671,1.671
1980-12-04,1.67219996,1.67219996,1.67219996,1.67219996
1980-12-05,1.68659997,1.68659997,1.68659997,1.68659997
1980-12-08,1.70130002,1.70130002,1.70130002,1.70130002
1980-12-09,1.70669997,1.70669997,1.70669997,1.70669997
1980-12-10,1.72239995,1.72239995,1.72239995,1.72239995
1980-12-11,1.73989999,1.73989999,1.73989999,1.73989999
1980-12-12,1.71819997,1.71819997,1.71819997,1.71819997
1980-12-15,1.7112,1.7112,1.7112,1.7112
1980-12-16,1.73259997,1.73259997,1.73259997,1.73259997
1980-12-17,1.71990001,1.71990001,1.71990001,1.71990001
1980-12-18,1.71589994,1.71589994,1.71589994,1.71589994
1980-12-19,1.71529996,1.71529996,1.71529996,1.71529996
1980-12-22,1.69210005,1.69210005,1.69210005,1.69210005
1980-12-23,1.68640006,1.68640006,1.68640006,1.68640006
1980-12-24,1.69000006,1.69000006,1.69000006,1.69000006
1980-12-29,1.69379997,1.69379997,1.69379997,1.69379997
1980-12-30,1.69379997,1.69379997,1.69379997,1.69379997
1980-12-31,1.71200001,1.71200001,1.71200001,1.71200001
1981-01-02,1.72109997,1.72109997,1.72109997,1.72109997
1981-01-05,1.69739997,1.69739997,1.69739997,1.69739997
1981-01-06,1.69420004,1.69420004,1.69420004,1.69420004
1981-01-07,1.70299995,1.70299995,1.70299995,1.70299995
1981-01-08,1.71749997,1.71749997,1.71749997,1.71749997
1981-01-09,1.72360003,1.72360003,1.72360003,1.72360003
1981-01-12,1.7277,1.7277,1.7277,1.7277
1981-01-13,1.7392,1.7392,1.7392,1.7392
1981-01-14,1.73380005,1.73380005,1.73380005,1.73380005
1981-01-15,1.74249995,1.74249995,1.74249995,1.74249995
1981-01-16,1.76059997,1.76059997,1.76059997,1.76059997
1981-01-19,1.75049996,1.75049996,1.75049996,1.75049996
1981-01-20,1.75709999,1.75709999,1.75709999,1.75709999
1981-01-21,1.74510002,1.74510002,1.74510002,1.74510002
