time,open,high,low,close
1979-12-03,1.56389999,1.56910002,1.55869997,1.56889999
1980-01-01,1.55630004,1.60300004,1.55330002,1.60300004
1980-02-01,1.60179996,1.65190005,1.58299994,1.65190005
1980-03-03,1.66040003,1.73870003,1.65149999,1.73870003
1980-04-01,1.74539995,1.74539995,1.61119998,1.61119998
1980-05-01,1.60669994,1.63999999,1.60549998,1.62590003
1980-06-02,1.63779998,1.63779998,1.59819996,1.60829997
1980-07-01,1.60640001,1.60640001,1.56869996,1.60570002
1980-08-01,1.61660004,1.62629998,1.59590006,1.62
1980-09-01,1.61409998,1.62820005,1.59990001,1.62010002
1980-10-01,1.61360002,1.66980004,1.60249996,1.6681
1980-11-03,1.67999995,1.70000005,1.64359999,1.66700006
1980-12-01,1.67270005,1.73989999,1.671,1.71200001
1981-01-01,1.72109997,1.82500005,1.69420004,1.82500005
1981-02-02,1.82169998,1.90699995,1.74890006,1.80410004
1981-03-02,1.82140005,1.82140005,1.73140001,1.75
1981-04-01,1.75549996,1.8096,1.74989998,1.80850005
1981-05-01,1.80729997,1.83959997,1.79610002,1.80550003
1981-06-01,1.80649996,1.82179999,1.72940004,1.73290002
1981-07-01,1.75800002,1.77090001,1.73969996,1.77090001
1981-08-03,1.801,1.80299997,1.76800001,1.76800001
1981-09-01,1.78429997,1.78429997,1.59909999,1.61580002
1981-10-01,1.62109995,1.62109995,1.51740003,1.52049994
1981-11-02,1.49880004,1.50989997,1.45840001,1.47829998
1981-12-01,1.49860001,1.53380001,1.47809994,1.47809994
1982-01-01,1.48160005,1.5165,1.48160005,1.48969996
1982-02-01,1.5,1.51680005,1.4763,1.49070001
1982-03-01,1.48360002,1.48529994,1.44599998,1.48300004
1982-04-01,1.49030006,1.51329994,1.48800004,1.5108
1982-05-03,1.49790001,1.52620006,1.46510005,1.52110004
1982-06-01,1.54100001,1.58469999,1.53219998,1.5589
1982-07-01,1.55840003,1.58019996,1.50100005,1.53299999
1982-08-02,1.52880001,1.57630002,1.50960004,1.54700005
1982-09-01,1.54910004,1.56739998,1.53980005,1.55659997
1982-10-01,1.56309998,1.57190001,1.52989995,1.56289995
1982-11-01,1.55120003,1.58179998,1.52250004,1.52250004
1982-12-01,1.52310002,1.52670002,1.45469999,1.47049999
1983-01-03,1.46259999,1.47619998,1.40470004,1.45280004
1983-02-01,1.44410002,1.47570002,1.42949998,1.47570002
1983-03-01,1.47329998,1.47329998,1.34000003,1.36080003
1983-04-01,1.35300004,1.36650002,1.33949995,1.36650002
1983-05-02,1.36310005,1.38919997,1.34080005,1.38919997
1983-06-01,1.39300001,1.40260005,1.36650002,1.37820005
1983-07-01,1.38049996,1.39610004,1.37279999,1.39380002
1983-08-01,1.40719998,1.42050004,1.39590001,1.41830003
1983-09-01,1.42030001,1.4224,1.39499998,1.39499998
1983-10-03,1.3908,1.41760004,1.38399994,1.41760004
1983-11-01,1.42719996,1.43809998,1.41830003,1.42229998
1983-12-01,1.43190002,1.44190001,1.42349994,1.42620003
1984-01-02,1.44289994,1.46290004,1.44289994,1.46290004
1984-02-01,1.45570004,1.4655,1.43640006,1.44430006
1984-03-01,1.44700003,1.44700003,1.41040003,1.42879999
1984-04-02,1.42990005,1.46920002,1.42970002,1.46920002
1984-05-01,1.46940005,1.48440003,1.45469999,1.46239996
1984-06-01,1.44690001,1.47790003,1.44690001,1.47790003
1984-07-02,1.48090005,1.49179995,1.20009995,1.2227
1984-08-01,1.2184,1.2184,1.19060004,1.20350003
1984-09-03,1.21150005,1.23889995,1.21150005,1.23360002
1984-10-01,1.22870004,1.24389994,1.21179998,1.21730006
1984-11-01,1.20659995,1.24430001,1.19299996,1.24430001
1984-12-03,1.24380004,1.24380004,1.22920001,1.23679996
1985-01-01,1.2378,1.2608,1.2378,1.25730002
1985-02-01,1.26900005,1.28410006,1.24670005,1.26989996
1985-03-01,1.23020005,1.35189998,1.20379996,1.20379996
1985-04-01,1.21659994,1.22490001,1.13300002,1.18040001
1985-05-01,1.19719994,1.22940004,1.16059995,1.16059995
1985-06-03,1.15629995,1.22979999,1.15439999,1.22979999
1985-07-01,1.24189997,1.24189997,1.15989995,1.20729995
1985-08-01,1.22259998,1.27820003,1.18499994,1.25320005
1985-09-02,1.26540005,1.29359996,1.18260002,1.20179999
1985-10-01,1.20650005,1.28359997,1.19509995,1.23899996
1985-11-01,1.23029995,1.26470006,1.18640006,1.19239998
1985-12-02,1.20410001,1.20410001,1.01320004,1.03100002
1986-01-01,1.02909994,1.08879995,1.02909994,1.08490002
1986-02-03,1.08589995,1.08650005,0.97180003,0.9874
1986-03-03,0.98040003,1.04719996,0.97250003,1.04690003
1986-04-01,1.05799997,1.11080003,1.01549995,1.05929995
1986-05-01,1.06420004,1.08860004,1.01370001,1.08860004
1986-06-02,1.08389997,1.08389997,0.95990002,0.98629999
1986-07-01,0.95560002,0.95999998,0.87339997,0.87339997
1986-08-01,0.86699998,0.87159997,0.79830003,0.79830003
1986-09-01,0.79869998,0.80860001,0.76130003,0.80409998
1986-10-01,0.80089998,0.86750001,0.80089998,0.86750001
1986-11-03,0.86680001,0.88029999,0.83920002,0.83920002
1986-12-01,0.8154,0.87879997,0.8154,0.85619998
1987-01-01,0.8527,0.8732,0.80239999,0.83590001
1987-02-02,0.82730001,0.85750002,0.82359999,0.85750002
1987-03-02,0.866,0.89300001,0.84719998,0.85519999
1987-04-01,0.87309998,0.87309998,0.85100001,0.85430002
1987-05-01,0.83770001,0.86610001,0.83380002,0.86610001
1987-06-01,0.87290001,0.9095,0.84930003,0.89829999
1987-07-01,0.90420002,0.94330001,0.87099999,0.87159997
1987-08-03,0.8937,0.91960001,0.89200002,0.9095
1987-09-01,0.90850002,1.0079,0.90850002,1.0079
1987-10-01,0.98519999,1.00629997,0.83560002,0.8567
1987-11-02,0.84140003,0.8707,0.84140003,0.8707
1987-12-01,0.87599999,0.8761,0.83380002,0.83380002
1988-01-01,0.84689999,0.9127,0.84689999,0.90850002
1988-02-01,0.91619998,0.9382,0.90990001,0.921
1988-03-01,0.91579998,0.9382,0.87730002,0.89020002
1988-04-01,0.88929999,0.93800002,0.889,0.93800002
1988-05-02,0.94010001,1.00250006,0.94010001,1.00250006
1988-06-01,1.01370001,1.05840003,0.99129999,1.01830006
1988-07-01,1.01610005,1.04750001,0.9885,1.03320003
1988-08-01,1.03209996,1.07739997,0.95209998,0.95920002
1988-09-01,0.95099998,0.98369998,0.93589997,0.9673
1988-10-03,0.96740001,0.97960001,0.93339998,0.94080001
1988-11-01,0.93330002,0.954,0.93010002,0.94889998
1988-12-01,0.93629998,0.95459998,0.91039997,0.94330001
1989-01-02,0.94910002,0.99339998,0.94910002,0.9594
1989-02-01,0.9716,0.98470002,0.95599997,0.96670002
1989-03-01,0.96700001,1.0201,0.96700001,1.0201
1989-04-03,1.01069999,1.03050005,0.995,1.03050005
1989-05-01,1.03729999,1.06299996,1.00059998,1.00059998
1989-06-01,0.99730003,0.99730003,0.96060002,0.96060002
1989-07-03,0.95270002,0.95270002,0.92250001,0.9454
1989-08-01,0.93599999,1.005,0.93599999,1.005
1989-09-01,1.01349998,1.01540005,0.95550001,0.95550001
1989-10-02,0.95340002,0.97979999,0.94379997,0.949
1989-11-01,0.95200002,0.96630001,0.93430001,0.93940002
1989-12-01,0.94379997,0.94819999,0.91240001,0.91509998
1990-01-01,0.93919998,0.94029999,0.8822,0.90259999
1990-02-01,0.89579999,0.89719999,0.86860001,0.88139999
1990-03-01,0.88639998,0.8994,0.8635,0.86970001
1990-04-02,0.86839998,0.87410003,0.83399999,0.83499998
1990-05-01,0.82859999,0.83450001,0.79729998,0.82429999
1990-06-01,0.82700002,0.85210001,0.8193,0.83279997
1990-07-02,0.82300001,0.84320003,0.79650003,0.79900002
1990-08-01,0.80419999,0.81720001,0.78619999,0.80519998
1990-09-03,0.80760002,0.83579999,0.79400003,0.79960001
1990-10-01,0.8003,0.80549997,0.75669998,0.79159999
1990-11-01,0.77410001,0.79449999,0.75599998,0.77859998
1990-12-03,0.7899,0.7931,0.74169999,0.74699998
1991-01-01,0.74650002,0.77289999,0.74339998,0.7536
1991-02-01,0.75089997,0.79680002,0.74040002,0.79439998
1991-03-01,0.80260003,0.86059999,0.79329997,0.84850001
1991-04-01,0.83679998,0.87900001,0.8283,0.8506
1991-05-01,0.85079998,0.87260002,0.83990002,0.86430001
1991-06-03,0.86659998,0.90219998,0.86309999,0.89469999
1991-07-01,0.89600003,0.90329999,0.85479999,0.86949998
1991-08-01,0.8739,0.90670002,0.85549998,0.87779999
1991-09-02,0.87699997,0.88999999,0.82160002,0.82370001
1991-10-01,0.82660002,0.85149997,0.8125,0.8186
1991-11-01,0.80980003,0.82370001,0.79290003,0.80589998
1991-12-02,0.80239999,0.80760002,0.72509998,0.73519999
1992-01-01,0.73360002,0.78390002,0.72250003,0.77469999
1992-02-03,0.77079999,0.81870002,0.75279999,0.81160003
1992-03-02,0.81470001,0.8427,0.80989999,0.8179
1992-04-01,0.82029998,0.84189999,0.80559999,0.81230003
1992-05-01,0.80809999,0.8233,0.77590001,0.78009999
1992-06-01,0.77899998,0.79549998,0.74229997,0.74839997
1992-07-01,0.74699998,0.75089997,0.69849998,0.7173
1992-08-03,0.7159,0.72619998,0.66600001,0.67460001
1992-09-01,0.67320001,0.73890001,0.65259999,0.66540003
1992-10-01,0.6645,0.74400002,0.65859997,0.7227
1992-11-02,0.72180003,0.76209998,0.71820003,0.73460001
1992-12-01,0.73320001,0.75889999,0.71280003,0.75379997
1993-01-01,0.7536,0.77310002,0.73699999,0.76929998
1993-02-01,0.76819998,0.80129999,0.76389998,0.7992
1993-03-01,0.8003,0.82319999,0.79049999,0.7913
1993-04-01,0.79119998,0.80199999,0.7705,0.77499998
1993-05-03,0.77399999,0.80479997,0.76230001,0.76630002
1993-06-01,0.76380002,0.81919998,0.76300001,0.81349999
1993-07-01,0.81209999,0.84719998,0.80790001,0.84390002
1993-08-02,0.84490001,0.84799999,0.80760002,0.81999999
1993-09-01,0.81910002,0.82029998,0.7615,0.78430003
1993-10-01,0.78399998,0.82920003,0.76959997,0.82730001
1993-11-01,0.82590002,0.84069997,0.79710001,0.81879997
1993-12-01,0.81849998,0.83389997,0.79909998,0.83149999
1994-01-03,0.824,0.8423,0.81199998,0.8272
1994-02-01,0.82730001,0.85820001,0.81739998,0.8211
1994-03-01,0.82050002,0.83590001,0.7881,0.79430002
1994-04-01,0.79460001,0.82950002,0.79369998,0.81
1994-05-02,0.81010002,0.83829999,0.7992,0.83209997
1994-06-01,0.83149999,0.84530002,0.77219999,0.79250002
1994-07-01,0.7913,0.82300001,0.77329999,0.80620003
1994-08-01,0.80140001,0.81330001,0.7701,0.80260003
1994-09-01,0.80220002,0.80610001,0.76630002,0.7744
1994-10-03,0.77600002,0.78280002,0.7561,0.77389997
1994-11-01,0.773,0.83780003,0.764,0.8337
1994-12-01,0.8351,0.85860002,0.83170003,0.83789998
1995-01-02,0.83840001,0.84469998,0.80610001,0.81980002
1995-02-01,0.8193,0.82679999,0.78049999,0.7852
1995-03-01,0.78460002,0.79030001,0.72479999,0.73949999
