time,open,high,low,close
1979-12-03,235.11999512,236.94000244,235.11999512,236.21000671
1980-01-01,234.86999512,238.11000061,229.22999573,235.38000488
1980-02-01,236.11999512,244.1000061,236.08000183,244.1000061
1980-03-03,240.16999817,240.16999817,235.08000183,235.08000183
1980-04-01,237.83999634,239.78999329,231.33000183,231.33000183
1980-05-01,232.08000183,232.08000183,217.6000061,219.21000671
1980-06-02,220.75999451,220.75999451,213.21000671,217.03999329
1980-07-01,216.75999451,223.88000488,214.67999268,221.66999817
1980-08-01,220.80000305,221.13999939,213.77000427,214.91999817
1980-09-01,211.94000244,214.3999939,206.74000549,206.74000549
1980-10-01,204.8500061,209.36999512,203.36000061,205.88000488
1980-11-03,205.94999695,208.69000244,202.38000488,207.38999939
1980-12-01,208.05000305,208.05000305,195.17999268,195.33999634
1981-01-01,194.69999695,196.44999695,192.16000366,196.11999512
1981-02-02,192.38000488,193.8999939,188.38000488,192.91999817
1981-03-02,193.05000305,194.52999878,188.49000549,193.3999939
1981-04-01,194.55999756,196.16999817,191.27999878,193.55000305
1981-05-01,193.41999817,196.30999756,192.72000122,194.99000549
1981-06-01,194.13000488,195.02000427,189.71000671,192.82000732
1981-07-01,193.27999878,198.92999268,191.38000488,198.92999268
1981-08-03,201.3500061,201.3500061,188.57000732,189.75999451
1981-09-01,191,191.47999573,187.11999512,190.49000549
1981-10-01,191.72000122,191.99000549,188.75,191.13000488
1981-11-02,189.61999512,189.74000549,179.17999268,179.17999268
1981-12-01,181.44999695,182.67999268,179.75999451,180.8999939
1982-01-01,180.91000366,185.25999451,180.91000366,185.25999451
1982-02-01,186.08000183,189.50999451,184.19000244,186.24000549
1982-03-01,186.71000671,190.38999939,183.72999573,189.91000366
1982-04-01,189.02999878,189.6499939,181.44999695,182.08000183
1982-05-03,182.30000305,185.44999695,180.49000549,185.27000427
1982-06-01,185.91000366,191.11000061,184.8999939,189.33999634
1982-07-01,189.71000671,190.58999634,185.08000183,188.41000366
1982-08-02,189.88000488,193.80999756,185.99000549,189.8999939
1982-09-01,188.88000488,194,187.74000549,192.36999512
1982-10-01,193.33999634,196.42999268,189.72999573,196.19000244
1982-11-01,196.05000305,196.05000305,178.88999939,179.16999817
1982-12-01,179.36000061,179.5,170.75999451,171.91999817
1983-01-03,170.16999817,175.11000061,166.77000427,172.92999268
1983-02-01,171.52999878,172.80999756,167.99000549,170.17999268
1983-03-01,170.30999756,170.30999756,154.44999695,155.94999695
1983-04-01,156.07000732,157.08999634,155.27000427,157.08999634
1983-05-02,156.58000183,158.30999756,153.42999268,158.30999756
1983-06-01,158.41999817,159.6499939,155.8500061,156.8500061
1983-07-01,156.75999451,158.03999329,156.5,157.86000061
1983-08-01,159.13999939,160.11000061,158.16999817,159.82000732
1983-09-01,159.97999573,160.16999817,155.05999756,155.05999756
1983-10-03,154.11999512,155.07000732,153.27999878,154.82000732
1983-11-01,155.02000427,155.8500061,152.99000549,152.99000549
1983-12-01,153.92999268,154.17999268,151.55999756,151.6499939
1984-01-02,151.32000732,152.42999268,151.02000427,152.36999512
1984-02-01,152.57000732,155.58999634,152.13999939,155.50999451
1984-03-01,155.22999573,155.22999573,148.03999329,149.19000244
1984-04-02,149.16999817,149.41000366,146.99000549,148.46000671
1984-05-01,148.55999756,150.80000305,148.17999268,149.86000061
1984-06-01,149.33000183,150.61000061,149.24000549,150.44999695
1984-07-02,150.77999878,150.77999878,121.19999695,121.30000305
1984-08-01,121.47000122,121.80000305,120.37000275,120.83000183
1984-09-03,120.66000366,120.76000214,119.45999908,120.23999786
1984-10-01,120,120.48999786,118.94999695,119.93000031
1984-11-01,119.93000031,120.54000092,119.62999725,120.52999878
1984-12-03,120.33000183,120.37999725,118.95999908,119.63999939
1985-01-01,119.09999847,120.30000305,119.05000305,119.76000214
1985-02-01,120.47000122,120.47000122,115.12000275,115.33000183
1985-03-01,111.94999695,122.75,111.94999695,116.20999908
1985-04-01,116.37999725,117.11000061,113.19000244,114.18000031
1985-05-01,114.62000275,115.18000031,112.66999817,113.22000122
1985-06-03,112.23999786,120.23000336,111.33999634,120.23000336
1985-07-01,120.80000305,125.51000214,116.13999939,124.44000244
1985-08-01,125.23999786,131.97000122,124.11000061,129.66000366
1985-09-02,128.8500061,130.33000183,118.52999878,118.52999878
1985-10-01,119.65000153,126.68000031,118.18000031,121.84999847
1985-11-01,120.37999725,121.09999847,112.80999756,115.80000305
1985-12-02,116.70999908,116.70999908,97.15000153,100.23000336
1986-01-01,99.97000122,105.80000305,99.97000122,102.98000336
1986-02-03,102.19000244,102.19000244,93.31999969,94.43000031
1986-03-03,93.69000244,96.13999939,89.76000214,91.26000214
1986-04-01,96.33999634,100.91999817,96.33999634,97.88999939
1986-05-01,97.68000031,98.05999756,90.98999786,98.05999756
1986-06-02,100.44999695,100.44999695,87.48999786,89.75
1986-07-01,87.66000366,87.87999725,80.05000305,80.05000305
1986-08-01,79.87000275,80.13999939,74.37000275,75.15000153
1986-09-01,75.16000366,75.44999695,72,75.19000244
1986-10-01,75.23999786,82.79000092,75.23999786,82.79000092
1986-11-03,82.58000183,84.77999878,82.31999969,82.48000336
1986-12-01,80.52999878,85.5,80.5,83.54000092
1987-01-01,83.80000305,85.31999969,79.91999817,83.15000153
1987-02-02,82.62999725,85.44000244,82.62999725,85.44000244
1987-03-02,86.23999786,87.91999817,82.58000183,82.66999817
1987-04-01,83.80000305,83.80000305,80.76999664,81.84999847
1987-05-01,80.45999908,83.56999969,79.65000153,82.79000092
1987-06-01,83.62000275,87.05999756,81.30000305,87.05999756
1987-07-01,87.52999878,93,84.76000214,84.97000122
1987-08-03,87.04000092,88.37000275,85.55000305,86.30000305
1987-09-01,86.12000275,96.11000061,86.12000275,96.11000061
1987-10-01,94.08000183,96.08999634,80.76999664,82.43000031
1987-11-02,81.51000214,85.73000336,81.51000214,85.73000336
1987-12-01,86.19999695,86.19999695,79.56999969,79.56999969
1988-01-01,80.93000031,86.27999878,80.93000031,84.95999908
1988-02-01,85.81999969,87.13999939,84.48999786,84.91000366
1988-03-01,84.45999908,85.84999847,79.51000214,81.05000305
1988-04-01,80.83999634,84.05999756,80.83999634,84.05999756
1988-05-02,84.05000305,86.97000122,84.05000305,86.83999634
1988-06-01,88.08999634,91.91000366,87.33999634,90.11000061
1988-07-01,90.23000336,92.33999634,86.11000061,88
1988-08-01,88.01999664,90.62999725,81.16999817,82.62000275
1988-09-01,82.08999634,84.16999817,80.33000183,82.30999756
1988-10-03,82.87999725,84.11000061,78.41000366,78.43000031
1988-11-01,77.98999786,80.23000336,77.66999817,79.54000092
1988-12-01,78.36000061,79.79000092,76.27999878,78.58000183
1989-01-02,78.59999847,80.98000336,77.41000366,78.26000214
1989-02-01,79.33999634,79.51999664,77.23999786,78.87000275
1989-03-01,79.05000305,82.08000183,78.81999969,81.5
1989-04-03,81.20999908,81.79000092,80.15000153,81.79000092
1989-05-01,82.48000336,84.55000305,82.48000336,83.44000244
1989-06-01,83.52999878,83.80000305,81.25,82.55000305
1989-07-03,81.25,82.87999725,79.02999878,80.61000061
1989-08-01,80.02999878,85.87999725,80.02999878,85.87999725
1989-09-01,86.58999634,86.68000031,81.95999908,81.95999908
1989-10-02,81.69999695,84.30999756,81.69999695,83.94000244
1989-11-01,84.33000183,85.12000275,83.83000183,84.27999878
1989-12-01,84.62999725,86.33999634,84.62999725,85.47000122
1990-01-01,87.16999817,90.01999664,84.77999878,86.75
1990-02-01,87.04000092,87.58000183,84.30000305,87.58000183
1990-03-01,88.12999725,92,87.76000214,92
1990-04-02,92.08999634,92.61000061,91.08000183,91.44999695
1990-05-01,90.48000336,90.80000305,85.62000275,87.77999878
1990-06-01,87.54000092,91.37000275,87.06999969,89.58999634
1990-07-02,89.16999817,89.84999847,86.51999664,86.55000305
1990-08-01,87.52999878,93.62000275,86.69000244,88.44000244
1990-09-03,88.70999908,89.72000122,83.43000031,85.41000366
1990-10-01,84.59999847,85.80999756,74.61000061,80.09999847
1990-11-01,79.45999908,81.98000336,77.33999634,80.79000092
1990-12-03,82.37000275,82.47000122,78.04000092,79.73000336
1991-01-01,79.58999634,82.38999939,78.41000366,78.65000153
1991-02-01,79,80.27999878,76.66000366,79.77999878
1991-03-01,81.01000214,83.36000061,79.86000061,82.59999847
1991-04-01,81.88999939,82.80000305,79.12999725,80.23000336
1991-05-01,81.19999695,82.30000305,79.58000183,80.56999969
1991-06-03,80.86000061,81.87999725,79.20999908,79.20999908
1991-07-01,79.26999664,79.80999756,76.69000244,78.44000244
1991-08-01,78.61000061,79.81999969,77.83000183,78.66999817
1991-09-02,78.37000275,79.36000061,75.27999878,75.45999908
1991-10-01,75.83000183,76.08000183,72.43000031,72.94999695
1991-11-01,72.86000061,74.22000122,72.25,73.05999756
1991-12-02,73.23000336,73.31999969,67.33999634,67.54000092
1992-01-01,67.51000214,69.72000122,66.22000122,68
1992-02-03,68.26999664,70.87000275,67.70999908,70.75
1992-03-02,70.97000122,74.08000183,70.80000305,72.44999695
1992-04-01,73.16999817,73.55999756,71.09999847,71.62000275
1992-05-01,71.41000366,71.91000366,68.27999878,68.41000366
1992-06-01,68.30999756,69.66000366,67.80999756,68.41999817
1992-07-01,68.37000275,70.33000183,67.29000092,69.33000183
1992-08-03,69.30000305,69.69999695,66.12999725,66.37999725
1992-09-01,66.37000275,69.63999939,63.63000107,64.48999786
1992-10-01,64.45999908,66.25,64.33000183,64.84999847
1992-11-02,64.80999756,65.51999664,63.31000137,63.88999939
1992-12-01,63.81000137,64.91999817,63.20000076,64.16999817
1993-01-01,64.11000061,64.98999786,62.58000183,64.41999817
1993-02-01,64.41999817,64.56999969,60.06000137,61.88999939
1993-03-01,62.08000183,63.11999893,60.90999985,60.97999954
1993-04-01,60.99000168,61.91999817,59.18000031,60.15999985
1993-05-03,60.02000046,61.13000107,57.66999817,57.83000183
1993-06-01,57.74000168,60.70000076,56.38999939,57.61000061
1993-07-01,57.65000153,60.68999863,57.16999817,58.15000153
1993-08-02,57.97000122,59.27999878,55.59999847,58.08000183
1993-09-01,58.06999969,59.45000076,56.65000153,58.40999985
1993-10-01,58.36000061,60.52999878,57.63999939,60.18999863
1993-11-01,60.09999847,60.56000137,56.65000153,59.63999939
1993-12-01,59.59999847,62.70000076,59.09000015,62.47999954
1994-01-03,62.45000076,64.08000183,61.43999863,61.65999985
1994-02-01,61.72000122,62.83000183,57.70000076,60.15999985
1994-03-01,60.18000031,61.56000137,57.47000122,57.75
1994-04-01,57.77999878,60.33000183,57.75,58.63999939
1994-05-02,58.84000015,62.34999847,57.77999878,62.18000031
1994-06-01,62.16999817,62.74000168,58.41999817,58.47000122
1994-07-01,58.61000061,60.54000092,58.18999863,60.24000168
1994-08-01,59.40000153,61.56000137,58.52999878,60.31000137
1994-09-01,60.38999939,60.61999893,58.50999832,59.77000046
1994-10-03,59.54999924,61.02999878,59.02000046,59.72999954
1994-11-01,59.72000122,62.34999847,59.20000076,62.13999939
1994-12-01,62.34999847,64.72000122,62.09000015,63.86000061
1995-01-02,63.84000015,64.97000122,62.54000092,63.5
1995-02-01,63.5,64.01000214,60.86999893,61.38999939
1995-03-01,61.31999969,61.56000137,56.20999908,56.72999954
1995-04-03,56.83000183,57.13999939,53.47999954,56.66999817
1995-05-01,56.63999939,58.13999939,54.72000122,56.25
1995-06-01,56.29000092,57.47000122,55.58000183,56.63999939
1995-07-03,56.83000183,60.25,56.61999893,59.74000168
1995-08-01,59.72999954,64.65000153,59.11000061,63.54999924
1995-09-01,63.43999863,68.88999939,63.27999878,65.61000061
1995-10-02,65.5,67.69999695,65.48000336,67.19999695
1995-11-01,67.12000275,68.20999908,65.13999939,66.75
1995-12-01,66.69000244,67.62000275,65.04000092,67.54000092
1996-01-01,67.55000305,72.09999847,67.36000061,71.98000336
1996-02-01,71.87999725,72.52999878,69.56999969,70.91000366
1996-03-01,70.84999847,73.59999847,70.54000092,73
1996-04-01,73.23000336,74.16000366,71.20999908,72.19000244
1996-05-01,72.16000366,74.76000214,71.56999969,73.37000275
1996-06-03,73.47000122,75.40000153,72.5,75.12000275
1996-07-01,75.12000275,76.5,73.26999664,73.55000305
1996-08-01,73.47000122,75.43000031,72.58999634,75.12999725
1996-09-02,75.02999878,78.22000122,74.91000366,77.87999725
1996-10-01,77.87000275,81.51999664,76.52999878,80.58999634
1996-11-01,80.73000336,81.62000275,78.05999756,81.15000153
1996-12-02,81.08999634,82.44000244,78.26000214,81.88999939
1997-01-01,81.83999634,84.76000214,81.16000366,83.62999725
1997-02-03,83.51999664,86.73000336,82.76000214,83.43000031
1997-03-03,83.91999817,86.75,83.63999939,86
1997-04-01,86.08000183,88.33999634,84.56999969,88.09999847
1997-05-01,88.13999939,88.20999908,77.55999756,80.08000183
1997-06-02,80,80.51000214,76.51999664,78
1997-07-01,78.05000305,78.5,74.45999908,77.02999878
1997-08-01,77,77.32,72.80999756,77.21
1997-09-01,76.59,78.03,76.16,77.3
1997-10-01,77.64,78.85,75.27,75.36
1997-12-01,75.26,75.26,75.26,75.26
1998-01-01,75.87,76.95,73.02,73.02
1998-02-02,73.86,73.91,73.86,73.9
1998-03-02,73.52,73.52,73.52,73.52
1998-04-01,73.16,73.87,73.16,73.29
1998-05-01,71.68,74.09,71.41,74.09
1998-06-01,72.98,73.06,71.44,71.53
1998-07-01,72.8,72.86,72.8,72.82
1998-09-01,67.82,68.94,67.43,67.61
1998-10-01,68.28,68.69,59.07,61.47
1998-11-02,61.44,65.91,60.71,64.54
1998-12-01,64.04,64.53,59.83,60.14
1999-01-01,60.27,62.56,59.3,62.56
1999-02-01,62.29,65.82,61.01,62.23
1999-03-01,62.98,65.48,61.7,63.6
1999-04-01,63.59,66.63,63.4,66.63
1999-05-03,67.31,69.06,64.23,64.91
1999-06-01,63.7,65.63,62.69,64.67
1999-07-01,64.74,65.07,60.39,60.69
1999-08-02,60.9,61.92,56.35,56.73
1999-09-01,56.79,58.89,53.6,55.07
1999-10-01,55.02,56.35,52.68,52.86
1999-11-01,52.85,54.94,51.65,51.65
1999-12-01,51.97,54.88,50.38,53.22
2000-01-03,53.53,55.66,51.69,53.16
2000-02-01,53.17,54.74,52.56,53.89
2000-03-01,53.9,53.97,50.56,50.91
2000-04-03,51.28,53.57,51.13,52.4
2000-05-01,52.3,53.68,48.06,49.25
2000-06-01,49.23,50.93,48.78,49.72
2000-07-03,49.59,50.66,49.11,49.66
2000-08-01,49.62,49.98,45.19,45.47
2000-09-01,45.49,45.92,42.79,44.02
2000-10-02,44.07,44.78,41.99,42.96
2000-11-01,42.71,45.47,42.47,45.43
2000-12-01,45.37,50.82,45.37,50.69
2001-01-01,50.63,53.45,50.36,51.74
2001-02-01,51.65,52.06,48.98,50.48
2001-03-01,50.45,52.15,49.62,50.78
2001-04-02,50.92,51.42,48.98,51.06
2001-05-01,51.1,53.02,48.31,48.77
2001-06-01,48.8,52.11,48.47,50.76
2001-07-02,50.66,51.73,49.91,51.63
2001-08-01,51.63,53.26,51.44,52.16
2001-09-03,52.24,52.82,46.32,48.54
2001-10-01,48.54,51.49,48.19,50.3
2001-11-01,50.26,51.63,50.17,51.305
2001-12-03,51.335,54.795,50.915,54.695
2002-01-01,54.695,57.755,54.695,56.045
2002-02-01,56.045,56.765,55.015,56.195
2002-03-01,56.195,58.685,54.105000000000004,58.425
2002-04-01,58.455,59.165,56.595,57.505
2002-05-01,57.505,60.035000000000004,56.735,59.685
2002-06-03,59.685,62.115,57.595,58.195
2002-07-01,58.195,58.795,53.815,55.845
2002-08-01,55.845,56.405,53.525,55.495
2002-09-02,55.485,58.365,54.315,57.095
2002-10-01,57.095,60.875,56.935,59.535000000000004
2002-11-01,59.535000000000004,62.005,58.765,61.055
2002-12-02,61.055,63.045,61.025,62.045
2003-01-01,62.045,65.455,62.045,65.265
2003-02-03,65.265,67.015,64.895,66.065
2003-03-03,66.065,66.94500000000001,63.765,65.465
2003-04-01,65.465,67.425,64.255,66.715
2003-05-01,66.715,69.085,65.565,68.855
2003-06-02,68.855,70.475,67.225,70.335
2003-07-01,70.335,71.19500000000001,67.425,70.045
2003-08-01,70.045,70.565,66.165,67.555
