time,open,high,low,close
1971-01-01,1.1138,1.1248,1.1138,1.1248
1971-02-01,1.1253,1.1257,1.1235,1.1241
1971-03-01,1.1242,1.1257,1.1242,1.1245
1971-04-01,1.1235,1.1258,1.1225,1.1257
1971-05-03,1.1255,1.1257,1.1246,1.125
1971-06-01,1.1243,1.1258,1.1243,1.1258
1971-07-01,1.1255,1.1259,1.125,1.1252
1971-08-02,1.1248,1.1504,1.1242,1.1417
1971-09-01,1.142,1.156,1.142,1.156
1971-10-01,1.1582,1.1606,1.1577,1.1592
1971-11-01,1.1598,1.1604,1.1597,1.1603
1971-12-01,1.1604,1.1913,1.1599,1.1913
1972-01-03,1.195,1.198,1.19,1.195
1972-02-01,1.195,1.195,1.1925,1.195
1972-03-01,1.195,1.198,1.19,1.198
1972-04-03,1.198,1.198,1.192,1.1925
1972-05-01,1.195,1.195,1.191,1.195
1972-06-01,1.19,1.196,1.19,1.19
1972-07-03,1.192,1.195,1.19,1.195
1972-08-01,1.194,1.195,1.193,1.195
1972-09-01,1.195,1.195,1.19,1.194
1972-10-02,1.194,1.195,1.1885,1.194
1972-11-01,1.199,1.199,1.192,1.195
1972-12-01,1.195,1.197,1.194,1.195
1973-01-01,1.195,1.198,1.194,1.195
1973-02-01,1.195,1.3208,1.195,1.3208
1973-03-01,1.321,1.33,1.31,1.3275
1973-04-02,1.325,1.34,1.325,1.335
1973-05-01,1.334,1.334,1.3205,1.3207
1973-06-01,1.335,1.3375,1.3205,1.3205
1973-07-02,1.3205,1.377,1.3205,1.35
1973-08-01,1.35,1.367,1.345,1.35
1973-09-03,1.35,1.4825,1.35,1.48
1973-10-01,1.48,1.49,1.48,1.49
1973-11-01,1.49,1.49,1.47,1.4725
1973-12-03,1.476,1.476,1.42,1.4225
1974-01-01,1.4225,1.4225,1.365,1.375
1974-02-01,1.395,1.425,1.39,1.425
1974-03-01,1.42,1.445,1.42,1.445
1974-04-01,1.46,1.4625,1.4425,1.4575
1974-05-01,1.4575,1.465,1.45,1.45
1974-06-03,1.46,1.46,1.445,1.445
1974-07-01,1.45,1.455,1.4475,1.455
1974-08-01,1.455,1.455,1.425,1.425
1974-09-02,1.415,1.4225,1.295,1.298
1974-10-01,1.298,1.305,1.295,1.2995
1974-11-01,1.3,1.308,1.299,1.305
1974-12-02,1.305,1.3105,1.2985,1.3105
1975-01-01,1.3105,1.3317,1.307,1.324
1975-02-03,1.324,1.3485,1.322,1.3485
1975-03-03,1.349,1.35,1.338,1.338
1975-04-01,1.335,1.336,1.3185,1.322
1975-05-01,1.321,1.322,1.31,1.3165
1975-06-02,1.3165,1.3185,1.2905,1.2905
1975-07-01,1.301,1.301,1.2635,1.2635
1975-08-01,1.263,1.263,1.06,1.062
1975-09-01,1.06,1.0625,1.041,1.041
1975-10-01,1.042,1.053,1.042,1.053
1975-11-03,1.055,1.055,1.0405,1.0405
1975-12-01,1.0395,1.0396,1.0359,1.0385
1976-01-01,1.0385,1.046,1.0385,1.0418
1976-02-02,1.041,1.044,1.041,1.0425
1976-03-01,1.0415,1.0417,1.0155,1.018
1976-04-01,1.0181,1.0181,0.9915,0.9995
1976-05-03,0.9994,1.0025,0.9825,0.9825
1976-06-01,0.9795,0.9874,0.9649,0.9874
1976-07-01,0.9886,1,0.9866,0.997
1976-08-02,0.9951,0.9995,0.9943,0.9969
1976-09-01,0.9976,1,0.9625,0.9709
1976-10-01,0.9642,0.9765,0.9456,0.95
1976-11-01,0.9458,0.9725,0.9013,0.9013
1976-12-01,0.8999,0.95,0.8999,0.945
1977-01-03,0.949,0.951,0.9455,0.951
1977-02-01,0.9479,0.955,0.9474,0.955
1977-03-01,0.955,0.96,0.955,0.96
1977-04-01,0.96,0.9635,0.9595,0.9595
1977-05-02,0.96,0.961,0.9595,0.96
1977-06-01,0.9605,0.9665,0.96,0.9665
1977-07-01,0.967,0.9755,0.967,0.974
1977-08-01,0.971,0.9725,0.9625,0.968
1977-09-01,0.968,0.97,0.9675,0.97
1977-10-03,0.976,0.995,0.9745,0.995
1977-11-01,0.997,0.998,0.988,0.9945
1977-12-01,0.9955,1.0175,0.9955,1.016
1978-01-02,1.023,1.0335,1.0033,1.023
1978-02-01,1.0215,1.026,1.015,1.022
1978-03-01,1.0255,1.026,1.016,1.02
1978-04-03,1.029,1.029,1.007,1.015
1978-05-01,1.011,1.0115,1.0015,1.011
1978-06-01,1.011,1.03,1.011,1.03
1978-07-03,1.031,1.0515,1.031,1.0515
1978-08-01,1.055,1.068,1.0465,1.05
1978-09-01,1.052,1.0625,1.0495,1.0605
1978-10-02,1.06,1.0985,1.06,1.0985
1978-11-01,1.065,1.069,1.0425,1.046
1978-12-01,1.04,1.068,1.04,1.064
1979-01-01,1.056,1.063,1.0505,1.053
1979-02-01,1.047,1.058,1.047,1.0552
1979-03-01,1.0527,1.057,1.051,1.055
1979-04-02,1.053,1.0556,1.0435,1.044
1979-05-01,1.0425,1.05,1.039,1.0425
1979-06-01,1.0435,1.0548,1,1.0087
1979-07-02,1.0115,1.03,1.011,1.015
1979-08-01,1.0205,1.021,1.01,1.0115
1979-09-03,1.008,1.0115,0.9935,1.0035
1979-10-01,1,1.001,0.966,0.966
1979-11-01,0.9665,0.9765,0.955,0.9765
1979-12-03,0.9785,0.9855,0.9765,0.983
1980-01-01,0.985,0.991,0.982,0.9835
1980-02-01,0.982,0.9885,0.97,0.97
1980-03-03,0.969,0.969,0.9405,0.9405
1980-04-01,0.934,0.9678,0.926,0.9665
1980-05-01,0.965,0.9927,0.963,0.983
1980-06-02,0.9875,0.991,0.981,0.987
1980-07-01,0.9875,0.991,0.9748,0.9748
1980-08-01,0.9727,0.9809,0.9727,0.9809
1980-09-01,0.9815,0.987,0.979,0.9805
1980-10-01,0.9825,0.9848,0.9752,0.9755
1980-11-03,0.977,0.977,0.9575,0.9575
1980-12-01,0.955,0.9618,0.9475,0.9618
1981-01-01,0.9615,0.9698,0.9488,0.9488
1981-02-02,0.947,0.947,0.92,0.92
1981-03-02,0.9145,0.928,0.9135,0.9155
1981-04-01,0.916,0.916,0.895,0.897
1981-05-01,0.8965,0.8965,0.8709,0.8709
1981-06-01,0.8725,0.8725,0.8495,0.85
