time,open,high,low,close
2009-01-13,58.03,58.28,54.64,55.37
2009-01-14,54.19,54.42,53.86,54.13
2009-01-15,54.19,54.42,52.82,53.86
2009-01-16,54.68,54.78,54.65,54.68
2009-01-20,54.68,54.78,51.87,52.13
2009-01-21,54.68,54.78,51.72,53.33
2009-01-22,52.9,53.06,52.55,52.59
2009-01-23,52.9,53.24,52.22,52.88
2009-01-26,52.38,52.9,52.28,52.72
2009-01-27,52.38,53.23,52.28,52.94
2009-01-28,52.38,53.72,51.91,52.53
2009-01-29,52.02,52.07,51.27,51.34
2009-01-30,52.02,52.07,50.52,50.9
2009-02-02,50.68,50.69,50.22,50.27
2009-02-03,50.68,51.52,50.22,51.35
2009-02-04,50.66,50.92,50.61,50.78
2009-02-05,50.66,52.07,50.61,51.61
2009-02-06,50.66,53.63,50.61,53.16
2009-02-09,54.16,54.46,53.77,53.87
2009-02-10,54.16,54.46,51.82,52.18
2009-02-11,52.2,52.81,52.16,52.57
2009-02-12,52.2,52.81,51.42,52.23
2009-02-13,52.2,52.87,51.42,52.41
2009-02-17,50.97,51.22,50.82,50.91
2009-02-18,50.97,51.23,50.75,51.02
2009-02-19,51.11,51.22,50.86,50.89
2009-02-20,51.11,51.55,50.33,51.25
2009-02-23,51.11,51.55,50.33,50.75
2009-02-24,50.81,51.6,50.8,51.43
2009-02-25,50.81,51.6,50.8,50.95
2009-02-26,51.03,51.14,50.79,50.83
2009-02-27,51.03,51.14,49.99,50.13
2009-03-02,49.35,49.45,49.2,49.23
2009-03-03,49.35,49.95,49.2,49.51
2009-03-04,49.35,50.78,49.2,50.51
2009-03-05,50.33,50.45,49.7,49.83
2009-03-06,50.33,50.92,49.7,50.23
2009-03-09,49.38,49.48,49.22,49.34
2009-03-10,49.38,50.52,49.22,50.31
2009-03-11,50.72,51.35,50.58,51.23
2009-03-12,50.72,52.33,50.58,52.19
2009-03-13,50.72,52.68,50.58,52.49
2009-03-16,53.03,53.4,52.92,53.06
2009-03-17,53.03,53.4,52.81,53.03
2009-03-18,52.89,54.69,52.8,54.51
2009-03-19,52.89,56.08,52.8,55.39
2009-03-20,55.88,56.03,55.79,56.03
2009-03-23,55.88,57.26,55.79,57.2
2009-03-24,55.88,57.26,55.79,56.24
2009-03-25,57.19,57.19,56.11,56.59
2009-03-26,57.19,57.97,56.11,57.51
2009-03-27,57.05,57.16,56.89,57.15
2009-03-30,57.05,57.16,55.98,56.3
2009-03-31,57.07,57.19,55.89,56.06
2009-04-01,57.07,57.19,55.79,56.65
2009-04-02,57.07,58.36,55.79,57.85
2009-04-03,58.28,58.7,57.74,58.56
2009-04-06,58.28,58.9,57.74,58.75
2009-04-07,57.83,57.84,57.35,57.52
2009-04-08,57.83,58.03,57.35,57.97
2009-04-09,58.36,58.38,58.26,58.35
2009-04-13,58.36,59.32,58.26,59.17
2009-04-14,58.36,59.32,58.24,58.28
2009-04-15,57.66,58.25,57.38,58.15
2009-04-16,57.66,58.25,56.86,57.24
2009-04-17,56.61,56.82,56.51,56.81
2009-04-20,56.61,56.82,54.93,55.26
2009-04-21,56.42,56.47,56.23,56.39
2009-04-22,56.42,56.47,55.44,55.53
2009-04-23,56.42,56.47,55.44,56.25
2009-04-24,57.22,57.4,56.92,57.28
2009-04-27,57.22,57.4,56.45,56.52
2009-04-28,55.69,56.17,55.69,55.76
2009-04-29,55.69,57.77,55.69,56.62
2009-04-30,56.55,56.61,56.43,56.55
2009-05-01,56.55,57.2,56.43,57.11
2009-05-04,56.55,57.7,56.43,57.6
2009-05-05,58.38,58.5,57.76,58.01
2009-05-06,58.38,58.6,57.76,58.37
2009-05-07,59.53,59.69,58.95,59.32
2009-05-08,59.53,60.52,58.95,60.36
2009-05-11,60.39,60.43,59.99,60.02
2009-05-12,60.86,60.9,60.06,60.56
2009-05-13,60.86,60.9,58.86,59.16
2009-05-14,59.45,59.88,59.45,59.65
2009-05-20,59.3,61.11,59.3,60.44
2009-05-21,60.31,61.2,60.24,61.16
2009-05-22,60.31,62.28,60.24,62.13
2009-05-26,62.3,62.62,62.25,62.47
2009-05-27,62.3,62.62,61.36,61.37
2009-05-28,62.34,62.39,62.2,62.35
2009-05-29,63.54,64.13,63.53,64.09
2009-06-01,64.84,65.63,64.67,64.98
2009-06-02,65.57,65.94,65.1,65.53
2009-06-03,64.49,64.66,62.73,63.44
2009-06-04,62.43,63.63,62.43,63.46
2009-06-05,63.59,64.17,62.56,62.6
2009-06-08,62.1,62.18,61.58,62.04
2009-06-09,62.44,62.92,62.27,62.7
2009-06-10,63.34,63.45,62.37,63
2009-06-11,64.04,64.7,63.82,64.33
2009-06-12,63.99,64.35,63.6,64.35
2009-06-15,63.2,63.49,62.79,63.11
2009-06-16,63.75,63.91,62.96,63.03
2009-06-17,62.58,63.68,62.46,63.43
