time,open,high,low,close
2009-01-02,58.03,58.28,50.52,50.9
2009-02-02,50.68,54.46,49.99,50.13
2009-03-02,49.35,57.97,49.2,56.06
2009-04-01,57.07,59.32,54.93,56.55
2009-05-01,56.55,64.13,56.43,64.09
2009-06-01,64.84,65.94,61.58,64.61
2009-07-01,63.93,66.42999,61.99,66.42
2009-08-03,66.56,68.98,66.35999,68.56999
2009-09-01,68.56,72.8,66.87999,72.34
2009-10-01,72.34,76.32001,70.81999,71.81
2009-11-02,71.81,75.22,70.39999,71.59999
2009-12-01,72.48,73.17,69.79999,72.46999
2010-01-04,72.79999,74.39,70.07999,70.09999
2010-02-01,70.23999,71.35001,68.07999,69.84999
2010-03-01,69.84999,71.77,68.53,71.03999
2010-04-01,70.86,73.25,69.65999,72.70999
2010-05-03,72.81,73.24001,65.90999,67.87999
2010-06-01,67.87999,71.59,55.32001,68.48
2010-07-01,68.48,73.89999,68.2,72.60001
2010-08-02,73.10001,73.55,69.49001,69.91
2010-09-01,70.57001,74.17,70.57001,73.42999
2010-10-01,73.91,76.66,73.91,76.25
2010-11-01,76.49001,79.74001,74,74.21001
2010-12-01,74.50999,78.08,73.45,78.03
2011-01-03,77.75,77.89999,75.33,77.25999
2011-02-01,77.5,78.24001,74.3,75.33
2011-03-01,75.22,76.48,71.64,76.14999
2011-04-01,76.14999,81.05,76.10001,80.92999
2011-05-02,80.92999,82.58,77.64999,82.36
2011-06-01,82.36,83.02,79.73,82.92
2011-07-01,82.86,87.98,81.59,87.97
2011-08-01,87.97,88.17,80.73,85.39
2011-09-01,85.27,85.46001,76.08,76.37
2011-10-03,76.37,82.39999,74.7,80.87
2011-11-01,79.82001,79.99001,73.71001,77.96001
2011-12-01,77.96001,78.78,74.88,77.78999
2012-01-03,78.61,83.00999,77.88,82.47
2012-02-01,83.14999,84.71001,82.62,83.75999
2012-03-01,83.75999,84.07001,80.59,81.91
2012-04-02,81.91,83,80.88,81.75999
2012-05-01,81.60001,81.60001,74.58,75.35001
2012-06-01,75.35001,80.42,74.57001,80.21001
2012-07-02,80.21001,81.22,78.47,81.05
2012-08-01,81.05,82.24001,79.7,80.32001
2012-09-04,79.59,83.5,79.22,82.95
2012-10-01,82.95,83.37,81.00999,82.23
2012-11-01,82.42,82.92,80.53,81.99001
2012-12-03,82.03999,84.77,81.56,82.75999
2013-01-02,82.92999,84.55,82.25,84.02
2013-02-01,84.21001,84.91,82.24001,82.75
2013-03-01,82.59,83.92999,81.66,83.66
2013-04-01,83.66,86.74001,83.53999,85.66
2013-05-01,85.66,85.72,79.44,79.48
2013-06-03,79.7,81.37,76.97,77.45
2013-07-01,77.58,80.92,76.88,79.98
2013-08-01,79.56,81.28,77.22,77.35001
2013-09-03,77.75999,84.08,77.75999,83.17
2013-10-01,82.89,85.44,81.93,82.64
2013-11-01,82.75,84.12,81.16,81.31
2013-12-02,82.06,83.35,81.42,82.24
2014-01-02,81.51,84.26,80.63,80.87
