time,open,high,low,close
1970-02-11,86.1,86.1,86.1,86.1
1970-02-12,86.94,86.94,86.94,86.94
1970-02-13,86.73,86.73,86.73,86.73
1970-02-17,86.47,86.47,86.47,86.47
1970-02-18,86.37,86.37,86.37,86.37
1970-02-19,87.44,87.44,87.44,87.44
1970-02-20,87.76,87.76,87.76,87.76
1970-02-25,87.99,87.99,87.99,87.99
1970-02-26,89.35,89.35,89.35,89.35
1970-02-27,88.9,88.9,88.9,88.9
1970-03-03,89.71,89.71,89.71,89.71
1970-03-04,90.23,90.23,90.23,90.23
1970-03-05,90.04,90.04,90.04,90.04
1970-03-06,90,90,90,90
1970-03-10,88.51,88.51,88.51,88.51
1970-03-11,88.75,88.75,88.75,88.75
1970-03-12,88.69,88.69,88.69,88.69
1970-03-13,88.33,88.33,88.33,88.33
1970-03-17,86.91,86.91,86.91,86.91
1970-03-18,87.29,87.29,87.29,87.29
1970-03-19,87.54,87.54,87.54,87.54
1970-03-20,87.42,87.42,87.42,87.42
1970-03-24,86.99,86.99,86.99,86.99
1970-03-25,87.98,87.98,87.98,87.98
1970-03-26,89.77,89.77,89.77,89.77
1970-03-27,89.92,89.92,89.92,89.92
1970-03-31,89.63,89.63,89.63,89.63
1970-04-01,89.63,89.63,89.63,89.63
1970-04-02,90.07,90.07,90.07,90.07
1970-04-03,89.79,89.79,89.79,89.79
1970-04-07,88.76,88.76,88.76,88.76
1970-04-08,88.52,88.52,88.52,88.52
1970-04-09,88.49,88.49,88.49,88.49
1970-04-10,88.53,88.53,88.53,88.53
1970-04-14,87.64,87.64,87.64,87.64
1970-04-15,86.89,86.89,86.89,86.89
1970-04-16,86.73,86.73,86.73,86.73
1970-04-17,85.88,85.88,85.88,85.88
1970-04-21,85.83,85.83,85.83,85.83
1970-04-22,85.38,85.38,85.38,85.38
1970-04-23,84.27,84.27,84.27,84.27
1970-04-24,83.04,83.04,83.04,83.04
1970-04-28,81.46,81.46,81.46,81.46
1970-04-29,80.27,80.27,80.27,80.27
1970-04-30,81.81,81.81,81.81,81.81
1970-05-01,81.52,81.52,81.52,81.52
1970-05-05,79,79,79,79
1970-05-06,78.6,78.6,78.6,78.6
1970-05-07,79.47,79.47,79.47,79.47
1970-05-08,79.83,79.83,79.83,79.83
1970-05-12,78.6,78.6,78.6,78.6
1970-05-13,77.85,77.85,77.85,77.85
1970-05-14,76.53,76.53,76.53,76.53
1970-05-15,75.44,75.44,75.44,75.44
1970-05-19,76.96,76.96,76.96,76.96
1970-05-20,75.46,75.46,75.46,75.46
1970-05-21,73.52,73.52,73.52,73.52
1970-05-22,72.16,72.16,72.16,72.16
1970-05-26,70.25,70.25,70.25,70.25
1970-05-27,69.29,69.29,69.29,69.29
1970-05-28,72.77,72.77,72.77,72.77
1970-05-29,74.61,74.61,74.61,74.61
1970-06-02,77.84,77.84,77.84,77.84
1970-06-03,77.84,77.84,77.84,77.84
1970-06-04,78.52,78.52,78.52,78.52
1970-06-05,77.36,77.36,77.36,77.36
1970-06-09,76,76,76,76
1970-06-10,76.25,76.25,76.25,76.25
1970-06-11,75.48,75.48,75.48,75.48
1970-06-12,74.45,74.45,74.45,74.45
1970-06-16,74.38,74.38,74.38,74.38
1970-06-17,76.15,76.15,76.15,76.15
1970-06-18,76,76,76,76
1970-06-19,76.51,76.51,76.51,76.51
1970-06-23,76.64,76.64,76.64,76.64
1970-06-24,74.76,74.76,74.76,74.76
1970-06-25,73.97,73.97,73.97,73.97
1970-06-26,74.02,74.02,74.02,74.02
1970-06-30,72.89,72.89,72.89,72.89
1970-07-01,72.72,72.72,72.72,72.72
1970-07-02,73.04,73.04,73.04,73.04
1970-07-03,72.92,72.92,72.92,72.92
1970-07-07,71.78,71.78,71.78,71.78
1970-07-08,71.23,71.23,71.23,71.23
1970-07-09,73,73,73,73
1970-07-10,74.06,74.06,74.06,74.06
1970-07-14,74.48,74.48,74.48,74.48
1970-07-15,74.42,74.42,74.42,74.42
1970-07-16,75.23,75.23,75.23,75.23
1970-07-17,76.34,76.34,76.34,76.34
1970-07-21,77.72,77.72,77.72,77.72
1970-07-22,76.98,76.98,76.98,76.98
1970-07-23,77.03,77.03,77.03,77.03
1970-07-24,78,78,78,78
1970-07-28,77.65,77.65,77.65,77.65
1970-07-29,77.77,77.77,77.77,77.77
1970-07-30,78.04,78.04,78.04,78.04
1970-07-31,78.07,78.07,78.07,78.07
1970-08-04,77.02,77.02,77.02,77.02
1970-08-05,77.19,77.19,77.19,77.19
1970-08-06,77.18,77.18,77.18,77.18
1970-08-07,77.08,77.08,77.08,77.08
1970-08-11,76.2,76.2,76.2,76.2
1970-08-12,75.82,75.82,75.82,75.82
1970-08-13,75.42,75.42,75.42,75.42
1970-08-14,74.76,74.76,74.76,74.76
1970-08-18,75.33,75.33,75.33,75.33
1970-08-19,76.2,76.2,76.2,76.2
1970-08-20,76.96,76.96,76.96,76.96
1970-08-21,77.64,77.64,77.64,77.64
1970-08-25,80.99,80.99,80.99,80.99
1970-08-26,81.12,81.12,81.12,81.12
1970-08-27,81.21,81.21,81.21,81.21
1970-08-28,81.08,81.08,81.08,81.08
1970-09-01,81.52,81.52,81.52,81.52
1970-09-02,80.95,80.95,80.95,80.95
1970-09-03,80.96,80.96,80.96,80.96
1970-09-04,82.09,82.09,82.09,82.09
1970-09-09,83.04,83.04,83.04,83.04
1970-09-10,82.79,82.79,82.79,82.79
1970-09-11,82.3,82.3,82.3,82.3
1970-09-15,82.07,82.07,82.07,82.07
1970-09-16,81.36,81.36,81.36,81.36
1970-09-17,81.79,81.79,81.79,81.79
1970-09-18,82.29,82.29,82.29,82.29
1970-09-22,81.91,81.91,81.91,81.91
1970-09-23,81.66,81.66,81.66,81.66
1970-09-24,82.83,82.83,82.83,82.83
1970-09-25,83.91,83.91,83.91,83.91
1970-09-29,83.86,83.86,83.86,83.86
1970-09-30,84.3,84.3,84.3,84.3
1970-10-01,84.21,84.21,84.21,84.21
1970-10-02,84.32,84.32,84.32,84.32
1970-10-06,86.47,86.47,86.47,86.47
