time,open,high,low,close
1970-02-02,86.1,89.35,86.1,88.9
1970-03-02,89.71,90.23,86.91,89.63
1970-04-01,89.63,90.07,80.27,81.81
1970-05-01,81.52,81.52,69.29,74.61
1970-06-01,77.84,78.52,72.89,72.89
1970-07-01,72.72,78.07,71.23,78.07
1970-08-03,77.02,81.21,74.76,81.08
1970-09-01,81.52,84.3,80.95,84.3
1970-10-01,84.21,86.89,83.12,83.36
1970-11-02,83.51,85.09,82.79,85.09
1970-12-01,87.2,92.27,87.2,92.27
1971-01-01,92.15,95.59,91.15,95.21
1971-02-01,96.42,98.66,95.72,96.92
1971-03-01,97,101.21,96.95,100.26
1971-04-01,100.31,104.77,100.31,104.63
1971-05-03,103.29,103.79,99.4,99.4
1971-06-01,100.2,101.14,97.59,98.82
1971-07-01,99.7,100.82,96.02,96.02
1971-08-02,95.96,100.41,93.53,99.52
1971-09-01,99.03,101.34,97.62,97.9
1971-10-01,98.34,100.02,93.79,93.96
1971-11-01,92.8,94.91,90.16,93.41
1971-12-01,93.99,102.21,93.99,101.78
1972-01-03,101.67,104.05,101.67,103.5
1972-02-01,103.94,106.19,103.94,106.19
1972-03-01,106.57,108.96,106.49,107.2
1972-04-03,107.48,110.18,106.89,107.05
1972-05-01,106.69,110.46,104.74,110.35
1972-06-01,109.53,109.69,106.82,106.82
1972-07-03,107.49,109.04,105.81,107.28
1972-08-01,107.39,112.55,107.39,110.57
1972-09-01,111.09,111.23,108.05,110.35
1972-10-02,110.16,110.99,106.77,110.59
1972-11-01,111.58,116.9,111.58,116.52
1972-12-01,116.67,119.12,115.11,116.93
1973-01-01,119.1,120.24,115.83,115.83
1973-02-01,116.03,116.78,110.9,110.9
1973-03-01,111.68,114.98,108.84,112.71
1973-04-02,110.18,112.68,108.34,108.89
1973-05-01,106.97,111.25,102.73,105.91
1973-06-01,104.95,108.29,102.25,104.69
1973-07-02,102.9,109.85,101.78,109.25
1973-08-01,108.22,108.22,100.53,103.88
1973-09-03,104.51,109.08,103.06,109.08
1973-10-01,108.21,111.15,108.21,109.33
1973-11-01,108.29,108.29,95.7,97.31
1973-12-03,93.9,97.95,92.16,97.74
1974-01-01,97.55,99.8,92.39,97.06
1974-02-01,96.57,96.57,90.66,96.4
1974-03-01,96.22,99.74,94.82,94.82
1974-04-01,93.25,94.78,89.57,90
1974-05-01,90.31,92.96,86.89,87.43
1974-06-03,89.1,93.1,86.31,86.31
1974-07-01,86.02,86.02,79.89,80.5
1974-08-01,79.31,82.65,69.99,69.99
1974-09-02,70.52,70.87,66.23,66.46
1974-10-01,63.54,74.31,62.28,74.31
1974-11-01,73.9,75.21,67.9,69.94
1974-12-02,68.11,68.11,65.6,67.16
1975-01-01,68.56,77.26,68.56,76.21
1975-02-03,77.82,82.21,77.61,80.77
1975-03-03,83.03,86.01,81.42,83.85
1975-04-01,83.36,87.25,80.35,85.64
1975-05-01,87.3,92.27,87.3,89.68
1975-06-02,92.58,94.81,90.08,94.81
1975-07-01,95.19,95.61,88.19,88.83
1975-08-01,88.75,88.75,83.07,86.4
1975-09-01,85.48,86.2,82.09,85.03
1975-10-01,83.87,91.24,82.93,89.31
1975-11-03,88.09,91.46,88.09,90.94
1975-12-01,90.67,90.67,87.07,89.77
1976-01-01,90.19,100.11,90.19,100.11
1976-02-02,100.87,102.03,99.05,100.11
1976-03-01,100.02,103.42,98.92,102.01
1976-04-01,102.77,103.51,100.2,102.13
1976-05-03,100.92,103.1,99.34,99.38
1976-06-01,99.85,104.28,98.63,103.86
1976-07-01,104.28,105.95,102.93,102.93
1976-08-02,103.19,104.8,101.27,102.07
1976-09-01,102.91,107.83,102.91,105.37
1976-10-01,105.24,105.24,100.07,101.61
1976-11-01,103.1,103.1,98.81,102.44
1976-12-01,102.1,106.88,102.1,106.88
1977-01-03,107,107,101.79,101.79
1977-02-01,102.03,102.54,99.6,99.6
1977-03-01,99.82,102.17,98.54,98.54
1977-04-01,98.42,101,97.11,98.2
1977-05-02,98.93,100.3,96.77,97.01
1977-06-01,96.12,100.98,96.12,100.11
1977-07-01,100.48,101.79,98.64,98.79
1977-08-01,99.12,99.12,96.15,96.38
1977-09-01,96.77,98.01,95.09,95.85
1977-10-03,96.74,96.74,91,92.34
1977-11-01,92.34,96.49,90.71,94.55
1977-12-01,94.83,94.94,92.5,94.94
1978-01-02,93.82,93.82,88.58,89.34
1978-02-01,89.25,90.83,87.56,87.72
1978-03-01,87.04,90.82,86.9,89.41
1978-04-03,88.46,96.82,88.46,95.86
1978-05-01,97.67,99.6,95.9,96.86
1978-06-01,97.29,100.32,94.6,95.57
1978-07-03,95.09,99.54,94.27,99.54
1978-08-01,100.68,105.08,100.66,103.5
1978-09-01,103.29,106.99,101.66,101.96
1978-10-02,102.96,105.39,95.06,95.06
1978-11-01,93.15,96.85,92.49,93.75
1978-12-01,94.7,97.52,93.15,96.28
1979-01-01,96.73,101.55,96.73,101.05
1979-02-01,99.93,99.96,96.13,96.13
1979-03-01,96.28,102.48,96.28,102.03
1979-04-02,100.9,103.34,100.9,102.01
1979-05-01,101.76,101.81,98.06,99.11
1979-06-01,99.08,102.85,99.08,102.8
1979-07-02,101.99,104.47,101.59,103.15
1979-08-01,103.81,109.14,103.81,109.02
1979-09-03,107.44,110.51,106.4,110.21
1979-10-01,108.56,110.17,100,102.67
1979-11-01,101.82,106.81,99.87,106.81
1979-12-03,105.83,109.33,105.83,107.96
1980-01-01,107.94,115.2,105.22,115.2
1980-02-01,114.16,118.44,112.35,112.35
1980-03-03,112.5,112.78,98.22,98.22
1980-04-01,102.09,105.86,99.8,105.86
1980-05-01,106.29,112.06,104.78,110.27
1980-06-02,110.76,116.72,110.51,116.19
1980-07-01,114.24,122.51,114.24,122.23
1980-08-01,121.67,125.46,120.74,122.08
1980-09-01,123.73,130.4,123.31,123.54
1980-10-01,125.46,133.7,125.46,126.29
1980-11-03,129.04,140.4,128.91,140.17
1980-12-01,137.21,137.21,127.36,135.33
1981-01-01,135.76,138.12,129.84,130.24
1981-02-02,126.91,130.1,126.61,130.1
1981-03-02,132.01,137.11,129.93,134.28
1981-04-01,136,136.57,132.68,133.05
1981-05-01,132.81,133.77,129.71,133.45
1981-06-01,132.41,133.75,130.62,131.89
1981-07-01,131.21,131.21,127.13,130.01
1981-08-03,130.48,133.85,123.51,123.51
1981-09-01,122.79,123.49,115.01,115.94
1981-10-01,116.18,122.31,116.18,119.06
1981-11-02,124.2,124.8,120.24,124.05
1981-12-01,126.35,126.35,121.67,122.3
1982-01-01,122.55,122.74,114.88,118.92
1982-02-01,117.78,118.01,111.51,113.21
1982-03-01,113.31,113.55,107.34,112.27
1982-04-01,111.96,119.33,111.96,116.13
1982-05-03,115.96,119.92,112.58,112.66
1982-06-01,111.97,112.48,107.01,110.21
1982-07-01,110.95,112.39,105.57,107.72
1982-08-02,107.71,120.26,102.2,117.66
1982-09-01,117.65,126.43,117.65,121.63
1982-10-01,121.62,140.27,120.14,133.59
1982-11-01,133.72,144.36,132.89,134.2
1982-12-01,134.2,143.68,134.19,140.33
1983-01-03,140.65,148.36,138.08,144.27
1983-02-01,144.51,149.67,141.9,149.6
1983-03-01,149.74,154.16,147.81,153.39
1983-04-01,153.41,162.96,150.17,162.95
1983-05-02,164.41,166.46,160.29,165.48
1983-06-01,164.44,171.6,160.8,166.64
1983-07-01,167.64,170.72,163.3,165.04
1983-08-01,162.34,165.8,158.5,162.58
1983-09-01,162.55,170.43,162.32,167.23
1983-10-03,165.99,172.65,163.85,164.84
1983-11-01,163.37,167.92,161.63,167.91
1983-12-01,167.91,168.07,161.64,164.86
1984-01-02,164.93,169.54,162.4,162.87
1984-02-01,162.87,164,152.13,156.82
1984-03-01,156.82,160.46,153.81,159.52
1984-04-02,159.18,160.5,154.17,160.3
1984-05-01,159.89,162.11,148.68,150.35
1984-06-01,150.35,155.64,148.53,152.84
1984-07-02,153.16,153.87,147.26,150.19
1984-08-01,150.19,168.8,149.65,166.6
1984-09-03,166.68,169.37,163.06,166.96
1984-10-01,166.1,168.36,160.02,166.84
1984-11-01,166.74,170.41,163.03,163.91
1984-12-03,163.58,169.03,161.54,165.75
1985-01-01,166.26,180.27,163.68,179.39
1985-02-01,179.39,183.95,177.75,180.71
1985-03-01,180.71,183.41,176.53,179.54
1985-04-01,180.66,183.43,177.86,180.63
1985-05-01,180.63,189.98,178.35,187.75
1985-06-03,189.55,191.36,185.03,191.23
1985-07-01,191.85,196.07,189.3,189.93
1985-08-01,189.93,192.17,186.1,188.93
1985-09-02,188.63,188.8,179.45,181.29
1985-10-01,181.3,190.09,181.16,190.07
1985-11-01,190.07,202.65,189.35,202.54
1985-12-02,202.17,213.08,200.1,210.68
1986-01-01,210.68,214.57,202.6,209.33
1986-02-03,211.78,226.88,210.82,226.77
1986-03-03,226.92,240.11,222.18,238.97
1986-04-01,238.97,245.47,226.3,240.51
1986-05-01,240.52,248.32,232.41,247.98
1986-06-02,246.04,250.13,238.23,248.74
1986-07-01,249.6,253.2,233.07,236.59
1986-08-01,236.59,254.24,231.92,252.84
1986-09-01,252.93,254.01,228.08,229.91
1986-10-01,229.91,244.08,229.91,243.71
1986-11-03,243.97,248.9,235.51,248.77
1986-12-01,249.22,254.87,243.04,243.37
1987-01-01,243.37,276.85,241.28,274.24
1987-02-02,274.08,287.55,273.16,282.96
1987-03-02,284.17,302.72,282.3,289.2
1987-04-01,289.21,303.65,275.67,284.57
1987-05-01,284.58,298.69,277.01,290.76
1987-06-01,290.12,310.27,286.93,307.9
1987-07-01,307.89,318.53,302.53,318.05
1987-08-03,318.62,337.89,314.51,331.38
1987-09-01,327.03,332.18,308.56,321.69
1987-10-01,321.69,328.57,216.46,244.77
1987-11-02,251.73,256.09,237.64,244.1
1987-12-01,240.27,253.35,223.92,247.86
1988-01-01,247.84,261.78,240.17,253.29
1988-02-01,257.05,267.75,247.82,261.58
1988-03-01,262.46,271.22,256.07,258.07
1988-04-01,258.03,272.05,254.71,262.61
1988-05-02,261.36,263.7,248.85,254.63
1988-06-01,253.44,276.88,253.42,270.98
1988-07-01,271,276.36,262.48,266.02
1988-08-01,272.03,274.2,256.53,262.51
1988-09-01,262.51,273.02,256.98,272.59
1988-10-03,271.89,283.95,268.84,277.28
1988-11-01,278.54,280.37,262.85,270.91
1988-12-01,270.91,280.45,270.9,279.4
1989-01-02,277.71,295.13,273.81,294.99
1989-02-01,294.97,300.57,286.26,287.82
1989-03-01,287.92,299.99,286.46,292.52
1989-04-03,294.86,310.45,294.52,309.58
1989-05-01,309.62,323.06,304.06,319.05
1989-06-01,319.04,329.19,318.68,319.68
1989-07-03,318.06,342,317.26,341.99
1989-08-01,342.13,352.27,339,350.65
1989-09-01,350.66,354.13,342.55,348.6
1989-10-02,349.19,360.44,327.12,335.07
1989-11-01,335.08,346.33,330.91,343.6
1989-12-01,343.57,354.1,339.63,350.67
1990-01-01,353.39,360.59,319.83,322.98
1990-02-01,323.02,336.09,322.98,330.26
1990-03-01,330.27,344.49,330.16,340.79
1990-04-02,339.94,347.3,329.71,332.92
1990-05-01,329.06,362.26,327.76,360.86
1990-06-01,360.86,368.78,351.23,357.63
1990-07-02,358.02,369.78,350.09,355.55
1990-08-01,355.55,357.54,306.56,318.71
1990-09-03,322.56,326.53,299.1,300.97
1990-10-01,306.12,319.69,294.51,304.06
1990-11-01,304.06,321.7,301.61,316.42
1990-12-03,322.23,333.98,321.97,328.29
1991-01-01,328.71,340.91,309.35,340.91
1991-02-01,340.92,370.54,340.47,367.74
1991-03-01,367.73,379.66,365.8,375.22
1991-04-01,374.93,391.26,370.27,373.66
1991-05-01,373.66,388.17,365.83,386.96
1991-06-03,389.69,389.83,368.34,374.4
1991-07-01,371.18,386.92,370.92,386.69
1991-08-01,386.69,396.82,374.09,396.47
1991-09-02,395.42,397.62,382.77,386.49
1991-10-01,385.87,393.81,376.11,392.96
1991-11-01,392.96,398.22,371.63,376.55
1991-12-02,375.11,415.14,371.36,415.14
1992-01-01,415.13,421.18,409.17,411.62
1992-02-03,408.71,418.08,406.34,413.86
1992-03-02,412.68,413.78,401.94,403
1992-04-01,403.03,416.28,392.41,412.02
1992-05-01,412.02,418.75,410.09,416.74
1992-06-01,415.35,417.3,399.92,408.94
1992-07-01,408.94,423.94,407.2,423.92
1992-08-03,424.19,425.14,408.3,413.54
