time,open,high,low,close
1994-05-02,238.04999,243.87,213.84,243.54999
1994-06-01,243.54999,259.73999,225.42999,238.92999
1994-07-01,238.92999,265.97998,230.71999,244.90999
1994-08-01,244.90999,278.98999,243.57999,269.7998
1994-09-01,269.7998,276.1499,253.48,257.52979
1994-10-03,257.53003,285.5498,234.87999,283.53979
1994-11-01,283.53979,291.75977,268.10986,276.73999
1994-12-01,276.73999,284.8999,260.41992,280.16992
1995-01-02,280.22998,301.00977,267.72998,279.02979
1995-02-01,279.03003,324.32983,279.02979,324.32983
1995-03-01,324.33008,373.75977,323.75977,348.86987
1995-04-03,348.75,396.57983,339.30981,394.5
1995-05-01,395.62012,471.27979,385.42993,428.13989
1995-06-01,428.87012,505.75,428.86987,488.00977
1995-07-03,487.97998,571.50977,263.63989,282.1499
1995-08-01,282.32983,301.7998,254.81,275.62988
1995-09-01,275.18994,303.84985,256.6499,275.07983
1995-10-02,275.08008,278.50977,223.75,254.59999
1995-11-01,254.60001,261.17993,209.21999,227.50999
1995-12-01,227.92,232.64999,190.06,200.65999
1996-01-01,202.36,204.75999,163.76999,186.73
1996-02-01,186.33,211.98999,185.81999,186.17999
1996-03-01,185.28999,190.75999,165.79999,175.98999
1996-04-01,176.3,215.35999,173.26999,206.09
1996-05-01,205.58,216.92999,186.82999,205.92
1996-06-03,205.28999,206.39999,167.87,174.70999
1996-07-01,175.94,181.12,138.98,155.93999
1996-08-01,156.33,179.17,155.31999,169.45999
1996-09-02,168.05,199.03,159.76999,187.45999
1996-10-01,186.25999,206.59,181.45999,187.09999
1996-11-01,186.98,238.96999,186.46999,237.93999
1996-12-02,237.25,257.71997,232.12999,240.29999
1997-01-01,240.60999,290.71997,234.73,288.72998
1997-02-03,288.72998,291.58984,261.97998,272.92993
1997-03-03,272.92993,288.25,247.21999,268.84985
1997-04-01,268.8501,300,253.37999,283.25977
1997-05-01,283.26001,332.59985,282.8999,311.25
1997-06-02,311.25,318.05981,285.57983,305.73999
1997-07-01,305.73999,369.5,305.0498,366.23999
1997-08-01,366.23999,405.47998,184.53,373.19995
1997-09-01,373.19995,398.34985,369.62988,381.59985
1997-10-01,381.6001,393.75977,275.27979,301.8999
1997-11-03,301.8999,331.26978,270.97998,290.6499
1997-12-01,290.6499,305.72998,242.81999,263.62988
1998-01-01,263.62988,294.56006,242.78999,289.12988
1998-02-02,289.12988,330.6001,289.12988,316.42993
1998-03-02,316.37988,317.78003,282.07983,298.69995
1998-04-01,298.69995,326.06006,285.44995,315.88989
1998-05-01,315.88989,321.62988,259.30981,259.30981
1998-06-01,259.31006,264.29004,226.45,245.92999
1998-07-01,245.92999,276.6499,243.03999,255.14999
1998-08-03,255.14999,276.51001,193.35999,193.46999
1998-09-01,193.47,229.84,190.03999,212.76999
1998-10-01,212.77,266.6001,182.59,262.61987
1998-11-02,262.62012,322.66992,255.70999,306.1499
1998-12-01,306.1499,362.69995,299.35986,350.55981
1999-01-01,350.56006,428.12012,350.55981,420.44995
1999-02-01,420.44995,421.80005,351.44995,356.25977
1999-03-01,356.26001,395.16992,345.66992,370.72998
1999-04-01,370.62012,420.70996,361.65991,370.26978
1999-05-03,370.27002,429.31006,363.33984,388.12988
1999-06-01,388.15991,485.98999,371.7998,484.44995
1999-07-01,484.44995,533.45996,469.71997,493.96997
1999-08-02,493.96997,534.69995,473.91992,521.95996
1999-09-01,521.95996,579.67993,494.88989,499.06982
1999-10-01,498.96997,560.55005,475.96997,555.82983
1999-11-01,555.83008,661.75,554.68994,609.38989
1999-12-01,609.38989,710.01001,582.44995,704.55981
2000-01-03,704.56006,833.52002,662.43994,778.05981
2000-02-01,778.06006,1174.17993,761.50977,1170.45996
2000-03-01,1170.45996,1362.1001,1114.96997,1181.88989
2000-04-03,1181.88989,1240.91992,873.88989,1171.63989
2000-05-01,1171.63989,1206.62988,821.57983,998.42993
2000-06-01,998.42993,1280.84009,998.42993,1140.52979
2000-07-03,1140.53003,1269.63989,934.72998,993.84985
2000-08-01,993.8501,1169.17993,880.44995,1152.97998
2000-09-01,1152.97998,1175.1499,850.52979,851.56982
2000-10-02,851.57007,873.56006,601.96997,741.82983
2000-11-01,741.83008,760.76001,516.63989,536.98999
2000-12-01,536.98999,688.20996,530.40991,576.60986
2001-01-02,576.61011,763.26001,556.48999,732.18994
2001-02-01,732.18994,746.32007,528.27979,541.22998
2001-03-01,524.61011,665.81006,515.30981,545.03979
2001-04-02,545.04004,695.45996,453.84985,662.65991
2001-05-01,654.16992,710.78003,578.3999,598.70996
2001-06-01,598.70996,697.04004,559.18994,624.08984
