time,open,high,low,close
1988-09-05,2145,2148,2124,2124
1988-09-06,2126,2131,2111,2120
1988-09-07,2130,2141,2128,2141
1988-09-08,2148,2152,2140,2140
1988-09-09,2144,2146,2135,2140
1988-09-12,2137,2151,2136,2149
1988-09-13,2153,2156,2145,2150
1988-09-14,2150,2153,2144,2147
1988-09-16,2152,2159,2149,2159
1988-09-19,2160,2165,2158,2163
1988-09-20,2159,2159,2140,2140
1988-09-21,2147,2148,2129,2141
1988-09-22,2147,2148,2133,2140
1988-09-26,2135,2137,2128,2137
1988-09-27,2136,2145,2131,2143
1988-09-28,2145,2149,2142,2144
1988-09-29,2144,2147,2132,2142
1988-09-30,2148,2153,2146,2149
1988-10-03,2143,2145,2137,2138
1988-10-04,2136,2147,2133,2147
1988-10-05,2146,2147,2135,2135
1988-10-06,2135,2140,2118,2123
1988-10-07,2125,2128,2099,2117
1988-10-11,2135,2137,2127,2135
1988-10-12,2130,2133,2120,2130
1988-10-13,2121,2136,2120,2130
1988-10-14,2137,2141,2133,2141
1988-10-17,2141,2147,2139,2145
1988-10-18,2145,2145,2133,2135
1988-10-19,2140,2144,2139,2144
1988-10-20,2143,2149,2142,2145
1988-10-21,2151,2154,2147,2148
1988-10-24,2141,2144,2141,2143
1988-10-25,2142,2150,2141,2150
1988-10-26,2150,2153,2146,2146
1988-10-27,2151,2154,2148,2154
1988-10-28,2153,2156,2148,2148
1988-10-31,2154,2159,2150,2152
1988-11-01,2153,2159,2152,2156
1988-11-02,2156,2157,2152,2154
1988-11-04,2155,2157,2148,2151
1988-11-07,2148,2149,2142,2143
1988-11-08,2141,2150,2140,2150
1988-11-09,2147,2158,2147,2158
1988-11-10,2159,2168,2159,2160
1988-11-11,2164,2202,2164,2196
1988-11-14,2195,2218,2193,2213
1988-11-15,2205,2251,2205,2243
1988-11-16,2252,2266,2246,2255
1988-11-17,2254,2259,2241,2250
1988-11-18,2256,2270,2253,2270
1988-11-21,2275,2289,2274,2287
1988-11-22,2293,2295,2282,2293
1988-11-24,2302,2304,2286,2292
1988-11-25,2290,2297,2277,2286
1988-11-28,2280,2280,2255,2257
1988-11-29,2253,2280,2249,2279
1988-11-30,2286,2294,2286,2292
1988-12-01,2330,2331,2320,2322
1988-12-02,2324,2326,2318,2325
1988-12-05,2333,2339,2328,2331
1988-12-06,2340,2348,2340,2341
1988-12-07,2352,2356,2346,2346
1988-12-08,2343,2348,2337,2342
1988-12-09,2340,2347,2340,2344
1988-12-12,2345,2346,2329,2331
1988-12-13,2329,2333,2326,2333
1988-12-14,2340,2344,2338,2344
1988-12-15,2342,2345,2338,2340
1988-12-16,2332,2335,2312,2323
1988-12-19,2326,2331,2318,2323
1988-12-20,2332,2333,2327,2330
1988-12-21,2331,2335,2327,2334
1988-12-22,2334,2345,2334,2345
1988-12-23,2349,2360,2348,2351
1988-12-26,2360,2386,2360,2386
1988-12-27,2392,2407,2391,2401
1988-12-28,2407,2412,2399,2399
1989-01-04,2399,2414,2398,2412
1989-01-05,2418,2426,2402,2406
1989-01-06,2413,2413,2393,2407
1989-01-09,2416,2447,2412,2445
1989-01-10,2454,2476,2454,2476
1989-01-11,2484,2500,2472,2483
1989-01-12,2485,2499,2473,2499
1989-01-13,2509,2513,2503,2508
1989-01-17,2508,2508,2494,2497
1989-01-18,2498,2506,2498,2503
1989-01-19,2512,2513,2478,2481
1989-01-20,2476,2480,2468,2477
1989-01-23,2482,2494,2481,2494
1989-01-24,2512,2520,2509,2520
1989-01-25,2524,2528,2515,2518
1989-01-26,2518,2518,2507,2516
1989-01-27,2522,2525,2519,2520
1989-01-30,2505,2508,2481,2490
1989-01-31,2487,2497,2480,2497
1989-02-01,2488,2492,2453,2460
1989-02-02,2460,2487,2460,2485
1989-02-03,2494,2499,2484,2489
1989-02-06,2497,2502,2489,2502
1989-02-07,2501,2503,2490,2493
1989-02-08,2496,2506,2495,2503
1989-02-09,2505,2515,2500,2503
1989-02-10,2499,2506,2497,2502
1989-02-13,2484,2490,2481,2481
1989-02-14,2478,2485,2474,2474
1989-02-15,2486,2487,2482,2485
1989-02-16,2492,2500,2485,2487
1989-02-17,2493,2501,2490,2495
1989-02-20,2501,2503,2493,2495
1989-02-21,2498,2498,2480,2487
1989-02-22,2484,2500,2484,2498
1989-02-23,2497,2502,2491,2499
1989-02-27,2493,2497,2482,2483
1989-02-28,2490,2490,2455,2457
1989-03-01,2511,2516,2468,2477
1989-03-02,2476,2483,2455,2482
1989-03-03,2499,2502,2465,2478
1989-03-06,2475,2475,2446,2454
1989-03-07,2436,2469,2433,2460
1989-03-08,2470,2474,2461,2470
1989-03-09,2465,2468,2448,2448
1989-03-10,2447,2456,2436,2451
1989-03-13,2444,2445,2433,2434
1989-03-14,2431,2466,2427,2462
1989-03-15,2466,2482,2465,2481
1989-03-16,2485,2492,2480,2483
1989-03-17,2489,2490,2471,2471
1989-03-20,2445,2457,2434,2436
1989-03-22,2447,2450,2413,2419
1989-03-23,2427,2438,2421,2434
1989-03-24,2433,2434,2425,2428
1989-03-27,2431,2442,2423,2435
1989-03-28,2435,2458,2427,2458
1989-03-29,2467,2477,2465,2473
1989-03-30,2477,2481,2462,2465
1989-03-31,2469,2477,2460,2461
1989-04-03,2469,2491,2463,2484
1989-04-04,2499,2516,2498,2514
1989-04-05,2522,2525,2508,2512
1989-04-06,2503,2503,2476,2480
1989-04-07,2471,2488,2471,2488
1989-04-10,2481,2483,2463,2463
1989-04-11,2465,2484,2463,2477
1989-04-12,2485,2496,2473,2481
1989-04-13,2480,2485,2464,2471
1989-04-14,2465,2473,2456,2467
1989-04-17,2488,2488,2475,2488
1989-04-18,2488,2489,2476,2479
1989-04-19,2488,2491,2476,2478
1989-04-20,2475,2475,2461,2465
1989-04-21,2447,2454,2440,2453
1989-04-24,2454,2454,2440,2444
1989-04-25,2453,2469,2449,2467
1989-04-26,2469,2470,2461,2467
1989-04-27,2471,2479,2469,2476
1989-04-28,2478,2493,2478,2489
1989-05-01,2487,2511,2487,2507
1989-05-02,2512,2520,2511,2515
1989-05-08,2529,2550,2527,2550
1989-05-09,2550,2551,2537,2543
1989-05-10,2545,2548,2531,2531
1989-05-11,2534,2539,2527,2536
1989-05-12,2534,2534,2512,2512
1989-05-15,2511,2513,2499,2507
1989-05-16,2516,2534,2507,2532
1989-05-17,2532,2539,2524,2526
1989-05-18,2517,2519,2510,2514
1989-05-19,2520,2532,2516,2519
1989-05-22,2524,2529,2521,2522
1989-05-23,2510,2514,2502,2514
1989-05-24,2511,2513,2503,2508
1989-05-25,2512,2525,2512,2521
1989-05-26,2527,2534,2527,2532
1989-05-29,2541,2542,2529,2532
1989-05-30,2530,2533,2522,2525
1989-05-31,2524,2537,2524,2534
1989-06-01,2562,2564,2545,2547
1989-06-02,2548,2552,2534,2536
1989-06-05,2538,2547,2522,2524
1989-06-06,2515,2524,2503,2512
1989-06-07,2525,2526,2513,2523
1989-06-08,2525,2536,2525,2533
1989-06-09,2535,2535,2521,2524
1989-06-12,2504,2510,2501,2508
1989-06-13,2511,2514,2489,2492
1989-06-14,2495,2504,2479,2500
1989-06-15,2491,2493,2458,2460
1989-06-16,2478,2480,2438,2458
1989-06-19,2458,2476,2452,2476
1989-06-20,2485,2499,2483,2497
1989-06-21,2488,2508,2487,2506
1989-06-22,2514,2518,2507,2510
1989-06-23,2516,2520,2511,2517
1989-06-26,2517,2518,2511,2513
1989-06-27,2511,2511,2495,2495
1989-06-28,2480,2484,2459,2471
1989-06-29,2468,2481,2464,2474
1989-06-30,2456,2462,2446,2446
1989-07-03,2442,2482,2438,2482
1989-07-04,2483,2487,2473,2485
1989-07-05,2487,2492,2481,2484
1989-07-06,2490,2494,2485,2490
1989-07-07,2496,2522,2492,2519
1989-07-10,2523,2528,2516,2517
1989-07-11,2520,2532,2517,2528
1989-07-12,2529,2531,2518,2519
1989-07-13,2524,2529,2516,2519
1989-07-14,2513,2516,2505,2505
1989-07-17,2505,2507,2498,2498
1989-07-18,2498,2498,2485,2488
1989-07-19,2493,2514,2492,2513
1989-07-20,2520,2523,2514,2522
1989-07-21,2521,2542,2521,2532
1989-07-24,2541,2554,2533,2553
1989-07-25,2557,2584,2557,2577
1989-07-26,2590,2601,2580,2591
1989-07-27,2607,2615,2598,2610
1989-07-28,2614,2617,2604,2605
1989-07-31,2610,2641,2610,2641
1989-08-01,2650,2651,2633,2648
1989-08-02,2645,2664,2641,2648
1989-08-03,2648,2650,2632,2633
1989-08-04,2624,2631,2621,2627
1989-08-07,2618,2631,2617,2630
1989-08-08,2639,2649,2634,2649
1989-08-09,2655,2673,2653,2662
1989-08-10,2669,2672,2655,2655
1989-08-11,2660,2663,2649,2651
1989-08-14,2644,2651,2644,2644
1989-08-15,2645,2660,2642,2660
1989-08-16,2669,2679,2668,2679
1989-08-17,2680,2681,2670,2675
1989-08-18,2667,2678,2666,2674
1989-08-21,2670,2686,2670,2682
1989-08-22,2675,2685,2674,2675
1989-08-23,2679,2679,2659,2659
1989-08-24,2659,2663,2641,2647
1989-08-25,2656,2657,2638,2640
1989-08-28,2638,2638,2623,2625
1989-08-29,2634,2640,2623,2637
1989-08-30,2638,2642,2617,2617
1989-08-31,2618,2621,2607,2612
1989-09-01,2648,2654,2636,2639
1989-09-04,2632,2670,2632,2668
1989-09-05,2668,2672,2650,2650
1989-09-06,2650,2654,2628,2644
1989-09-07,2644,2656,2637,2640
1989-09-08,2640,2651,2630,2630
1989-09-11,2629,2631,2619,2627
1989-09-12,2636,2648,2634,2645
1989-09-13,2645,2647,2640,2645
1989-09-14,2647,2665,2645,2665
1989-09-18,2664,2671,2659,2663
1989-09-19,2672,2674,2658,2664
1989-09-20,2667,2670,2662,2668
1989-09-21,2668,2682,2667,2678
1989-09-22,2683,2684,2672,2672
1989-09-25,2681,2690,2679,2690
1989-09-26,2690,2703,2686,2700
1989-09-27,2705,2710,2689,2690
1989-09-28,2696,2709,2693,2706
1989-09-29,2706,2707,2695,2700
1989-10-02,2707,2708,2697,2700
1989-10-03,2691,2695,2682,2683
1989-10-04,2683,2696,2678,2689
1989-10-05,2690,2703,2686,2690
1989-10-06,2680,2683,2667,2682
1989-10-09,2680,2695,2680,2693
1989-10-11,2689,2689,2666,2677
1989-10-12,2670,2673,2659,2660
1989-10-13,2667,2674,2661,2669
1989-10-16,2633,2646,2628,2631
1989-10-17,2655,2663,2650,2660
1989-10-18,2660,2660,2651,2655
1989-10-19,2664,2682,2658,2678
1989-10-20,2695,2695,2685,2687
1989-10-23,2691,2703,2690,2700
1989-10-24,2699,2701,2692,2696
1989-10-25,2697,2699,2682,2682
1989-10-26,2684,2707,2684,2706
1989-10-27,2710,2714,2685,2690
1989-10-30,2685,2688,2681,2686
1989-10-31,2688,2700,2686,2699
1989-11-01,2707,2707,2690,2692
1989-11-02,2689,2690,2679,2688
1989-11-06,2688,2692,2679,2680
1989-11-07,2671,2677,2668,2677
1989-11-08,2683,2693,2682,2693
1989-11-09,2697,2697,2680,2690
1989-11-10,2690,2700,2689,2696
1989-11-13,2700,2705,2695,2695
1989-11-14,2698,2707,2697,2707
1989-11-15,2710,2721,2710,2718
1989-11-16,2721,2728,2716,2720
1989-11-17,2722,2724,2715,2720
1989-11-20,2711,2721,2711,2720
1989-11-21,2720,2730,2720,2728
1989-11-22,2734,2746,2734,2742
1989-11-24,2750,2777,2750,2777
1989-11-27,2786,2815,2782,2812
1989-11-28,2812,2815,2804,2806
1989-11-29,2802,2839,2802,2829
1989-11-30,2830,2845,2828,2838
1989-12-01,2888,2889,2864,2875
1989-12-04,2877,2901,2877,2899
1989-12-05,2913,2918,2906,2916
1989-12-06,2907,2932,2907,2929
1989-12-07,2937,2947,2924,2931
1989-12-08,2922,2928,2910,2921
1989-12-11,2922,2945,2916,2935
1989-12-12,2946,2950,2931,2932
1989-12-13,2943,2947,2937,2944
1989-12-14,2946,2949,2932,2939
1989-12-15,2936,2939,2930,2939
1989-12-18,2949,2956,2947,2950
1989-12-19,2932,2941,2915,2916
1989-12-20,2924,2929,2910,2917
1989-12-21,2924,2925,2883,2885
1989-12-22,2888,2892,2861,2866
1989-12-25,2875,2927,2866,2927
1989-12-26,2934,2951,2931,2935
1989-12-27,2945,2946,2926,2926
1989-12-28,2926,2928,2907,2924
1989-12-29,2915,2924,2908,2911
1990-01-04,2905,2908,2877,2878
1990-01-05,2896,2896,2843,2872
1990-01-08,2870,2884,2853,2878
1990-01-09,2882,2882,2840,2856
1990-01-10,2851,2855,2837,2848
1990-01-11,2857,2876,2844,2852
1990-01-12,2843,2851,2834,2841
1990-01-16,2790,2797,2751,2751
1990-01-17,2775,2786,2753,2762
1990-01-18,2758,2772,2718,2725
1990-01-19,2707,2741,2698,2735
1990-01-22,2744,2781,2738,2779
1990-01-23,2752,2775,2748,2758
1990-01-24,2765,2768,2717,2724
1990-01-25,2742,2754,2726,2737
1990-01-26,2737,2746,2728,2741
1990-01-29,2750,2766,2748,2766
1990-01-30,2775,2778,2755,2755
1990-01-31,2746,2760,2735,2750
1990-02-01,2768,2774,2760,2774
1990-02-02,2776,2792,2773,2788
1990-02-05,2794,2796,2790,2790
1990-02-06,2804,2808,2792,2793
1990-02-07,2790,2791,2758,2765
1990-02-08,2771,2775,2748,2756
1990-02-09,2756,2757,2743,2753
1990-02-13,2744,2747,2730,2730
1990-02-14,2739,2751,2732,2751
1990-02-15,2749,2777,2749,2765
1990-02-16,2777,2780,2759,2771
1990-02-19,2778,2779,2734,2734
1990-02-20,2716,2732,2706,2712
1990-02-21,2694,2698,2622,2632
1990-02-22,2641,2651,2585,2618
1990-02-23,2585,2591,2539,2540
1990-02-26,2477,2479,2450,2450
1990-02-27,2486,2525,2408,2525
1990-02-28,2503.21,2571.2,2503.21,2565.54
1990-03-01,2575,2603,2565,2572
1990-03-02,2563,2586,2555,2581
1990-03-05,2572,2579,2565,2574
1990-03-06,2583,2595,2563,2578
1990-03-07,2571,2571,2529,2536
1990-03-08,2518,2591,2517,2588
1990-03-09,2588,2608,2580,2595
1990-03-12,2586,2586,2529,2538
1990-03-13,2505,2515,2475,2475
1990-03-14,2474,2497,2438,2450
1990-03-15,2465,2483,2455,2483
1990-03-16,2492,2502,2461,2480
1990-03-19,2482,2484,2390,2390
1990-03-20,2390,2418,2322,2335
1990-03-22,2272,2272,2134,2173
1990-03-23,2270,2287,2214,2287
1990-03-26,2296,2377,2287,2377
1990-03-27,2386,2426,2350,2370
1990-03-28,2343,2360,2328,2329
1990-03-29,2320,2354,2309,2322
1990-03-30,2310,2313,2232,2232
1990-04-02,2226.95,2226.95,2069.3301,2069.3301
1990-04-03,2152,2187,2081,2186
1990-04-04,2195,2205,2110,2115
1990-04-05,2088,2121,2027,2121
1990-04-06,2060.3999,2149.26,2060.3999,2149.26
1990-04-09,2266,2302,2256,2270
1990-04-10,2240,2266,2214,2225
1990-04-11,2252,2267,2213,2230
1990-04-12,2240,2248,2209,2219
1990-04-13,2204,2217,2180,2180
1990-04-16,2153,2162,2138,2157
1990-04-17,2148,2201,2145,2167
1990-04-18,2158,2239,2158,2233
1990-04-19,2260,2282,2254,2255
1990-04-20,2264,2273,2235,2250
1990-04-23,2250,2260,2210,2211
1990-04-24,2199,2239,2194,2239
1990-04-25,2247,2247,2220,2232
1990-04-26,2228,2244,2223,2244
1990-04-27,2241,2244,2233,2235
1990-05-01,2205.3799,2214.8201,2201.0601,2214.78
1990-05-02,2263,2278,2261,2276
1990-05-07,2310,2338,2308,2326
1990-05-08,2335,2344,2315,2329
1990-05-09,2338,2344,2324,2342
1990-05-10,2358,2362,2337,2338
1990-05-11,2347,2398,2345,2391
1990-05-14,2422,2430,2414,2415
1990-05-15,2416,2445,2408,2415
1990-05-16,2413,2431,2409,2422
1990-05-17,2421,2442,2418,2425
1990-05-18,2434,2434,2409,2415
1990-05-21,2400,2410,2385,2385
1990-05-22,2380,2421,2380,2421
1990-05-23,2432,2443,2427,2429
1990-05-24,2434,2437,2420,2436
1990-05-25,2439,2465,2437,2453
1990-05-28,2470,2478,2467,2473
1990-05-29,2473,2473,2408,2408
1990-05-30,2410,2442,2403,2439
1990-05-31,2435,2451,2432,2440
1990-06-01,2505,2505,2482,2482
1990-06-04,2491,2503,2482,2498
1990-06-05,2507,2508,2490,2496
1990-06-06,2488,2498,2480,2487
1990-06-07,2481,2497,2481,2494
1990-06-08,2491,2494,2462,2472
1990-06-11,2454,2456,2426,2426
1990-06-12,2431,2445,2412,2430
1990-06-13,2428,2437,2412,2437
1990-06-14,2444,2453,2435,2451
1990-06-15,2442,2455,2433,2436
1990-06-18,2435,2441,2418,2419
1990-06-19,2401,2407,2388,2392
1990-06-20,2395,2418,2390,2418
1990-06-21,2411,2415,2389,2391
1990-06-22,2382,2387,2364,2366
1990-06-25,2339,2346,2325,2330
1990-06-26,2339,2374,2337,2374
1990-06-27,2390,2405,2381,2390
1990-06-28,2395,2400,2377,2399
1990-06-29,2408,2413,2346,2346
1990-07-02,2355,2389,2355,2389
1990-07-03,2398,2400,2375,2400
1990-07-04,2409,2422,2404,2410
1990-07-05,2410,2416,2399,2399
1990-07-06,2398,2410,2394,2407
1990-07-09,2398,2408,2395,2397
1990-07-10,2397,2400,2370,2375
1990-07-11,2379,2401,2379,2396
1990-07-12,2404,2404,2380,2389
1990-07-13,2407,2421,2403,2414
1990-07-16,2426,2447,2426,2446
1990-07-17,2455,2461,2438,2444
1990-07-18,2446,2447,2429,2432
1990-07-19,2423,2431,2410,2413
1990-07-20,2408,2418,2378,2385
1990-07-23,2376,2385,2342,2351
1990-07-24,2342,2350,2312,2320
1990-07-25,2338,2341,2320,2333
1990-07-26,2325,2333,2291,2299
1990-07-27,2270,2276,2230,2252
1990-07-30,2252,2254,2227,2238
1990-07-31,2265,2304,2260,2304
1990-08-01,2322,2324,2245,2248
1990-08-02,2248,2262,2199,2224
1990-08-03,2190,2230,2172,2172
1990-08-06,2126,2126,2082,2082
1990-08-07,2082,2082,2010,2071
1990-08-08,2080,2121,2054,2111
1990-08-09,2105,2115,2062,2078
1990-08-10,2096,2099,2035,2045
1990-08-13,2036,2036,1955,1960
1990-08-14,1978,2020,1959,2020
1990-08-15,2023.88,2099.72,2023.88,2099.49
1990-08-16,2083,2085,2059,2067
1990-08-17,2022,2030,2004,2024
1990-08-20,2016,2051,2008,2038
1990-08-21,2065,2065,1999,2001
1990-08-22,1968,1972,1913,1930
1990-08-23,1900,1914,1870,1870
1990-08-24,1858,1883,1826,1846
1990-08-27,1891,1915,1876,1915
1990-08-28,1960,1962,1933,1959
1990-08-29,1944,1944,1899,1899
1990-08-30,1917,1959,1896,1959
1990-08-31,1956,2000,1954,1992
1990-09-03,2000,2011,1966,1966
1990-09-04,1957,1968,1915,1915
1990-09-05,1912,1912,1864,1866
1990-09-06,1869,1873,1841,1856
1990-09-07,1863,1864,1830,1861
1990-09-10,1897,1936,1895,1936
1990-09-11,1924,1932,1897,1901
1990-09-12,1895,1954,1889,1944
1990-09-13,1950,1970,1936,1942
1990-09-14,1936,1950,1912,1912
1990-09-17,1876,1882,1852,1852
1990-09-18,1846,1847,1796,1814
1990-09-19,1832,1847,1805,1805
1990-09-20,1805,1816,1776,1784
1990-09-21,1751,1769,1734,1769
1990-09-25,1736,1741,1719,1720
1990-09-26,1732,1732,1660,1660
1990-09-27,1655,1666,1623,1629
1990-09-28,1620,1627,1569,1569
1990-10-01,1584,1584,1509,1527
1990-10-02,1523.55,1668.83,1523.55,1668.83
1990-10-03,1657.15,1704.5699,1654.92,1670.05
1990-10-04,1647,1666,1635,1653
1990-10-05,1676,1712,1674,1701
1990-10-08,1725,1761,1717,1761
1990-10-09,1782,1785,1736,1741
1990-10-11,1706,1706,1691,1691
1990-10-12,1673,1686,1650,1684
1990-10-15,1717,1744,1711,1744
1990-10-16,1756,1778,1743,1776
1990-10-17,1779,1793,1752,1778
1990-10-18,1784,1814,1769,1803
1990-10-19,1821,1863,1818,1830
1990-10-22,1851,1893,1848,1873
1990-10-23,1885,1907,1866,1878
1990-10-24,1849,1871,1837,1871
1990-10-25,1892,1923,1889,1911
1990-10-26,1893,1905,1870,1895
1990-10-29,1895,1916,1895,1908
1990-10-30,1899,1901,1868,1887
1990-10-31,1865,1870.88,1853.26,1856.12
1990-11-01,1830,1831,1803,1803
1990-11-02,1806,1813,1761,1807
1990-11-05,1828,1836,1817,1830
1990-11-06,1836,1838,1775,1775
1990-11-07,1763,1772,1746,1772
1990-11-08,1736,1741,1718,1719
1990-11-09,1707,1728,1691,1726
1990-11-13,1786,1786,1786,1786
1990-11-14,1786,1807,1778,1787
1990-11-15,1793,1797,1750,1750
1990-11-16,1729,1742,1714,1740
1990-11-19,1758,1761,1740,1761
1990-11-20,1746,1751,1731,1733
1990-11-21,1712,1713,1694,1701
1990-11-22,1716,1761,1708,1761
1990-11-26,1761,1778,1757,1774
1990-11-27,1762,1765,1747,1748
1990-11-28,1751,1758,1710,1710
1990-11-29,1694.67,1694.67,1648.23,1666.95
1990-11-30,1641,1666,1625,1658
1990-12-03,1684.25,1684.25,1668.17,1671.22
1990-12-04,1679,1682,1658,1658
1990-12-05,1673,1693,1648,1693
1990-12-06,1658.2,1669.04,1658.2,1667.8
1990-12-07,1669.75,1740.34,1669.75,1740.34
1990-12-10,1747.15,1759.13,1735.05,1757.02
1990-12-11,1752.59,1771.63,1752.59,1771.63
1990-12-12,1781.16,1794.52,1781.16,1785.33
1990-12-13,1840,1849,1825,1838
1990-12-14,1794.22,1800.36,1791.9399,1800.3199
