time,open,high,low,close
1988-02-01,7.19299984,7.19299984,7.19299984,7.19299984
1988-03-01,7.1079998,7.47700024,7.09000015,7.40899992
1988-04-01,7.40899992,7.71099997,7.40899992,7.71099997
1988-05-02,7.79799986,8.22900009,7.76300001,8.22900009
1988-06-01,8.22900009,8.22900009,7.78900003,8.03499985
1988-07-01,8.0170002,8.46199989,8.0170002,8.46199989
1988-08-01,8.375,8.79899979,8.32199955,8.74699974
1988-09-01,8.72900009,8.72900009,8.35700035,8.53499985
1988-10-03,8.4119997,8.4460001,8.2670002,8.2670002
1988-11-01,8.22399998,8.99699974,8.22399998,8.94499969
1988-12-01,8.84000015,9.22000027,8.84000015,9.1789999
1989-01-02,9.23099995,9.33699989,9.04800034,9.12199974
1989-02-01,9.11299992,9.62100029,9.11299992,9.62100029
1989-03-01,9.51500034,9.91100025,9.45199966,9.80300045
1989-04-03,9.55500031,9.65600014,9.2329998,9.2329998
1989-05-01,9.3380003,9.3380003,8.8409996,8.91699982
1989-06-01,8.81099987,8.81900024,8.13799953,8.13799953
1989-07-03,8.00599957,8.00599957,7.6500001,7.6500001
1989-08-01,7.53599977,8.43200016,7.4749999,8.40600014
1989-09-01,8.40600014,8.44099998,8.0880003,8.40999985
1989-10-02,8.46199989,8.46199989,7.66499996,7.84800005
1989-11-01,7.86600018,8.04100037,7.65600014,7.78000021
1989-12-01,7.71400023,7.91900015,7.65100002,7.91900015
1990-01-01,7.91099977,8.31499958,7.89400005,8.29800034
1990-02-01,8.27200031,8.52099991,8.21000004,8.34399986
1990-03-01,8.43000031,8.76200008,8.43000031,8.61900043
1990-04-02,8.56099987,9.03199959,8.54199982,9.03199959
1990-05-01,9.03199959,9.03199959,8.48499966,8.5
1990-06-01,8.47999954,8.69900036,8.23499966,8.3579998
1990-07-02,8.23700047,8.40799999,8.08600044,8.12100029
1990-08-01,7.88600016,8.26200008,7.88600016,8.19099998
1990-10-01,7.85599995,8.0010004,7.79099989,7.80700016
1990-11-01,7.66400003,7.67000008,7.55000019,7.55000019
1990-12-03,7.46899986,7.49499989,7.14499998,7.34399986
1991-01-01,7.15600014,7.20499992,7.04300022,7.07700014
1991-02-01,7.05900002,7.05900002,6.76399994,7.00500011
1991-03-01,7.07399988,7.21099997,6.95599985,7.02299976
1991-04-01,7.00600004,7.05100012,6.87099981,6.88100004
1991-05-01,6.796,6.83199978,6.61000013,6.61399984
1991-06-03,6.74900007,7.05999994,6.74900007,6.9749999
1991-07-01,6.95300007,6.9829998,6.82399988,6.82399988
1991-08-01,6.78999996,6.81500006,6.13700008,6.25699997
1991-09-02,6.3579998,6.3579998,6.04099989,6.04099989
1991-10-01,5.97300005,6.00099993,5.71500015,5.71500015
1991-11-01,5.68100023,5.68100023,5.43300009,5.43300009
1991-12-02,5.33300018,5.33300018,4.76800013,4.76800013
