time,open,high,low,close
1971-01-01,1.0109,1.0159,1.008,1.008
1971-02-01,1.0076,1.0087,1.0035,1.007
1971-03-01,1.0076,1.0082,1.003,1.0081
1971-04-01,1.0076,1.0095,1.0062,1.0091
1971-05-03,1.0089,1.0101,1.0069,1.0101
1971-06-01,1.0126,1.0248,1.0126,1.0235
1971-07-01,1.0232,1.0233,1.0151,1.0188
1971-08-02,1.0193,1.0195,1.0063,1.0142
1971-09-01,1.0162,1.0162,1.0066,1.0093
1971-10-01,1.0091,1.0091,1.0007,1.0036
1971-11-01,1.0054,1.006,1.0026,1.0036
1971-12-01,1.003,1.003,0.9933,1.0024
1972-01-03,1.0041,1.0093,1.0041,1.0056
1972-02-01,1.0063,1.0065,1.0012,1.0012
1972-03-01,1.001,1.0011,0.9961,0.9977
1972-04-03,0.9983,0.9983,0.9917,0.9924
1972-05-01,0.9935,0.9935,0.9812,0.9812
1972-06-01,0.9816,0.9856,0.9744,0.9856
1972-07-03,0.9846,0.9855,0.9827,0.9834
1972-08-01,0.9833,0.9834,0.9815,0.9832
1972-09-01,0.9833,0.9843,0.9816,0.9835
1972-10-02,0.9842,0.9842,0.9819,0.9832
1972-11-01,0.9843,0.9945,0.9843,0.9945
1972-12-01,0.995,1.0017,0.9923,0.9956
1973-01-01,0.9964,1.0009,0.9964,1.0009
1973-02-01,1.0003,1.0019,0.9887,0.9942
1973-03-01,0.994,0.9991,0.994,0.9991
1973-04-02,0.9987,1.0034,0.9987,1.0032
1973-05-01,1.0034,1.0034,0.9951,0.9951
1973-06-01,0.996,1.0007,0.996,0.9985
1973-07-02,0.9993,1.0015,0.9976,1.0015
1973-08-01,1.0018,1.0061,1.0012,1.0056
1973-09-03,1.006,1.011,1.0056,1.0058
1973-10-01,1.0055,1.0073,0.993,0.999
1973-11-01,0.9997,1.002,0.9966,1.0002
1973-12-03,1.0009,1.001,0.996,0.996
1974-01-01,0.9956,0.9956,0.9879,0.9882
1974-02-01,0.9871,0.9871,0.9685,0.9685
1974-03-01,0.9698,0.9744,0.9695,0.9728
1974-04-01,0.9723,0.9724,0.9577,0.9606
1974-05-01,0.9596,0.9644,0.9596,0.9622
1974-06-03,0.9626,0.9726,0.9626,0.9723
1974-07-01,0.973,0.9815,0.973,0.9792
1974-08-01,0.979,0.9883,0.975,0.9877
1974-09-02,0.9879,0.9883,0.9829,0.9859
1974-10-01,0.9848,0.9848,0.9789,0.9846
1974-11-01,0.9845,0.9913,0.9835,0.9874
1974-12-02,0.9885,0.9914,0.9855,0.9914
1975-01-01,0.9917,0.9995,0.9911,0.9995
1975-02-03,0.9999,1.0047,0.9966,0.9982
1975-03-03,0.9986,1.0035,0.9978,1.0035
1975-04-01,1.0023,1.0194,1.0023,1.0194
1975-05-01,1.0208,1.0347,1.0208,1.0228
