time,open,high,low,close
1971-01-01,4.318,4.318,4.2963,4.2963
1971-02-01,4.2968,4.3073,4.2957,4.307
1971-03-01,4.3073,4.3073,4.2954,4.2954
1971-04-01,4.2955,4.3052,4.2937,4.2959
1971-05-03,4.2955,4.2955,4.0733,4.1058
1971-06-01,4.1059,4.1059,4.0851,4.0989
1971-07-01,4.0966,4.1061,4.0854,4.0862
1971-08-02,4.0878,4.0887,3.9651,3.9936
1971-09-01,4.0024,4.0024,3.9541,3.9541
1971-10-01,3.9588,3.9948,3.9588,3.9927
1971-11-01,3.996,3.9965,3.9526,3.9555
1971-12-01,3.9489,3.9489,3.8754,3.9147
1972-01-03,3.9177,3.9216,3.8655,3.8745
1972-02-01,3.8677,3.8752,3.8447,3.8685
1972-03-01,3.8711,3.9817,3.8175,3.8358
1972-04-03,3.8373,3.879,3.7092,3.8647
1972-05-01,3.864,3.8707,3.8432,3.8432
1972-06-01,3.8351,3.8432,3.7355,3.7425
1972-07-03,3.7481,3.7811,3.7481,3.7736
1972-08-01,3.7736,3.7915,3.7736,3.7818
1972-09-01,3.7793,3.8023,3.7775,3.8023
1972-10-02,3.8066,3.8066,3.7872,3.7994
1972-11-01,3.7981,3.803,3.7739,3.7761
1972-12-01,3.7658,3.7775,3.758,3.7707
1973-01-01,3.7714,3.7714,3.6186,3.6206
1973-02-01,3.6049,3.614,3.1299,3.1299
1973-03-01,3.1299,3.268,3.1299,3.2436
1973-04-02,3.2648,3.2648,3.23,3.2415
1973-05-01,3.2404,3.2515,3.0864,3.0864
1973-06-01,3.0741,3.0979,2.9283,2.9283
1973-07-02,2.8902,2.8902,2.6991,2.8409
1973-08-01,2.8409,3.0628,2.8409,3.0349
1973-09-03,3.0312,3.0367,2.9931,3.0303
1973-10-01,3.0248,3.0998,3.0003,3.0998
1973-11-01,3.0998,3.23,3.0769,3.2051
1973-12-03,3.2031,3.251,3.1726,3.251
1974-01-01,3.3311,3.427,3.2552,3.2552
1974-02-01,3.2658,3.2658,3.0656,3.1328
1974-03-01,3.1506,3.1586,2.9851,3.0157
1974-04-01,3.0423,3.0769,2.924,2.9325
1974-05-01,2.9377,3.0012,2.809,2.9797
1974-06-03,2.9612,3.0441,2.9283,3.0003
1974-07-01,3.012,3.012,2.886,2.9647
1974-08-01,2.9551,3.0157,2.9455,3.0111
1974-09-02,3.0111,3.0248,2.9499,2.9499
1974-10-01,2.9412,2.9516,2.8498,2.8703
1974-11-01,2.8571,2.8571,2.6076,2.7122
1974-12-02,2.7435,2.7435,2.5126,2.5445
1975-01-01,2.5727,2.5773,2.4125,2.4956
1975-02-03,2.5202,2.5478,2.3952,2.4033
1975-03-03,2.4021,2.5432,2.4021,2.5381
1975-04-01,2.5202,2.5793,2.5202,2.5582
1975-05-01,2.5575,2.5595,2.4759,2.5019
1975-06-02,2.4981,2.5069,2.482,2.5025
1975-07-01,2.5119,2.7027,2.5119,2.6969
1975-08-01,2.6983,2.6983,2.6582,2.6846
1975-09-01,2.6838,2.7533,2.6738,2.745
1975-10-01,2.7122,2.7233,2.6247,2.6247
1975-11-03,2.6233,2.6788,2.6233,2.6767
1975-12-01,2.6667,2.6667,2.6192,2.6212
1976-01-01,2.6178,2.6178,2.5907,2.6021
1976-02-02,2.5681,2.5947,2.551,2.5687
1976-03-01,2.5907,2.592,2.5329,2.5387
1976-04-01,2.5265,2.5445,2.5138,2.5157
1976-05-03,2.5025,2.5221,2.4606,2.4606
1976-06-01,2.426,2.5038,2.3941,2.4685
1976-07-01,2.4697,2.5126,2.4691,2.482
1976-08-02,2.4759,2.505,2.4704,2.4783
1976-09-01,2.4716,2.4832,2.445,2.445
1976-10-01,2.4516,2.4606,2.429,2.4331
1976-11-01,2.4396,2.448,2.4278,2.445
1976-12-01,2.4528,2.4558,2.4361,2.4474
1977-01-03,2.442,2.5432,2.442,2.5063
1977-02-01,2.5151,2.5549,2.5038,2.5549
1977-03-01,2.553,2.5621,2.5342,2.5439
1977-04-01,2.5445,2.5445,2.5119,2.517
1977-05-02,2.5202,2.5278,2.5044,2.5047
1977-06-01,2.5,2.5019,2.4634,2.4667
1977-07-01,2.4612,2.4612,2.3832,2.4096
1977-08-01,2.4099,2.4438,2.3745,2.3946
1977-09-01,2.3941,2.3946,2.3419,2.3474
1977-10-03,2.3364,2.3364,2.2321,2.2329
1977-11-01,2.2148,2.2242,2.1455,2.1612
1977-12-01,2.1441,2.1441,1.9932,1.9932
1978-01-02,1.926,2.0429,1.926,1.9881
1978-02-01,1.9861,1.9861,1.796,1.8205
1978-03-01,1.8365,1.9701,1.8315,1.8315
1978-04-03,1.8501,1.9794,1.8501,1.9444
1978-05-01,1.9455,1.996,1.8904,1.8904
1978-06-01,1.8921,1.938,1.8512,1.8512
1978-07-03,1.8305,1.8355,1.7361,1.7361
1978-08-01,1.7331,1.7331,1.5873,1.6407
1978-09-01,1.605,1.633,1.49,1.55
1978-10-02,1.592,1.592,1.471,1.5
1978-11-01,1.59,1.741,1.59,1.735
1978-12-01,1.7355,1.7355,1.6195,1.62
1979-01-01,1.623,1.701,1.623,1.7
1979-02-01,1.71,1.71,1.658,1.674
1979-03-01,1.676,1.695,1.6685,1.695
1979-04-02,1.7045,1.73,1.7045,1.7215
1979-05-01,1.7177,1.741,1.7135,1.725
1979-06-01,1.734,1.7363,1.644,1.654
1979-07-02,1.656,1.6653,1.6305,1.659
1979-08-01,1.6572,1.6626,1.6467,1.6562
1979-09-03,1.6555,1.6555,1.554,1.554
1979-10-01,1.548,1.682,1.548,1.6605
1979-11-01,1.6495,1.659,1.598,1.598
1979-12-03,1.5645,1.6165,1.5645,1.595
1980-01-01,1.5775,1.638,1.57,1.638
1980-02-01,1.6335,1.7025,1.606,1.7025
1980-03-03,1.715,1.8515,1.7105,1.8515
1980-04-01,1.864,1.877,1.6675,1.6675
1980-05-01,1.668,1.695,1.6375,1.662
1980-06-02,1.6602,1.6602,1.6135,1.6298
1980-07-01,1.6265,1.648,1.5875,1.648
1980-08-01,1.663,1.674,1.63,1.649
1980-09-01,1.636,1.661,1.6258,1.6535
1980-10-01,1.642,1.715,1.633,1.715
1980-11-03,1.717,1.7453,1.704,1.7385
1980-12-01,1.7525,1.8305,1.7505,1.7875
1981-01-01,1.79,1.932,1.7505,1.932
1981-02-02,1.92,2.0175,1.885,1.962
1981-03-02,1.9825,1.9825,1.865,1.928
1981-04-01,1.9165,2.021,1.9165,2.021
1981-05-01,2.018,2.086,2.018,2.0758
1981-06-01,2.076,2.144,2.028,2.0495
1981-07-01,2.075,2.1485,2.07,2.1485
1981-08-03,2.198,2.204,2.132,2.142
1981-09-01,2.1595,2.1595,1.907,1.975
1981-10-01,1.969,1.969,1.835,1.835
1981-11-02,1.8025,1.818,1.757,1.7725
1981-12-01,1.7865,1.847,1.7785,1.788
1982-01-01,1.7915,1.8695,1.7915,1.846
1982-02-01,1.875,1.9145,1.872,1.899
1982-03-01,1.8935,1.9385,1.842,1.9385
1982-04-01,1.941,1.986,1.9395,1.957
1982-05-03,1.944,1.999,1.888,1.9975
1982-06-01,2.025,2.1365,2.02,2.0995
1982-07-01,2.1025,2.147,2.021,2.1
1982-08-02,2.066,2.16,2.04,2.127
1982-09-01,2.125,2.1815,2.103,2.171
1982-10-01,2.174,2.212,2.1175,2.2075
1982-11-01,2.191,2.2405,2.1175,2.1175
1982-12-01,2.111,2.119,1.995,2.0075
1983-01-03,1.994,2.025,1.9175,2.015
1983-02-01,2.0155,2.0625,1.9785,2.0625
1983-03-01,2.0675,2.087,2.043,2.0855
1983-04-01,2.072,2.073,2.04,2.073
1983-05-02,2.0685,2.096,2.0225,2.096
1983-06-01,2.109,2.1375,2.0815,2.1025
1983-07-01,2.106,2.1345,2.0975,2.1345
1983-08-01,2.155,2.1955,2.138,2.187
1983-09-01,2.1885,2.19,2.12,2.12
1983-10-03,2.113,2.143,2.087,2.143
1983-11-01,2.1615,2.1865,2.1505,2.1615
1983-12-01,2.163,2.22,2.163,2.179
1984-01-02,2.2165,2.253,2.2165,2.253
1984-02-01,2.235,2.24,2.1665,2.168
1984-03-01,2.176,2.1767,2.1095,2.1525
1984-04-02,2.1535,2.2465,2.1535,2.2465
1984-05-01,2.2448,2.2902,2.242,2.26
1984-06-01,2.2295,2.336,2.226,2.331
1984-07-02,2.3425,2.4725,2.3425,2.4725
