time,open,high,low,close
1971-01-01,357.73,358.44,357.72,357.72
1971-02-01,357.67,357.67,357.49,357.56
1971-03-01,357.63,357.63,357.42,357.42
1971-04-01,357.49,357.62,357.4,357.4
1971-05-03,357.41,357.53,357.14,357.4
1971-06-01,357.46,357.46,357.37,357.4
1971-07-01,357.4,357.46,357.36,357.39
1971-08-02,357.41,357.41,339.85,339.85
1971-09-01,341.01,341.01,335.35,335.35
1971-10-01,333.39,333.39,329,329.5
1971-11-01,329.45,330.87,327.06,327.44
1971-12-01,327.6,327.6,314.96,315.01
1972-01-03,314.86,314.96,310.08,310.56
1972-02-01,310.37,310.37,302.11,303.4
1972-03-01,303.21,304.32,301.66,304.32
1972-04-03,304.97,305.16,302.3,304.88
1972-05-01,304.41,305.34,303.58,304.69
1972-06-01,304.41,304.69,294.12,300.93
1972-07-03,300.84,301.57,300.03,301.39
1972-08-01,301.2,301.2,300.93,301.11
1972-09-01,301.11,301.2,301.02,301.11
1972-10-02,301.11,301.2,300.48,301.11
1972-11-01,301.02,301.2,299.94,301.11
1972-12-01,301.11,302.02,301.07,301.66
1973-01-01,301.39,302.57,301.2,301.39
1973-02-01,300.93,300.93,263.02,265.67
1973-03-01,265.6,266.03,254.45,265.96
1973-04-02,265.46,266.03,264.55,265.53
1973-05-01,265.53,265.67,262.47,264.69
1973-06-01,264.06,265.18,262.88,263.16
1973-07-02,265.25,266.17,259.4,263.44
1973-08-01,263.44,265.6,263.44,265.39
1973-09-03,265.46,265.6,265.25,265.6
1973-10-01,265.6,266.95,265.6,266.95
1973-11-01,270.27,280.66,270.27,280.11
1973-12-03,280.11,280.66,280.03,280.27
1974-01-01,280.82,305.34,280.82,298.77
1974-02-01,298.86,298.86,280.58,288.43
1974-03-01,292.06,292.74,274.42,276.09
1974-04-01,280.11,280.11,275.48,279.64
1974-05-01,279.41,281.93,277.39,281.93
1974-06-03,283.69,284.25,281.85,284.25
1974-07-01,285.31,298.24,285.31,298.24
1974-08-01,299.58,303.86,299.58,302.94
1974-09-02,302.66,302.75,294.81,298.33
1974-10-01,298.15,300.12,297.97,299.94
1974-11-01,300.48,300.48,299.67,300.3
1974-12-02,300.39,301.2,299.76,301.02
1975-01-01,300.66,301.02,294.99,297.97
1975-02-03,297.44,297.44,285.63,286.45
1975-03-03,285.39,294.03,284.66,294.03
1975-04-01,290.87,294.55,290.87,292.23
1975-05-01,292.14,292.23,290.36,291.55
1975-06-02,291.46,297,291.04,295.68
1975-07-01,295.68,297.8,295.42,297.71
1975-08-01,297.89,298.15,297.62,297.97
1975-09-01,297.97,303.31,297.8,302.85
1975-10-01,302.57,303.12,301.11,301.75
1975-11-03,301.75,303.21,301.75,303.12
1975-12-01,304.41,306.84,304.41,305.16
1976-01-01,305.06,306,303.58,303.67
1976-02-02,303.21,303.21,300.12,302.11
1976-03-01,301.66,301.66,299.58,299.58
1976-04-01,299.49,299.85,297.44,299.04
1976-05-03,298.95,300.03,297.89,300.03
1976-06-01,300.39,300.48,296.03,297.97
1976-07-01,296.91,297.18,292.65,293.26
1976-08-02,292.91,293,287.85,289.35
1976-09-01,288.93,288.93,286.04,286.86
1976-10-01,287.11,294.38,287.11,294.38
1976-11-01,295.86,297.09,293.77,297.09
1976-12-01,296.91,297.89,292.14,293.08
1977-01-03,292.48,292.91,288.18,288.43
1977-02-01,288.02,288.35,281.69,282.81
1977-03-01,282.49,282.49,276.63,277.55
1977-04-01,276.17,278.78,270.71,277.78
1977-05-02,278.01,278.16,275.94,277.28
1977-06-01,277.32,277.32,267.45,267.59
1977-07-01,267.13,267.13,263.09,266.81
1977-08-01,267.13,267.92,265.53,267.5
1977-09-01,268.17,268.17,263.71,263.71
1977-10-03,260.72,261.1,249.13,249.13
1977-11-01,246.73,249,239.75,244.02
1977-12-01,243.07,243.07,237.81,239.98
1978-01-02,237.59,242.42,237.42,241.6
1978-02-01,241.6,241.84,238.1,238.1
1978-03-01,238.27,238.41,222.27,229.89
1978-04-03,219.3,227.58,218.63,224.97
1978-05-01,225.78,229.04,221.34,221.34
1978-06-01,221.51,221.51,203.71,203.71
1978-07-03,202.43,203.79,189.14,189.14
1978-08-01,186.57,193.35,183.76,190.51
1978-09-01,190.8,192.9,187.65,189.19
1978-10-02,188.85,188.85,177.05,179.5
1978-11-01,186,199.1,186,199.1
1978-12-01,201.7,201.7,193.05,194.3
1979-01-01,194.58,202.2,194.58,202.2
1979-02-01,202.75,202.75,196,202.65
1979-03-01,203.75,209.58,203.75,209.58
1979-04-02,214.4,221.8,212.75,221.8
1979-05-01,224.4,224.95,213.15,220.35
1979-06-01,221.28,221.28,213.24,217.8
1979-07-02,218.3,218.4,213.6,216.7
1979-08-01,216.05,221.93,215.9,220.4
1979-09-03,221.05,224.5,220.3,224.5
1979-10-01,225.25,238.1,223.4,237.85
1979-11-01,238.15,250.85,234.55,249.55
1979-12-03,248.89,248.89,232.65,240.3
1980-01-01,238.45,241,231.55,239.33
1980-02-01,240.45,251.65,240.09,251.65
1980-03-03,247.85,249.95,246.4,249.95
1980-04-01,254.65,258.75,239.3,239.35
1980-05-01,240.5,240.5,219.2,223
1980-06-02,223.55,223.55,215.75,219.9
1980-07-01,219.5,227.4,216.85,227.4
1980-08-01,227,227,218,219.1
1980-09-01,215.93,218.15,210.8,210.85
1980-10-01,208.5,213.75,206.5,211.05
1980-11-03,210.8,216.6,209.5,216.6
1980-12-01,217.85,217.85,203.1,203.1
1981-01-01,202.5,206.7,199.05,206.7
1981-02-02,203.15,209.7,202.9,209.7
1981-03-02,211.1,211.8,206,211.25
1981-04-01,212.4,218.35,212.1,215.78
1981-05-01,215.75,224.95,215.75,223.9
1981-06-01,222.5,228.1,219.7,226.85
1981-07-01,228.25,240.4,226.75,240.4
1981-08-03,245.4,246.1,227.25,230.5
1981-09-01,230.95,233.8,224.2,232.3
1981-10-01,233.1,236.15,226.55,232.8
1981-11-02,229.15,229.85,214.2,214.2
1981-12-01,216.4,222.8,214.7,219.8
1982-01-01,218.75,231,218.75,228.3
1982-02-01,232.6,240.65,232.1,237.25
1982-03-01,238.3,248.25,233.9,248.25
1982-04-01,246.2,248.75,235.85,235.85
1982-05-03,236.6,243.3,232.85,243.3
1982-06-01,244.3,258.95,243.2,255
1982-07-01,255.95,259,249.2,258.1
1982-08-02,256.6,264.05,251,261.1
1982-09-01,259.1,270,256.2,268.3
1982-10-01,268.9,277.45,262.6,277.1
1982-11-01,276.9,277.65,249.2,249.2
1982-12-01,248.6,248.6,232.8,234.7
1983-01-03,232,240.2,226.75,239.85
1983-02-01,239.4,242.2,232.6,237.85
1983-03-01,239,240.85,235.7,239
1983-04-01,239.6,239.6,236.25,238.3
1983-05-02,237.6,238.85,230.9,238.85
1983-06-01,239.85,243.05,237.3,239.28
1983-07-01,239.15,241.75,239,241.75
1983-08-01,243.7,247.05,242.9,246.45
1983-09-01,246.5,246.8,235.65,235.65
1983-10-03,234.15,234.3,230.85,234.05
1983-11-01,234.77,237.15,232.5,232.5
1983-12-01,232.53,236.9,231.7,231.7
1984-01-02,231.45,234.87,231.45,234.67
1984-02-01,234.25,234.6,232.7,233.43
1984-03-01,233.43,233.43,223.15,224.75
1984-04-02,225.1,227,222.7,227
1984-05-01,226.95,233.35,226.4,231.58
1984-06-01,230.15,238,229.7,237.3
1984-07-02,238.5,246.95,238.5,245.3
1984-08-01,245.75,245.75,240.6,241.9
1984-09-03,241.55,247.2,241.55,246.9
1984-10-01,246.4,249.1,244.05,245.7
1984-11-01,244.3,247.5,240.45,247.5
1984-12-03,248.2,251.6,246.45,251.6
1985-01-01,250.1,255.95,250.1,254.8
1985-02-01,256.75,263.5,255.4,259.45
1985-03-01,260.35,261.63,249,250.6
