time,open,high,low,close
1990-01-01,18.19,27.25,18.19,25.36
1990-02-01,24.87,24.87,19.71,21.99
1990-03-01,21.9,22.74,17.62,19.73
1990-04-02,22.84,24.16,17.73,19.52
1990-05-01,18.43,20.14,16.72,17.37
1990-06-01,17.09,19.36,14.72,15.5
1990-07-02,16.26,23.68,15.63,21.11
1990-08-01,21.64,36.47,20.43,29.9
1990-09-03,29.58,30.56,27.88,29.11
1990-10-01,28.06,33.98,27.27,30.04
1990-11-01,30.25,30.87,20.09,22.16
1990-12-03,22.29,26.38,20.94,26.38
1991-01-01,26.62,36.2,20.91,20.91
1991-02-01,21.04,23.6,19.57,21.23
1991-03-01,20.86,21.05,14.9,16.88
1991-04-01,17.42,20.12,15.47,18.24
1991-05-01,17.77,18.38,15.23,15.93
1991-06-03,16.87,19.55,15.5,19.55
1991-07-01,18.64,20.29,15.18,15.18
1991-08-01,15.47,21.19,14.41,14.46
1991-09-02,16.57,18.22,15.35,15.85
1991-10-01,14.81,18.58,14.81,15.48
1991-11-01,15.6,21.92,13.95,20.26
1991-12-02,20.18,20.57,15.44,19.31
1992-01-01,18.95,19.23,16.24,17.4
1992-02-03,18.2,18.79,16.35,16.68
1992-03-02,16.88,19.79,14.57,16.18
1992-04-01,16.48,20.15,14.85,15.53
1992-05-01,16.61,16.92,13.57,13.86
1992-06-01,14.43,18.2,13.21,13.35
1992-07-01,13.34,15.83,12.27,13.17
1992-08-03,13.83,15.88,13.14,13.58
1992-09-01,13.4,15.19,12.47,14.28
1992-10-01,16.31,20.51,15.47,16.15
1992-11-02,16.67,17.33,12.5,13.01
1992-12-01,12.8,12.8,11.51,12.57
1993-01-01,13.36,14.72,11.3,12.42
1993-02-01,12.33,15.9,12.12,13.16
1993-03-01,13.6,16.22,12.08,12.53
1993-04-01,13.02,15.25,10.96,12.42
1993-05-03,12.9,14.76,12.14,13.47
1993-06-01,13.67,14.74,11.11,11.26
1993-07-01,11.51,13.87,10.6,11.73
1993-08-02,11.47,12.39,11.47,11.85
1993-09-01,11.48,17.3,11.16,12.99
1993-10-01,11.83,13.14,10.87,11.46
1993-11-01,11.78,15.9,11.74,13.76
1993-12-01,13.83,13.83,9.31,11.66
1994-01-03,12.57,12.57,9.94,10.63
1994-02-01,10.65,16.34,10.61,14.87
1994-03-01,15.83,20.45,12.31,20.45
1994-04-01,23.87,23.87,13.77,13.77
1994-05-02,14.11,16.16,11.94,13.03
1994-06-01,12.72,16.72,11.22,14.97
1994-07-01,14.36,14.92,11.13,11.13
1994-08-01,11.17,12.83,11.09,11.97
1994-09-01,11.86,14.56,11.4,14.28
1994-10-03,15.44,16.97,13.55,14.56
1994-11-01,14.84,18.41,14.84,15.95
1994-12-01,16.69,17.23,11.82,13.2
