time,open,high,low,close
1970-02-27,1.896,1.896,1.896,1.896
1970-03-31,1.888,1.888,1.888,1.888
1970-04-30,1.853,1.853,1.853,1.853
1970-05-29,1.67,1.67,1.67,1.67
1970-06-30,1.639,1.639,1.639,1.639
1970-07-31,1.687,1.687,1.687,1.687
1970-08-31,1.798,1.798,1.798,1.798
1970-09-30,1.802,1.802,1.802,1.802
1970-10-30,1.746,1.746,1.746,1.746
1970-11-30,1.76,1.76,1.76,1.76
1970-12-31,1.635,1.635,1.635,1.635
1971-01-29,1.64,1.64,1.64,1.64
1971-02-26,1.6,1.6,1.6,1.6
1971-03-31,1.669,1.669,1.669,1.669
1971-04-30,1.726,1.726,1.726,1.726
1971-05-31,1.667,1.667,1.667,1.667
1971-06-30,1.608,1.608,1.608,1.608
1971-07-30,1.581,1.581,1.581,1.581
1971-08-31,1.587,1.587,1.587,1.587
1971-09-30,1.421,1.421,1.421,1.421
1971-10-29,1.336,1.336,1.336,1.336
1971-11-30,1.32,1.32,1.32,1.32
1971-12-31,1.394,1.394,1.394,1.394
1972-01-31,1.473,1.473,1.473,1.473
1972-02-29,1.504,1.504,1.504,1.504
1972-03-31,1.536,1.536,1.536,1.536
1972-04-28,1.572,1.572,1.572,1.572
1972-05-31,1.583,1.583,1.583,1.583
1972-06-30,1.569,1.569,1.569,1.569
1972-07-31,1.736,1.736,1.736,1.736
1972-08-31,1.846,1.846,1.846,1.846
1972-09-29,1.777,1.777,1.777,1.777
1972-10-31,1.811,1.811,1.811,1.811
1972-11-30,1.832,1.832,1.832,1.832
1972-12-29,1.976,1.976,1.976,1.976
1973-01-31,2.017,2.017,2.017,2.017
1973-02-28,2.236,2.236,2.236,2.236
1973-03-30,2.309,2.309,2.309,2.309
1973-04-30,2.207,2.207,2.207,2.207
1973-05-31,2.401,2.401,2.401,2.401
1973-06-29,2.621,2.621,2.621,2.621
1973-07-31,2.706,2.706,2.706,2.706
1973-08-31,2.636,2.636,2.636,2.636
1973-09-28,2.675,2.675,2.675,2.675
1973-10-31,2.886,2.886,2.886,2.886
1973-11-30,2.86,2.86,2.86,2.86
1973-12-31,3.137,3.137,3.137,3.137
1974-01-31,3.637,3.637,3.637,3.637
1974-02-28,5.359,5.359,5.359,5.359
1974-03-29,5.326,5.326,5.326,5.326
1974-04-30,5.036,5.036,5.036,5.036
1974-05-31,5.432,5.432,5.432,5.432
1974-06-28,4.896,4.896,4.896,4.896
1974-07-31,4.415,4.415,4.415,4.415
1974-08-30,4.431,4.431,4.431,4.431
1974-09-30,4.049,4.049,4.049,4.049
1974-10-31,4.83,4.83,4.83,4.83
1974-11-29,4.694,4.694,4.694,4.694
1974-12-31,4.391,4.391,4.391,4.391
1975-01-31,4.192,4.192,4.192,4.192
1975-02-28,4.37,4.37,4.37,4.37
1975-03-31,4.332,4.332,4.332,4.332
1975-04-30,4.209,4.209,4.209,4.209
1975-05-30,4.538,4.538,4.538,4.538
1975-06-30,4.489,4.489,4.489,4.489
1975-07-31,4.705,4.705,4.705,4.705
1975-08-29,4.925,4.925,4.925,4.925
1975-09-30,4.516,4.516,4.516,4.516
1975-10-31,4.329,4.329,4.329,4.329
1975-11-28,4.332,4.332,4.332,4.332
1975-12-31,4.085,4.085,4.085,4.085
1976-01-30,4.063,4.063,4.063,4.063
1976-02-27,4.086,4.086,4.086,4.086
1976-03-31,4.189,4.189,4.189,4.189
1976-04-30,4.356,4.356,4.356,4.356
1976-05-31,4.488,4.488,4.488,4.488
1976-06-30,4.812,4.812,4.812,4.812
1976-07-30,4.774,4.774,4.774,4.774
1976-08-31,4.237,4.237,4.237,4.237
1976-09-30,4.295,4.295,4.295,4.295
1976-10-29,4.225,4.225,4.225,4.225
1976-11-30,4.369,4.369,4.369,4.369
1976-12-31,4.348,4.348,4.348,4.348
1977-01-31,4.409,4.409,4.409,4.409
1977-02-28,4.535,4.535,4.535,4.535
1977-03-31,4.842,4.842,4.842,4.842
1977-04-29,4.777,4.777,4.777,4.777
1977-05-31,4.692,4.692,4.692,4.692
1977-06-30,4.443,4.443,4.443,4.443
1977-07-29,4.498,4.498,4.498,4.498
1977-08-31,4.444,4.444,4.444,4.444
1977-09-30,4.539,4.539,4.539,4.539
1977-10-31,4.763,4.763,4.763,4.763
1977-11-30,4.828,4.828,4.828,4.828
1977-12-29,4.706,4.706,4.706,4.706
1978-01-31,4.934,4.934,4.934,4.934
1978-02-28,4.936,4.936,4.936,4.936
1978-03-31,5.273,5.273,5.273,5.273
1978-04-28,5.118,5.118,5.118,5.118
1978-05-31,5.121,5.121,5.121,5.121
1978-06-30,5.316,5.316,5.316,5.316
1978-07-31,5.331,5.331,5.331,5.331
1978-08-31,5.495,5.495,5.495,5.495
1978-09-29,5.575,5.575,5.575,5.575
1978-10-31,5.918,5.918,5.918,5.918
1978-11-30,5.866,5.866,5.866,5.866
1978-12-29,5.928,5.928,5.928,5.928
1979-01-31,6.255,6.255,6.255,6.255
1979-02-28,7.417,7.417,7.417,7.417
1979-03-30,7.445,7.445,7.445,7.445
1979-04-30,7.492,7.492,7.492,7.492
1979-05-31,8.373,8.373,8.373,8.373
1979-06-29,8.538,8.538,8.538,8.538
1979-07-31,9.135,9.135,9.135,9.135
1979-08-31,9.334,9.334,9.334,9.334
1979-09-28,13.959,13.959,13.959,13.959
1979-10-31,16.781,16.781,16.781,16.781
1979-11-30,16.603,16.603,16.603,16.603
1979-12-31,21.793,21.793,21.793,21.793
1980-01-31,38.257,38.257,38.257,38.257
1980-02-29,35.085,35.085,35.085,35.085
1980-03-31,24.133,24.133,24.133,24.133
1980-04-30,14.5,14.5,14.5,14.5
1980-05-30,12.533,12.533,12.533,12.533
1980-06-30,15.748,15.748,15.748,15.748
1980-07-31,16.059,16.059,16.059,16.059
1980-08-29,15.897,15.897,15.897,15.897
1980-09-30,20.144,20.144,20.144,20.144
1980-10-31,20.181,20.181,20.181,20.181
1980-11-28,18.648,18.648,18.648,18.648
1980-12-31,16.393,16.393,16.393,16.393
1981-01-30,14.752,14.752,14.752,14.752
1981-02-27,13.024,13.024,13.024,13.024
1981-03-31,12.338,12.338,12.338,12.338
1981-04-30,11.437,11.437,11.437,11.437
1981-05-29,10.848,10.848,10.848,10.848
1981-06-30,10.001,10.001,10.001,10.001
1981-07-31,8.631,8.631,8.631,8.631
1981-08-31,8.925,8.925,8.925,8.925
1981-09-30,10.035,10.035,10.035,10.035
1981-10-30,9.251,9.251,9.251,9.251
1981-11-30,8.547,8.547,8.547,8.547
1981-12-31,8.432,8.432,8.432,8.432
1982-01-29,8.03,8.03,8.03,8.03
1982-02-26,8.268,8.268,8.268,8.268
1982-03-31,7.213,7.213,7.213,7.213
1982-04-30,7.311,7.311,7.311,7.311
1982-05-31,6.674,6.674,6.674,6.674
1982-06-30,5.578,5.578,5.578,5.578
1982-07-30,6.497,6.497,6.497,6.497
1982-08-31,7.136,7.136,7.136,7.136
1982-09-30,8.725,8.725,8.725,8.725
1982-10-29,9.458,9.458,9.458,9.458
1982-11-30,9.292,9.292,9.292,9.292
1982-12-31,10.586,10.586,10.586,10.586
1983-01-31,12.396,12.396,12.396,12.396
1983-02-28,13.964,13.964,13.964,13.964
1983-03-31,10.619,10.619,10.619,10.619
1983-04-29,11.694,11.694,11.694,11.694
1983-05-31,12.976,12.976,12.976,12.976
1983-06-30,11.749,11.749,11.749,11.749
1983-07-29,12.088,12.088,12.088,12.088
1983-08-31,12.096,12.096,12.096,12.096
1983-09-30,11.915,11.915,11.915,11.915
1983-10-31,9.841,9.841,9.841,9.841
1983-11-30,8.837,8.837,8.837,8.837
1983-12-30,9.121,9.121,9.121,9.121
1984-01-03,8.96,8.96,8.96,8.96
1984-01-04,8.48,8.48,8.48,8.48
1984-01-05,8.436,8.436,8.436,8.436
1984-01-06,8.413,8.413,8.413,8.413
1984-01-09,7.9,7.9,7.9,7.9
1984-01-10,8.11,8.11,8.11,8.11
1984-01-11,8.02,8.02,8.02,8.02
1984-01-12,7.97,7.97,7.97,7.97
1984-01-13,8.09,8.09,8.09,8.09
1984-01-16,8.057,8.057,8.057,8.057
1984-01-17,8.017,8.017,8.017,8.017
1984-01-18,8.013,8.013,8.013,8.013
1984-01-19,8.244,8.244,8.244,8.244
1984-01-20,8.295,8.295,8.295,8.295
1984-01-23,8.258,8.258,8.258,8.258
1984-01-24,7.977,7.977,7.977,7.977
1984-01-25,8.079,8.079,8.079,8.079
1984-01-26,8.132,8.132,8.132,8.132
1984-01-27,8.125,8.125,8.125,8.125
1984-01-30,8.285,8.285,8.285,8.285
1984-01-31,8.43,8.43,8.43,8.43
1984-02-01,8.702,8.702,8.702,8.702
1984-02-02,8.83,8.83,8.83,8.83
1984-02-03,8.87,8.87,8.87,8.87
1984-02-06,8.732,8.732,8.732,8.732
1984-02-07,8.635,8.635,8.635,8.635
1984-02-08,9.033,9.033,9.033,9.033
1984-02-09,9.05,9.05,9.05,9.05
1984-02-10,8.732,8.732,8.732,8.732
1984-02-13,8.702,8.702,8.702,8.702
1984-02-14,8.645,8.645,8.645,8.645
1984-02-15,9.007,9.007,9.007,9.007
1984-02-16,9.153,9.153,9.153,9.153
1984-02-17,9.04,9.04,9.04,9.04
1984-02-20,9.133,9.133,9.133,9.133
1984-02-21,9.26,9.26,9.26,9.26
1984-02-22,9.422,9.422,9.422,9.422
1984-02-23,9.75,9.75,9.75,9.75
1984-02-24,9.624,9.624,9.624,9.624
1984-02-27,9.525,9.525,9.525,9.525
1984-02-28,9.865,9.865,9.865,9.865
1984-02-29,9.64,9.64,9.64,9.64
1984-03-01,9.625,9.625,9.625,9.625
1984-03-02,9.667,9.667,9.667,9.667
1984-03-05,10.11,10.11,10.11,10.11
1984-03-06,10.035,10.035,10.035,10.035
1984-03-07,9.933,9.933,9.933,9.933
1984-03-08,9.66,9.66,9.66,9.66
1984-03-09,9.872,9.872,9.872,9.872
1984-03-12,9.692,9.692,9.692,9.692
1984-03-13,9.749,9.749,9.749,9.749
