time,open,high,low,close
1970-02-02,1.896,1.896,1.896,1.896
1970-03-02,1.888,1.888,1.888,1.888
1970-04-01,1.853,1.853,1.853,1.853
1970-05-01,1.67,1.67,1.67,1.67
1970-06-01,1.639,1.639,1.639,1.639
1970-07-01,1.687,1.687,1.687,1.687
1970-08-03,1.798,1.798,1.798,1.798
1970-09-01,1.802,1.802,1.802,1.802
1970-10-01,1.746,1.746,1.746,1.746
1970-11-02,1.76,1.76,1.76,1.76
1970-12-01,1.635,1.635,1.635,1.635
1971-01-01,1.64,1.64,1.64,1.64
1971-02-01,1.6,1.6,1.6,1.6
1971-03-01,1.669,1.669,1.669,1.669
1971-04-01,1.726,1.726,1.726,1.726
1971-05-03,1.667,1.667,1.667,1.667
1971-06-01,1.608,1.608,1.608,1.608
1971-07-01,1.581,1.581,1.581,1.581
1971-08-02,1.587,1.587,1.587,1.587
1971-09-01,1.421,1.421,1.421,1.421
1971-10-01,1.336,1.336,1.336,1.336
1971-11-01,1.32,1.32,1.32,1.32
1971-12-01,1.394,1.394,1.394,1.394
1972-01-03,1.473,1.473,1.473,1.473
1972-02-01,1.504,1.504,1.504,1.504
1972-03-01,1.536,1.536,1.536,1.536
1972-04-03,1.572,1.572,1.572,1.572
1972-05-01,1.583,1.583,1.583,1.583
1972-06-01,1.569,1.569,1.569,1.569
1972-07-03,1.736,1.736,1.736,1.736
1972-08-01,1.846,1.846,1.846,1.846
1972-09-01,1.777,1.777,1.777,1.777
1972-10-02,1.811,1.811,1.811,1.811
1972-11-01,1.832,1.832,1.832,1.832
1972-12-01,1.976,1.976,1.976,1.976
1973-01-01,2.017,2.017,2.017,2.017
1973-02-01,2.236,2.236,2.236,2.236
1973-03-01,2.309,2.309,2.309,2.309
1973-04-02,2.207,2.207,2.207,2.207
1973-05-01,2.401,2.401,2.401,2.401
1973-06-01,2.621,2.621,2.621,2.621
1973-07-02,2.706,2.706,2.706,2.706
1973-08-01,2.636,2.636,2.636,2.636
1973-09-03,2.675,2.675,2.675,2.675
1973-10-01,2.886,2.886,2.886,2.886
1973-11-01,2.86,2.86,2.86,2.86
1973-12-03,3.137,3.137,3.137,3.137
1974-01-01,3.637,3.637,3.637,3.637
1974-02-01,5.359,5.359,5.359,5.359
1974-03-01,5.326,5.326,5.326,5.326
1974-04-01,5.036,5.036,5.036,5.036
1974-05-01,5.432,5.432,5.432,5.432
1974-06-03,4.896,4.896,4.896,4.896
1974-07-01,4.415,4.415,4.415,4.415
