time,open,high,low,close
1970-02-11,746.62,746.62,746.62,746.62
1970-02-12,757.32,757.32,757.32,757.32
1970-02-13,755.6,755.6,755.6,755.6
1970-02-17,753.69,753.69,753.69,753.69
1970-02-18,747.42,747.42,747.42,747.42
1970-02-19,756.79,756.79,756.79,756.79
1970-02-20,757.91,757.91,757.91,757.91
1970-02-25,754.41,754.41,754.41,754.41
1970-02-26,768.27,768.27,768.27,768.27
1970-02-27,764.44,764.44,764.44,764.44
1970-03-03,780.22,780.22,780.22,780.22
1970-03-04,787.41,787.41,787.41,787.41
1970-03-05,788.14,788.14,788.14,788.14
1970-03-06,787.54,787.54,787.54,787.54
1970-03-10,778.3,778.3,778.3,778.3
1970-03-11,779.69,779.69,779.69,779.69
1970-03-12,778.11,778.11,778.11,778.11
1970-03-13,776.46,776.46,776.46,776.46
1970-03-17,765.04,765.04,765.04,765.04
1970-03-18,767.41,767.41,767.41,767.41
1970-03-19,767.94,767.94,767.94,767.94
1970-03-20,764.97,764.97,764.97,764.97
1970-03-24,763.59,763.59,763.59,763.59
1970-03-25,773.75,773.75,773.75,773.75
1970-03-26,790.12,790.12,790.12,790.12
1970-03-27,791.04,791.04,791.04,791.04
1970-03-31,784.64,784.64,784.64,784.64
1970-04-01,785.56,785.56,785.56,785.56
1970-04-02,792.03,792.03,792.03,792.03
1970-04-03,792.36,792.36,792.36,792.36
1970-04-07,791.17,791.17,791.17,791.17
1970-04-08,791.63,791.63,791.63,791.63
1970-04-09,791.63,791.63,791.63,791.63
1970-04-10,792.5,792.5,792.5,792.5
1970-04-14,785.89,785.89,785.89,785.89
1970-04-15,780.55,780.55,780.55,780.55
1970-04-16,782.59,782.59,782.59,782.59
1970-04-17,775.86,775.86,775.86,775.86
1970-04-21,775.86,775.86,775.86,775.86
1970-04-22,772.5,772.5,772.5,772.5
1970-04-23,762.6,762.6,762.6,762.6
1970-04-24,750.58,750.58,750.58,750.58
1970-04-28,735.14,735.14,735.14,735.14
1970-04-29,724.32,724.32,724.32,724.32
1970-04-30,737.38,737.38,737.38,737.38
1970-05-01,736.06,736.06,736.06,736.06
1970-05-05,714.55,714.55,714.55,714.55
1970-05-06,709.73,709.73,709.73,709.73
1970-05-07,718.38,718.38,718.38,718.38
1970-05-08,723.06,723.06,723.06,723.06
1970-05-12,710.06,710.06,710.06,710.06
1970-05-13,704.58,704.58,704.58,704.58
1970-05-14,693.83,693.83,693.83,693.83
1970-05-15,684.78,684.78,684.78,684.78
1970-05-19,702.8,702.8,702.8,702.8
1970-05-20,691.39,691.39,691.39,691.39
