time,open,high,low,close
1970-02-02,746.62,768.27,746.62,764.44
1970-03-02,780.22,791.04,763.59,784.64
1970-04-01,785.56,792.5,724.32,737.38
1970-05-01,736.06,736.06,631.15,684.14
1970-06-01,710.35,716.1,682.9,682.9
1970-07-01,683.52,735.55,669.35,734.72
1970-08-03,722.95,760.46,707.34,759.78
1970-09-01,764.57,773.13,747.46,760.87
1970-10-01,760.67,783.67,753.55,753.55
1970-11-02,758,779.5,754.23,774.7
1970-12-01,794.08,842,794.08,841.31
1971-01-01,838.91,866.78,830.56,865.13
1971-02-01,877.8,890.05,868.97,881.97
1971-03-01,882.52,916.82,882.38,903.38
1971-04-01,904.36,950.81,903.87,948.14
1971-05-03,932.4,939.91,905.77,905.77
1971-06-01,907.8,923.05,873.09,882.29
1971-07-01,891.13,903.39,861.41,861.41
1971-08-02,864.91,908.36,839.58,901.42
1971-09-01,898.06,920.92,883.46,883.82
1971-10-01,887.18,901.79,836.37,837.61
1971-11-01,825.85,843.16,797.96,829.72
1971-12-01,831.33,893.65,831.33,889.06
1972-01-03,889.29,917.21,889.14,899.82
1972-02-01,902.16,924.28,901.78,924.28
1972-03-01,928.12,950.17,928.12,940.69
1972-04-03,940.91,968.91,940.91,945.96
1972-05-01,942.27,971.17,925.11,971.17
1972-06-01,960.71,960.71,926.25,926.25
1972-07-03,928.65,942.12,910.44,926.84
1972-08-01,924.73,973.5,924.73,957.85
1972-09-01,963.72,969.36,935.72,955.14
1972-10-02,953.26,954.46,921.65,946.41
1972-11-01,955.51,1020.53,955.51,1018.8
1972-12-01,1018.2,1036.26,1000,1007.67
1973-01-01,1031.67,1051.69,992.92,992.92
1973-02-01,999.01,999.01,947.91,947.91
1973-03-01,955.06,979.97,925.19,959.13
1973-04-02,936.17,967.4,923.45,937.75
1973-05-01,921.42,956.57,886.5,908.86
1973-06-01,901.4,927,869.12,894.63
1973-07-02,880.56,934.52,874.16,933.76
1973-08-01,926.39,926.39,851.89,882.52
1973-09-03,895.38,953.26,880.56,953.26
1973-10-01,948.82,984.79,948.82,968.53
1973-11-01,956.57,956.57,817.72,835.1
1973-12-03,806.51,851,788.3,851
1974-01-01,850.85,880.69,823.11,862.32
1974-02-01,855.55,863.42,803.9,863.42
1974-03-01,860.53,891.58,853.18,854.35
1974-04-01,843.48,869.92,827.68,835.42
1974-05-01,836.75,865.77,795.37,803.58
