time,open,high,low,close
1970-02-27,34.99,34.99,34.99,34.99
1970-03-31,35.09,35.09,35.09,35.09
1970-04-30,35.62,35.62,35.62,35.62
1970-05-29,35.95,35.95,35.95,35.95
1970-06-30,35.44,35.44,35.44,35.44
1970-07-31,35.32,35.32,35.32,35.32
1970-08-31,35.38,35.38,35.38,35.38
1970-09-30,36.19,36.19,36.19,36.19
1970-10-30,37.52,37.52,37.52,37.52
1970-11-30,37.44,37.44,37.44,37.44
1970-12-31,37.44,37.44,37.44,37.44
1971-01-29,37.87,37.87,37.87,37.87
1971-02-26,38.74,38.74,38.74,38.74
1971-03-31,38.87,38.87,38.87,38.87
1971-04-30,39.01,39.01,39.01,39.01
1971-05-31,40.52,40.52,40.52,40.52
1971-06-30,40.1,40.1,40.1,40.1
1971-07-30,40.95,40.95,40.95,40.95
1971-08-31,42.73,42.73,42.73,42.73
1971-09-30,42.02,42.02,42.02,42.02
1971-10-29,42.5,42.5,42.5,42.5
1971-11-30,42.86,42.86,42.86,42.86
1971-12-31,43.48,43.48,43.48,43.48
1972-01-31,45.75,45.75,45.75,45.75
1972-02-29,48.26,48.26,48.26,48.26
1972-03-31,48.33,48.33,48.33,48.33
1972-04-28,49.03,49.03,49.03,49.03
1972-05-31,54.62,54.62,54.62,54.62
1972-06-30,62.09,62.09,62.09,62.09
1972-07-31,65.67,65.67,65.67,65.67
1972-08-31,67.03,67.03,67.03,67.03
1972-09-29,65.47,65.47,65.47,65.47
1972-10-31,64.86,64.86,64.86,64.86
1972-11-30,62.91,62.91,62.91,62.91
1972-12-29,63.91,63.91,63.91,63.91
1973-01-31,65.14,65.14,65.14,65.14
1973-02-28,74.2,74.2,74.2,74.2
1973-03-30,84.37,84.37,84.37,84.37
1973-04-30,90.5,90.5,90.5,90.5
1973-05-31,101.96,101.96,101.96,101.96
1973-06-29,120.12,120.12,120.12,120.12
1973-07-31,120.17,120.17,120.17,120.17
1973-08-31,106.76,106.76,106.76,106.76
1973-09-28,102.97,102.97,102.97,102.97
1973-10-31,100.08,100.08,100.08,100.08
1973-11-30,94.82,94.82,94.82,94.82
1973-12-31,106.72,106.72,106.72,106.72
1974-01-31,129.19,129.19,129.19,129.19
1974-02-28,150.23,150.23,150.23,150.23
1974-03-29,168.42,168.42,168.42,168.42
1974-04-30,172.24,172.24,172.24,172.24
1974-05-31,163.27,163.27,163.27,163.27
1974-06-28,154.1,154.1,154.1,154.1
1974-07-31,142.98,142.98,142.98,142.98
1974-08-30,154.64,154.64,154.64,154.64
1974-09-30,151.77,151.77,151.77,151.77
1974-10-31,158.78,158.78,158.78,158.78
1974-11-29,181.66,181.66,181.66,181.66
1974-12-31,183.85,183.85,183.85,183.85
1975-01-02,175,175,175,175
1975-01-03,174,174,174,174
1975-01-06,173.5,173.5,173.5,173.5
1975-01-07,169.5,169.5,169.5,169.5
1975-01-08,180,180,180,180
1975-01-09,179,179,179,179
1975-01-10,177.25,177.25,177.25,177.25
1975-01-13,180.25,180.25,180.25,180.25
1975-01-14,177.1,177.1,177.1,177.1
1975-01-15,178.25,178.25,178.25,178.25
1975-01-16,176,176,176,176
1975-01-17,178.75,178.75,178.75,178.75
1975-01-20,175,175,175,175
1975-01-21,175.75,175.75,175.75,175.75
1975-01-22,175.5,175.5,175.5,175.5
1975-01-23,174,174,174,174
1975-01-24,177.5,177.5,177.5,177.5
1975-01-27,179,179,179,179
1975-01-28,176.5,176.5,176.5,176.5
1975-01-29,178,178,178,178
1975-01-30,177.25,177.25,177.25,177.25
1975-01-31,175.8,175.8,175.8,175.8
1975-02-03,176.25,176.25,176.25,176.25
1975-02-04,174.25,174.25,174.25,174.25
1975-02-05,175,175,175,175
1975-02-06,173.4,173.4,173.4,173.4
1975-02-07,174.5,174.5,174.5,174.5
1975-02-10,174,174,174,174
1975-02-11,174.5,174.5,174.5,174.5
1975-02-12,174.9,174.9,174.9,174.9
1975-02-13,178.6,178.6,178.6,178.6
1975-02-14,184,184,184,184
1975-02-17,181.4,181.4,181.4,181.4
1975-02-18,181,181,181,181
1975-02-19,184.25,184.25,184.25,184.25
1975-02-20,183.75,183.75,183.75,183.75
1975-02-21,184.75,184.75,184.75,184.75
1975-02-24,185.25,185.25,185.25,185.25
1975-02-25,185,185,185,185
1975-02-26,183,183,183,183
1975-02-27,182.25,182.25,182.25,182.25
1975-02-28,181.75,181.75,181.75,181.75
1975-03-03,181.85,181.85,181.85,181.85
1975-03-04,179.75,179.75,179.75,179.75
1975-03-05,178.5,178.5,178.5,178.5
1975-03-06,180.5,180.5,180.5,180.5
1975-03-07,178,178,178,178
1975-03-10,176.25,176.25,176.25,176.25
1975-03-11,178.9,178.9,178.9,178.9
1975-03-12,177.5,177.5,177.5,177.5
1975-03-13,178.75,178.75,178.75,178.75
1975-03-14,178,178,178,178
1975-03-17,177.75,177.75,177.75,177.75
1975-03-18,178.5,178.5,178.5,178.5
1975-03-19,178.5,178.5,178.5,178.5
1975-03-20,177.25,177.25,177.25,177.25
1975-03-21,176.25,176.25,176.25,176.25
1975-03-24,177,177,177,177
1975-03-25,176.75,176.75,176.75,176.75
1975-03-26,177.75,177.75,177.75,177.75
1975-03-27,177.25,177.25,177.25,177.25
1975-03-31,178.16,178.16,178.16,178.16
1975-04-01,177.25,177.25,177.25,177.25
1975-04-02,177.25,177.25,177.25,177.25
1975-04-03,175.6,175.6,175.6,175.6
1975-04-04,173.45,173.45,173.45,173.45
1975-04-07,172.6,172.6,172.6,172.6
1975-04-08,174,174,174,174
1975-04-09,173.1,173.1,173.1,173.1
1975-04-10,172.5,172.5,172.5,172.5
1975-04-11,171.9,171.9,171.9,171.9
1975-04-14,167.5,167.5,167.5,167.5
1975-04-15,164,164,164,164
1975-04-16,166.5,166.5,166.5,166.5
1975-04-17,167.5,167.5,167.5,167.5
1975-04-18,170.25,170.25,170.25,170.25
1975-04-21,165.6,165.6,165.6,165.6
1975-04-22,165.5,165.5,165.5,165.5
1975-04-23,168,168,168,168
1975-04-24,167.2,167.2,167.2,167.2
1975-04-25,166.1,166.1,166.1,166.1
1975-04-28,166.5,166.5,166.5,166.5
1975-04-29,167.05,167.05,167.05,167.05
1975-04-30,167,167,167,167
1975-05-01,166,166,166,166
1975-05-02,165.5,165.5,165.5,165.5
1975-05-05,163.5,163.5,163.5,163.5
1975-05-06,164,164,164,164
1975-05-07,165.25,165.25,165.25,165.25
1975-05-08,166.25,166.25,166.25,166.25
1975-05-09,165.75,165.75,165.75,165.75
1975-05-12,165.4,165.4,165.4,165.4
1975-05-13,165.5,165.5,165.5,165.5
1975-05-14,166.75,166.75,166.75,166.75
1975-05-15,166,166,166,166
1975-05-16,165.75,165.75,165.75,165.75
1975-05-19,167.75,167.75,167.75,167.75
1975-05-20,166.9,166.9,166.9,166.9
1975-05-21,168.5,168.5,168.5,168.5
1975-05-22,174.75,174.75,174.75,174.75
1975-05-23,173.4,173.4,173.4,173.4
1975-05-27,172,172,172,172
1975-05-28,171,171,171,171
1975-05-29,168.25,168.25,168.25,168.25
1975-05-30,167,167,167,167
1975-06-02,161.75,161.75,161.75,161.75
1975-06-03,165.25,165.25,165.25,165.25
1975-06-04,165.75,165.75,165.75,165.75
1975-06-05,164.5,164.5,164.5,164.5
1975-06-06,165.25,165.25,165.25,165.25
1975-06-09,165.35,165.35,165.35,165.35
1975-06-10,165.9,165.9,165.9,165.9
1975-06-11,164.75,164.75,164.75,164.75
1975-06-12,165.5,165.5,165.5,165.5
1975-06-13,164.55,164.55,164.55,164.55
1975-06-16,164,164,164,164
1975-06-17,164,164,164,164
1975-06-18,163.75,163.75,163.75,163.75
1975-06-19,162.85,162.85,162.85,162.85
1975-06-20,162.5,162.5,162.5,162.5
1975-06-23,162.4,162.4,162.4,162.4
1975-06-24,162.4,162.4,162.4,162.4
1975-06-25,164,164,164,164
1975-06-26,164,164,164,164
1975-06-27,164.5,164.5,164.5,164.5
1975-06-30,166.25,166.25,166.25,166.25
1975-07-01,166.5,166.5,166.5,166.5
1975-07-02,165,165,165,165
1975-07-03,164,164,164,164
1975-07-04,164.25,164.25,164.25,164.25
1975-07-07,162.5,162.5,162.5,162.5
1975-07-08,164,164,164,164
1975-07-09,165.85,165.85,165.85,165.85
1975-07-10,163.25,163.25,163.25,163.25
1975-07-11,165.3,165.3,165.3,165.3
1975-07-14,166.75,166.75,166.75,166.75
1975-07-15,165,165,165,165
1975-07-16,164.1,164.1,164.1,164.1
1975-07-17,164.1,164.1,164.1,164.1
1975-07-18,164,164,164,164
1975-07-21,164.25,164.25,164.25,164.25
1975-07-22,165.25,165.25,165.25,165.25
1975-07-23,164.25,164.25,164.25,164.25
1975-07-24,164.85,164.85,164.85,164.85
1975-07-25,166.25,166.25,166.25,166.25
1975-07-28,167,167,167,167
1975-07-29,168.4,168.4,168.4,168.4
1975-07-30,167.25,167.25,167.25,167.25
1975-07-31,166.7,166.7,166.7,166.7
1975-08-01,166.75,166.75,166.75,166.75
1975-08-04,166.5,166.5,166.5,166.5
1975-08-05,166.05,166.05,166.05,166.05
1975-08-06,164.85,164.85,164.85,164.85
1975-08-07,165.3,165.3,165.3,165.3
1975-08-08,164.35,164.35,164.35,164.35
1975-08-11,161.9,161.9,161.9,161.9
1975-08-12,163.5,163.5,163.5,163.5
1975-08-13,162.3,162.3,162.3,162.3
1975-08-14,161.8,161.8,161.8,161.8
1975-08-15,162.1,162.1,162.1,162.1
1975-08-18,161.7,161.7,161.7,161.7
1975-08-19,161.35,161.35,161.35,161.35
1975-08-20,162.7,162.7,162.7,162.7
1975-08-21,161.9,161.9,161.9,161.9
1975-08-22,161.95,161.95,161.95,161.95
1975-08-26,161.85,161.85,161.85,161.85
1975-08-27,161.4,161.4,161.4,161.4
1975-08-28,161.9,161.9,161.9,161.9
1975-08-29,159.8,159.8,159.8,159.8
1975-09-01,155,155,155,155
1975-09-02,149.25,149.25,149.25,149.25
1975-09-03,150.35,150.35,150.35,150.35
1975-09-04,153.25,153.25,153.25,153.25
1975-09-05,153.25,153.25,153.25,153.25
1975-09-08,152.25,152.25,152.25,152.25
1975-09-09,148.5,148.5,148.5,148.5
1975-09-10,149.9,149.9,149.9,149.9
1975-09-11,147.65,147.65,147.65,147.65
1975-09-12,148,148,148,148
1975-09-15,148.25,148.25,148.25,148.25
1975-09-16,147.1,147.1,147.1,147.1
1975-09-17,142.9,142.9,142.9,142.9
1975-09-18,139.5,139.5,139.5,139.5
1975-09-19,135.5,135.5,135.5,135.5
1975-09-22,136.6,136.6,136.6,136.6
1975-09-23,128.75,128.75,128.75,128.75
1975-09-24,132.75,132.75,132.75,132.75
1975-09-25,134.5,134.5,134.5,134.5
1975-09-26,136.3,136.3,136.3,136.3
1975-09-29,139.25,139.25,139.25,139.25
1975-09-30,141.25,141.25,141.25,141.25
1975-10-01,143.5,143.5,143.5,143.5
1975-10-02,144.65,144.65,144.65,144.65
1975-10-03,138.9,138.9,138.9,138.9
1975-10-06,140.75,140.75,140.75,140.75
1975-10-07,142.5,142.5,142.5,142.5
1975-10-08,139.3,139.3,139.3,139.3
1975-10-09,140,140,140,140
1975-10-10,142.25,142.25,142.25,142.25
1975-10-13,142,142,142,142
1975-10-14,140.5,140.5,140.5,140.5
1975-10-15,142.75,142.75,142.75,142.75
1975-10-16,143.25,143.25,143.25,143.25
1975-10-17,144.9,144.9,144.9,144.9
1975-10-20,144.75,144.75,144.75,144.75
1975-10-21,146.25,146.25,146.25,146.25
1975-10-22,144.5,144.5,144.5,144.5
1975-10-23,144.15,144.15,144.15,144.15
1975-10-24,143.5,143.5,143.5,143.5
1975-10-27,142.9,142.9,142.9,142.9
1975-10-28,142.7,142.7,142.7,142.7
1975-10-29,142.75,142.75,142.75,142.75
1975-10-30,143.75,143.75,143.75,143.75
1975-10-31,142.9,142.9,142.9,142.9
1975-11-03,143.25,143.25,143.25,143.25
1975-11-04,144,144,144,144
1975-11-05,145.9,145.9,145.9,145.9
1975-11-06,145.9,145.9,145.9,145.9
1975-11-07,144.6,144.6,144.6,144.6
1975-11-10,144.2,144.2,144.2,144.2
1975-11-11,144.25,144.25,144.25,144.25
1975-11-12,143.85,143.85,143.85,143.85
1975-11-13,143.85,143.85,143.85,143.85
1975-11-14,142,142,142,142
1975-11-17,142,142,142,142
1975-11-18,139.25,139.25,139.25,139.25
1975-11-19,141.75,141.75,141.75,141.75
1975-11-20,142.4,142.4,142.4,142.4
1975-11-21,141.35,141.35,141.35,141.35
1975-11-24,140.6,140.6,140.6,140.6
1975-11-25,141.4,141.4,141.4,141.4
1975-11-26,140.6,140.6,140.6,140.6
1975-11-27,139,139,139,139
1975-11-28,138.15,138.15,138.15,138.15
1975-12-01,137.9,137.9,137.9,137.9
1975-12-02,139.3,139.3,139.3,139.3
1975-12-03,139.45,139.45,139.45,139.45
1975-12-04,138.85,138.85,138.85,138.85
1975-12-05,138,138,138,138
1975-12-08,137.25,137.25,137.25,137.25
1975-12-09,137.25,137.25,137.25,137.25
1975-12-10,139.4,139.4,139.4,139.4
1975-12-11,140.2,140.2,140.2,140.2
1975-12-12,138.7,138.7,138.7,138.7
1975-12-15,138.15,138.15,138.15,138.15
1975-12-16,138.8,138.8,138.8,138.8
1975-12-17,138.85,138.85,138.85,138.85
1975-12-18,138.9,138.9,138.9,138.9
1975-12-19,139.1,139.1,139.1,139.1
1975-12-22,142.4,142.4,142.4,142.4
1975-12-23,140.8,140.8,140.8,140.8
1975-12-29,141.75,141.75,141.75,141.75
1975-12-30,140.25,140.25,140.25,140.25
1975-12-31,140.25,140.25,140.25,140.25
1976-01-02,140.35,140.35,140.35,140.35
1976-01-05,138.6,138.6,138.6,138.6
1976-01-06,139,139,139,139
1976-01-07,138.35,138.35,138.35,138.35
1976-01-08,135.8,135.8,135.8,135.8
1976-01-09,136.55,136.55,136.55,136.55
1976-01-12,136.65,136.65,136.65,136.65
1976-01-13,132,132,132,132
1976-01-14,130.35,130.35,130.35,130.35
1976-01-15,132.5,132.5,132.5,132.5
1976-01-16,130.8,130.8,130.8,130.8
1976-01-19,128.9,128.9,128.9,128.9
1976-01-20,124.6,124.6,124.6,124.6
1976-01-21,124.9,124.9,124.9,124.9
1976-01-22,126.15,126.15,126.15,126.15
1976-01-23,129,129,129,129
1976-01-26,125.65,125.65,125.65,125.65
1976-01-27,126.25,126.25,126.25,126.25
1976-01-28,128.1,128.1,128.1,128.1
1976-01-29,128.6,128.6,128.6,128.6
1976-01-30,128.15,128.15,128.15,128.15
1976-02-02,130.4,130.4,130.4,130.4
1976-02-03,131.7,131.7,131.7,131.7
1976-02-04,129.75,129.75,129.75,129.75
1976-02-05,128.75,128.75,128.75,128.75
1976-02-06,130.6,130.6,130.6,130.6
1976-02-09,130.1,130.1,130.1,130.1
1976-02-10,129.5,129.5,129.5,129.5
1976-02-11,130.85,130.85,130.85,130.85
1976-02-12,131.8,131.8,131.8,131.8
1976-02-13,131.1,131.1,131.1,131.1
1976-02-16,131.25,131.25,131.25,131.25
1976-02-17,130.15,130.15,130.15,130.15
1976-02-18,131.2,131.2,131.2,131.2
1976-02-19,131,131,131,131
1976-02-20,131.75,131.75,131.75,131.75
1976-02-23,131.65,131.65,131.65,131.65
