time,open,high,low,close
1985-02-05,126.22,126.22,126.22,126.22
1985-02-06,126.76,126.76,126.76,126.76
1985-02-07,127.16,127.16,127.16,127.16
1985-02-08,128.56,128.56,128.56,128.56
1985-02-12,127.8,127.8,127.8,127.8
1985-02-13,126.97,126.97,126.97,126.97
1985-02-14,127.88,127.88,127.88,127.88
1985-02-15,127.01,127.01,127.01,127.01
1985-02-20,125.09,125.09,125.09,125.09
1985-02-21,125.48,125.48,125.48,125.48
1985-02-22,125.25,125.25,125.25,125.25
1985-02-26,123.59,123.59,123.59,123.59
1985-02-27,124.69,124.69,124.69,124.69
1985-02-28,123.56,123.56,123.56,123.56
1985-03-01,123.52,123.52,123.52,123.52
1985-03-05,125.11,125.11,125.11,125.11
1985-03-06,124.6,124.6,124.6,124.6
1985-03-07,122.5,122.5,122.5,122.5
1985-03-08,120.61,120.61,120.61,120.61
1985-03-12,119.22,119.22,119.22,119.22
1985-03-13,119.72,119.72,119.72,119.72
1985-03-14,116.73,116.73,116.73,116.73
1985-03-15,115.98,115.98,115.98,115.98
1985-03-19,116.61,116.61,116.61,116.61
1985-03-20,117.84,117.84,117.84,117.84
1985-03-21,117.63,117.63,117.63,117.63
1985-03-22,117.67,117.67,117.67,117.67
1985-03-26,115.02,115.02,115.02,115.02
1985-03-27,115.25,115.25,115.25,115.25
1985-03-28,116.38,116.38,116.38,116.38
1985-03-29,116.39,116.39,116.39,116.39
1985-04-02,118.72,118.72,118.72,118.72
1985-04-03,117.96,117.96,117.96,117.96
1985-04-04,116.19,116.19,116.19,116.19
1985-04-05,115.97,115.97,115.97,115.97
1985-04-09,115.14,115.14,115.14,115.14
1985-04-10,115.33,115.33,115.33,115.33
1985-04-11,117.11,117.11,117.11,117.11
1985-04-12,117.25,117.25,117.25,117.25
1985-04-16,117.74,117.74,117.74,117.74
1985-04-17,118.24,118.24,118.24,118.24
1985-04-18,118.84,118.84,118.84,118.84
1985-04-19,118.33,118.33,118.33,118.33
1985-04-23,117,117,117,117
1985-04-24,117.66,117.66,117.66,117.66
1985-04-25,117.64,117.64,117.64,117.64
1985-04-26,118.16,118.16,118.16,118.16
1985-04-30,116.23,116.23,116.23,116.23
1985-05-01,115.38,115.38,115.38,115.38
1985-05-02,114.83,114.83,114.83,114.83
1985-05-03,114.36,114.36,114.36,114.36
1985-05-07,114.45,114.45,114.45,114.45
1985-05-08,114.97,114.97,114.97,114.97
1985-05-09,115.08,115.08,115.08,115.08
1985-05-10,116.54,116.54,116.54,116.54
1985-05-14,120.17,120.17,120.17,120.17
1985-05-15,119.56,119.56,119.56,119.56
1985-05-16,119.83,119.83,119.83,119.83
1985-05-17,120.59,120.59,120.59,120.59
1985-05-21,123.36,123.36,123.36,123.36
1985-05-22,122.81,122.81,122.81,122.81
1985-05-23,122.27,122.27,122.27,122.27
1985-05-24,121.3,121.3,121.3,121.3
1985-05-29,119.56,119.56,119.56,119.56
1985-05-30,119.59,119.59,119.59,119.59
1985-05-31,118.72,118.72,118.72,118.72
1985-06-04,119.78,119.78,119.78,119.78
1985-06-05,120.1,120.1,120.1,120.1
1985-06-06,119.75,119.75,119.75,119.75
1985-06-07,119.88,119.88,119.88,119.88
1985-06-11,119.05,119.05,119.05,119.05
1985-06-12,118.34,118.34,118.34,118.34
1985-06-13,116.75,116.75,116.75,116.75
1985-06-14,114.61,114.61,114.61,114.61
1985-06-18,114.76,114.76,114.76,114.76
1985-06-19,114.92,114.92,114.92,114.92
1985-06-20,115.14,115.14,115.14,115.14
1985-06-21,114.56,114.56,114.56,114.56
1985-06-25,117.3,117.3,117.3,117.3
1985-06-26,119.64,119.64,119.64,119.64
1985-06-27,120.95,120.95,120.95,120.95
1985-06-28,122.14,122.14,122.14,122.14
1985-07-02,122.42,122.42,122.42,122.42
1985-07-03,121.79,121.79,121.79,121.79
1985-07-04,121.28,121.28,121.28,121.28
1985-07-09,120.86,120.86,120.86,120.86
1985-07-10,120.31,120.31,120.31,120.31
1985-07-11,120.86,120.86,120.86,120.86
1985-07-12,121.9,121.9,121.9,121.9
1985-07-16,123.33,123.33,123.33,123.33
1985-07-17,124.73,124.73,124.73,124.73
1985-07-18,126.61,126.61,126.61,126.61
1985-07-19,125.31,125.31,125.31,125.31
1985-07-23,125.47,125.47,125.47,125.47
1985-07-24,125.89,125.89,125.89,125.89
1985-07-25,125.11,125.11,125.11,125.11
1985-07-26,125.78,125.78,125.78,125.78
1985-07-30,123.09,123.09,123.09,123.09
1985-07-31,123.11,123.11,123.11,123.11
1985-08-01,123.27,123.27,123.27,123.27
1985-08-02,124.55,124.55,124.55,124.55
1985-08-06,123.28,123.28,123.28,123.28
