time,open,high,low,close
1985-02-01,126.22,128.56,123.56,123.56
1985-03-01,123.52,125.11,115.02,116.39
1985-04-01,118.72,118.84,115.14,116.23
1985-05-01,115.38,123.36,114.36,118.72
1985-06-03,119.78,122.14,114.56,122.14
1985-07-01,122.42,126.61,120.31,123.11
1985-08-01,123.27,124.55,117.92,118.24
1985-09-02,117.57,117.57,110.89,110.89
1985-10-01,110.62,115.77,107.16,115.77
1985-11-01,115.48,125.77,115.48,125.77
1985-12-02,125.19,132.91,125.19,131.94
1986-01-01,132.29,133.06,128.8,132.19
1986-02-03,134.24,140.74,134.24,140.53
1986-03-03,139.74,148.38,139.74,148.38
1986-04-01,148.86,159.9,146.06,158.25
1986-05-01,154.91,161.62,154.21,161.62
1986-06-02,162.03,162.36,158.1,161.72
1986-07-01,162.62,164.51,144.21,144.52
1986-08-01,144.52,152.04,140.54,152.04
1986-09-01,149.34,151.4,134.94,135.53
1986-10-01,137.5,144.78,137.5,144.78
1986-11-03,144.81,146.87,139.54,146.87
1986-12-01,146.85,150.08,141.53,141.53
1987-01-01,141.41,167.94,141.41,165.74
1987-02-02,170.31,183.65,170.31,182.19
1987-03-02,181.06,190.71,180.56,183.84
1987-04-01,186.04,190.91,179.55,182.22
1987-05-01,184.83,190.74,181.47,188.11
1987-06-01,185.86,192.41,184.5,190.7
1987-07-01,189.24,196.56,187.38,196.56
1987-08-03,195.24,211.16,195.24,210.63
1987-09-01,209.57,209.57,197.26,204.15
1987-10-01,205.5,212.15,128.43,144
1987-11-02,152.19,153.03,141.06,145
1987-12-01,137.13,158.19,132.95,157.28
1988-01-01,156.25,168.7,152.47,157.66
1988-02-01,158.62,172.47,156.58,170.78
1988-03-01,172.64,181.24,172.13,172.13
1988-04-01,173.26,180.38,171.41,176.73
1988-05-02,176.75,179,167.65,169.85
1988-06-01,173.34,188.19,173.34,187.78
1988-07-01,189.03,191.91,177.37,178.22
1988-08-01,181.44,181.44,169.6,172.37
1988-09-01,171,178.82,168.22,178.82
1988-10-03,176.79,180.37,173.29,174.28
1988-11-01,174.78,174.78,163.81,167.17
1988-12-01,169.19,176.98,169.19,176.68
1989-01-02,177.37,185.01,172.94,184.79
1989-02-01,184.79,192.99,183.24,183.81
1989-03-01,183.81,187.69,178.96,184.36
1989-04-03,185.87,199.81,184.45,199.57
1989-05-01,200.47,215.19,199.15,213.59
1989-06-01,213.59,220.81,205.95,206.77
1989-07-03,204.58,214.19,203.61,212.76
1989-08-01,213.15,222.09,211.64,221.4
1989-09-01,221.4,227.32,220.33,226.25
1989-10-02,226.42,238.84,213.6,219.07
1989-11-01,219.07,225.76,214.66,223.49
1989-12-01,223.49,227.85,208.69,221.58
1990-01-01,223.83,228.94,196.69,197.66
1990-02-01,197.66,210.1,197.66,205.79
1990-03-01,205.86,220.14,205.6,213.11
1990-04-02,212.71,218.25,203.77,205.79
1990-05-01,203.59,237.93,202.97,236.35
1990-06-01,235.97,242.84,231.76,237.42
1990-07-02,238.43,246.81,221.36,223.92
1990-08-01,223.98,224.86,177.06,190.72
1990-09-03,193.61,195.88,173.06,174.19
1990-10-01,177.97,189.06,163.6,172.99
1990-11-01,172.99,192.67,170.88,191.11
1990-12-03,192.66,203.48,192.66,199.16
1991-01-01,199.37,229.29,190.9,229.28
1991-02-01,229.28,252.54,228.76,249.71
1991-03-01,249.71,267.93,248.12,264.91
1991-04-01,264.91,286.05,262.73,266.15
1991-05-01,266.15,278.12,256.55,277.24
1991-06-03,279,281.42,249.79,255.26
1991-07-01,254.19,269.78,249.99,269.31
1991-08-01,269.31,290.92,263.55,288.59
1991-09-02,287.41,289.65,276.32,287.92
1991-10-01,285.94,297.77,276.51,294.72
1991-11-01,294.72,304.55,277.9,285.22
1991-12-02,284.79,326.73,281.09,326.73
1992-01-01,326.73,357.7,322.56,341.19
1992-02-03,338.31,356.28,332.97,347.39
1992-03-02,345.88,348.4,321.75,322.35
1992-04-01,322.35,326.79,291.35,302.97
1992-05-01,302.97,317.27,302.73,311.98
1992-06-01,315.3,319.22,288.48,300.8
1992-07-01,300.8,311.64,292.8,310.94
1992-08-03,310.9,313.48,287.63,299.46
1992-09-01,299.13,324.69,297.02,310.65
1992-10-01,310.65,332.46,291.96,331.09
1992-11-02,329.15,350.89,324.98,349.66
1992-12-01,349.31,363.2,344.79,359.93
1993-01-01,359.93,384.67,355.36,370.66
1993-02-01,370.56,379.26,337.14,351.66
1993-03-01,351.14,366.53,345.43,357.72
1993-04-01,357.72,363.18,326.56,338.98
1993-05-03,339.94,376.53,339.94,372.73
1993-06-01,368.11,374.91,352.75,365.96
1993-07-01,365.96,369.78,346.63,357.33
1993-08-02,352.86,379.64,352.86,369.3
1993-09-01,369.3,388.33,358.02,386.89
1993-10-01,386.89,394.22,376.63,389.24
1993-11-01,390.98,396.88,372.32,383.18
1993-12-01,383.18,401.77,380.87,397.72
1994-01-03,398.26,411.99,392.05,409.93
1994-02-01,412.52,415.42,392.33,402.79
1994-03-01,406.45,418.99,375.74,380.25
1994-04-01,380.25,391.94,352.12,372.45
1994-05-02,373.25,381.31,353.43,375.8
1994-06-01,376.81,384.74,350.24,362.73
1994-07-01,362.73,373.43,352.74,362.14
1994-08-01,370.16,402.29,365.52,401.74
1994-09-01,401.74,407.1,386.11,391.22
1994-10-03,393.85,406.85,376.8,405.62
1994-11-01,411.84,417.55,390.89,409.1
1994-12-01,409.1,412,381.47,406.31
1995-01-02,404.27,419.98,394.59,401.71
1995-02-01,401.71,435.2,401.08,424.75
1995-03-01,424.75,462.99,424.71,448.42
1995-04-03,447.15,468.89,438.38,465.34
1995-05-01,469.56,509.24,463.38,482.08
1995-06-01,482.08,546.36,474.17,536.21
1995-07-03,538.03,600.01,530.4,584.25
1995-08-01,574.18,600.15,541.64,572.83
1995-09-01,572.85,613.78,557.26,595.44
1995-10-02,585.08,609.38,527.89,607.1
1995-11-01,607.1,623.53,562.5,599.58
1995-12-01,599.58,604.13,540.97,571.96
1996-01-01,576.23,586.32,526.8,583.99
1996-02-01,583.99,645.24,580.43,631.44
1996-03-01,631.44,637.92,591.35,608.08
1996-04-01,609.69,668.31,597.42,667
1996-05-01,667,700.65,646.02,684.04
1996-06-03,692.39,704.09,648.93,671.15
1996-07-01,677.4,687.95,572.79,630.32
1996-08-01,630.32,682.48,628.3,671.1
1996-09-02,663.57,757.83,650.48,744.61
1996-10-01,744.73,786.75,727.14,736.36
1996-11-01,736.36,833.15,736.36,832.37
1996-12-02,834.01,873,798.13,826.49
1997-01-01,826.49,938.11,806.17,911.71
1997-02-03,921.55,928.31,848.16,848.49
1997-03-03,850.46,874.28,784.54,818.74
1997-04-01,818.74,856.29,779.17,856.26
1997-05-01,856.26,988.4,850.95,970.54
1997-06-02,958.85,993.16,917.34,967.34
1997-07-01,963.07,1108.12,947.78,1100.98
1997-08-01,1100.99,1151.82,1060.88,1070.57
1997-09-01,1074.17,1139.7,1074.17,1118.77
1997-10-01,1118.77,1153.89,925.92,1000.7
1997-11-03,1019.62,1063.52,971.61,1044.24
1997-12-01,1050.51,1085.35,937.22,998.46
1998-01-01,998.46,1082.08,933.01,1069
1998-02-02,1071.13,1207.84,1071.13,1206.97
1998-03-02,1194.13,1230.92,1123.86,1206.64
1998-04-01,1206.28,1294.49,1172.87,1239.56
1998-05-01,1239.56,1280.28,1180.23,1214.83
1998-06-01,1192.07,1347.44,1160.13,1339.71
1998-07-01,1339.72,1485.97,1323.12,1422.05
1998-08-03,1377.26,1421.4,1289.91,1312.28
1998-09-01,1265.04,1413.16,1118.12,1384.89
1998-10-01,1384.44,1397.99,1063.27,1396.3
1998-11-02,1400.52,1605.96,1395.53,1598.48
1998-12-01,1628.38,1842.91,1535.18,1810.97
1999-01-01,1812.07,2105.66,1809.91,2104.59
1999-02-01,2141.74,2150.83,1864.9,1974.39
1999-03-01,1925.97,2158.94,1870.37,2125.69
1999-04-01,2125.69,2283.55,1952.36,2119.29
1999-05-03,2136.39,2239.86,1960.55,2050.09
1999-06-01,2089.7,2280.41,1987.4,2280.06
1999-07-01,2280.07,2468.42,2233.15,2263.06
1999-08-02,2270.93,2467.46,2120.26,2366.88
1999-09-01,2366.88,2551.66,2326.99,2398.78
1999-10-01,2401.49,2586.33,2299.95,2539.93
1999-11-01,2637.04,3127.05,2612.39,3063.23
1999-12-01,3061.68,3750.41,2956.79,3683.67
2000-01-03,3755.74,3905.1,3334.02,3593.15
2000-02-01,3438.09,4253.75,3349.06,4162.13
2000-03-01,4174.75,4781.19,4049.98,4250.19
2000-04-03,4355.7,4355.7,3107.42,3692.57
2000-05-01,3789.2,3871.93,2897.27,3414.03
2000-06-01,3414.03,3990.21,3322.22,3665.83
2000-07-03,3763.79,4089.04,3610.27,3681.63
2000-08-01,3477.53,3987.71,3341.83,3968.73
2000-09-01,3971.32,4085.89,3533.67,3725.15
2000-10-02,3532.69,3613.86,2956.2,3081.07
2000-11-01,3120.21,3369.47,2520.14,2602.85
2000-12-01,2470.66,2990.83,2174.76,2464.62
2001-01-01,2341.28,2771.63,2087.32,2686.14
2001-02-01,2695.03,2718.51,1958.88,1964.52
2001-03-01,1983.35,2029.01,1543.39,1563.14
2001-04-02,1569.66,1953.57,1348.52,1763.33
2001-05-01,1855.9,2070.61,1768.62,1779
2001-06-01,1785.25,1963.83,1655.26,1808.94
2001-07-02,1831.42,1864.2,1580.57,1670.03
2001-08-01,1678.71,1766.58,1438.91,1453.9
2001-09-03,1466.32,1502.67,1101.39,1144.27
2001-10-01,1161.74,1479.05,1131.32,1342.26
2001-11-01,1368.54,1644.38,1354.74,1599.3
2001-12-03,1576.26,1734.58,1557.18,1606.48
2002-01-01,1617.35,1710.23,1481.46,1538.94
2002-02-01,1549.47,1554.95,1348.25,1378.48
2002-03-01,1386.15,1573.42,1356.04,1452.81
2002-04-01,1440.38,1481.74,1228.94,1246.75
2002-05-01,1245.65,1350.54,1142.25,1227.9
2002-06-03,1205.2,1213.18,979.87,1050.64
2002-07-01,1044.48,1066.28,869.17,980.36
2002-08-01,966.05,1052.49,856.35,961.75
2002-09-02,928.5,978.46,830.21,873.74
2002-10-01,848.72,1007.72,795.25,986.09
2002-11-01,990.39,1133.73,972.34,1125.67
2002-12-02,1144.21,1155.68,980.74,989.89
2003-01-01,987.81,1104.32,977.59,985.51
2003-02-03,987.37,1015.34,938.52,994.8
2003-03-03,1015.87,1089.21,946.79,1061.93
2003-04-01,1028.43,1126.58,1014.96,1116.79
2003-05-01,1111.54,1198.43,1094.42,1181.82
2003-06-02,1210.77,1255.39,1180.01,1214.68
2003-07-01,1212.51,1316.42,1180.11,1263.78
2003-08-01,1278.29,1332.47,1208.33,1332.33
2003-09-01,1347.64,1401.64,1306.11,1335.51
2003-10-01,1323.95,1439.97,1302.26,1417.38
2003-11-03,1423.13,1445.72,1362.09,1420.11
2003-12-01,1434.1,1470.38,1372.87,1470.01
2004-01-01,1471.56,1559.47,1459.06,1496.4
2004-02-02,1497.78,1524.09,1452.49,1477.13
2004-03-01,1476.04,1494.67,1368.08,1445.25
2004-04-01,1445.17,1508.37,1420.66,1431.36
2004-05-03,1409.06,1467.63,1372.46,1463.11
2004-06-01,1457.71,1508.52,1445.21,1505.65
2004-07-01,1507.6,1523.48,1359.2,1398.55
2004-08-02,1390.21,1408.31,1302.74,1367.94
2004-09-01,1368.91,1440.81,1354.1,1410.86
2004-10-01,1409.23,1491.86,1403.89,1487.12
2004-11-01,1486.25,1593.16,1479.86,1580.44
2004-12-01,1579.51,1635.7,1571.11,1623.76
2005-01-03,1628.75,1635.45,1480.66,1507.55
2005-02-01,1515.16,1561.17,1489.99,1517.71
2005-03-01,1517.06,1552.53,1458.26,1491.74
2005-04-01,1489.44,1499.71,1404.86,1409.29
2005-05-02,1421.9,1551.12,1415.6,1548.8
2005-06-01,1549.35,1568.96,1490.02,1504.11
2005-07-01,1505.33,1619.78,1484.18,1618.64
2005-08-01,1609.58,1628.57,1550.76,1565.73
2005-09-01,1567.33,1619.12,1551.81,1589.93
2005-10-03,1602.35,1617.77,1515.42,1543.38
2005-11-01,1559.67,1704.42,1559.67,1676.84
2005-12-01,1674.9,1716.65,1653.53,1655.36
2006-01-02,1654.79,1761.46,1633.62,1713.45
2006-02-01,1714.39,1717.95,1638.53,1695.66
2006-03-01,1689.99,1720.2,1644.86,1708.68
2006-04-03,1715.61,1745.68,1684.35,1717.14
2006-05-01,1705.95,1718.77,1554.76,1571.29
2006-06-01,1575.69,1616.57,1511.53,1585.56
2006-07-03,1580.56,1586.44,1446.77,1478.53
2006-08-01,1506.54,1584.72,1476.06,1581.95
2006-09-01,1585.27,1665.61,1558.17,1661.59
2006-10-02,1650.55,1745.79,1623.07,1727.8
2006-11-01,1734.49,1820.2,1698.6,1792.77
2006-12-01,1791.04,1820.94,1745.77,1758.94
2007-01-01,1766.76,1847.54,1731.71,1777.76
2007-02-01,1774.45,1851.47,1750.7,1755.99
2007-03-01,1756.97,1807.43,1710.97,1771.72
2007-04-02,1775.69,1896.77,1761.65,1889.57
2007-05-01,1891.49,1925.43,1857.33,1918.08
2007-06-01,1922.94,1948.58,1882.17,1931.67
2007-07-02,1941.77,2060.29,1939.74,1973.93
2007-08-01,1991.51,1995,1805.66,1963.75
2007-09-03,1990.34,2099.61,1943.27,2096.39
2007-10-01,2093.55,2218.88,2088.79,2207.61
2007-11-01,2212.37,2239.23,1980.18,2102.42
2007-12-03,2083.45,2147.68,1999.59,2106.09
2008-01-01,2095.33,2102.39,1693.06,1808.51
2008-02-01,1782.83,1856.15,1714.86,1794.46
2008-03-03,1740.84,1831.98,1668.57,1777.89
2008-04-01,1773.03,1942.98,1767.86,1933.6
2008-05-01,1939.89,2050.79,1912.81,2019.02
2008-06-02,2028.33,2055.82,1855.39,1855.39
2008-07-01,1851.77,1874.83,1761.08,1852.8
2008-08-01,1836.49,1969.37,1802.09,1915.12
2008-09-01,1904.75,1912.72,1496.15,1496.15
2008-10-01,1543.11,1597.73,1167.7,1333.94
2008-11-03,1333.76,1382.65,1035.25,1193.09
2008-12-01,1161.68,1251.56,1091.04,1201.34
2009-01-01,1201.63,1286.01,1136.61,1203.85
2009-02-02,1170.19,1286.68,1126.79,1127.1
2009-03-02,1098.59,1281,1040.52,1225
2009-04-01,1225,1418,1209,1391
2009-05-01,1391,1439,1336,1439
2009-06-01,1439,1516,1411,1477
2009-07-01,1477,1631,1393,1601
2009-08-03,1601,1668,1561,1624
2009-09-01,1624,1753,1584,1723
2009-10-01,1723,1780,1650,1684
2009-11-02,1684,1814,1651,1752
2009-12-01,1752,1882,1751,1871
2010-01-01,1871,1899,1760,1775
2010-02-01,1775,1832,1722,1817
2010-03-01,1819,1975,1819,1959
2010-04-01,1959,2060,1942,1999
2010-05-03,1999,2039,1738,1859
2010-06-01,1859,1940,1732,1735
2010-07-01,1735,1901,1697,1864
2010-08-02,1864,1918,1744,1773
2010-09-01,1773,2034,1771,1998
2010-10-01,1998,2138,1963,2125
2010-11-01,2125,2199,2085,2113
2010-12-01,2113,2239,2108,2212
2011-01-03,2212,2346,2212,2282
2011-02-01,2282,2403,2280,2351
2011-03-01,2351,2378,2186,2338
2011-04-01,2338,2418,2251,2406
2011-05-02,2406,2429,2281,2375
2011-06-01,2375,2381,2177,2322
2011-07-01,2322,2437,2317,2366
2011-08-01,2366,2397,1973,2245
2011-09-01,2245,2336,2108,2139
2011-10-03,2139,2413,2040,2352
2011-11-01,2352,2403,2136,2295
2011-12-01,2295,2344,2208,2278
2012-01-02,2278,2480,2278,2458
2012-02-01,2458,2644,2456,2619
2012-03-01,2619,2793,2574,2756
2012-04-02,2756,2792,2628,2723
2012-05-01,2723,2756,2466,2522
2012-06-01,2522,2631,2435,2618
2012-07-02,2618,2662,2521,2640
2012-08-01,2640,2801,2604,2771
2012-09-03,2771,2876,2742,2796
2012-10-01,2796,2846,2611,2639
2012-11-01,2639,2700,2493,2679
2012-12-03,2679,2715,2584,2620
2013-01-01,2620,2773,2620,2734
2013-02-01,2734,2784,2687,2731
2013-03-01,2731,2834,2710,2818
2013-04-01,2818,2888,2730,2888
2013-05-01,2888,3053,2868,2981
2013-06-03,2981,3007,2822,2904
