time,open,high,low,close
2015-10-07,22505.5,22644,22112,22112
2015-10-08,22526.5,22622.5,22178.5,22499.5
2015-10-09,22593.5,22814,22593.5,22594
2015-10-12,22567.5,22892,22475,22635
2015-10-13,22597,22794,22448,22554
2015-10-14,22374.5,22619,22343,22536
2015-10-15,22688.5,23018,22571,22934
2015-10-16,23103.5,23194,22960,23187
2015-10-19,23176.5,23185,22902.5,23005.5
2015-10-20,22999.5,23055,22833,22989.5
2015-10-22,22749,23169,22710,23146
2015-10-23,23276,23536,23090,23459
2015-10-26,23399,23399,22974,23090
2015-10-27,23111,23149,22892,23060
2015-10-28,23022.5,23127,22922,23091
2015-10-29,23055.5,23086,22651,22737
2015-10-30,22752,22892,22619,22620
2015-11-02,22611,22611,22308,22531.5
2015-11-03,22536,22694,22516.5,22671
2015-11-04,22730,23362.5,22678,23146
2015-11-05,23090,23179.5,22918.5,22929.5
2015-11-06,22916.5,22928,22564.5,22658.5
2015-11-09,22641,22965.5,22498,22500
2015-11-10,22437,22484.5,22214.5,22221.5
2015-11-11,22301.5,22509.5,22268.5,22352.5
2015-11-12,22328.5,23010,22328.5,22679.5
2015-11-13,22534,22538.5,21985.5,22059
2015-11-16,21892,22154.5,21825.5,22067
2015-11-17,22252,22508.5,22230,22393
2015-11-18,22325,22360,22110,22262
2015-11-19,22472.5,22607,22396,22519
2015-11-20,22522.5,22883.5,22428.5,22836
2015-11-23,22803.5,22819.5,22621.5,22731
2015-11-24,22689.5,22695.5,22291,22420
2015-11-25,22479.5,22631,22427,22558.5
2015-11-26,22608,22991,22432,22598.5
2015-11-27,22550.5,22564,21903,22034.5
2015-11-30,22023.5,22148,21838,22077
2015-12-01,22184,22471,22079.5,22435
2015-12-02,22450.5,22557,22344,22428
2015-12-03,22279,22521.5,22222,22242
2015-12-04,22106,22288,22044,22270.5
2015-12-07,22304.5,22385,22107,22109
2015-12-08,22080,22087.5,21553,21676
2015-12-09,21729,21896,21614,21890
2015-12-10,21670,21873,21574,21693
2015-12-11,21704,21743,21075.5,21153.5
2015-12-14,21018.5,21374,20986.5,21122.5
2015-12-15,21260,21565.5,21214.5,21541.5
2015-12-16,21531,21850,21489.5,21747.5
2015-12-17,21806,22012.5,21803,21803
2015-12-18,21638,21962,21594,21674
2015-12-21,21613,21913,21569,21863.5
2015-12-22,21811,21848,21707,21824
2015-12-23,21873,22223.5,21825.5,22223.5
2015-12-24,22272,22277,22136,22145
2015-12-28,22140,22188,21792.5,21862
2015-12-29,21904,22149,21838,22101
2015-12-30,22130,22162.5,21855,21940
2015-12-31,21833.5,21978.5,21831.5,21898.5
2016-01-04,21815,21825,21013.5,21029.5
2016-01-05,21167,21403.5,21027,21136
2016-01-06,21191,21239,20656,20700.5
2016-01-07,20780,20819,20045,20462
2016-01-08,20416,20604,20123,20161
2016-01-11,19871.5,20108,19811.5,20003
2016-01-12,20013.5,20104.5,19652,19966
2016-01-13,20052,20223,19813.5,19916
2016-01-14,19543,19887,19462.5,19793.5
2016-01-15,19780,19813.5,19039,19125
