time,open,high,low,close
2015-10-01,22505.5,23536,22112,22620
2015-11-02,22611,23362.5,21825.5,22077
2015-12-01,22184,22557,20986.5,21898.5
2016-01-01,21815,21825,18526,19615
2016-02-01,19675,19726.5,18040,19309
2016-03-01,19215,21002,19082,20826
2016-04-01,20796.5,21678,19966,20875
2016-05-02,21052,21086,19513,20740
2016-06-01,20735,21440,19634.5,20923
2016-07-01,20968,22318,20278,21965
2016-08-01,21994.5,23427,21677.5,22878
2016-09-01,22876,24366,22785,23593
2016-10-03,23613,24104.5,22520,22932
2016-11-01,22939.5,23302,21926.5,22856.5
2016-12-01,22881.5,23139,20691.7,21675.2
2017-01-02,21916.5,23436.7,21850.2,23300
2017-02-01,23230,24293,22972.5,23993
2017-03-01,23812,24684,23383,24372.2
2017-04-03,24167,24735,23696.5,24589.5
2017-05-01,24711,24822.2,24568,24822.2
2020-06-01,24571.5,24610.5,24107.5,24338
2020-07-01,24852,26772.5,24319.5,24339
2020-08-03,24564,25880,24173,25054.5
2020-09-01,25066.5,25276.5,22961.5,23717.5
2020-10-01,23852.5,24961.5,23785.5,24150
2020-11-02,24199,27071.5,24170.5,26337.5
2020-12-01,26510,27321.5,25948.5,27257.5
2021-01-01,27377.5,30148,27095.5,28190
2021-02-01,28580.5,31089,28441,29054.5
2021-03-01,29300.5,29879.5,27705.5,28576.5
2021-04-01,28544.5,29416.5,28184,28607.5
2021-05-03,28667.5,29370.5,27598.5,29023
2021-06-01,29165.5,29516,28173.5,28736.5
2021-07-01,28796.5,28799,24736.5,25906
2021-08-02,26021.5,26771,24579.5,25777
2021-09-01,25813,26518.5,23705.5,24531
2021-10-01,24302,26246,23642,25173
2021-11-01,24945.5,25740.5,23098.5,23467
2021-12-01,23745.5,24323,22735.5,23440
2022-01-03,23289,25232.5,22705.5,23804.5
2022-02-01,24229,25134.5,22393,22755
2022-03-01,22750,22922.5,18118,21641
2022-04-01,21639,22649.5,19361,20806.5
2022-05-02,20737.5,21601,19147,21341
2022-06-01,21330,22590,20579.5,21885.5
2022-07-01,21800.5,22211,19961,20063
2022-08-01,20094,20676,19168,19854
2022-09-01,19839,19851,16984,17101
2022-10-03,17072,18173.5,14566.5,14698
2022-11-01,14692.5,19146,14690.5,19140
2022-12-01,19130,20115.5,18454,19664
2023-01-02,19676.5,22788,19241.5,21897.5
2023-02-01,21915.5,22321,19635.5,19789
2023-03-01,19828.5,21017.5,18823.5,20370.5
2023-04-03,20325.5,20874.5,19360,20003.5
2023-05-01,19992,20338,18016,18211
2023-06-01,18199.5,20195.5,18142.5,18931.5
2023-07-03,18965,20367.5,18248,20286
2023-08-01,20264,20352.5,17533,18358
2023-09-01,18359.3,18893.9,17239.2,17662.4
2023-10-02,17731.3,18337.1,16810.3,17083.1
2023-11-01,17096,18400.7,16878,17007.9
2023-12-01,17008.7,17114.8,15949,17024.8
2024-01-01,17033.5,17170.6,14775.8,15513.5
2024-02-01,15522,16886.2,15243.3,16383.1
2024-03-01,16397.6,17205.3,16050.5,16581.2
2024-04-01,16694.1,18040.5,16011.7,17548.8
2024-05-01,17536.1,19787.1,17511,18243
2024-06-03,18242.5,18728.1,17531.2,17632.6
2024-07-01,17641.1,18375.7,16906.9,17320.5
2024-08-01,17330.7,18218,16427.4,17818.4
2024-09-02,17824.3,21488,16946.9,20628.5
2024-10-01,20626.5,23480.8,19842,20325.6
2024-11-01,20344,21387,18903.4,19557.8
2024-12-02,19578.2,21342.9,19357.7,20019.7
2025-01-01,19987.2,20488.3,18655,20281.2
2025-02-03,19930.9,24036.5,19737.7,23059.6
2025-03-03,23118.1,24906.1,22556.8,23185.2
2025-04-01,23184.4,23442.7,18781.6,22105.3
2025-05-01,22104.2,23927.1,21984.2,23003.6
2025-06-02,22962.4,24534.5,22636.5,24154.6
2025-07-01,24154.2,25737,23661.6,24691.7
2025-08-01,24691.4,25945.5,24247.9,25365.4
2025-09-01,25369.7,27058.4,24910.1,26796.5
2025-10-01,26797.9,27400.3,24798.9,25941.8
2025-11-03,25967,27172.9,25025.7,26021.7
2025-12-01,26041.7,26279.5,25085.2,25564.5
2026-01-01,25573.2,28096.3,25571.2,27207.9
2026-02-02,27119.2,27397.1,26228.4,26496.9
2026-03-02,26369.3,26397.4,24162.6,25260
2026-04-01,25260.1,26090.9,24890,25920.6
