time,open,high,low,close
2003-08-18,30.019,30.114,29.414,29.435
2003-08-19,29.435,29.669,28.926,29.254
2003-08-20,29.254,29.681,28.98,29.583
2003-08-21,29.583,30.892,29.569,30.45
2003-08-22,30.45,30.617,30.261,30.391
2003-08-26,30.391,30.431,30.001,30.37
2003-08-27,30.37,30.37,29.652,29.751
2003-08-28,29.751,30.103,29.697,29.978
2003-08-29,29.978,30.4,29.962,29.982
2003-09-01,29.982,29.982,29.479,29.646
2003-09-02,29.646,29.727,27.796,27.913
2003-09-03,27.913,28.358,27.72,28.061
2003-09-04,28.061,28.196,27.118,27.58
2003-09-05,27.58,27.74,27.24,27.524
2003-09-08,27.524,27.864,27.075,27.377
2003-09-09,27.377,27.583,27.241,27.583
2003-09-10,27.583,27.728,27.079,27.658
2003-09-11,27.658,27.658,26.877,26.947
2003-09-12,26.947,27.096,26.142,26.473
2003-09-15,26.473,26.686,26.254,26.565
2003-09-16,26.565,26.684,25.951,26.081
2003-09-17,26.081,26.199,25.577,25.727
2003-09-18,25.727,25.775,25.324,25.654
2003-09-19,25.654,25.813,25.171,25.421
2003-09-22,25.421,25.765,25.114,25.614
2003-09-23,25.614,26.063,25.551,25.572
2003-09-24,25.572,27.012,25.42,26.742
2003-09-25,26.742,27.261,26.742,26.879
2003-09-26,26.879,26.879,26.456,26.696
2003-09-29,26.696,27.099,26.696,26.889
2003-09-30,26.889,27.848,26.889,27.647
2003-10-01,27.647,27.945,27.374,27.925
2003-10-02,27.925,28.514,27.863,28.333
2003-10-03,28.333,28.811,27.94,28.771
2003-10-06,28.771,29.304,28.771,28.932
2003-10-07,28.932,29.16,28.53,29.089
2003-10-08,29.089,29.089,28.376,28.756
2003-10-09,28.756,30.245,28.494,30.125
2003-10-10,30.125,31.523,29.873,30.922
2003-10-13,30.922,30.922,30.433,30.673
2003-10-14,30.673,31.34,30.498,30.784
2003-10-15,30.784,31.02,30.502,30.862
2003-10-16,30.862,31.102,30.452,30.684
2003-10-17,30.684,30.684,29.199,29.677
2003-10-20,29.677,29.677,28.624,29.178
2003-10-21,29.178,29.557,29.057,29.186
2003-10-22,29.186,29.543,28.775,28.816
2003-10-23,28.816,29.211,28.4,29.139
2003-10-24,29.139,29.755,28.883,29.035
2003-10-27,29.035,29.099,28.614,28.792
2003-10-28,28.792,28.793,28.394,28.435
2003-10-29,28.435,28.916,27.774,27.825
2003-10-30,27.825,27.825,27.077,27.469
2003-10-31,27.469,28.033,27.469,27.993
2003-11-03,27.993,28.308,27.543,27.614
2003-11-04,27.614,27.614,27.192,27.4
2003-11-05,27.4,28.91,27.322,28.829
2003-11-06,28.829,29.115,28.385,28.635
2003-11-07,28.635,29.368,28.635,29.095
2003-11-10,29.095,29.546,28.919,29.086
2003-11-11,29.086,29.189,28.698,29.159
2003-11-12,29.159,29.307,28.713,29.094
2003-11-13,29.094,29.482,28.749,29.452
2003-11-14,29.452,29.9,29.399,29.679
2003-11-17,29.679,29.679,29.073,29.193
2003-11-18,29.193,30.655,28.778,30.585
2003-11-19,30.585,30.585,29.727,29.907
2003-11-20,29.907,30.526,29.521,29.682
2003-11-21,29.682,30.02,29.316,29.477
2003-11-24,29.477,29.477,27.777,27.998
2003-11-25,27.998,28.306,27.493,28.024
2003-11-26,28.024,28.611,28.024,28.571
2003-11-27,28.571,28.838,28.458,28.788
2003-11-28,28.788,28.854,28.523,28.533
2003-12-01,28.533,28.533,27.829,28.299
2003-12-02,28.299,29.267,28.299,29.006
2003-12-03,29.006,29.263,28.652,29.203
2003-12-04,29.203,29.709,28.457,29.258
2003-12-05,29.258,29.295,28.753,28.793
2003-12-08,28.793,30.292,28.793,30.092
2003-12-09,30.092,30.092,29.527,29.647
2003-12-10,29.647,30.334,29.462,29.68
2003-12-11,29.68,29.845,29.239,29.591
2003-12-12,29.591,30.643,29.591,30.482
2003-12-15,30.482,30.599,29.712,30.477
2003-12-16,30.477,30.663,30.167,30.236
2003-12-17,30.236,31.156,30.236,30.853
2003-12-18,30.853,31.231,30.342,31.046
2003-12-19,31.046,31.394,30.252,30.312
2003-12-22,30.312,30.312,29.1,29.2
2003-12-23,29.2,29.273,28.662,29.273
2003-12-24,29.273,29.509,29.187,29.237
2003-12-29,29.237,29.678,29.237,29.446
2003-12-30,29.446,30.142,29.446,29.9
2003-12-31,29.9,30.336,29.9,30.286
2004-01-02,30.286,30.286,29.416,29.466
2004-01-05,29.466,31.096,29.466,30.954
2004-01-06,30.954,31.489,30.636,30.916
2004-01-07,30.916,31.05,30.327,30.827
2004-01-08,30.827,31.169,30.619,31.139
2004-01-09,31.139,31.865,31.139,31.411
2004-01-12,31.411,31.816,30.917,31.816
2004-01-13,31.816,31.816,31.022,31.102
2004-01-14,31.102,31.117,30.623,30.793
2004-01-15,30.793,31.462,29.497,29.578
2004-01-16,29.578,30.699,29.578,30.699
2004-01-19,30.699,30.881,30.537,30.748
2004-01-20,30.748,31.475,30.748,31.394
2004-01-21,31.394,31.418,30.795,31.045
2004-01-22,31.045,31.31,30.355,31.289
2004-01-23,31.289,31.405,30.901,31.021
2004-01-26,31.021,31.021,30.226,30.567
2004-01-27,30.567,30.953,30.169,30.33
2004-01-28,30.33,30.835,29.59,29.891
2004-01-29,29.891,29.957,28.912,29.232
2004-01-30,29.232,29.648,29.045,29.275
2004-02-02,29.275,30.428,28.676,30.227
2004-02-03,30.227,30.227,29.499,29.589
2004-02-04,29.589,29.864,28.911,29.011
2004-02-05,29.011,29.425,28.504,29.355
2004-02-06,29.355,29.661,28.658,28.898
2004-02-09,28.898,29.208,28.798,29.178
2004-02-10,29.178,30.405,29.069,30.083
2004-02-11,30.083,30.28,29.527,29.948
2004-02-12,29.948,30.165,29.634,30.105
2004-02-13,30.105,30.925,30.072,30.694
2004-02-16,30.694,30.762,30.43,30.46
2004-02-17,30.46,31.229,30.46,30.827
2004-02-18,30.827,31.497,30.827,31.144
2004-02-19,31.144,31.32,30.869,30.958
2004-02-20,30.958,31.317,30.111,30.814
2004-02-23,30.814,31.182,30.621,30.901
2004-02-24,30.901,31.369,30.776,30.917
2004-02-25,30.917,31.876,30.793,31.614
2004-02-26,31.614,31.892,31.389,31.68
2004-02-27,31.68,32.438,31.537,32.307
2004-03-01,32.307,33.456,32.224,33.426
2004-03-02,33.426,33.492,32.951,33.201
2004-03-03,33.201,33.201,32.065,32.264
2004-03-04,32.264,33.112,32.18,32.931
2004-03-05,32.931,33.638,32.931,33.437
2004-03-08,33.437,33.614,32.602,32.812
2004-03-09,32.812,33.04,32.187,32.287
2004-03-10,32.287,32.535,31.653,32.032
2004-03-11,32.032,32.879,32.032,32.869
2004-03-12,32.869,32.89,31.315,32.02
2004-03-15,32.02,33.176,32.02,33.075
2004-03-16,33.075,33.098,32.636,32.926
2004-03-17,32.926,33.825,32.74,33.744
2004-03-18,33.744,33.744,32.88,33.353
2004-03-19,33.353,33.598,33.036,33.476
2004-03-22,33.476,33.476,32.628,33.009
2004-03-23,33.009,33.645,32.721,33.494
