time,open,high,low,close
2003-08-01,30.019,30.892,28.926,29.982
2003-09-01,29.982,29.982,25.114,27.647
2003-10-01,27.647,31.523,27.077,27.993
2003-11-03,27.993,30.655,27.192,28.533
2003-12-01,28.533,31.394,27.829,30.286
2004-01-01,30.286,31.865,28.912,29.275
2004-02-02,29.275,32.438,28.504,32.307
2004-03-01,32.307,33.825,31.272,31.633
2004-04-01,31.633,35.061,30.054,34.509
2004-05-03,34.509,38.766,34.509,36.868
2004-06-01,36.868,39.345,33.102,34.502
2004-07-01,34.502,40.222,34.251,40.191
2004-08-02,40.191,45.617,39.441,39.841
2004-09-01,39.841,46.732,39.841,46.361
2004-10-01,46.361,52.216,45.858,49.174
2004-11-01,49.174,49.691,40.562,45.018
2004-12-01,45.018,45.018,37.142,39.725
2005-01-03,39.725,47.441,38.739,45.968
2005-02-01,45.968,49.996,42.578,49.946
2005-03-01,49.946,56.637,48.953,54.696
2005-04-01,54.696,56.652,49.677,50.128
2005-05-02,50.128,52.233,47.025,50.527
2005-06-01,50.527,59.07,50.527,55.246
2005-07-01,55.246,60.42,55.076,59.731
2005-08-01,59.731,69.154,59.525,66.807
2005-09-01,66.807,68.098,60.858,63.166
2005-10-03,63.166,63.648,56.625,57.803
2005-11-01,57.803,60.414,53.344,54.804
2005-12-01,54.804,60.364,54.241,59.472
2006-01-02,59.472,66.986,59.298,65.641
2006-02-01,65.641,67.137,57.062,61.541
2006-03-01,61.541,66.893,58.996,66.045
2006-04-03,66.045,74.414,65.631,71.537
2006-05-01,71.537,74.755,67.147,70.217
2006-06-01,70.217,72.979,66.352,72.56
2006-07-03,72.56,78.163,71.816,74.995
2006-08-01,74.995,78.493,69.148,70.62
2006-09-01,70.62,70.951,58.304,61.641
2006-10-02,61.641,62.07,56.862,58.434
2006-11-01,58.434,64.027,56.628,63.281
2006-12-01,63.281,64.238,59.638,60.39
2007-01-01,60.39,61.313,51.268,57.542
2007-02-01,57.542,61.209,54.65,60.881
2007-03-01,60.881,69.319,59.36,68.122
2007-04-02,68.122,69.717,65.037,67.712
2007-05-01,67.712,71.816,63.892,68.21
2007-06-01,68.21,71.894,67.62,71.126
2007-07-02,71.126,78.885,70.741,77.348
2007-08-01,77.348,77.687,67.92,72.519
2007-09-03,72.519,81.211,72.436,79.154
2007-10-01,79.154,91.524,75.705,91.494
2007-11-01,91.494,97.027,88.002,88.506
2007-12-03,88.506,96.505,86.769,94.523
2008-01-01,94.523,98.927,85.235,91.999
2008-02-01,91.999,101.224,86.908,100.066
2008-03-03,100.066,109.334,96.965,101.089
2008-04-01,101.089,117.377,99.63,112.195
2008-05-01,112.195,133.784,108.306,127.408
2008-06-02,127.408,143.456,120.754,139.719
2008-07-01,139.719,147.33,121.475,124.304
2008-08-01,124.304,128.091,109.375,114.854
2008-09-01,114.854,115.015,87.226,98.629
2008-10-01,98.629,99.253,58.174,64.609
2008-11-03,64.887,67.204,44.608,51.065
2008-12-01,51.065,51.065,34.979,43.206
2009-01-01,43.206,51.417,40.459,44.389
2009-02-02,44.389,47.913,38.4,45.1
