time,open,high,low,close
2003-03-12,346.6,346.6,346.6,346.6
2003-03-21,346.6,349.837,344.112,349.189
2003-03-24,349.189,349.189,340.179,341.919
2003-03-25,341.919,347.383,341.652,346.391
2003-03-26,346.391,347.064,342.069,342.187
2003-03-27,342.187,345.711,340.243,344.424
2003-03-28,344.424,346.795,342.939,344.887
2003-03-31,344.887,344.887,338.242,339.155
2003-04-01,339.155,345.804,339.155,345.431
2003-04-02,345.431,353.96,345.431,351.905
2003-04-03,351.905,354.515,351.362,351.905
2003-04-04,351.905,355.308,350.392,351.246
2003-04-07,351.246,361.341,351.246,353.305
2003-04-08,353.305,354.792,351.449,353.305
2003-04-09,353.305,357.867,349.336,351.795
2003-04-10,351.795,353.276,350.319,352.644
2003-04-11,352.644,355.402,349.554,350.373
2003-04-14,350.373,357.85,350.373,357.378
2003-04-15,357.378,360.985,354.833,360.985
2003-04-16,360.985,362.808,357.174,357.761
2003-04-17,357.761,364.409,357.761,363.179
2003-04-21,363.179,367.586,363.179,367.109
2003-04-22,367.109,373.594,364.746,372.269
2003-04-23,372.269,377.431,372.269,376.864
2003-04-24,376.864,376.864,373.245,374.682
2003-04-25,374.682,374.899,370.101,371.539
2003-04-28,371.539,379.23,371.539,377.418
2003-04-29,377.418,382.537,377.418,379.831
2003-04-30,379.831,384.157,378.042,382.152
2003-05-01,382.152,382.757,377.867,379.803
2003-05-02,379.803,391.898,379.803,391.228
2003-05-05,391.228,395.446,391.228,394.483
2003-05-06,394.483,399.104,394.483,398.08
2003-05-07,398.08,398.63,395.421,396.178
2003-05-08,396.178,396.178,392.447,394.273
2003-05-09,394.273,399.421,394.273,399.037
2003-05-12,399.037,405.419,399.037,405.33
2003-05-13,405.33,408.234,402.171,407.498
2003-05-14,407.498,408.997,405.51,407.436
2003-05-15,407.436,410.788,407.319,410.289
2003-05-16,410.289,410.331,404.587,405.269
2003-05-19,405.269,406.447,397.953,398.543
2003-05-20,398.543,401.219,395.531,398.374
2003-05-21,398.374,400.934,396.851,400.06
2003-05-22,400.06,405.846,400.06,404.974
2003-05-23,404.974,409.406,403.254,409.015
2003-05-26,409.015,411.191,409.015,411.191
2003-05-27,411.191,419.646,408.764,419.551
2003-05-28,419.551,423.822,419.551,422.735
2003-05-29,422.735,427.91,421.982,426.12
2003-05-30,426.12,434.13,426.12,433.052
2003-06-02,433.052,441.605,433.052,436.46
2003-06-03,436.46,438.878,434.347,438.191
2003-06-04,438.191,446.338,438.191,445.159
2003-06-05,445.159,452.137,441.861,452.137
2003-06-06,452.137,461.011,447.748,448.444
2003-06-09,448.444,449.225,439.803,440.798
2003-06-10,440.798,447.994,440.798,447.502
2003-06-11,447.502,453.023,443.891,452.727
2003-06-12,452.727,456.797,452.616,455.606
2003-06-13,455.606,456.316,447.35,448.848
2003-06-16,448.848,455.973,448.848,455.176
2003-06-17,455.176,457.879,452.599,456.19
2003-06-18,456.19,457.2,452.316,455.709
2003-06-19,455.709,458.711,447.753,449.248
2003-06-20,449.248,451.553,445.079,445.478
2003-06-23,445.478,448.314,436.557,437.355
2003-06-24,437.355,440.956,434.378,438.169
2003-06-25,438.169,444.563,438.081,439.88
2003-06-26,439.88,449.267,439.88,448.17
2003-06-27,448.17,453.965,442.605,444.698
2003-06-30,444.698,451.224,441.458,444.15
2003-07-01,444.15,448.254,438.38,447.158
2003-07-02,447.158,458.042,447.158,458.042
2003-07-03,458.042,458.042,452.77,454.368
2003-07-07,454.368,464.71,454.368,464.013
2003-07-08,464.013,473.503,462.528,471.609
2003-07-09,471.609,476.912,468.431,475.217
2003-07-10,475.217,475.217,465.757,466.758
2003-07-11,466.758,473.553,466.659,473.358
2003-07-14,473.358,481.087,473.358,476.803
2003-07-15,476.803,481.404,472.331,476.621
2003-07-16,476.621,481.717,470.251,472.15
2003-07-17,472.15,472.15,457.104,457.703
2003-07-18,457.703,464.004,457.703,461.81
2003-07-21,461.81,462.655,454.276,456.873
2003-07-22,456.873,464.374,455.39,462.279
2003-07-23,462.279,465.988,458.002,465.988
2003-07-24,465.988,471.689,463.21,464.209
2003-07-25,464.209,469.116,461.129,467.819
2003-07-28,467.819,474.558,467.468,474.359
2003-07-29,474.359,475.869,467.586,473.579
2003-07-30,473.579,475.088,469.001,471.7
2003-07-31,471.7,478.401,471.212,474.014
2003-08-01,474.014,475.212,464.844,466.545
2003-08-04,466.545,467.99,458.308,462.505
2003-08-05,462.505,463.615,453.237,453.637
2003-08-06,453.637,457.247,450.655,451.158
2003-08-07,451.158,453.871,447.876,453.871
2003-08-08,453.871,454.582,450.39,452.989
2003-08-11,452.989,459.131,452.137,459.131
2003-08-12,459.131,466.139,457.147,466.139
2003-08-13,466.139,469.146,464.256,467.954
2003-08-14,467.954,471.366,464.871,467.073
2003-08-15,467.073,473.378,465.375,470.985
2003-08-18,470.985,481.925,470.985,480.427
2003-08-19,480.427,489.634,480.427,488.436
2003-08-20,488.436,489.852,483.754,488.954
2003-08-21,488.954,493.965,488.557,493.467
2003-08-22,493.467,497.976,484.394,484.495
2003-08-25,484.495,485.743,479.551,483.751
2003-08-26,483.751,486.365,475.871,485.966
2003-08-27,485.966,491.18,484.881,490.981
2003-08-28,490.981,495.095,486.098,494.096
2003-08-29,494.096,498.811,493.209,495.414
2003-09-01,495.414,496.954,495.414,496.457
2003-09-02,496.457,507.781,495.684,506.881
2003-09-03,506.881,511.696,506.881,507.201
2003-09-04,507.201,512.516,507.201,511.717
2003-09-05,511.717,515.031,506.337,508.937
2003-09-08,508.937,517.388,508.586,516.093
2003-09-09,516.093,517.3,511.213,511.814
2003-09-10,511.814,511.814,501.235,501.536
2003-09-11,501.536,508.907,501.536,507.205
2003-09-12,507.205,510.703,500.793,508.901
2003-09-15,508.901,513.489,506.98,507.48
2003-09-16,507.48,516.285,507.48,515.884
2003-09-17,515.884,517.38,512.676,514.777
2003-09-18,514.777,521.077,512.369,520.677
2003-09-19,520.677,521.372,517.369,519.369
2003-09-22,519.369,519.369,510.543,512.543
2003-09-23,512.543,519.945,512.539,519.744
2003-09-24,519.744,520.741,506.524,506.524
2003-09-25,506.524,510.324,493.205,493.405
2003-09-26,493.405,495.002,483.789,484.09
2003-09-29,484.09,493.882,480.97,493.882
2003-09-30,493.882,493.882,482.266,485.968
2003-10-01,485.968,500.576,485.968,499.875
2003-10-02,499.875,505.475,498.87,504.473
2003-10-03,504.473,514.378,503.27,512.975
2003-10-06,512.975,517.461,510.156,517.361
2003-10-07,517.361,521.058,512.852,519.957
2003-10-08,519.957,522.655,513.646,515.647
2003-10-09,515.647,530.455,515.645,520.745
2003-10-10,520.745,522.943,514.735,521.339
2003-10-13,521.339,530.129,520.521,528.626
2003-10-14,528.626,532.823,526.22,531.622
2003-10-15,531.622,536.522,523.809,523.809
2003-10-16,523.809,531.41,523.709,529.307
2003-10-17,529.307,531.605,519.894,519.894
2003-10-20,519.894,524.38,519.076,524.278
2003-10-21,524.278,527.175,521.172,524.572
2003-10-22,524.572,524.572,512.558,513.158
2003-10-23,513.158,514.153,505.847,507.348
2003-10-24,507.348,509.143,498.341,507.041
2003-10-27,507.041,516.831,506.328,514.828
2003-10-28,514.828,527.429,514.828,525.528
2003-10-29,525.528,532.426,524.123,528.924
2003-10-30,528.924,537.424,528.924,531.519
2003-10-31,531.519,534.216,527.811,528.011
2003-11-03,528.011,538.599,528.011,536.796
2003-11-04,536.796,541.093,535.191,538.09
2003-11-05,538.09,541.286,530.782,540.285
2003-11-06,540.285,545.281,536.378,544.681
2003-11-07,544.681,547.878,540.973,541.273
2003-11-10,541.273,543.656,531.949,532.649
2003-11-11,532.649,533.545,526.141,528.741
2003-11-12,528.741,542.04,527.837,542.04
2003-11-13,542.04,543.236,537.133,541.333
2003-11-14,541.333,545.731,531.223,531.823
2003-11-17,531.823,531.823,520.501,525.701
2003-11-18,525.701,531.999,519.393,519.893
2003-11-19,519.893,527.39,518.891,524.488
2003-11-20,524.488,529.585,519.382,521.881
2003-11-21,521.881,527.578,521.279,527.477
2003-11-24,527.477,540.061,527.263,539.261
2003-11-25,539.261,544.756,538.456,542.355
2003-11-26,542.355,548.252,538.649,545.35
2003-11-27,545.35,545.35,545.049,545.049
2003-11-28,545.049,548.338,542.838,548.138
2003-12-01,548.138,555.319,546.123,555.219
2003-12-02,555.219,557.713,552.412,553.212
2003-12-03,553.212,557.308,543.803,543.903
2003-12-04,543.903,546.599,536.196,543.396
2003-12-05,543.396,543.992,536.79,538.689
2003-12-08,538.689,543.572,535.371,542.57
2003-12-09,542.57,545.466,532.863,533.062
2003-12-10,533.062,535.358,525.156,528.456
2003-12-11,528.456,544.424,528.4,543.923
2003-12-12,543.923,548.221,540.811,547.319
2003-12-15,547.319,560.521,534.37,534.77
2003-12-16,534.77,538.868,529.355,538.567
2003-12-17,538.567,539.66,533.152,538.358
2003-12-18,538.358,548.765,536.849,547.162
2003-12-19,547.162,548.155,541.347,544.649
2003-12-22,544.649,551.632,542.424,551.431
2003-12-23,551.431,555.528,549.221,553.525
2003-12-24,553.525,554.819,552.116,553.517
2003-12-26,553.517,556.704,553.199,555.3
2003-12-29,555.3,564.483,553.276,563.381
2003-12-30,563.381,566.579,561.973,564.874
2003-12-31,564.874,568.071,556.353,556.853
