time,open,high,low,close
2003-03-03,346.6,349.837,338.242,339.155
2003-04-01,339.155,384.157,339.155,382.152
2003-05-01,382.152,434.13,377.867,433.052
2003-06-02,433.052,461.011,433.052,444.15
2003-07-01,444.15,481.717,438.38,474.014
2003-08-01,474.014,498.811,447.876,495.414
2003-09-01,495.414,521.372,480.97,485.968
2003-10-01,485.968,537.424,485.968,528.011
2003-11-03,528.011,548.338,518.891,548.138
2003-12-01,548.138,568.071,525.156,556.853
2004-01-01,556.853,603.147,556.853,580.086
2004-02-02,580.086,597.77,562.922,584.808
2004-03-01,584.808,603.745,553.283,589.381
2004-04-01,589.381,608.076,555.747,556.247
2004-05-03,556.247,574.945,522.529,567.721
2004-06-01,567.721,593.06,556.645,591.758
2004-07-01,591.758,593.555,529.395,551.08
2004-08-02,551.08,552.562,514.353,548.129
2004-09-01,548.129,579.371,546.424,573.538
2004-10-01,573.538,594.794,562.86,583.463
2004-11-01,583.463,637.77,581.223,636.548
2004-12-01,636.548,658.641,622.693,652.438
2005-01-03,652.438,659.333,604.152,624.336
2005-02-01,624.336,641.591,615.964,634.353
2005-03-01,634.353,648.434,603.071,613.784
2005-04-01,613.784,621.778,567.816,578.704
2005-05-02,578.704,620.532,577.162,616.073
2005-06-01,616.073,649.393,615.587,640.61
2005-07-01,640.61,686.359,631.176,682.372
2005-08-01,682.372,689.054,642.099,667.645
2005-09-01,667.645,683.921,643.188,667.946
2005-10-03,667.946,675.838,614.397,639.958
2005-11-01,639.958,686.782,639.759,676.813
2005-12-01,676.813,693.687,667.166,671.355
2006-01-02,671.355,737.407,664.481,726.977
2006-02-01,726.977,743.408,707.566,729.892
2006-03-01,729.892,768.497,712.727,765.982
2006-04-03,765.982,780.231,740.024,766.657
2006-05-01,766.657,785.789,695.036,721.869
2006-06-01,721.869,743.236,667.579,722.509
2006-07-03,722.509,731.74,667.703,700.407
2006-08-01,700.407,725.785,672.729,720.41
2006-09-01,720.41,741.607,700.746,725.872
2006-10-02,725.872,777.468,712.652,767.301
2006-11-01,767.301,797.746,746.268,785.027
2006-12-01,785.027,802.095,772.692,787.774
2007-01-01,787.774,804.305,768.739,799.029
2007-02-01,799.029,830.297,782.702,793.109
2007-03-01,793.109,812.977,754.597,802.007
2007-04-02,802.007,836.16,798.421,813.428
2007-05-01,813.428,849.849,807.3,847.472
2007-06-01,847.472,857.111,817.241,833.689
2007-07-02,833.689,856.546,767.057,772.822
2007-08-01,772.822,807.248,735.209,790.154
2007-09-03,790.154,824.268,758.319,805.558
2007-10-01,805.558,854.106,782.254,827.701
2007-11-01,827.701,828.707,728.849,768.677
2007-12-03,768.677,801.043,735.026,763.62
2008-01-01,763.62,768.665,635.496,709.626
2008-02-01,709.626,731.995,681.591,690.141
2008-03-03,690.141,706.753,640.65,685.399
2008-04-01,685.399,729.347,683.313,716.328
2008-05-01,716.328,751.648,711.371,747.94
2008-06-02,747.94,766.997,688.655,690.256
2008-07-01,690.256,727.218,646.319,713.899
2008-08-01,713.899,764.175,699.49,739.243
2008-09-01,739.243,777.049,653.423,686.443
2008-10-01,686.443,688.86,442.262,541.826
2008-11-03,541.521,558.122,370.9,473.019
2008-12-01,473.019,504.767,413.604,495.434
2009-01-01,495.434,520.284,426.663,446.166
2009-02-02,445.965,471.978,383.759,386.756
2009-03-02,386.655,448.545,341.764,420.148
2009-04-01,420.148,503.315,412.569,484.723
2009-05-01,484.723,514.452,470.602,502.518
2009-06-01,503.117,542.573,487.039,508.46
2009-07-01,508.46,564.095,472.158,555.843
2009-08-03,555.642,591.271,546.201,572.265
2009-09-01,572.265,627.238,551.179,604.084
2009-10-01,604.084,626.592,559.344,564.454
2009-11-02,564.152,606.189,552.831,578.679
2009-12-01,578.679,637.767,578.077,627.838
2010-01-01,627.838,651.366,599.74,600.842
2010-02-01,600.841,636.366,579.761,629.531
2010-03-01,629.73,693.278,629.73,679.233
2010-04-01,679.233,746.06,676.812,717.437
2010-05-03,717.236,732.599,615.997,663.919
2010-06-01,663.919,678.865,605.661,608.288
2010-07-01,608.288,673.174,586.323,650.816
2010-08-02,651.215,665.974,587.074,604.883
2010-09-01,604.883,685.77,604.17,675.332
2010-10-01,675.332,717.501,664.81,703.663
2010-11-01,703.261,749.708,692.468,726.047
2010-12-01,726.047,792.773,724.441,785.659
2011-01-03,785.659,810.341,767.832,780.931
2011-02-01,780.931,838.016,780.53,823.935
2011-03-01,823.935,843.5,770.754,842.899
2011-04-01,842.899,867.629,813.771,864.621
2011-05-02,865.321,872.309,800.643,849.508
2011-06-01,849.508,852.107,774.154,829.421
2011-07-01,829.421,864.911,783.313,800.663
2011-08-01,800.359,811.83,625.653,728.328
2011-09-01,728.328,735.995,632.68,642.948
2011-10-03,643.248,771.713,600.883,735.601
2011-11-01,735.601,757.766,662.693,736.898
2011-12-01,736.898,753.823,700.558,738.854
2012-01-02,738.854,800.373,734.581,789.741
2012-02-01,789.741,836.615,788.428,807.381
2012-03-01,807.381,854.664,783.991,830.98
2012-04-02,830.475,842.849,783.055,817.417
2012-05-01,817.417,831.216,743.431,758.362
2012-06-01,758.362,801.761,728.969,801.056
2012-07-02,801.155,823.625,761.366,785.173
