time,open,high,low,close
1990-04-03,1.59,1.655,1.58,1.635
1990-04-04,1.6,1.65,1.599,1.62
1990-04-05,1.615,1.635,1.61,1.615
1990-04-06,1.615,1.635,1.61,1.625
1990-04-09,1.612,1.64,1.612,1.637
1990-04-10,1.627,1.63,1.613,1.62
1990-04-11,1.61,1.61,1.595,1.605
1990-04-12,1.595,1.6,1.59,1.598
1990-04-16,1.597,1.6,1.592,1.598
1990-04-17,1.594,1.6,1.585,1.585
1990-04-18,1.583,1.587,1.583,1.583
1990-04-19,1.581,1.581,1.55,1.57
1990-04-20,1.56,1.56,1.54,1.543
1990-04-23,1.525,1.56,1.525,1.555
1990-04-24,1.54,1.556,1.54,1.555
1990-04-25,1.56,1.57,1.552,1.552
1990-04-26,1.555,1.564,1.555,1.558
1990-04-27,1.56,1.56,1.55,1.555
1990-04-30,1.565,1.57,1.565,1.565
1990-05-01,1.575,1.575,1.565,1.565
1990-05-02,1.575,1.58,1.575,1.575
1990-05-03,1.575,1.575,1.575,1.575
1990-05-04,1.57,1.575,1.57,1.575
1990-05-07,1.58,1.585,1.575,1.58
1990-05-08,1.585,1.589,1.582,1.583
1990-05-09,1.587,1.587,1.576,1.576
1990-05-10,1.58,1.58,1.574,1.574
1990-05-11,1.571,1.575,1.565,1.565
1990-05-14,1.559,1.559,1.555,1.556
1990-05-15,1.555,1.555,1.552,1.552
1990-05-16,1.559,1.575,1.559,1.57
1990-05-17,1.57,1.575,1.57,1.57
1990-05-18,1.565,1.565,1.54,1.554
1990-05-21,1.62,1.625,1.615,1.62
1990-05-22,1.61,1.62,1.605,1.613
1990-05-23,1.603,1.606,1.597,1.602
1990-05-24,1.602,1.602,1.595,1.6
1990-05-25,1.595,1.6,1.59,1.592
1990-05-29,1.585,1.588,1.585,1.585
1990-05-30,1.585,1.595,1.585,1.585
1990-05-31,1.586,1.604,1.585,1.59
1990-06-01,1.587,1.59,1.585,1.585
1990-06-04,1.585,1.585,1.57,1.582
1990-06-05,1.57,1.575,1.567,1.567
1990-06-06,1.562,1.564,1.556,1.56
1990-06-07,1.565,1.585,1.565,1.573
1990-06-08,1.565,1.58,1.564,1.575
1990-06-11,1.573,1.575,1.565,1.572
1990-06-12,1.57,1.574,1.553,1.558
1990-06-13,1.55,1.55,1.543,1.545
1990-06-14,1.54,1.55,1.54,1.547
1990-06-15,1.54,1.55,1.54,1.547
1990-06-18,1.535,1.544,1.535,1.54
1990-06-19,1.53,1.538,1.53,1.536
1990-06-20,1.561,1.562,1.557,1.559
1990-06-21,1.558,1.56,1.528,1.528
1990-06-22,1.515,1.524,1.512,1.522
1990-06-25,1.51,1.52,1.506,1.516
1990-06-26,1.51,1.515,1.505,1.507
1990-06-27,1.505,1.505,1.495,1.5
1990-06-28,1.496,1.52,1.496,1.515
1990-06-29,1.51,1.519,1.51,1.519
1990-07-02,1.525,1.525,1.516,1.519
1990-07-03,1.517,1.525,1.517,1.525
1990-07-05,1.518,1.518,1.511,1.514
1990-07-06,1.511,1.511,1.495,1.498
1990-07-09,1.493,1.495,1.488,1.493
1990-07-10,1.493,1.5,1.492,1.5
1990-07-11,1.508,1.508,1.495,1.5
1990-07-12,1.5,1.502,1.495,1.502
1990-07-13,1.52,1.52,1.5,1.5
1990-07-16,1.51,1.515,1.49,1.495
1990-07-17,1.482,1.485,1.455,1.462
1990-07-18,1.455,1.455,1.445,1.45
1990-07-19,1.445,1.454,1.44,1.445
1990-07-20,1.505,1.505,1.473,1.482
1990-07-23,1.465,1.47,1.455,1.46
1990-07-24,1.456,1.458,1.44,1.44
1990-07-25,1.427,1.445,1.422,1.44
1990-07-26,1.44,1.44,1.417,1.435
