time,open,high,low,close
1990-04-02,1.59,1.655,1.525,1.565
1990-05-01,1.575,1.625,1.54,1.59
1990-06-01,1.587,1.59,1.495,1.519
1990-07-02,1.525,1.525,1.41,1.411
1990-08-01,1.405,1.6,1.396,1.5
1990-09-03,1.515,1.98,1.501,1.935
1990-10-01,1.925,2.57,1.84,2.36
1990-11-01,2.35,2.65,2.29,2.445
1990-12-03,2.44,2.51,1.87,1.95
1991-01-01,1.91,1.92,1.335,1.38
1991-02-01,1.38,1.41,1.33,1.373
1991-03-01,1.37,1.41,1.347,1.405
1991-04-01,1.405,1.425,1.355,1.375
1991-05-01,1.375,1.383,1.31,1.333
1991-06-03,1.335,1.336,1.06,1.208
1991-07-01,1.19,1.28,1.145,1.26
1991-08-01,1.275,1.604,1.255,1.564
1991-09-02,1.556,1.995,1.55,1.935
1991-10-01,1.934,2.125,1.851,2.046
1991-11-01,2.06,2.14,1.87,2.09
1991-12-02,2.08,2.112,1.367,1.38
1992-01-01,1.32,1.365,1.04,1.18
1992-02-03,1.165,1.225,1.045,1.171
1992-03-02,1.16,1.38,1.155,1.357
1992-04-01,1.372,1.58,1.255,1.422
1992-05-01,1.408,1.79,1.396,1.625
1992-06-01,1.627,1.67,1.461,1.518
1992-07-01,1.53,1.94,1.525,1.892
1992-08-03,1.892,2.18,1.745,2.112
1992-09-01,2.08,2.65,2.005,2.515
1992-10-01,2.502,2.63,2.145,2.295
1992-11-02,2.314,2.48,2.015,2.087
1992-12-01,2.105,2.155,1.65,1.687
1993-01-01,1.645,1.68,1.52,1.597
1993-02-01,1.607,1.92,1.56,1.856
1993-03-01,1.845,2.125,1.75,2.069
1993-04-01,2.07,2.74,1.99,2.365
1993-05-03,2.335,2.365,1.968,2.141
1993-06-01,2.14,2.28,2.025,2.181
1993-07-01,2.16,2.225,1.96,2.22
1993-08-02,2.225,2.49,2.17,2.375
1993-09-01,2.36,2.42,2.06,2.291
1993-10-01,2.275,2.424,2.11,2.368
1993-11-01,2.38,2.468,2.21,2.243
1993-12-01,2.24,2.285,1.835,1.997
1994-01-03,1.955,2.599,1.91,2.554
1994-02-01,2.57,2.69,2.185,2.208
1994-03-01,2.185,2.22,2.025,2.075
1994-04-01,2.08,2.205,2.03,2.067
1994-05-02,2.065,2.084,1.8,1.917
1994-06-01,1.92,2.24,1.87,2.184
1994-07-01,2.21,2.22,1.825,1.893
1994-08-01,1.905,1.92,1.525,1.586
1994-09-01,1.6,1.77,1.425,1.657
1994-10-03,1.64,2.04,1.552,1.95
1994-11-01,1.93,1.966,1.585,1.695
1994-12-01,1.67,1.94,1.535,1.725
1995-01-02,1.76,1.795,1.25,1.354
1995-02-01,1.345,1.555,1.345,1.483
1995-03-01,1.486,1.725,1.417,1.685
1995-04-03,1.7,1.745,1.585,1.662
1995-05-01,1.665,1.835,1.635,1.718
1995-06-01,1.72,1.744,1.495,1.53
1995-07-03,1.51,1.615,1.401,1.614
1995-08-01,1.625,1.755,1.39,1.748
1995-09-01,1.71,1.789,1.571,1.75
1995-10-02,1.84,1.915,1.692,1.866
1995-11-01,1.86,2.175,1.818,2.018
1995-12-01,2.02,3.1,2.02,2.619
1996-01-01,2.75,3.1,1.925,2.658
1996-02-01,2.72,2.8,2.165,2.236
1996-03-01,2.2,2.88,2.07,2.336
1996-04-01,2.29,2.425,2.165,2.224
1996-05-01,2.21,2.455,2.115,2.406
1996-06-03,2.375,2.98,2.335,2.911
1996-07-01,2.785,2.92,1.995,2.163
1996-08-01,2.235,2.34,1.85,1.859
1996-09-02,1.86,2.24,1.74,2.214
1996-10-01,2.225,2.875,2.165,2.728
1996-11-01,2.7,3.65,2.53,3.497
1996-12-02,3.33,4.61,2.63,2.757
1997-01-01,2.75,3.84,2.37,2.385
1997-02-03,2.305,2.52,1.8,1.821
1997-03-03,1.83,2.04,1.78,1.926
1997-04-01,1.94,2.21,1.85,2.184
1997-05-01,2.195,2.43,2.155,2.239
1997-06-02,2.21,2.305,2.055,2.139
1997-07-01,2.135,2.225,2.051,2.177
1997-08-01,2.175,2.74,2.175,2.714
1997-09-01,2.695,3.48,2.62,3.082
