time,open,high,low,close
1970-02-02,2306.25,2385.07,2293.93,2385.07
1970-03-02,2399.76,2510.24,2396.64,2510.24
1970-04-01,2523.75,2534.45,2315.43,2315.43
1970-05-01,2114.32,2209.61,1929.64,2009.1
1970-06-01,2082.37,2149.28,2029.41,2131.74
1970-07-01,2138.11,2148.94,2067.76,2140.5
1970-08-03,2164.77,2169.78,2122.83,2163.5
1970-09-01,2132.21,2176.99,2020.88,2020.88
1970-10-01,2065.44,2133.03,2061.65,2117.26
1970-11-02,2139.32,2147.98,2041.15,2041.15
1970-12-01,1990.47,2027.37,1963.4,1987.14
1971-01-01,2001.34,2115.25,1981.74,2102.36
1971-02-01,2104.88,2230.09,2104.88,2216.65
1971-03-01,2256.05,2404.65,2246.61,2401.33
1971-04-01,2403.3,2457.36,2373.42,2450.74
1971-05-03,2489.35,2489.35,2365.92,2420.18
1971-06-01,2456.33,2628.46,2455.95,2625.14
1971-07-01,2637.35,2692.63,2571.37,2683.24
1971-08-02,2640.68,2704.9,2162.82,2303.91
1971-09-01,2297.06,2420.36,2297.06,2420.36
1971-10-01,2428.25,2428.25,2227.25,2253.28
1971-11-01,2279.04,2450.74,2228.78,2450.74
1971-12-01,2442.71,2713.74,2442.71,2713.74
1972-01-03,2712.31,2840.86,2712.31,2839.04
1972-02-01,2856.5,3027.49,2852.32,3027.49
1972-03-01,3021.98,3146.18,2976.15,3146.18
1972-04-03,3194.24,3322.01,3165.32,3299.81
1972-05-01,3353.38,3594.95,3342.92,3594.95
1972-06-01,3636.79,3722.63,3369.64,3670.81
1972-07-03,3751.32,3867.85,3645.38,3867.85
1972-08-01,3938.4,4041.78,3870.3,4026.25
1972-09-01,4066.78,4291.81,4066.78,4291.81
1972-10-02,4393.67,4522.18,4363.38,4522.18
1972-11-01,4537.99,4879.18,4537.99,4879.18
1972-12-01,4868.96,5207.94,4838.76,5207.94
1973-01-01,5232.86,5359.74,5188.4,5232
1973-02-01,5165.24,5334.69,4832.47,5194.88
1973-03-01,5121.32,5177.5,4771.63,5177.5
1973-04-02,5181.68,5181.68,4374.77,4499.39
1973-05-01,4594.65,4772.97,4593.57,4613.44
1973-06-01,4557.36,4687.24,4500.55,4681.37
1973-07-02,4688.77,5108.46,4688.77,5108.46
1973-08-01,5041.18,5041.18,4828.73,4889.19
1973-09-03,4838.25,4838.25,4444.78,4622.56
1973-10-01,4582.77,4702.92,4468.41,4702.92
1973-11-01,4699.73,4699.73,4288.75,4411.44
1973-12-03,4510.52,4510.52,3958.57,4289.41
1974-01-01,4180.7,4536.85,4151,4510.62
1974-02-01,4449.9,4601.2,4449.9,4468.46
1974-03-01,4486.58,4610.69,4389.89,4470.34
1974-04-01,4466.32,4608.32,4403.65,4554.3
1974-05-01,4622.35,4778.36,4622.35,4750.44
1974-06-03,4771.86,4782.27,4640.45,4643.2
1974-07-01,4622.15,4622.15,4465.06,4465.06
1974-08-01,4492.42,4492.42,3973.14,3987.62
1974-09-02,4134.35,4134.35,3965.62,4018.42
1974-10-01,3950,3950,3355.13,3478.43
1974-11-01,3594.55,3929.37,3558.31,3918.55
1974-12-02,3974.72,3974.72,3834.21,3889.89
1975-01-01,3717.58,3949.11,3652.53,3949.11
1975-02-03,3998.59,4246.59,3998.59,4246.59
1975-03-03,4302.04,4348.07,4226.87,4320.57
1975-04-01,4484.97,4494.03,4355.11,4474.5
1975-05-01,4484.84,4564.52,4423.4,4423.4
1975-06-02,4378.51,4523.69,4378.51,4485
1975-07-01,4532.54,4541.25,4290.96,4311.31
1975-08-01,4333.04,4333.04,4007.14,4007.14
1975-09-01,4045.98,4047.82,3814.02,3814.02
1975-10-01,3886.39,4360.42,3870.11,4322.33
1975-11-03,4339.48,4354.96,4245.39,4323.22
1975-12-01,4306.75,4331.88,4177.12,4310.25
1976-01-01,4403.06,4660.46,4403.06,4626.85
1976-02-02,4670.29,4670.29,4461.63,4599.4
1976-03-01,4630.53,4635.45,4552.53,4552.53
1976-04-01,4596.48,4641.76,4408.21,4641.76
1976-05-03,4638.13,4648.06,4569.08,4570.72
1976-06-01,4659.46,4823.92,4659.46,4823.92
1976-07-01,4852.13,4865.55,4646.6,4646.6
