time,open,high,low,close
1988-07-29,0.886,0.886,0.886,0.886
1988-08-01,0.873,0.873,0.873,0.873
1988-08-02,0.866,0.866,0.866,0.866
1988-08-03,0.874,0.874,0.874,0.874
1988-08-04,0.886,0.886,0.886,0.886
1988-08-05,0.894,0.894,0.894,0.894
1988-08-08,0.879,0.879,0.879,0.879
1988-08-09,0.882,0.882,0.882,0.882
1988-08-10,0.894,0.894,0.894,0.894
1988-08-11,0.92,0.92,0.92,0.92
1988-08-12,0.901,0.901,0.901,0.901
1988-08-15,0.903,0.903,0.903,0.903
1988-08-16,0.901,0.901,0.901,0.901
1988-08-17,0.907,0.907,0.907,0.907
1988-08-18,0.934,0.934,0.934,0.934
1988-08-19,0.9385,0.9385,0.9385,0.9385
1988-08-22,0.9555,0.9555,0.9555,0.9555
1988-08-23,0.953,0.953,0.953,0.953
1988-08-24,0.958,0.958,0.958,0.958
1988-08-25,0.967,0.967,0.967,0.967
1988-08-26,0.9755,0.9755,0.9755,0.9755
1988-08-29,0.974,0.974,0.974,0.974
1988-08-30,0.97,0.97,0.97,0.97
1988-08-31,0.982,0.982,0.982,0.982
1988-09-01,0.958,0.958,0.958,0.958
1988-09-02,0.953,0.953,0.953,0.953
1988-09-06,0.953,0.953,0.953,0.953
1988-09-07,0.9565,0.9565,0.9565,0.9565
1988-09-08,0.9635,0.9635,0.9635,0.9635
1988-09-09,0.9755,0.9755,0.9755,0.9755
1988-09-12,0.9775,0.9775,0.9775,0.9775
1988-09-13,0.991,0.991,0.991,0.991
1988-09-14,0.99,0.99,0.99,0.99
1988-09-15,0.9985,0.9985,0.9985,0.9985
1988-09-16,0.989,0.989,0.989,0.989
1988-09-19,0.9855,0.9855,0.9855,0.9855
1988-09-20,0.9835,0.9835,0.9835,0.9835
1988-09-21,0.9655,0.9655,0.9655,0.9655
1988-09-22,0.989,0.989,0.989,0.989
1988-09-23,1.004,1.004,1.004,1.004
1988-09-26,1.0035,1.0035,1.0035,1.0035
1988-09-27,1.0215,1.0215,1.0215,1.0215
1988-09-28,1.009,1.009,1.009,1.009
1988-09-29,1.021,1.021,1.021,1.021
1988-09-30,1.0165,1.0165,1.0165,1.0165
1988-10-03,1.0295,1.0295,1.0295,1.0295
1988-10-04,1.033,1.033,1.033,1.033
1988-10-05,1.034,1.034,1.034,1.034
1988-10-06,1.053,1.053,1.053,1.053
