time,open,high,low,close
1988-07-01,0.886,0.886,0.886,0.886
1988-08-01,0.873,0.982,0.866,0.982
1988-09-01,0.958,1.0215,0.953,1.0165
1988-10-03,1.0295,1.2125,1.0295,1.2125
1988-11-01,1.223,1.3675,1.13,1.3675
1988-12-01,1.3815,1.44,1.332,1.3975
1989-01-02,1.4095,1.538,1.3905,1.4615
1989-02-01,1.393,1.408,1.262,1.352
1989-03-01,1.413,1.47,1.344,1.346
1989-04-03,1.289,1.4655,1.289,1.371
1989-05-01,1.358,1.358,1.124,1.1735
1989-06-01,1.1385,1.196,1.0765,1.0765
1989-07-03,1.037,1.1625,1.02,1.15
1989-08-01,1.153,1.3955,1.134,1.323
1989-09-01,1.298,1.325,1.22,1.255
1989-10-02,1.289,1.344,1.168,1.1825
1989-11-01,1.205,1.205,1.079,1.084
1989-12-01,1.05,1.0715,1.018,1.064
1990-01-01,1.062,1.1135,0.9565,0.986
1990-02-01,0.977,1.148,0.977,1.0825
1990-03-01,1.092,1.224,1.092,1.224
1990-04-02,1.209,1.2485,1.089,1.089
1990-05-01,1.133,1.184,1.0965,1.1085
1990-06-01,1.118,1.14,1.0835,1.14
1990-07-02,1.129,1.259,1.129,1.246
1990-08-01,1.2885,1.3355,1.248,1.248
1990-09-03,1.2375,1.3035,1.175,1.188
1990-10-01,1.17,1.2265,1.121,1.1575
1990-11-01,1.135,1.1765,1.071,1.071
1990-12-03,1.073,1.1685,1.06,1.1685
1991-01-01,1.193,1.193,1.031,1.064
1991-02-01,1.067,1.136,1.058,1.115
1991-03-01,1.109,1.109,1.0595,1.062
1991-04-01,1.063,1.114,1.051,1.051
1991-05-01,1.0505,1.0545,0.9665,0.9685
1991-06-03,0.973,1.0205,0.973,1.0015
1991-07-01,1.012,1.0345,0.979,1.013
1991-08-01,1.008,1.0365,0.991,1.0315
1991-09-02,1.033,1.0665,1.015,1.048
1991-10-01,1.05,1.0795,1.0355,1.066
1991-11-01,1.0665,1.0715,1.01,1.01
1991-12-02,1.002,1.003,0.966,0.9755
1992-01-01,0.957,0.991,0.9435,0.986
1992-02-03,0.976,1.033,0.9755,1.032
1992-03-02,1.024,1.0245,1.008,1.0165
1992-04-01,1.027,1.035,0.9855,1.0045
1992-05-01,0.998,1.014,0.998,1.011
1992-06-01,1.023,1.108,1.021,1.097
1992-07-01,1.0985,1.1635,1.0985,1.125
1992-08-03,1.1205,1.154,1.1085,1.1085
1992-09-01,1.125,1.125,1.0475,1.0475
1992-10-01,1.033,1.033,0.991,1.014
1992-11-02,0.9945,0.9965,0.947,0.99
1992-12-01,0.9785,1.036,0.9775,1.036
1993-01-01,1.064,1.076,0.9755,0.9895
1993-02-01,0.9895,1.005,0.9575,0.9595
1993-03-01,0.944,0.9865,0.944,0.962
1993-04-01,0.963,0.963,0.8165,0.845
1993-05-03,0.834,0.834,0.7755,0.7985
1993-06-01,0.804,0.865,0.804,0.865
1993-07-01,0.871,0.8965,0.842,0.883
1993-08-02,0.875,0.875,0.8335,0.86
1993-09-01,0.8385,0.8675,0.749,0.749
1993-10-01,0.754,0.769,0.726,0.7315
1993-11-01,0.729,0.751,0.729,0.75
1993-12-01,0.7655,0.833,0.7655,0.833
1994-01-03,0.8025,0.8685,0.786,0.868
1994-02-01,0.896,0.903,0.8415,0.8665
1994-03-01,0.859,0.9315,0.859,0.8675
1994-04-01,0.878,0.915,0.857,0.915
1994-05-02,0.9305,1.0635,0.925,1.0375
1994-06-01,1.01,1.136,1.01,1.0825
1994-07-01,1.1115,1.162,1.0965,1.114
1994-08-01,1.0965,1.1575,1.0665,1.1575
1994-09-01,1.142,1.1875,1.1255,1.1255
1994-10-03,1.145,1.2345,1.137,1.226
1994-11-01,1.256,1.3635,1.227,1.3225
1994-12-01,1.3395,1.386,1.2995,1.386
1995-01-02,1.337,1.427,1.327,1.363
1995-02-01,1.322,1.346,1.2855,1.2855
1995-03-01,1.31,1.389,1.31,1.367
1995-04-03,1.384,1.384,1.2545,1.271
1995-05-01,1.252,1.311,1.2245,1.31
1995-06-01,1.335,1.4575,1.32,1.367
1995-07-03,1.3615,1.406,1.317,1.353
1995-08-01,1.347,1.4205,1.3115,1.3195
1995-09-01,1.3205,1.326,1.277,1.3165
1995-10-02,1.3005,1.3065,1.211,1.2475
1995-11-01,1.2885,1.3505,1.236,1.236
1995-12-01,1.23,1.2745,1.1905,1.2055
1996-01-01,1.181,1.181,1.1165,1.148
1996-02-01,1.174,1.181,1.125,1.153
1996-03-01,1.162,1.199,1.149,1.165
1996-04-01,1.1455,1.23,1.1265,1.1915
1996-05-01,1.206,1.2555,1.112,1.15
1996-06-03,1.1365,1.1365,0.8465,0.904
1996-07-01,0.8825,0.948,0.8635,0.932
1996-08-01,0.9245,0.9525,0.902,0.9525
1996-09-02,0.9585,0.9585,0.859,0.901
1996-10-01,0.8785,0.9715,0.8785,0.913
1996-11-01,0.9265,1.103,0.9205,1.103
1996-12-02,1.001,1.0175,0.964,1.0025
1997-01-01,1.0215,1.0755,1.012,1.0375
1997-02-03,1.0245,1.1485,1.0245,1.109
1997-03-03,1.1275,1.13,1.0875,1.13
1997-04-01,1.1165,1.128,1.0475,1.1135
1997-05-01,1.0985,1.1945,1.0905,1.191
1997-06-02,1.1715,1.222,1.092,1.1215
1997-07-01,1.1005,1.119,1.025,1.089
1997-08-01,1.0725,1.081,0.967,0.993
1997-09-01,0.962,0.9945,0.9475,0.97
1997-10-01,0.966,0.9705,0.9045,0.9075
1997-11-03,0.9045,0.9065,0.837,0.8405
1997-12-01,0.8335,0.834,0.777,0.781
1998-01-01,0.7745,0.812,0.748,0.793
1998-02-02,0.7885,0.7885,0.7255,0.7705
1998-03-02,0.7985,0.837,0.7845,0.7985
