＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161090018,FUT_225_260910,,202609,,66120,66160,66020.04,,1.3783,91,日経225
161120018,FUT_225_261210,,202612,,65980,66070,66020.04,,1.4959,182,日経225
162030018,FUT_225_270311,,202703,,66170,66163,66020.04,,1.3759,273,日経225
162060018,FUT_225_270610,,202706,,66040,66005,66020.04,,1.3759,364,日経225
162090018,FUT_225_270909,,202709,,66180,66146,66020.04,,1.3759,455,日経225
162120018,FUT_225_271209,,202712,,66180,66021,66020.04,,1.3759,546,日経225
163060018,FUT_225_280608,,202806,,66320,66000,66020.04,,1.3759,728,日経225
163120018,FUT_225_281207,,202812,,66710,66021,66020.04,,1.3759,910,日経225
164060018,FUT_225_290607,,202906,,66890,66005,66020.04,,1.3759,1092,日経225
164120018,FUT_225_291213,,202912,,67270,66048,66020.04,,1.3759,1281,日経225
165060018,FUT_225_300613,,203006,,67620,66038,66020.04,,1.3759,1463,日経225
165120018,FUT_225_301212,,203012,,68060,66067,66020.04,,1.3759,1645,日経225
166060018,FUT_225_310612,,203106,,68500,66062,66020.04,,1.3759,1827,日経225
166120018,FUT_225_311211,,203112,,69000,66097,66020.04,,1.3759,2009,日経225
167060018,FUT_225_320610,,203206,,69470,66097,66020.04,,1.3759,2191,日経225
167120018,FUT_225_321209,,203212,,69990,66136,66020.04,,1.3759,2373,日経225
168060018,FUT_225_330609,,203306,,70520,66141,66020.04,,1.3759,2555,日経225
168120018,FUT_225_331208,,203312,,71110,66185,66020.04,,1.3759,2737,日経225
169060018,FUT_225_340608,,203406,,71700,66195,66020.04,,1.3759,2919,日経225
161070019,FUT_225M_260709,,202607,,66030,66028,66020.04,,1.0998,28,日経225
161080019,FUT_225M_260813,,202608,,66210,66095,66020.04,,1.0998,63,日経225
161090019,FUT_225M_260910,,202609,,66120,66160,66020.04,,1.3783,91,日経225
161100019,FUT_225M_261008,,202610,,65860,65900,66020.04,,1.4959,119,日経225
161120019,FUT_225M_261210,,202612,,65980,66070,66020.04,,1.4959,182,日経225
162030019,FUT_225M_270311,,202703,,66170,66163,66020.04,,1.3759,273,日経225
162060019,FUT_225M_270610,,202706,,66040,66005,66020.04,,1.3759,364,日経225
162090019,FUT_225M_270909,,202709,,66180,66146,66020.04,,1.3759,455,日経225
162120019,FUT_225M_271209,,202712,,66180,66021,66020.04,,1.3759,546,日経225
163060019,FUT_225M_280608,,202806,,66320,66000,66020.04,,1.3759,728,日経225
163120019,FUT_225M_281207,,202812,,66710,66021,66020.04,,1.3759,910,日経225
164060019,FUT_225M_290607,,202906,,66890,66005,66020.04,,1.3759,1092,日経225
164120019,FUT_225M_291213,,202912,,67270,66048,66020.04,,1.3759,1281,日経225
165060019,FUT_225M_300613,,203006,,67620,66038,66020.04,,1.3759,1463,日経225
165120019,FUT_225M_301212,,203012,,68060,66067,66020.04,,1.3759,1645,日経225
166060019,FUT_225M_310612,,203106,,68500,66062,66020.04,,1.3759,1827,日経225
161070023,FUT_225MC_260709,,202607,,66030,66028,66020.04,,1.0998,28,日経225
161080023,FUT_225MC_260813,,202608,,66210,66095,66020.04,,1.0998,63,日経225
161090023,FUT_225MC_260910,,202609,,66120,66160,66020.04,,1.3783,91,日経225
161120023,FUT_225MC_261210,,202612,,65980,66070,66020.04,,1.4959,182,日経225
161090005,FUT_TPX_260910,,202609,,3882.5,3890.3,3881.96,,1.3783,91,TOPIX
161120005,FUT_TPX_261210,,202612,,3862.5,3870.3,3881.96,,1.4959,182,TOPIX
162030005,FUT_TPX_270311,,202703,,3868,3875.6,3881.96,,1.3759,273,TOPIX
162060005,FUT_TPX_270610,,202706,,3843,3850.5,3881.96,,1.3759,364,TOPIX
162090005,FUT_TPX_270909,,202709,,3851,3858.7,3881.96,,1.3759,455,TOPIX
162120005,FUT_TPX_271209,,202712,,3829.5,3837,3881.96,,1.3759,546,TOPIX
163060005,FUT_TPX_280608,,202806,,3812.5,3820.2,3881.96,,1.3759,728,TOPIX
