series_id,source,country,category,value_key,freq,n,start,end,label
macro/australia/consumer/au_consumer_spending/data::qoq,macro,australia,consumer,qoq,quarterly,104,2000-04-01,2026-01-01,au_consumer_spending
macro/australia/consumer/au_consumer_spending/data::yoy,macro,australia,consumer,yoy,quarterly,101,2001-01-01,2026-01-01,au_consumer_spending
macro/australia/consumer/au_disposable_personal_income/data::qoq,macro,australia,consumer,qoq,quarterly,266,1959-10-01,2026-01-01,au_disposable_personal_income
macro/australia/consumer/au_disposable_personal_income/data::yoy,macro,australia,consumer,yoy,quarterly,263,1960-07-01,2026-01-01,au_disposable_personal_income
macro/australia/consumer/au_household_saving_ratio/data::value,macro,australia,consumer,value,quarterly,267,1959-07-01,2026-01-01,au_household_saving_ratio
macro/australia/consumer/au_household_saving_ratio/data::qoq,macro,australia,consumer,qoq,quarterly,266,1959-10-01,2026-01-01,au_household_saving_ratio
macro/australia/consumer/au_household_saving_ratio/data::yoy,macro,australia,consumer,yoy,quarterly,263,1960-07-01,2026-01-01,au_household_saving_ratio
macro/australia/consumer/au_household_spending/data::mom,macro,australia,consumer,mom,monthly,113,2017-01-01,2026-05-01,au_household_spending
macro/australia/consumer/au_household_spending/data::yoy,macro,australia,consumer,yoy,monthly,113,2017-01-01,2026-05-01,au_household_spending
macro/australia/consumer/au_nab_business_confidence/data::value,macro,australia,consumer,value,monthly,211,2008-12-01,2026-06-01,au_nab_business_confidence
macro/australia/consumer/au_nab_business_confidence/data::mom,macro,australia,consumer,mom,monthly,210,2009-01-01,2026-06-01,au_nab_business_confidence
macro/australia/consumer/au_westpac_consumer_confidence/data::change,macro,australia,consumer,change,monthly,220,2008-02-01,2026-06-01,au_westpac_consumer_confidence
macro/australia/consumer/au_westpac_consumer_confidence/data::value,macro,australia,consumer,value,monthly,124,2016-03-01,2026-06-01,au_westpac_consumer_confidence
macro/australia/economy/au_current_account/data::value,macro,australia,economy,value,quarterly,267,1959-09-01,2026-03-01,au_current_account
macro/australia/economy/au_current_account/qoq_diff::value,macro,australia,economy,value,quarterly,266,1959-12-01,2026-03-01,au_current_account
macro/australia/economy/au_current_account/yoy_diff::value,macro,australia,economy,value,quarterly,263,1960-09-01,2026-03-01,au_current_account
macro/australia/economy/au_current_account_gdp_ratio/data::value,macro,australia,economy,value,quarterly,267,1959-09-01,2026-03-01,au_current_account_gdp_ratio
macro/australia/economy/au_current_account_gdp_ratio/data::current_account,macro,australia,economy,current_account,quarterly,267,1959-09-01,2026-03-01,au_current_account_gdp_ratio
macro/australia/economy/au_current_account_gdp_ratio/data::gdp,macro,australia,economy,gdp,quarterly,267,1959-09-01,2026-03-01,au_current_account_gdp_ratio
macro/australia/economy/au_gdp_economic_related/data::gfcf_qoq,macro,australia,economy,gfcf_qoq,quarterly,264,1959-10-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::gfcf_level,macro,australia,economy,gfcf_level,quarterly,264,1959-10-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::consumption_qoq,macro,australia,economy,consumption_qoq,quarterly,264,1959-10-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::consumption_level,macro,australia,economy,consumption_level,quarterly,264,1959-10-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::net_exports_contribution,macro,australia,economy,net_exports_contribution,quarterly,261,1960-07-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::exports_contribution,macro,australia,economy,exports_contribution,quarterly,261,1960-07-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::imports_contribution,macro,australia,economy,imports_contribution,quarterly,261,1960-07-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::gfcf_yoy,macro,australia,economy,gfcf_yoy,quarterly,261,1960-07-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_economic_related/data::consumption_yoy,macro,australia,economy,consumption_yoy,quarterly,261,1960-07-01,2025-07-01,au_gdp_economic_related
macro/australia/economy/au_gdp_growth_rate/data::qoq,macro,australia,economy,qoq,quarterly,266,1959-10-01,2026-01-01,au_gdp_growth_rate
macro/australia/economy/au_gdp_growth_rate/data::yoy,macro,australia,economy,yoy,quarterly,263,1960-07-01,2026-01-01,au_gdp_growth_rate
macro/australia/economy/au_gdp_price_related/data::deflator_qoq,macro,australia,economy,deflator_qoq,quarterly,266,1959-10-01,2026-01-01,au_gdp_price_related
macro/australia/economy/au_gdp_price_related/data::gfcf_qoq,macro,australia,economy,gfcf_qoq,quarterly,266,1959-10-01,2026-01-01,au_gdp_price_related
macro/australia/economy/au_gdp_price_related/data::gfcf_level,macro,australia,economy,gfcf_level,quarterly,266,1959-10-01,2026-01-01,au_gdp_price_related
macro/australia/economy/au_gdp_price_related/data::consumption_qoq,macro,australia,economy,consumption_qoq,quarterly,266,1959-10-01,2026-01-01,au_gdp_price_related
macro/australia/economy/au_gdp_price_related/data::consumption_level,macro,australia,economy,consumption_level,quarterly,266,1959-10-01,2026-01-01,au_gdp_price_related
macro/australia/economy/au_gdp_price_related/data::deflator_yoy,macro,australia,economy,deflator_yoy,quarterly,263,1960-07-01,2026-01-01,au_gdp_price_related
macro/australia/economy/au_gdp_price_related/data::net_exports_contribution,macro,australia,economy,net_exports_contribution,quarterly,263,1960-07-01,2026-01-01,au_gdp_price_related
macro/australia/economy/au_gdp_price_related/data::exports_contribution,macro,australia,economy,exports_contribution,quarterly,263,1960-07-01,2026-01-01,au_gdp_price_related
