target_title,target,candidate,label,best_lag,corr,p,n,corr_lag0,fdr_sig,granger_p,lead_lag,robust_lead,high_conf
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,seasonality/ブレント原油::close,ブレント原油（終値）,1,0.481,5.902556856891343e-17,268,0.34,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,seasonality/WTI原油::close,WTI原油（終値）,1,0.442,1.0682478317042037e-14,278,0.33,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/brent_oil::close,ブレント原油（終値）,1,0.433,1.7570130531476512e-09,177,0.281,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/crude_oil::close,WTI原油（終値）,1,0.431,2.414540010747677e-09,176,0.273,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/cftc_positioning_brent::price,建玉(BRENT)（価格）,1,0.422,8.225014243837117e-09,172,0.321,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/cftc_positioning_crude_oil::price,建玉(WTI原油)（価格）,1,0.4,1.6977670115095166e-10,237,0.325,True,0.0,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/usa/consumer/visa_spending/data::value,米 Visa消費,1,0.511,2.9022134877258704e-10,134,0.277,True,0.0,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/eurozone/consumer/ecb_retail_trade/retail_yoy::value,欧 小売取引・前年比,1,0.455,1.366612279720936e-07,122,0.23,True,0.0,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/usa/consumer/personal_consumption_expenditures_services/data::yoy,米 個人消費支出(サービス)（前年比）,1,0.44,1.0056379826066002e-15,302,0.388,True,0.0,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/eurozone/economy/ecb_production/yoy_change::value,欧 鉱工業生産・前年比,1,0.436,5.176552800896201e-07,122,0.416,True,0.0015,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/eurozone/monetary_policy/ecb_m3/yoy/data::value,欧 マネーサプライM3・前年比,1,-0.436,1.3899211816065757e-07,134,-0.26,True,0.0,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/eurozone/economy/eu_international_trade/imports_yoy::value,欧 貿易・輸入前年比,1,0.436,5.167723854729757e-07,122,0.306,True,0.0009,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/japan/consumer/consumption_expenditure/yoy/data::value,日 消費支出・前年比,1,0.433,7.196267312275268e-07,121,0.082,True,0.0,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/eurozone/economy/germany_factory_orders/foreign_yoy::value,欧 製造業受注・海外前年比,1,0.416,1.928111152000013e-06,122,0.356,True,0.0016,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/canada/economy/ca_gdp_monthly/data::yoy,加 月次GDP（前年比）,1,0.409,1.2079765287478423e-13,303,0.346,True,0.0,先行1ヶ月,True,True
米国：コアCPI(前年比),macro/usa/inflation/core_cpi/data::yoy,macro/usa/consumer/pce/nominal/data::yoy,米 PCE（前年比）,1,0.4,5.198563488367893e-13,302,0.322,True,0.0,先行1ヶ月,True,True
米国：失業率,macro/usa/employment/unemployment_rate/data::unrate,macro/usa/employment/initial_claims/data::icsa,米 新規失業保険申請件数,1,0.881,1.1560288014267277e-103,314,0.073,True,0.0,先行1ヶ月,True,True
米国：失業率,macro/usa/employment/unemployment_rate/data::unrate,macro/usa/employment/initial_claims/data::ic4wsa,米 新規失業保険申請件数（4週平均）,1,0.808,1.4726807363517967e-73,314,0.45,True,0.0,先行1ヶ月,True,True
