target_title,target,candidate,label,best_lag,corr,p,n,corr_lag0,fdr_sig,granger_p,lead_lag,robust_lead,high_conf
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/japan/price/household_expected_inflation/data::exp5y_median,日 家計期待インフレ（5年先(中央値)）,11,-0.49,7.0471320926201134e-06,76,0.299,True,0.0095,先行11ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,seasonality/ブレント原油::close,ブレント原油（終値）,1,0.481,5.902556856891343e-17,268,0.34,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,seasonality/WTI原油::close,WTI原油（終値）,1,0.442,1.0682478317042037e-14,278,0.33,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/brent_oil::close,ブレント原油（終値）,1,0.433,1.7570130531476512e-09,177,0.281,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/crude_oil::close,WTI原油（終値）,1,0.431,2.414540010747677e-09,176,0.273,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/cftc_positioning_brent::price,建玉(BRENT)（価格）,1,0.422,8.225014243837117e-09,172,0.321,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/usa/consumer/affinity_spend/data::yoy,米 Affinity消費（前年比）,1,0.414,0.00024797885503490886,74,0.353,True,0.0047,先行1ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/newzealand/inflation/nz_cpi/data::tradable_qoq,NZ CPI（貿易財前期比）,7,0.411,2.1723567397370257e-05,100,0.145,True,0.0443,先行7ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/usa/consumer/carts_weekly/data::nominal,米 シカゴ連銀小売指数(CARTS)（名目）,1,0.402,4.077192502636203e-05,98,0.162,True,0.0001,先行1ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,market/cftc_positioning_crude_oil::price,建玉(WTI原油)（価格）,1,0.4,1.6977670115095166e-10,237,0.325,True,0.0,先行1ヶ月,True,True
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/uk/monetary_policy/sonia/data::value,英 SONIA(翌日物金利),12,-0.393,0.0001685613705409243,87,0.182,True,0.0491,先行12ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/eurozone/economy/eu_international_trade/imports_yoy::value,欧 貿易・輸入前年比,1,0.387,1.0379141202412281e-05,122,0.371,True,0.0125,先行1ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/eurozone/economy/eu_pmi/manufacturing/data::previous,欧 PMI・製造業（前回値）,1,0.382,4.782348200401084e-06,135,0.14,True,0.0,先行1ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/eurozone/economy/eu_pmi/manufacturing/data::value,欧 PMI・製造業,1,0.378,6.32290693587338e-06,135,0.122,True,0.0,先行1ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/japan/price/household_expected_inflation/data::exp5y_mean,日 家計期待インフレ（5年先(平均)）,11,-0.375,0.0008463769183328056,76,0.155,True,0.0213,先行11ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/australia/policy/au_housing_lending_rates/data::outstanding_oo_variable,豪 住宅貸出金利（残高(自住・変動)）,9,-0.355,0.0022436525124799197,72,-0.183,True,0.0249,先行9ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/uk/housing/boe_mortgage_rates/cfmz6jv::value,英 住宅ローン金利,1,-0.354,6.218162569602408e-05,122,-0.273,True,0.0056,先行1ヶ月,True,False
米国：CPI(前年比),macro/usa/inflation/cpi/data::yoy,macro/australia/policy/au_housing_lending_rates/data::new_oo_variable,豪 住宅貸出金利（新規(自住・変動)）,3,-0.354,0.001478649809347292,78,-0.223,True,0.0275,先行3ヶ月,True,False
