年月,豊富 (Jobs Plentiful),困難 (Jobs Hard to get),差分 (Differential)
2010-01,3.2,48.4,-45.2
2010-02,3.6,48.4,-44.8
2010-03,4.0,46.1,-42.1
2010-04,4.6,45.1,-40.5
2010-05,4.6,43.4,-38.8
2010-06,4.3,42.4,-38.1
2010-07,4.3,44.6,-40.3
2010-08,4.0,45.3,-41.3
2010-09,3.8,46.1,-42.3
2010-10,3.5,46.0,-42.5
2010-11,4.0,45.6,-41.6
2010-12,3.9,46.8,-42.9
2011-01,4.6,43.0,-38.4
2011-02,4.9,39.6,-34.7
2011-03,4.7,42.5,-37.8
2011-04,5.1,42.5,-37.4
2011-05,5.6,42.7,-37.1
2011-06,5.2,43.8,-38.6
2011-07,5.2,43.3,-38.1
2011-08,4.8,46.1,-41.3
2011-09,2.5,45.3,-42.8
2011-10,3.6,45.2,-41.6
2011-11,5.6,43.0,-37.4
2011-12,6.6,41.6,-35.0
2012-01,6.2,42.7,-36.5
2012-02,7.3,38.6,-31.3
2012-03,9.0,40.6,-31.6
2012-04,7.9,40.7,-32.8
2012-05,7.9,39.4,-31.5
2012-06,7.0,41.8,-34.8
2012-07,7.8,43.0,-35.2
2012-08,7.2,41.1,-33.9
2012-09,8.2,40.7,-32.5
2012-10,9.1,43.9,-34.8
2012-11,10.3,46.0,-35.7
2012-12,8.2,45.1,-36.9
2013-01,8.6,32.7,-24.1
2013-02,10.3,34.7,-24.4
2013-03,9.5,33.0,-23.5
2013-04,9.6,35.1,-25.5
2013-05,10.8,36.0,-25.2
2013-06,12.2,33.3,-21.1
2013-07,12.2,35.7,-23.5
2013-08,11.3,33.1,-21.8
2013-09,11.5,34.6,-23.1
2013-10,11.6,36.1,-24.5
2013-11,11.8,33.3,-21.5
2013-12,12.1,35.3,-23.2
2014-01,12.5,23.9,-11.4
2014-02,13.9,24.5,-10.6
2014-03,12.9,23.1,-10.2
2014-04,12.3,23.9,-11.6
2014-05,14.4,26.7,-12.3
2014-06,16.1,25.7,-9.6
2014-07,15.6,24.3,-8.7
2014-08,18.2,25.4,-7.2
2014-09,16.3,24.8,-8.5
2014-10,16.5,21.1,-4.6
2014-11,16.2,22.8,-6.6
2014-12,17.2,27.7,-10.5
2015-01,19.1,20.2,-1.1
2015-02,19.9,20.8,-0.9
2015-03,21.0,21.9,-0.9
2015-04,19.2,20.7,-1.5
2015-05,20.5,21.1,-0.6
2015-06,21.1,20.9,0.2
2015-07,19.9,20.1,-0.2
2015-08,22.1,22.0,0.1
2015-09,24.7,20.6,4.1
2015-10,22.2,20.5,1.7
2015-11,19.7,19.9,-0.2
2015-12,24.1,24.5,-0.4
2016-01,23.0,20.9,2.1
2016-02,23.8,22.7,1.1
2016-03,25.4,23.5,1.9
2016-04,23.3,22.4,0.9
2016-05,24.3,24.4,-0.1
2016-06,23.3,22.9,0.4
2016-07,24.0,22.3,1.7
2016-08,24.9,21.7,3.2
2016-09,27.6,21.6,6.0
2016-10,24.3,22.5,1.8
2016-11,26.4,20.7,5.7
2016-12,26.0,22.7,3.3
2017-01,27.4,14.3,13.1
2017-02,28.5,14.4,14.1
2017-03,31.8,14.2,17.6
2017-04,30.6,15.9,14.7
2017-05,29.7,18.2,11.5
2017-06,30.0,18.0,12.0
2017-07,33.2,17.8,15.4
2017-08,34.4,18.8,15.6
2017-09,32.7,17.9,14.8
2017-10,36.7,17.7,19.0
2017-11,37.5,17.3,20.2
2017-12,35.2,16.5,18.7
2018-01,36.9,12.4,24.5
2018-02,39.4,14.9,24.5
2018-03,38.7,15.0,23.7
2018-04,37.9,15.8,22.1
2018-05,38.5,16.3,22.2
2018-06,40.8,14.4,26.4
2018-07,43.1,14.6,28.5
2018-08,42.7,12.7,30.0
2018-09,45.2,12.8,32.4
2018-10,45.4,12.2,33.2
2018-11,46.6,12.2,34.4
2018-12,45.5,11.8,33.7
2019-01,45.2,11.6,33.6
2019-02,45.1,11.8,33.3
2019-03,46.5,13.7,32.8
2019-04,46.7,13.2,33.5
2019-05,46.4,13.0,33.4
2019-06,44.0,12.1,31.9
2019-07,45.8,12.1,33.7
2019-08,50.3,12.0,38.3
2019-09,47.3,11.7,35.6
2019-10,47.1,12.0,35.1
2019-11,44.0,12.9,31.1
2019-12,46.5,12.9,33.6
2020-01,49.0,13.2,35.8
2020-02,46.5,13.2,33.3
2020-03,43.3,13.0,30.3
2020-04,19.9,13.2,6.7
2020-05,16.5,29.2,-12.7
2020-06,21.0,25.1,-4.1
2020-07,22.3,19.8,2.5
2020-08,21.4,16.2,5.2
2020-09,23.2,19.8,3.4
2020-10,26.2,19.8,6.4
2020-11,25.9,20.3,5.6
2020-12,26.1,17.2,8.9
2021-01,20.6,19.1,1.5
2021-02,21.6,16.4,5.2
2021-03,24.7,17.9,6.8
2021-04,35.1,15.4,19.7
2021-05,46.4,11.8,34.6
2021-06,53.5,11.1,42.4
2021-07,54.0,10.5,43.5
2021-08,53.7,11.2,42.5
2021-09,54.8,12.7,42.1
2021-10,54.4,10.8,43.6
2021-11,54.8,10.4,44.4
2021-12,55.0,12.5,42.5
2022-01,55.1,11.3,43.8
2022-02,53.8,11.8,42.0
2022-03,56.7,9.6,47.1
2022-04,54.4,11.3,43.1
2022-05,51.9,12.5,39.4
2022-06,50.6,11.4,39.2
2022-07,48.3,12.3,36.0
2022-08,47.6,11.4,36.2
2022-09,49.2,11.7,37.5
2022-10,44.7,13.6,31.1
2022-11,45.8,13.0,32.8
2022-12,46.4,12.1,34.3
2023-01,48.1,11.3,36.8
2023-02,51.2,10.5,40.7
2023-03,48.2,10.9,37.3
2023-04,47.5,10.9,36.6
2023-05,47.7,11.9,35.8
2023-06,46.1,12.0,34.1
2023-07,48.5,11.6,36.9
2023-08,39.9,9.7,30.2
2023-09,39.9,12.4,27.5
2023-10,37.9,12.4,25.5
2023-11,38.3,14.2,24.1
2023-12,40.7,13.1,27.6
2024-01,45.1,11.4,33.7
2024-02,45.5,11.9,33.6
2024-03,42.3,10.8,31.5
2024-04,39.1,9.8,29.3
2024-05,37.3,13.0,24.3
2024-06,36.3,14.7,21.6
2024-07,34.1,15.8,18.3
2024-08,32.0,15.9,16.1
2024-09,30.8,16.6,14.2
2024-10,34.0,17.5,16.5
2024-11,33.5,15.3,18.2
2024-12,34.9,15.3,19.6
2025-01,43.1,11.4,31.7
2025-02,41.9,12.6,29.3
2025-03,41.5,11.9,29.6
2025-04,38.0,14.1,23.9
2025-05,36.3,14.3,22.0
2025-06,34.1,15.6,18.5
2025-07,32.1,16.5,15.6
2025-08,30.6,17.5,13.1
2025-09,26.9,19.1,7.8
2025-10,28.6,18.3,10.3
2025-11,28.2,20.1,8.1
2025-12,26.7,20.8,5.9
2026-01,23.9,20.8,3.1
2026-02,28.0,20.6,7.4
2026-03,27.3,21.5,5.8
