Tabelle: 45212-0001
Beschäftigte im Einzelhandel: Deutschland, Jahre, Wirtschaftszweige;;;;;;;;
Monatsstatistik im Einzelhandel;;;;;;;;
Deutschland;;;;;;;;
;;;Beschäftigte;Veränderung zum Vorjahr;Vollzeitbeschäftigte;Veränderung zum Vorjahr;Teilzeitbeschäftigte;Veränderung zum Vorjahr
;;;2015=100;in (%);2015=100;in (%);2015=100;in (%)
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;2024;106,2;-0,9;-;.;-;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2024;105,1;-2,0;-;.;-;.
WZ08-471;Eh.m. Waren verschiedener Art (in Verkaufsräumen);2024;105,6;-4,0;-;.;-;.
WZ08-4711;Eh.m. Waren versch. Art, Hauptr. Nahrungsm. usw;2024;104,9;-4,3;-;.;-;.
WZ08-47111;Eh.m. Nahrungs-,Genussm.,Getränken u. Tabakw. oaS;2024;-;-100,0;-;.;-;.
WZ08-47112;Sonst.Eh.m. Waren versch.Art,Hauptr.Nahrungsm.usw;2024;-;-100,0;-;.;-;.
WZ08-4719;Sonstiger Einzelhandel mit Waren verschiedener Art;2024;110,8;-1,4;-;.;-;.
WZ08-47191;Eh.m. Waren versch. Art (ohne Nahrungsmittel);2024;-;-100,0;-;.;-;.
WZ08-47192;Eh.m. Waren versch. Art, Hauptr. Nicht-Nahrungsm.;2024;-;-100,0;-;.;-;.
WZ08-472;Eh.m. Nahrungsmitteln usw (in Verkaufsräumen);2024;109,0;+0,6;-;.;-;.
WZ08-4721;Einzelhandel mit Obst, Gemüse und Kartoffeln;2024;120,8;+1,0;-;.;-;.
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;96,4;-1,1;-;.;-;.
WZ08-4723;Eh.m. Fisch und Fischerzeugnissen, Meeresfrüchten;2024;112,2;+1,1;-;.;-;.
WZ08-4724;Einzelhandel mit Back- und Süßwaren;2024;91,6;+3,5;-;.;-;.
WZ08-4725;Einzelhandel mit Getränken;2024;125,3;+0,5;-;.;-;.
WZ08-4726;Einzelhandel mit Tabakwaren;2024;110,7;-0,8;-;.;-;.
WZ08-4729;Sonstiger Eh.m. Nahrungs- und Genussmitteln;2024;118,1;-0,8;-;.;-;.
WZ08-473;Einzelhandel mit Motorenkraftstoffen (Tankstellen);2024;123,9;+0,4;-;.;-;.
WZ08-4730;Einzelhandel mit Motorenkraftstoffen (Tankstellen);2024;-;-100,0;-;.;-;.
WZ08-47301;Eh.m. Motorenkraftstoffen (Agenturtankstellen);2024;-;-100,0;-;.;-;.
WZ08-47302;Eh.m. Motorenkraftstoffen (Freie Tankstellen);2024;-;-100,0;-;.;-;.
WZ08-474;Eh.m. Kommunik.- und Info.technik (in Verkaufsr.);2024;86,0;-1,6;-;.;-;.
WZ08-4741;Eh.m. DV-Gerät., peripheren Einheiten und Software;2024;100,0;-3,8;-;.;-;.
WZ08-4742;Einzelhandel mit Telekommunikationsgeräten;2024;86,6;+1,4;-;.;-;.
WZ08-4743;Eh.m. Geräten der Unterhaltungselektronik;2024;80,0;-2,0;-;.;-;.
WZ08-475;Eh.m. sonst. Haush.geräten usw (in Verkaufsräumen);2024;99,6;-3,5;-;.;-;.
WZ08-4751;Einzelhandel mit Textilien;2024;102,4;-1,8;-;.;-;.
WZ08-4752;Eh.m. Metallw.,Anstrichm.u.Bau-u.Heimwerkerbedarf;2024;103,3;-2,9;-;.;-;.
WZ08-47521;Eh.m. Metall- und Kunststoffwaren a.n.g.;2024;-;-100,0;-;.;-;.
WZ08-47523;Eh.m. Anstrichmitteln, Bau- und Heimwerkerbedarf;2024;-;-100,0;-;.;-;.
WZ08-4753;Eh.m. Vorhängen,Teppichen u. Bodenbelägen, Tapeten;2024;94,0;-5,5;-;.;-;.
WZ08-4754;Einzelhandel mit elektrischen Haushaltsgeräten;2024;99,4;-2,8;-;.;-;.
WZ08-4759;Eh.m. Möbeln, Einr.gegenständen und sonst. Hausrat;2024;97,3;-3,9;-;.;-;.
WZ08-47591;Einzelhandel mit Wohnmöbeln;2024;-;-100,0;-;.;-;.
WZ08-47592;Eh.m. keramischen Erzeugnissen und Glaswaren;2024;-;-100,0;-;.;-;.
WZ08-47593;Eh.m. Musikinstrumenten und Musikalien;2024;-;-100,0;-;.;-;.
WZ08-47599;Eh.m. Haushaltsgegenständen a.n.g.;2024;-;-100,0;-;.;-;.
WZ08-476;Eh.m. Sportausrüstg., Verlagserzeugn. u.Spielwaren;2024;116,9;-2,8;-;.;-;.
WZ08-4761;Einzelhandel mit Büchern;2024;75,3;-5,8;-;.;-;.
WZ08-4762;Eh.m. Zeitungen, Zeitschr. u.Schreibw., Bürobedarf;2024;99,7;-1,9;-;.;-;.
WZ08-47621;Einzelhandel mit Zeitschriften und Zeitungen;2024;-;-100,0;-;.;-;.
WZ08-47622;Eh.m. Schreib- u. Papierw., Schul- u. Büroartikeln;2024;-;-100,0;-;.;-;.
WZ08-4763;Eh.m. bespielten Ton- und Bildträgern;2024;107,4;+15,6;-;.;-;.
WZ08-4764;Eh.m. Fahrrädern, Sport- und Campingartikeln;2024;144,5;-1,2;-;.;-;.
WZ08-47641;Eh.m. Fahrrädern, -teilen und -zubehör;2024;-;-100,0;-;.;-;.
WZ08-47642;Eh.m. Sport- und Campingartikeln (oh.Campingmöbel);2024;-;-100,0;-;.;-;.
WZ08-4765;Einzelhandel mit Spielwaren;2024;100,4;-9,5;-;.;-;.
WZ08-477;Eh.m. sonstigen Gütern (in Verkaufsräumen);2024;104,4;+0,9;-;.;-;.
WZ08-4771;Einzelhandel mit Bekleidung;2024;85,2;-1,0;-;.;-;.
WZ08-4772;Einzelhandel mit Schuhen und Lederwaren;2024;79,9;-1,2;-;.;-;.
WZ08-47721;Einzelhandel mit Schuhen;2024;-;-100,0;-;.;-;.
