Tabelle: 45212-0003
Umsatz im Einzelhandel: Deutschland, Jahre, Preisarten, Wirtschaftszweige;;;;;;
Monatsstatistik im Einzelhandel;;;;;;
Deutschland;;;;;;
;;;Preisarten;Preisarten;Preisarten;Preisarten
;;;in konstanten Preisen;in konstanten Preisen;in jeweiligen Preisen;in jeweiligen Preisen
;;;Umsatz;Veränderung zum Vorjahr;Umsatz;Veränderung zum Vorjahr
;;;2015=100;in (%);2015=100;in (%)
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;2024;110,1;-0,3;140,5;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2024;113,6;+1,2;141,2;+2,6
WZ08-471;Eh.m. Waren verschiedener Art (in Verkaufsräumen);2024;102,4;+0,8;139,5;+2,9
WZ08-4711;Eh.m. Waren versch. Art, Hauptr. Nahrungsm. usw;2024;103,1;+0,9;142,0;+3,0
WZ08-47111;Eh.m. Nahrungs-,Genussm.,Getränken u. Tabakw. oaS;2024;-;-100,0;-;-100,0
WZ08-47112;Sonst.Eh.m. Waren versch.Art,Hauptr.Nahrungsm.usw;2024;-;-100,0;-;-100,0
WZ08-4719;Sonstiger Einzelhandel mit Waren verschiedener Art;2024;93,9;-0,5;111,8;+0,4
WZ08-47191;Eh.m. Waren versch. Art (ohne Nahrungsmittel);2024;-;-100,0;-;-100,0
WZ08-47192;Eh.m. Waren versch. Art, Hauptr. Nicht-Nahrungsm.;2024;-;-100,0;-;-100,0
WZ08-472;Eh.m. Nahrungsmitteln usw (in Verkaufsräumen);2024;89,7;+0,8;125,9;+3,8
WZ08-4721;Einzelhandel mit Obst, Gemüse und Kartoffeln;2024;104,3;+12,4;146,7;+13,3
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;77,8;-1,3;114,5;0,0
WZ08-4723;Eh.m. Fisch und Fischerzeugnissen, Meeresfrüchten;2024;46,8;-0,8;68,4;-0,7
WZ08-4724;Einzelhandel mit Back- und Süßwaren;2024;67,4;-2,6;97,1;+0,2
WZ08-4725;Einzelhandel mit Getränken;2024;98,7;-3,8;129,3;+0,5
WZ08-4726;Einzelhandel mit Tabakwaren;2024;81,6;-2,0;121,0;+2,7
WZ08-4729;Sonstiger Eh.m. Nahrungs- und Genussmitteln;2024;107,5;+5,2;150,6;+7,0
WZ08-473;Einzelhandel mit Motorenkraftstoffen (Tankstellen);2024;109,6;+0,2;149,5;-0,9
WZ08-4730;Einzelhandel mit Motorenkraftstoffen (Tankstellen);2024;-;-100,0;-;-100,0
WZ08-47301;Eh.m. Motorenkraftstoffen (Agenturtankstellen);2024;-;-100,0;-;-100,0
WZ08-47302;Eh.m. Motorenkraftstoffen (Freie Tankstellen);2024;-;-100,0;-;-100,0
WZ08-474;Eh.m. Kommunik.- und Info.technik (in Verkaufsr.);2024;128,6;+2,6;106,9;-1,0
WZ08-4741;Eh.m. DV-Gerät., peripheren Einheiten und Software;2024;142,9;+2,0;120,2;-3,5
WZ08-4742;Einzelhandel mit Telekommunikationsgeräten;2024;159,0;+7,7;117,3;+2,9
WZ08-4743;Eh.m. Geräten der Unterhaltungselektronik;2024;115,7;+1,3;99,4;-0,9
WZ08-475;Eh.m. sonst. Haush.geräten usw (in Verkaufsräumen);2024;93,6;-3,0;114,0;-3,1
WZ08-4751;Einzelhandel mit Textilien;2024;89,7;-1,0;109,1;-1,5
WZ08-4752;Eh.m. Metallw.,Anstrichm.u.Bau-u.Heimwerkerbedarf;2024;97,0;-1,6;120,2;-1,4
WZ08-47521;Eh.m. Metall- und Kunststoffwaren a.n.g.;2024;-;-100,0;-;-100,0
WZ08-47523;Eh.m. Anstrichmitteln, Bau- und Heimwerkerbedarf;2024;-;-100,0;-;-100,0
WZ08-4753;Eh.m. Vorhängen,Teppichen u. Bodenbelägen, Tapeten;2024;104,6;-3,9;125,6;-3,6
WZ08-4754;Einzelhandel mit elektrischen Haushaltsgeräten;2024;132,0;+5,3;134,0;+4,4
WZ08-4759;Eh.m. Möbeln, Einr.gegenständen und sonst. Hausrat;2024;86,3;-5,5;106,7;-5,6
WZ08-47591;Einzelhandel mit Wohnmöbeln;2024;-;-100,0;-;-100,0
WZ08-47592;Eh.m. keramischen Erzeugnissen und Glaswaren;2024;-;-100,0;-;-100,0
WZ08-47593;Eh.m. Musikinstrumenten und Musikalien;2024;-;-100,0;-;-100,0
WZ08-47599;Eh.m. Haushaltsgegenständen a.n.g.;2024;-;-100,0;-;-100,0
WZ08-476;Eh.m. Sportausrüstg., Verlagserzeugn. u.Spielwaren;2024;112,7;-4,8;137,0;-3,7
WZ08-4761;Einzelhandel mit Büchern;2024;61,1;-2,1;77,3;+1,6
WZ08-4762;Eh.m. Zeitungen, Zeitschr. u.Schreibw., Bürobedarf;2024;70,4;-6,3;97,3;-2,0
WZ08-47621;Einzelhandel mit Zeitschriften und Zeitungen;2024;-;-100,0;-;-100,0
WZ08-47622;Eh.m. Schreib- u. Papierw., Schul- u. Büroartikeln;2024;-;-100,0;-;-100,0
WZ08-4763;Eh.m. bespielten Ton- und Bildträgern;2024;99,1;-2,9;106,2;-1,3
WZ08-4764;Eh.m. Fahrrädern, Sport- und Campingartikeln;2024;151,9;-4,9;182,0;-4,2
WZ08-47641;Eh.m. Fahrrädern, -teilen und -zubehör;2024;-;-100,0;-;-100,0
WZ08-47642;Eh.m. Sport- 
